Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-14,ASIANPAINT,EQ,1802.55,1818.7,1830.0,1795.5,1800.55,1802.55,1815.76,1868406,339257295180000.0,69704,535999,0.28690000000000004
2020-08-13,ASIANPAINT,EQ,1797.25,1806.4,1815.0,1788.0,1803.0,1802.55,1803.7,1192385,215069979780000.03,34913,416483,0.3493
2020-08-12,ASIANPAINT,EQ,1789.55,1789.95,1806.0,1772.0,1799.0,1797.25,1791.49,1679098,300809109790000.0,77465,428799,0.2554
2020-08-11,ASIANPAINT,EQ,1782.35,1800.0,1837.8,1780.0,1785.3,1789.55,1811.38,3039964,550653751695000.0,97718,665090,0.2188
2020-08-10,ASIANPAINT,EQ,1806.25,1810.0,1824.3,1777.0,1784.0,1782.35,1791.41,1892637,339049262245000.0,66157,445199,0.2352
2020-08-07,ASIANPAINT,EQ,1727.55,1727.55,1816.9,1725.7,1807.8,1806.25,1784.19,5166090,921730084560000.0,159951,1119120,0.21660000000000001
2020-08-06,ASIANPAINT,EQ,1716.3,1732.05,1752.1,1720.1,1730.15,1727.55,1735.76,1914542,332318092845000.0,63459,579805,0.3028
2020-08-05,ASIANPAINT,EQ,1713.95,1718.0,1741.95,1712.5,1720.0,1716.3,1726.47,1416804,244607187160000.0,42646,518021,0.36560000000000004
2020-08-04,ASIANPAINT,EQ,1705.5,1719.0,1735.0,1708.55,1714.0,1713.95,1722.26,1815427,312663655340000.0,59846,720428,0.3968
2020-08-03,ASIANPAINT,EQ,1715.5,1729.0,1735.0,1697.5,1704.6,1705.5,1711.14,1437475,245971759725000.0,56080,448830,0.3122
2020-07-31,ASIANPAINT,EQ,1743.35,1754.0,1770.9,1710.4,1720.0,1715.5,1741.13,1678643,292273577230000.0,70295,560382,0.33380000000000004
2020-07-30,ASIANPAINT,EQ,1740.15,1752.0,1778.0,1728.1,1745.0,1743.35,1756.96,2113984,371418262280000.0,92831,783999,0.37090000000000006
2020-07-29,ASIANPAINT,EQ,1759.65,1770.0,1779.9,1730.0,1738.9,1740.15,1754.12,1531031,268561153194999.97,61266,529324,0.3457
2020-07-28,ASIANPAINT,EQ,1778.15,1779.0,1792.65,1751.05,1756.4,1759.65,1768.54,2534098,448165394155000.0,79013,815872,0.322
2020-07-27,ASIANPAINT,EQ,1712.05,1717.2,1788.0,1717.2,1772.55,1778.15,1760.73,6470525,1139284418385000.0,211885,1754040,0.2711
2020-07-24,ASIANPAINT,EQ,1727.8,1724.0,1727.0,1682.0,1717.0,1712.05,1702.73,3971575,676251809790000.0,117536,1355795,0.34140000000000004
2020-07-23,ASIANPAINT,EQ,1695.75,1690.0,1740.0,1687.0,1729.5,1727.8,1729.56,2375218,410808414370000.0,69214,671922,0.2829
2020-07-22,ASIANPAINT,EQ,1724.25,1724.25,1736.4,1691.0,1698.0,1695.75,1708.86,1300414,222222108090000.0,61336,452647,0.3481
2020-07-21,ASIANPAINT,EQ,1751.6,1761.0,1771.75,1719.0,1720.0,1724.25,1742.4,2088527,363905484380000.0,77237,933869,0.4471
2020-07-20,ASIANPAINT,EQ,1717.9,1727.0,1757.35,1720.25,1752.0,1751.6,1738.51,1848600,321380554060000.0,62666,869268,0.47020000000000006
2020-07-17,ASIANPAINT,EQ,1693.2,1695.0,1742.5,1689.75,1722.0,1717.9,1721.33,2308827,397425042350000.0,81773,778099,0.337
2020-07-16,ASIANPAINT,EQ,1671.65,1679.8,1697.1,1645.1,1694.0,1693.2,1672.81,1442725,241339770335000.0,64168,361703,0.25070000000000003
2020-07-15,ASIANPAINT,EQ,1688.4,1700.0,1713.6,1663.3,1679.5,1671.65,1682.87,1611411,271179183325000.0,56608,683229,0.424
2020-07-14,ASIANPAINT,EQ,1705.65,1705.65,1718.0,1682.1,1692.5,1688.4,1696.05,1347140,228481426375000.0,53759,531143,0.3943
2020-07-13,ASIANPAINT,EQ,1703.5,1708.0,1732.9,1700.0,1705.0,1705.65,1716.29,1289791,221364982410000.0,57914,377841,0.2929
2020-07-10,ASIANPAINT,EQ,1717.25,1707.95,1711.0,1695.2,1705.0,1703.5,1702.47,1156048,196813942735000.0,56610,413921,0.358
2020-07-09,ASIANPAINT,EQ,1686.25,1694.0,1722.0,1692.1,1715.85,1717.25,1707.73,1904670,325266139355000.0,87231,757314,0.3976
2020-07-08,ASIANPAINT,EQ,1745.75,1750.0,1761.8,1680.05,1689.0,1686.25,1712.67,2725947,466865518750000.0,99542,808218,0.2965
2020-07-07,ASIANPAINT,EQ,1708.85,1708.95,1749.9,1705.85,1746.05,1745.75,1736.15,2983383,517961217520000.0,106413,1064797,0.3569
2020-07-06,ASIANPAINT,EQ,1695.65,1708.95,1712.0,1692.15,1708.65,1708.85,1704.18,1236745,210763702505000.0,56629,378705,0.3062
2020-07-03,ASIANPAINT,EQ,1686.45,1695.4,1720.0,1690.0,1696.65,1695.65,1702.81,1988941,338677949665000.0,96420,548008,0.2755
2020-07-02,ASIANPAINT,EQ,1688.0,1700.0,1704.0,1660.1,1689.0,1686.45,1681.63,2038399,342782969745000.0,77833,752548,0.36920000000000003
2020-07-01,ASIANPAINT,EQ,1687.45,1698.0,1698.0,1680.05,1687.4,1688.0,1688.93,1661301,280581819030000.03,57277,643113,0.3871
2020-06-30,ASIANPAINT,EQ,1691.95,1708.9,1718.0,1681.65,1687.0,1687.45,1695.18,1960731,332378271340000.0,93050,719681,0.36700000000000005
2020-06-29,ASIANPAINT,EQ,1686.75,1687.0,1708.45,1674.05,1695.0,1691.95,1688.97,2753482,465053611750000.0,127527,769198,0.27940000000000004
