Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,AXISBANK,2020-07-30,433.9,440.4,424.75,434.55,435.8,434.55,36855,19109737000.0,54944400,-172800,433.1
2020-07-16,AXISBANK,2020-07-30,431.1,436.15,419.1,433.95,432.15,433.95,22790,11684357000.0,55117200,-261600,
2020-07-15,AXISBANK,2020-07-30,425.05,445.3,423.35,427.15,429.5,427.15,36753,19175267000.0,55378800,-3250800,
2020-07-14,AXISBANK,2020-07-30,436.1,437.0,415.3,418.65,419.0,418.65,23514,11934140000.0,58629600,-644400,
2020-07-13,AXISBANK,2020-07-30,443.8,447.2,433.5,441.9,442.75,441.9,18490,9760037000.0,59274000,466800,
2020-07-10,AXISBANK,2020-07-30,449.15,452.2,437.4,441.0,440.75,441.0,24426,13007139000.0,58807200,-685200,
2020-07-09,AXISBANK,2020-07-30,447.8,457.35,446.15,454.1,454.5,454.1,22045,11967737000.0,59492400,-2606400,
2020-07-08,AXISBANK,2020-07-30,449.05,462.0,441.4,444.85,444.85,444.85,42610,23029250000.0,62098800,-1489200,
2020-07-07,AXISBANK,2020-07-30,433.0,449.65,426.45,447.95,446.6,447.95,35824,18871701000.0,63588000,951600,447.35
2020-07-06,AXISBANK,2020-07-30,434.7,438.55,431.25,435.05,434.75,435.05,16857,8800634000.0,62636400,-303600,
2020-07-03,AXISBANK,2020-07-30,429.5,431.6,423.5,428.25,428.6,428.25,23781,12207377000.0,62940000,-1842000,428.45
2020-07-02,AXISBANK,2020-07-30,439.95,441.9,421.0,424.3,425.9,424.3,43400,22298201000.0,64782000,-3554400,423.2
2020-07-01,AXISBANK,2020-07-30,408.1,438.3,406.2,434.15,433.65,434.15,49732,25285303000.0,68336400,7473600,
2020-06-25,AXISBANK,2020-06-25,418.1,429.0,411.0,421.8,418.5,421.7,20335,10257865000.0,2400000,-4668000,421.7
2020-06-24,AXISBANK,2020-06-25,447.95,448.6,421.55,424.3,424.5,424.3,33595,17547743000.0,7068000,-15276000,424.65
2020-06-23,AXISBANK,2020-06-25,430.5,445.8,429.65,444.4,445.4,444.4,32661,17154682000.0,22344000,-10236000,
2020-06-22,AXISBANK,2020-06-25,420.35,436.8,418.9,429.55,430.05,429.55,49353,25397816000.0,32580000,-20768400,
2020-06-19,AXISBANK,2020-06-25,407.2,422.9,407.2,417.25,417.65,417.25,47237,23628609000.0,53348400,-11906400,
2020-06-18,AXISBANK,2020-06-25,385.15,407.8,383.8,405.1,404.0,405.1,31367,14930362000.0,65254800,-424800,
2020-06-17,AXISBANK,2020-06-25,377.65,397.85,374.85,388.75,388.6,388.75,44445,20773808000.0,65679600,-1458000,
2020-06-16,AXISBANK,2020-06-25,404.0,405.5,360.05,381.95,380.4,381.95,67185,30758759000.000004,67137600,6506400,
2020-06-15,AXISBANK,2020-06-25,404.7,405.1,382.6,389.5,389.35,389.5,32128,15083854000.0,60631200,-630000,
2020-06-12,AXISBANK,2020-06-25,391.1,413.1,388.15,408.65,407.8,408.65,38912,18762383000.0,61261200,2461200,
2020-06-11,AXISBANK,2020-06-25,426.1,435.5,408.35,412.95,414.2,412.95,34686,17560718000.0,58800000,-2156400,
2020-06-10,AXISBANK,2020-06-25,422.75,433.85,414.7,428.9,433.3,428.9,31692,16040706000.0,60956400,-309600,
2020-06-09,AXISBANK,2020-06-25,433.3,442.85,416.0,419.2,416.8,419.2,38112,19702683000.0,61266000,-3115200,
2020-06-08,AXISBANK,2020-06-25,414.0,444.2,413.8,430.55,431.55,430.55,48089,24856925000.0,64381200,-750000,
2020-06-05,AXISBANK,2020-06-25,398.5,409.7,390.35,405.65,408.8,405.65,32213,15436435999.999998,65131200,1698000,
2020-06-04,AXISBANK,2020-06-25,407.6,413.8,391.1,394.95,395.6,394.95,34509,16594334000.0,63433200,-1180800,394.35
2020-06-03,AXISBANK,2020-06-25,419.8,433.15,406.5,410.55,408.7,410.55,40432,20525872000.0,64614000,757200,
2020-06-02,AXISBANK,2020-06-25,397.4,416.0,391.3,411.9,415.85,411.9,28302,13695135999.999998,63856800,1170000,410.1
