Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,BAJFINANCE,2020-07-30,3209.9,3316.6,3209.85,3297.7,3311.0,3297.7,32130,26251758000.0,6346750,231000,3301.3
2020-07-16,BAJFINANCE,2020-07-30,3174.95,3222.0,3102.0,3210.0,3206.0,3210.0,36719,29048740999.999996,6115750,-224000,
2020-07-15,BAJFINANCE,2020-07-30,3234.85,3302.0,3127.1,3152.2,3172.0,3152.2,39454,31909531000.0,6339750,-26000,
2020-07-14,BAJFINANCE,2020-07-30,3209.65,3218.15,3123.0,3195.9,3193.95,3195.9,42507,33640049000.0,6365750,-520000,
2020-07-13,BAJFINANCE,2020-07-30,3335.9,3367.5,3216.0,3237.9,3246.55,3237.9,41613,34073821999.999996,6885750,-66000,
2020-07-10,BAJFINANCE,2020-07-30,3274.4,3384.4,3270.0,3301.55,3292.4,3301.55,52149,43307320000.0,6951750,240500,
2020-07-09,BAJFINANCE,2020-07-30,3214.3,3369.0,3184.8,3325.4,3332.0,3325.4,56545,46664072000.0,6711250,-119250,
2020-07-08,BAJFINANCE,2020-07-30,3342.0,3396.0,3165.0,3193.8,3183.05,3193.8,57741,47428658000.0,6830500,160750,
2020-07-07,BAJFINANCE,2020-07-30,3135.0,3419.75,3123.35,3342.2,3339.0,3342.2,83250,67750441000.0,6669750,422000,3351.95
2020-07-06,BAJFINANCE,2020-07-30,2960.0,3136.65,2959.1,3115.3,3126.25,3115.3,44452,33841734000.000004,6247750,129000,
2020-07-03,BAJFINANCE,2020-07-30,2967.55,2987.25,2915.7,2927.7,2929.0,2927.7,27499,20290773000.0,6118750,32750,2931.5
2020-07-02,BAJFINANCE,2020-07-30,2980.45,3014.0,2912.5,2957.4,2948.0,2957.4,37562,27898961000.0,6086000,85000,2964.25
2020-07-01,BAJFINANCE,2020-07-30,2832.75,2975.0,2802.45,2958.65,2957.0,2958.65,44231,32189823000.0,6001000,-248500,
2020-06-25,BAJFINANCE,2020-06-25,2866.15,3041.0,2850.55,3007.5,2986.15,3005.3,26007,19215715000.0,643500,-1597000,3005.35
2020-06-24,BAJFINANCE,2020-06-25,3112.8,3118.2,2896.5,2921.4,2935.0,2921.4,51144,38336631000.0,2240500,-1472500,2934.45
2020-06-23,BAJFINANCE,2020-06-25,2887.45,3078.9,2820.1,3012.4,3072.05,3012.4,54463,39784977000.0,3713000,-983500,
2020-06-22,BAJFINANCE,2020-06-25,2730.45,2858.95,2728.0,2831.9,2854.95,2831.9,53670,37743465000.0,4696500,-1571000,
2020-06-19,BAJFINANCE,2020-06-25,2561.3,2713.65,2554.6,2699.25,2694.1,2699.25,65731,43610217000.0,6267500,-11750,
2020-06-18,BAJFINANCE,2020-06-25,2375.35,2543.55,2375.35,2530.95,2533.0,2530.95,42974,26627214000.0,6279250,440500,
2020-06-17,BAJFINANCE,2020-06-25,2346.3,2429.0,2331.15,2396.75,2397.65,2396.75,32932,19689260000.0,5838750,-162500,
2020-06-16,BAJFINANCE,2020-06-25,2442.5,2452.4,2280.6,2366.75,2367.0,2366.75,44839,26674271999.999996,6001250,122750,
2020-06-15,BAJFINANCE,2020-06-25,2414.35,2430.15,2316.95,2339.45,2341.0,2339.45,39708,23450028000.0,5878500,127250,
