Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-14,BIOCON,EQ,393.25,394.5,402.3,391.5,394.85,395.1,397.38,5377067,213671230280000.0,60872,877537,0.1632
2020-08-13,BIOCON,EQ,396.6,399.0,401.1,391.7,394.5,393.25,395.65,4016926,158928866245000.0,53040,1125440,0.2802
2020-08-12,BIOCON,EQ,407.55,407.55,407.8,392.1,397.4,396.6,397.41,5536772,220038831280000.03,73936,1780120,0.3215
2020-08-11,BIOCON,EQ,412.45,415.0,417.0,406.3,407.5,407.55,411.32,5384759,221488335375000.0,60031,1516689,0.2817
2020-08-10,BIOCON,EQ,399.45,402.2,414.5,400.7,413.75,412.45,409.23,7028465,287627563150000.0,85747,1281208,0.18230000000000002
2020-08-07,BIOCON,EQ,407.45,409.0,411.85,396.05,400.0,399.45,401.45,5634992,226219305515000.0,71724,2135817,0.379
2020-08-06,BIOCON,EQ,408.2,410.95,413.95,405.95,407.8,407.45,409.26,3597943,147249763970000.0,50458,1261997,0.3508
2020-08-05,BIOCON,EQ,413.8,415.0,418.8,407.2,409.9,408.2,412.24,4342571,179019266180000.0,56192,1211283,0.27890000000000004
2020-08-04,BIOCON,EQ,411.9,414.45,416.65,404.0,413.9,413.8,412.57,4147575,171118290825000.0,57997,478513,0.11539999999999999
2020-08-03,BIOCON,EQ,409.6,411.8,416.75,407.7,411.9,411.9,412.66,5226709,215683266294999.97,63824,784741,0.1501
2020-07-31,BIOCON,EQ,403.45,408.0,412.8,400.8,410.45,409.6,408.09,7274624,296868099260000.0,82890,907604,0.12480000000000001
2020-07-30,BIOCON,EQ,395.8,396.0,404.9,395.1,403.5,403.45,400.88,6207478,248843110910000.0,72089,1293096,0.20829999999999999
2020-07-29,BIOCON,EQ,399.0,400.0,403.45,393.0,396.0,395.8,396.42,4788604,189829117130000.0,61711,1760289,0.3676
2020-07-28,BIOCON,EQ,399.6,401.0,407.5,396.5,399.8,399.0,401.13,4421520,177360038880000.0,57970,1000542,0.2263
2020-07-27,BIOCON,EQ,415.15,413.5,416.5,397.45,400.0,399.6,403.51,5594057,225725257644999.97,93329,1417423,0.2534
2020-07-24,BIOCON,EQ,430.3,428.0,435.6,413.55,414.4,415.15,422.87,10177556,430378023280000.0,114742,1778957,0.1748
2020-07-23,BIOCON,EQ,430.7,433.25,438.5,423.05,431.9,430.3,431.83,7095324,306399816860000.0,83071,1314230,0.1852
2020-07-22,BIOCON,EQ,426.3,428.0,441.0,425.7,432.0,430.7,434.39,9092887,394987255130000.0,109367,1561547,0.17170000000000002
2020-07-21,BIOCON,EQ,428.0,431.2,433.5,424.55,427.2,426.3,427.95,2774113,118717729145000.0,35411,645081,0.2325
2020-07-20,BIOCON,EQ,431.6,433.0,434.9,424.35,429.0,428.0,428.35,3442969,147479188625000.0,42987,995407,0.2891
2020-07-17,BIOCON,EQ,426.45,427.2,433.3,423.0,430.85,431.6,428.72,3695915,158452009925000.0,54481,896738,0.2426
2020-07-16,BIOCON,EQ,424.8,425.0,432.5,416.2,426.5,426.45,423.87,5033817,213369318390000.0,68281,553406,0.1099
2020-07-15,BIOCON,EQ,437.6,441.0,441.0,422.45,427.0,424.8,428.42,6557756,280947585660000.0,82479,994671,0.1517
2020-07-14,BIOCON,EQ,414.85,419.8,441.25,417.0,436.85,437.6,431.71,26086415,1126171390780000.0,288704,3657628,0.1402
2020-07-13,BIOCON,EQ,414.3,446.95,446.95,412.75,415.0,414.85,422.65,20181221,852949249575000.0,229508,3738559,0.1852
