Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-08-07,FEDERALBNK,2020-08-27,52.75,55.15,52.35,54.9,55.0,54.9,7133,3273899000.0,82093000,1963500,54.65
2020-08-06,FEDERALBNK,2020-08-27,52.7,53.55,51.7,52.75,52.65,52.75,9853,4415161000.0,80129500,20009000,52.45
2020-08-05,FEDERALBNK,2020-08-27,52.65,53.4,52.25,52.5,52.5,52.5,4750,2131085000.0,60120500,7760500,52.35
2020-08-04,FEDERALBNK,2020-08-27,52.95,53.35,52.2,52.5,52.45,52.5,2668,1193088000.0,52360000,2975000,52.3
2020-08-03,FEDERALBNK,2020-08-27,53.45,54.35,52.5,52.75,52.65,52.75,2634,1190904000.0,49385000,1666000,52.45
2020-07-30,FEDERALBNK,2020-07-30,56.05,56.25,53.8,54.1,54.05,54.15,2652,1241635000.0,1436500,-14518000,
2020-07-29,FEDERALBNK,2020-07-30,55.85,57.05,55.25,55.8,55.85,55.8,4379,2091848000.0,15954500,-14441500,55.8
2020-07-28,FEDERALBNK,2020-07-30,55.8,56.9,55.25,55.75,55.6,55.75,5027,2392851000.0,30396000,-17442000,
2020-07-27,FEDERALBNK,2020-07-30,57.3,57.4,54.95,55.95,55.9,55.95,3816,1821695000.0,47838000,-2720000,
2020-07-24,FEDERALBNK,2020-07-30,56.2,58.65,55.3,57.45,57.3,57.45,4886,2366991000.0,50558000,-1793500,
2020-07-23,FEDERALBNK,2020-07-30,57.2,57.75,56.3,57.05,56.75,57.05,4430,2150818000.0,52351500,-1929500,57.1
2020-07-22,FEDERALBNK,2020-07-30,54.4,57.3,53.2,56.85,56.95,56.85,6314,2974020000.0,54281000,1054000,
2020-07-21,FEDERALBNK,2020-07-30,54.2,54.75,53.8,54.6,54.65,54.6,2738,1264742000.0,53227000,-824500,
2020-07-20,FEDERALBNK,2020-07-30,52.7,54.35,52.35,53.9,53.9,53.9,4446,2021649000.0,54051500,-4411500,
2020-07-17,FEDERALBNK,2020-07-30,53.8,53.8,51.3,52.35,52.6,52.35,4669,2073703000.0,58463000,3986500,
