Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-14,GICRE,EQ,141.9,142.15,145.95,141.05,142.0,141.9,143.86,481406,6925504220000.0,5726,207369,0.4308
2020-08-13,GICRE,EQ,142.95,143.0,144.8,141.5,141.95,141.9,142.64,409224,5836982255000.0,5502,277652,0.6785
2020-08-12,GICRE,EQ,146.9,147.0,147.45,142.8,142.95,142.95,143.6,408062,5859929145000.0,6095,294109,0.7206999999999999
2020-08-11,GICRE,EQ,149.5,151.4,151.6,144.85,146.75,146.9,148.81,358376,5332999460000.0,5561,161050,0.4494
2020-08-10,GICRE,EQ,140.9,141.95,152.0,141.15,150.9,149.5,147.36,897333,13223203230000.0,9687,297103,0.3311
2020-08-07,GICRE,EQ,140.8,141.1,143.0,140.3,140.8,140.9,141.1,354959,5008488675000.0,4930,205100,0.5778
2020-08-06,GICRE,EQ,143.25,143.2,144.5,140.25,140.95,140.8,141.59,289573,4100184550000.0,5210,211852,0.7316
2020-08-05,GICRE,EQ,142.45,143.0,146.4,142.5,143.2,143.25,144.26,150931,2177399600000.0,2677,78404,0.5195000000000001
2020-08-04,GICRE,EQ,143.85,145.0,145.0,142.05,142.5,142.45,143.23,172682,2473327715000.0,4115,104585,0.6057
2020-08-03,GICRE,EQ,143.85,144.15,145.85,142.6,143.9,143.85,144.03,154284,2222175795000.0,3205,72136,0.4676
2020-07-31,GICRE,EQ,144.95,145.0,145.9,143.05,143.65,143.85,143.87,139427,2005906385000.0,2911,80835,0.5798
2020-07-30,GICRE,EQ,147.25,148.9,149.5,144.0,145.0,144.95,146.19,285286,4170694950000.0,6462,185019,0.6485
2020-07-29,GICRE,EQ,146.8,148.0,149.0,146.8,147.5,147.25,147.82,228101,3371852240000.0,4080,149103,0.6537000000000001
2020-07-28,GICRE,EQ,148.85,149.0,150.15,146.5,146.8,146.8,147.79,230170,3401764010000.0,4096,152407,0.6620999999999999
2020-07-27,GICRE,EQ,153.5,153.8,154.8,148.5,148.8,148.85,150.87,293295,4424863930000.0,5004,132168,0.4506000000000001
