Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,HDFC,2020-07-30,1797.65,1822.0,1788.15,1812.75,1819.95,1812.75,12716,6903012000.0,28530300,-9900,1805.85
2020-07-16,HDFC,2020-07-30,1792.0,1798.95,1753.6,1790.3,1789.2,1790.3,12914,6880172000.0,28540200,78600,
2020-07-15,HDFC,2020-07-30,1809.7,1827.0,1787.45,1796.25,1803.1,1796.25,13297,7213658000.0,28461600,-493800,
2020-07-14,HDFC,2020-07-30,1827.25,1829.9,1777.05,1798.2,1800.5,1798.2,14603,7877246000.000001,28955400,-59100,
2020-07-13,HDFC,2020-07-30,1905.4,1907.95,1846.05,1853.0,1859.9,1853.0,10526,5894200000.0,29014500,124800,
2020-07-10,HDFC,2020-07-30,1925.15,1937.8,1878.9,1889.35,1889.0,1889.35,13605,7767203999.999999,28889700,-73800,
2020-07-09,HDFC,2020-07-30,1867.55,1953.0,1862.2,1946.35,1952.6,1946.35,21111,12203962000.0,28963500,-307800,
2020-07-08,HDFC,2020-07-30,1871.05,1888.45,1857.2,1867.75,1858.1,1867.75,10013,5634697000.0,29271300,-139200,
2020-07-07,HDFC,2020-07-30,1857.6,1870.7,1837.2,1865.85,1862.9,1865.85,13630,7600594000.0,29410500,-384600,1886.75
2020-07-06,HDFC,2020-07-30,1883.65,1892.45,1851.1,1854.75,1857.1,1854.75,12689,7129498000.0,29795100,-1500,
2020-07-03,HDFC,2020-07-30,1883.05,1887.9,1846.35,1863.2,1861.85,1863.2,11995,6700417999.999999,29796600,-358200,1885.2
2020-07-02,HDFC,2020-07-30,1828.45,1881.45,1821.0,1868.7,1871.75,1868.7,18805,10469390000.0,30154800,-662400,1889.45
2020-07-01,HDFC,2020-07-30,1741.5,1823.9,1740.55,1817.25,1817.45,1817.25,18855,10151748000.0,30817200,-249900,
2020-06-25,HDFC,2020-06-25,1780.0,1813.35,1760.8,1782.35,1775.0,1777.95,19436,8711905000.0,257000,-2571750,1777.8
2020-06-24,HDFC,2020-06-25,1829.2,1873.95,1793.45,1802.2,1800.7,1802.2,40505,18688572000.0,2828750,-6215500,1797.75
2020-06-23,HDFC,2020-06-25,1822.5,1849.0,1801.6,1842.95,1847.9,1842.95,37198,16929901000.0,9044250,-5286250,
2020-06-22,HDFC,2020-06-25,1847.4,1874.2,1809.6,1816.25,1817.95,1816.25,38449,17647369000.0,14330500,-4561750,
2020-06-19,HDFC,2020-06-25,1849.2,1865.0,1814.25,1836.65,1844.0,1836.65,43321,19893680000.0,18892250,-3550000,
