Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,IBULHSGFIN,2020-08-27,222.45,226.5,215.9,220.7,219.1,220.7,266,182121000.0,1181100,108500,222.2
2020-07-16,IBULHSGFIN,2020-08-27,213.9,219.6,208.95,217.5,218.15,217.5,209,138818000.0,1072600,74400,
2020-07-15,IBULHSGFIN,2020-08-27,224.6,225.8,211.0,212.8,212.6,212.8,204,138199000.0,998200,127100,
2020-07-14,IBULHSGFIN,2020-08-27,230.95,232.9,217.95,220.75,219.8,220.75,238,164444000.0,871100,-65100,
2020-07-13,IBULHSGFIN,2020-08-27,238.3,247.9,234.55,236.55,236.1,236.55,195,145980000.0,936200,68200,
2020-07-10,IBULHSGFIN,2020-08-27,223.3,233.3,223.3,233.3,233.3,233.3,5,3585000.0,868000,-15500,
2020-07-09,IBULHSGFIN,2020-08-27,0.0,0.0,0.0,223.7,223.3,230.55,0,0.0,883500,0,
2020-07-08,IBULHSGFIN,2020-08-27,223.95,223.95,223.3,223.7,223.3,223.7,6,4161000.0,883500,-18600,
2020-07-07,IBULHSGFIN,2020-08-27,227.75,227.75,227.75,227.75,227.75,232.85,1,706000.0,902100,-3100,231.45
2020-07-06,IBULHSGFIN,2020-08-27,225.0,236.65,225.0,226.85,225.15,226.85,13,9242000.0,905200,-37200,
2020-07-03,IBULHSGFIN,2020-08-27,220.5,231.6,211.15,228.65,225.0,228.65,403,279069000.0,942400,403000,231.05
2020-07-02,IBULHSGFIN,2020-08-27,223.75,227.7,218.9,221.45,222.5,221.45,114,78726000.0,539400,3100,225.3
2020-07-01,IBULHSGFIN,2020-08-27,203.5,225.9,200.25,214.7,216.35,214.7,280,188257000.0,536300,68200,
2020-06-30,IBULHSGFIN,2020-07-30,221.1,221.85,202.95,206.05,207.0,206.05,6082,3956698000.0000005,11727300,1267900,
2020-06-29,IBULHSGFIN,2020-07-30,220.6,226.5,206.85,215.25,215.4,215.25,6490,4316094000.0,10459400,-511500,216.65
2020-06-26,IBULHSGFIN,2020-07-30,230.95,237.35,215.1,225.95,226.0,225.95,9815,6882467000.0,10970900,-892800,227.65
2020-06-25,IBULHSGFIN,2020-07-30,200.5,237.55,195.4,226.3,226.25,226.3,10772,7451906000.0,11863700,3450300,227.3
2020-06-24,IBULHSGFIN,2020-07-30,238.25,241.9,196.7,205.9,206.85,205.9,4861,3365408999.9999995,8413400,1816600,208.1
2020-06-23,IBULHSGFIN,2020-07-30,245.2,257.7,229.6,236.3,236.45,236.3,4477,3303979000.0,6596800,2724900,
2020-06-22,IBULHSGFIN,2020-07-30,201.9,248.95,201.9,238.4,239.6,238.4,3797,2772808000.0,3871900,1512800,
2020-06-19,IBULHSGFIN,2020-07-30,154.8,204.4,154.1,198.95,200.0,198.95,1918,1050781000.0,2359100,709900,
2020-06-18,IBULHSGFIN,2020-07-30,147.75,154.2,147.75,152.55,152.15,152.55,457,215336000.0,1649200,266600,
2020-06-17,IBULHSGFIN,2020-07-30,145.0,153.3,144.7,148.2,148.35,148.2,303,141142000.0,1382600,86800,
2020-06-16,IBULHSGFIN,2020-07-30,155.25,155.25,141.05,147.2,146.4,147.2,607,281894000.0,1295800,102300,
2020-06-15,IBULHSGFIN,2020-07-30,150.85,155.0,145.0,148.1,147.5,148.1,387,179572000.0,1193500,179800,
2020-06-12,IBULHSGFIN,2020-07-30,140.05,151.5,138.4,149.6,148.7,149.6,205,91571000.0,1013700,9300,
2020-06-11,IBULHSGFIN,2020-07-30,155.2,159.75,147.0,148.35,148.0,148.35,262,123870000.0,1004400,52700,
2020-06-10,IBULHSGFIN,2020-07-30,140.4,159.0,140.4,157.9,158.1,157.9,299,138701000.0,951700,130200,
2020-06-09,IBULHSGFIN,2020-07-30,148.7,150.7,136.0,139.2,137.9,139.2,289,129718000.0,821500,62000,
2020-06-08,IBULHSGFIN,2020-07-30,129.2,150.8,127.0,145.35,145.9,145.35,347,147311000.0,759500,49600,
2020-06-05,IBULHSGFIN,2020-07-30,125.15,126.5,121.85,125.7,125.7,125.7,139,53629000.0,709900,15500,
2020-06-04,IBULHSGFIN,2020-07-30,125.5,128.55,120.05,121.95,122.5,121.95,96,36994000.0,694400,65100,127.75
2020-06-03,IBULHSGFIN,2020-07-30,123.55,131.0,121.8,122.25,121.8,122.25,234,92001000.0,629300,117800,
2020-06-02,IBULHSGFIN,2020-07-30,124.1,125.85,119.55,122.1,122.1,122.1,73,27592000.0,511500,96100,126.8
2020-06-01,IBULHSGFIN,2020-07-30,120.0,126.1,120.0,123.35,122.5,123.35,219,83961000.0,415400,220100,127.95
2020-05-29,IBULHSGFIN,2020-06-25,114.45,119.2,112.6,117.45,116.95,117.45,4873,682506000.0,14116800,110400,122.15
2020-05-28,IBULHSGFIN,2020-06-25,117.85,121.9,116.1,117.8,117.1,117.8,7342,1049507000.0,14006400,764400,120.8
2020-05-27,IBULHSGFIN,2020-06-25,109.85,119.3,109.6,117.15,117.9,117.15,12164,1683877000.0,13242000,4980000,121.8
2020-05-26,IBULHSGFIN,2020-06-25,112.45,113.45,106.5,108.95,109.2,108.95,7891,1038074000.0,8262000,5617200,115.2
2020-05-22,IBULHSGFIN,2020-06-25,114.35,118.9,106.0,109.05,109.6,109.05,2254,300181000.0,2644800,1082400,115.65
2020-05-21,IBULHSGFIN,2020-06-25,119.9,121.8,114.85,116.35,116.45,116.35,1104,157161000.0,1562400,58800,121.8
2020-05-20,IBULHSGFIN,2020-06-25,115.4,121.25,114.6,120.05,120.0,120.05,1311,185728000.0,1503600,139200,124.25
2020-05-19,IBULHSGFIN,2020-06-25,114.65,118.7,109.35,114.15,114.65,114.15,1183,163263000.0,1364400,105600,120.4
2020-05-18,IBULHSGFIN,2020-06-25,124.0,125.45,108.8,109.55,110.45,109.55,830,112990000.00000001,1258800,229200,118.95
2020-05-15,IBULHSGFIN,2020-06-25,127.0,129.75,122.6,128.0,127.0,128.0,401,60691000.0,1029600,2400,133.45
2020-05-14,IBULHSGFIN,2020-06-25,129.2,139.6,123.15,125.65,125.0,125.65,864,135811000.0,1027200,258000,131.4
2020-05-13,IBULHSGFIN,2020-06-25,121.95,133.35,119.1,131.4,131.0,131.4,648,99089000.0,769200,-1200,136.6
2020-05-12,IBULHSGFIN,2020-06-25,109.95,114.0,103.5,112.75,112.9,112.75,550,71425000.0,770400,44400,119.0
2020-05-11,IBULHSGFIN,2020-06-25,117.0,118.85,113.0,114.4,113.9,114.4,345,47752000.0,726000,104400,122.5
2020-05-08,IBULHSGFIN,2020-06-25,122.3,125.8,113.1,114.65,115.3,114.65,327,47118000.0,621600,82800,123.25
2020-05-07,IBULHSGFIN,2020-06-25,119.8,125.0,117.15,118.1,118.65,118.1,147,21301000.0,538800,25200,125.2
2020-05-06,IBULHSGFIN,2020-06-25,112.75,120.0,109.05,117.95,120.0,117.95,423,57974000.0,513600,87600,123.55
2020-05-05,IBULHSGFIN,2020-06-25,120.55,121.25,109.5,109.95,109.9,109.95,459,62483000.00000001,426000,139200,118.9
