Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2020-08-14,ICICIPRULI,EQ,470.7,468.8,471.5,455.5,456.25,458.95,462.32,1793998,82940991365000.0,38177,794441,0.4428
2020-08-13,ICICIPRULI,EQ,477.45,480.0,481.0,468.8,469.3,470.7,474.6,1788405,84878128505000.0,19019,1144898,0.6402
2020-08-12,ICICIPRULI,EQ,477.2,473.95,482.45,470.1,480.0,477.45,477.42,2551006,121790107905000.0,16858,1918881,0.7522
2020-08-11,ICICIPRULI,EQ,482.25,485.0,487.0,475.05,477.75,477.2,481.31,1498774,72137114480000.0,24122,736556,0.4914
2020-08-10,ICICIPRULI,EQ,470.4,473.0,486.15,470.6,482.5,482.25,478.49,2132929,102057755200000.0,45496,1062497,0.49810000000000004
2020-08-07,ICICIPRULI,EQ,471.6,474.0,476.6,462.4,471.25,470.4,469.71,2461030,115597531509999.98,36999,1048559,0.4261
2020-08-06,ICICIPRULI,EQ,461.7,461.7,475.0,461.7,472.85,471.6,469.83,2910502,136742759455000.0,49042,1228966,0.42229999999999995
2020-08-05,ICICIPRULI,EQ,453.95,455.0,464.4,454.25,459.65,461.7,460.54,2112026,97266708210000.0,40505,1087469,0.5149
2020-08-04,ICICIPRULI,EQ,438.9,440.0,456.2,438.3,453.0,453.95,449.39,2316514,104101169630000.0,39047,1100663,0.47509999999999997
2020-08-03,ICICIPRULI,EQ,452.25,450.0,453.55,436.85,439.15,438.9,445.3,2153510,95894773115000.0,33093,961150,0.44630000000000003
2020-07-31,ICICIPRULI,EQ,452.9,454.3,460.65,449.6,451.95,452.25,453.98,2209106,100288566705000.0,55165,816306,0.36950000000000005
2020-07-30,ICICIPRULI,EQ,449.25,453.05,455.15,445.0,454.4,452.9,451.13,2280249,102869618450000.0,55193,1000803,0.4389
2020-07-29,ICICIPRULI,EQ,452.05,450.25,453.45,445.0,451.0,449.25,448.25,1755877,78706536450000.0,47812,753723,0.4293
2020-07-28,ICICIPRULI,EQ,457.75,459.45,463.9,449.1,451.45,452.05,455.54,2637278,120138833940000.02,56019,658450,0.2497
2020-07-27,ICICIPRULI,EQ,440.0,440.1,461.0,434.45,458.3,457.75,449.5,3352089,150676777840000.0,54538,921606,0.2749
2020-07-24,ICICIPRULI,EQ,450.8,447.7,450.0,436.1,439.3,440.0,440.93,2303790,101581394375000.0,33491,1260171,0.547
2020-07-23,ICICIPRULI,EQ,442.2,443.65,452.65,443.0,450.65,450.8,448.79,4113950,184629212775000.0,67065,2071690,0.5036
2020-07-22,ICICIPRULI,EQ,442.9,447.0,447.95,435.4,442.3,442.2,441.6,3571270,157707127830000.0,76553,1651187,0.46240000000000003
2020-07-21,ICICIPRULI,EQ,436.3,441.5,446.25,423.6,445.0,442.9,438.92,5693601,249904624440000.0,77085,1433805,0.2518
2020-07-20,ICICIPRULI,EQ,440.35,444.4,450.0,434.15,436.75,436.3,439.62,2819864,123965791390000.02,42797,857304,0.304
2020-07-17,ICICIPRULI,EQ,430.25,435.0,443.8,429.35,440.85,440.35,437.46,3039454,132965470270000.0,55109,886883,0.2918
2020-07-16,ICICIPRULI,EQ,420.9,423.9,431.95,418.75,430.4,430.25,426.29,1134692,48371137420000.0,19952,333451,0.2939
2020-07-15,ICICIPRULI,EQ,422.05,425.85,432.4,419.1,422.8,420.9,426.33,1869516,79702553230000.0,40227,671512,0.3592
2020-07-14,ICICIPRULI,EQ,423.75,427.0,436.9,419.35,421.85,422.05,427.7,3868335,165450620295000.0,76963,1211740,0.31320000000000003
2020-07-13,ICICIPRULI,EQ,417.45,420.0,425.25,419.0,424.5,423.75,422.09,1572733,66383297979999.99,24419,531646,0.33799999999999997
2020-07-10,ICICIPRULI,EQ,433.25,425.0,432.7,415.8,416.6,417.45,420.46,3885699,163376691030000.0,76462,1688161,0.43450000000000005
2020-07-09,ICICIPRULI,EQ,427.5,427.5,435.5,427.0,434.4,433.25,432.07,1068182,46153192400000.0,20608,565703,0.5296000000000001
2020-07-08,ICICIPRULI,EQ,433.65,436.0,439.0,425.05,427.8,427.5,432.95,1113679,48217070805000.0,22853,400790,0.35990000000000005
