Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-08-07,IDEA,2020-08-27,7.85,9.0,7.6,8.9,8.85,8.9,3671,4389616000.0,402500000,95480000,8.85
2020-08-06,IDEA,2020-08-27,8.3,8.55,8.15,8.3,8.35,8.3,803,935732000.0,307020000,2100000,8.25
2020-08-05,IDEA,2020-08-27,8.65,8.8,8.15,8.35,8.3,8.35,1080,1278382000.0,304920000,-15120000,8.3
2020-08-04,IDEA,2020-08-27,8.75,9.0,8.55,8.7,8.6,8.7,1452,1783509000.0,320040000,31920000,8.65
2020-08-03,IDEA,2020-08-27,8.35,8.9,8.1,8.8,8.75,8.8,1878,2276043000.0,288120000,79520000,8.7
2020-07-30,IDEA,2020-07-30,8.35,8.4,7.9,8.0,8.2,8.0,971,1103963000.0,135800000,-73640000,
2020-07-29,IDEA,2020-07-30,7.95,8.6,7.85,8.4,8.35,8.4,112,130067000.0,209440000,-15680000,8.25
2020-07-28,IDEA,2020-07-30,8.0,8.1,7.8,8.05,8.05,8.05,50,55538000.0,225120000,-7000000,
2020-07-27,IDEA,2020-07-30,8.2,8.25,8.0,8.15,8.2,8.15,89,101318000.0,232120000,-11480000,
2020-07-24,IDEA,2020-07-30,8.55,8.55,8.25,8.5,8.5,8.5,18,21238000.0,243600000,-2520000,
2020-07-23,IDEA,2020-07-30,8.7,8.85,8.55,8.6,8.6,8.6,29,35112000.0,246120000,-4060000,8.6
2020-07-22,IDEA,2020-07-30,8.5,9.05,8.4,8.55,8.6,8.55,2371,2876454000.0,250180000,-35140000,
2020-07-21,IDEA,2020-07-30,8.55,8.9,8.25,8.35,8.35,8.35,32,37765000.0,285320000,-3360000,
2020-07-20,IDEA,2020-07-30,9.55,9.6,8.65,9.05,8.95,9.05,97,126623000.0,288680000,-13160000,
2020-07-17,IDEA,2020-07-30,7.8,9.0,7.8,8.85,8.95,8.85,48,57217999.99999999,301840000,-6580000,
2020-07-16,IDEA,2020-07-30,8.2,8.3,7.1,7.9,7.85,7.9,233,248206000.0,308420000,-31500000,
2020-07-15,IDEA,2020-07-30,9.2,9.25,8.5,8.65,8.75,8.65,147,181671000.0,339920000,-19600000,
2020-07-14,IDEA,2020-07-30,9.6,9.75,9.3,9.4,9.35,9.4,66,87983000.0,359520000,-9240000,
2020-07-13,IDEA,2020-07-30,10.05,10.1,9.5,9.85,9.85,9.85,245,334516000.0,368760000,-33880000,
2020-07-10,IDEA,2020-07-30,9.2,9.9,8.8,9.85,9.9,9.85,4236,5589766000.0,402640000,78540000,
2020-07-09,IDEA,2020-07-30,9.25,9.55,9.0,9.4,9.35,9.4,1258,1645812000.0,324100000,10500000,
2020-07-08,IDEA,2020-07-30,9.6,9.95,9.15,9.3,9.25,9.3,1735,2323818000.0,313600000,-4060000,
2020-07-07,IDEA,2020-07-30,9.7,9.75,9.5,9.55,9.55,9.55,47,63140000.0,317660000,-6580000,9.55
2020-07-06,IDEA,2020-07-30,9.95,10.1,9.7,9.8,9.8,9.8,163,224259000.0,324240000,-22820000,
2020-07-03,IDEA,2020-07-30,9.95,10.25,9.95,10.1,10.1,10.05,29,41230000.0,347060000,-4060000,10.0
2020-07-02,IDEA,2020-07-30,10.3,10.4,9.8,10.1,10.2,10.1,81,114373000.0,351120000,-10920000,10.05
2020-07-01,IDEA,2020-07-30,10.25,10.7,10.05,10.2,10.1,10.2,287,412881000.00000006,362040000,-38920000,
