Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,INDIGO,2020-07-30,997.1,1011.85,984.55,993.8,994.35,993.8,3271,1627545000.0,2571000,5000,991.25
2020-07-16,INDIGO,2020-07-30,961.6,1004.0,949.1,991.55,989.95,991.55,6284,3099511000.0,2566000,-251500,
2020-07-15,INDIGO,2020-07-30,958.25,980.8,951.45,955.15,959.0,955.15,2943,1424585000.0,2817500,-54500,
2020-07-14,INDIGO,2020-07-30,990.0,1007.9,941.4,955.2,954.5,955.2,6293,3021550000.0,2872000,198500,
2020-07-13,INDIGO,2020-07-30,1024.35,1030.0,1006.65,1015.15,1015.85,1015.15,1808,918258000.0,2673500,-26500,
2020-07-10,INDIGO,2020-07-30,1007.05,1028.9,1001.85,1017.5,1015.55,1017.5,2544,1294195000.0,2700000,15500,
2020-07-09,INDIGO,2020-07-30,1045.25,1077.45,1012.6,1022.25,1022.85,1022.25,4554,2373805000.0,2684500,-61500,
2020-07-08,INDIGO,2020-07-30,1035.7,1071.0,1028.3,1041.75,1037.9,1041.75,3610,1892614000.0,2746000,67500,
2020-07-07,INDIGO,2020-07-30,1032.1,1043.85,1020.05,1037.4,1036.65,1037.4,2836,1465421000.0,2678500,-28000,1034.35
2020-07-06,INDIGO,2020-07-30,1006.1,1036.1,1002.1,1030.4,1029.75,1030.4,4085,2088998000.0,2706500,85500,
2020-07-03,INDIGO,2020-07-30,1008.45,1021.0,1001.45,1014.4,1011.05,1014.4,2443,1236617000.0,2621000,-62000,1012.15
2020-07-02,INDIGO,2020-07-30,1003.25,1019.0,994.55,1004.8,1004.65,1004.8,1810,908657000.0,2683000,43000,1001.85
2020-07-01,INDIGO,2020-07-30,987.7,1006.5,981.1,997.65,998.85,997.65,2122,1057394000.0,2640000,-4500,
