Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,INDIGO,2020-08-27,987.95,1005.15,982.05,990.5,991.95,990.5,147,72855000.0,191000,13500,991.25
2020-07-16,INDIGO,2020-08-27,952.1,999.35,951.0,989.35,985.2,989.35,293,144085000.0,177500,2000,
2020-07-15,INDIGO,2020-08-27,960.8,979.0,951.0,954.5,958.9,954.5,222,107104000.0,175500,14000,
2020-07-14,INDIGO,2020-08-27,996.4,996.8,943.4,954.9,952.55,954.9,311,149254000.0,161500,38500,
2020-07-13,INDIGO,2020-08-27,1027.95,1027.95,1008.2,1013.3,1012.5,1013.3,99,50225000.0,123000,4500,
2020-07-10,INDIGO,2020-08-27,1007.0,1024.05,1005.0,1015.4,1014.35,1015.4,84,42598000.0,118500,9500,
2020-07-09,INDIGO,2020-08-27,1047.65,1067.9,1009.2,1020.65,1021.6,1020.65,145,75441000.0,109000,3000,
2020-07-08,INDIGO,2020-08-27,1031.0,1059.1,1020.0,1031.45,1030.45,1031.45,142,73559000.0,106000,-6500,
2020-07-07,INDIGO,2020-08-27,1020.6,1034.0,1013.2,1028.65,1028.0,1028.65,123,63021000.0,112500,17000,1034.35
2020-07-06,INDIGO,2020-08-27,1000.0,1026.9,999.35,1022.85,1022.95,1022.85,136,69127000.0,95500,19500,
2020-07-03,INDIGO,2020-08-27,1007.45,1011.15,997.0,1007.0,1004.05,1007.0,95,47712000.0,76000,-9000,1012.15
2020-07-02,INDIGO,2020-08-27,999.75,1010.0,989.65,998.4,999.5,998.4,59,29435000.000000004,85000,5000,1001.85
2020-07-01,INDIGO,2020-08-27,984.0,998.1,979.85,989.9,991.6,989.9,80,39582000.0,80000,11500,
2020-06-30,INDIGO,2020-07-30,1021.65,1030.45,978.25,988.15,990.5,988.15,3732,1869841000.0,2644500,72000,
2020-06-29,INDIGO,2020-07-30,1020.0,1030.95,995.7,1008.55,1008.7,1008.55,3790,1914609000.0,2572500,-21500,1009.1
2020-06-26,INDIGO,2020-07-30,1049.0,1059.5,1019.65,1028.4,1027.0,1028.4,4872,2525591000.0,2594000,189500,1028.55
2020-06-25,INDIGO,2020-07-30,1044.3,1062.4,1031.0,1044.4,1044.95,1044.4,4412,2311504000.0,2404500,570500,1044.95
2020-06-24,INDIGO,2020-07-30,1066.0,1105.0,1051.0,1058.95,1060.1,1058.95,4679,2516222000.0,1834000,613500,1062.5
2020-06-23,INDIGO,2020-07-30,1043.45,1075.75,1032.85,1069.7,1066.0,1069.7,3143,1656488000.0,1220500,550500,
2020-06-22,INDIGO,2020-07-30,1029.65,1070.05,1024.5,1047.05,1040.0,1047.05,2120,1114097000.0,670000,469000,
2020-06-19,INDIGO,2020-07-30,1015.75,1039.0,1012.55,1019.65,1021.45,1019.65,472,242458000.0,201000,54500,
2020-06-18,INDIGO,2020-07-30,1000.0,1020.55,991.0,1015.75,1014.8,1015.75,336,168791000.0,146500,20500,
2020-06-17,INDIGO,2020-07-30,990.0,1010.0,989.15,1000.15,1000.25,1000.15,159,79611000.0,126000,6000,
2020-06-16,INDIGO,2020-07-30,1015.7,1019.0,979.05,996.5,996.4,996.5,256,127911999.99999999,120000,3000,
2020-06-15,INDIGO,2020-07-30,1009.45,1027.7,980.0,983.5,982.4,983.5,226,113173000.0,117000,0,
2020-06-12,INDIGO,2020-07-30,938.7,1004.0,938.7,997.1,999.95,997.1,353,174127000.0,117000,11500,
2020-06-11,INDIGO,2020-07-30,1043.35,1053.5,980.1,998.2,1001.95,998.2,329,166676000.0,105500,21500,
2020-06-10,INDIGO,2020-07-30,1048.0,1054.45,1006.45,1028.9,1024.4,1028.9,288,147264000.0,84000,10500,
2020-06-09,INDIGO,2020-07-30,1118.3,1118.3,1061.15,1071.0,1066.45,1071.0,121,65933000.00000001,73500,1500,
2020-06-08,INDIGO,2020-07-30,1175.5,1176.3,1103.0,1108.55,1109.5,1108.55,192,109272000.0,72000,-7000,
2020-06-05,INDIGO,2020-07-30,1109.0,1172.95,1095.4,1159.3,1156.65,1159.3,222,125831000.0,79000,16500,
2020-06-04,INDIGO,2020-07-30,1020.0,1098.95,1020.0,1092.05,1090.8,1092.05,185,98617000.0,62500,11000,1116.05
2020-06-03,INDIGO,2020-07-30,941.0,1046.9,940.0,1009.75,1014.45,1009.75,284,143198000.0,51500,2000,
2020-06-02,INDIGO,2020-07-30,954.1,954.1,920.3,941.95,944.0,941.95,83,39164000.0,49500,5500,945.55
2020-06-01,INDIGO,2020-07-30,961.3,969.95,936.2,941.0,940.0,941.0,97,46220000.0,44000,4000,953.55
2020-05-29,INDIGO,2020-06-25,946.2,975.45,936.85,961.6,964.6,961.6,6266,1804953000.0,2744100,-95400,965.5
2020-05-28,INDIGO,2020-06-25,947.35,978.4,938.95,968.85,964.6,968.85,7975,2309097000.0,2839500,471600,977.7
2020-05-27,INDIGO,2020-06-25,920.55,953.35,907.05,946.1,946.0,946.1,7837,2206741000.0,2367900,801900,953.9
2020-05-26,INDIGO,2020-06-25,967.3,971.85,920.35,929.45,930.0,929.45,7609,2135405000.0,1566000,619200,942.0
2020-05-22,INDIGO,2020-06-25,966.0,987.6,938.8,953.4,959.0,953.4,3589,1027443000.0,946800,447000,974.25
2020-05-21,INDIGO,2020-06-25,977.3,999.9,932.5,956.45,960.0,956.45,4178,1206775000.0,499800,228900,978.8
2020-05-20,INDIGO,2020-06-25,880.0,896.35,865.0,890.55,888.0,890.55,969,256342999.99999997,270900,60300,911.9
2020-05-19,INDIGO,2020-06-25,873.7,900.0,852.7,869.95,872.5,869.95,1149,300754000.0,210600,20400,919.95
2020-05-18,INDIGO,2020-06-25,920.0,926.25,824.75,865.0,856.8,865.0,1397,361773000.0,190200,59700,912.25
2020-05-15,INDIGO,2020-06-25,944.55,980.0,920.45,970.25,968.0,970.25,496,141562000.0,130500,11400,984.0
2020-05-14,INDIGO,2020-06-25,958.05,973.0,943.85,950.8,949.0,950.8,315,90212000.0,119100,30900,971.75
2020-05-13,INDIGO,2020-06-25,1030.0,1036.45,979.4,990.65,990.7,990.65,194,58133000.00000001,88200,9900,1004.4
2020-05-12,INDIGO,2020-06-25,955.05,1001.45,943.0,994.15,1001.45,994.15,429,125628000.0,78300,19800,1008.6
2020-05-11,INDIGO,2020-06-25,925.0,971.05,925.0,947.1,951.9,947.1,184,52540000.0,58500,10500,960.2
2020-05-08,INDIGO,2020-06-25,901.45,922.4,901.45,909.55,906.9,909.55,74,20254000.0,48000,1500,928.05
2020-05-07,INDIGO,2020-06-25,900.55,902.1,894.7,896.55,897.0,896.55,59,15888999.999999998,46500,900,914.55
2020-05-06,INDIGO,2020-06-25,893.95,920.0,892.8,909.9,920.0,909.9,85,23066000.0,45600,-2700,937.05
2020-05-05,INDIGO,2020-06-25,904.7,938.0,881.0,910.15,913.3,910.15,186,51148000.0,48300,3900,950.3
2020-05-04,INDIGO,2020-06-25,935.0,940.0,894.0,905.1,901.9,905.1,133,36540000.0,44400,4800,928.0
2020-04-30,INDIGO,2020-05-28,934.95,1036.7,930.0,996.55,996.65,996.55,12366,3702519000.0,2632200,356100,
2020-04-29,INDIGO,2020-05-28,906.7,928.95,905.75,921.65,922.25,921.65,6287,1738828000.0,2276100,544500,921.3
2020-04-28,INDIGO,2020-05-28,865.0,916.0,864.8,905.8,914.0,905.8,5817,1564914000.0,1731600,641700,908.3
2020-04-27,INDIGO,2020-05-28,890.25,910.0,854.1,864.0,864.55,864.0,4392,1139538000.0,1089900,411000,871.1
2020-04-24,INDIGO,2020-05-28,915.0,926.4,861.3,874.2,872.75,874.2,2169,577406000.0,678900,322500,891.75
2020-04-23,INDIGO,2020-05-28,947.1,949.95,917.0,921.95,924.0,921.95,773,215778000.00000003,356400,60900,932.2
2020-04-22,INDIGO,2020-05-28,996.35,996.35,944.9,952.9,957.9,952.9,510,147190000.0,295500,39600,959.7
2020-04-21,INDIGO,2020-05-28,955.55,1000.0,948.8,993.85,994.45,993.85,491,143836000.0,255900,26700,1010.65
2020-04-20,INDIGO,2020-05-28,1015.05,1019.5,972.0,979.9,981.0,979.9,724,215517000.0,229200,75300,1004.15
2020-04-17,INDIGO,2020-05-28,1027.95,1071.0,1006.0,1053.15,1045.95,1053.15,576,178944000.0,153900,48300,1068.3
2020-04-16,INDIGO,2020-05-28,983.0,1008.05,973.7,999.95,1003.8,999.95,198,59009000.0,105600,22800,1010.0
2020-04-15,INDIGO,2020-05-28,1021.35,1022.75,980.0,991.7,991.0,991.7,265,79256000.0,82800,21600,1007.55
2020-04-13,INDIGO,2020-05-28,970.0,1065.6,965.35,1042.3,1036.8,1042.3,178,54235000.0,61200,1800,1068.4
2020-04-09,INDIGO,2020-05-28,972.95,1011.35,968.0,1006.7,1000.0,1006.7,205,61438000.0,59400,21900,1041.95
2020-04-08,INDIGO,2020-05-28,958.0,1053.0,935.0,970.05,970.05,996.5,154,46095000.0,37500,3000,990.15
