Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,ITC,2020-07-30,193.9,195.65,193.6,194.85,195.0,194.85,4907,3058474000.0,81372800,-3475200,194.05
2020-07-16,ITC,2020-07-30,198.75,199.35,192.2,193.95,193.7,193.95,7339,4550402000.0,84848000,2803200,
2020-07-15,ITC,2020-07-30,196.5,199.9,194.8,198.7,199.35,198.7,7751,4903538000.0,82044800,-3609600,
2020-07-14,ITC,2020-07-30,197.6,199.75,193.1,196.3,196.4,196.3,5653,3558204000.0,85654400,-851200,
2020-07-13,ITC,2020-07-30,195.25,199.0,195.25,197.8,197.9,197.8,6081,3841600000.0,86505600,-1219200,
2020-07-10,ITC,2020-07-30,195.35,196.8,194.3,194.75,194.85,194.75,5131,3204751000.0,87724800,1788800,
2020-07-09,ITC,2020-07-30,197.55,197.6,194.75,196.35,196.9,196.35,4679,2931127000.0,85936000,633600,
2020-07-08,ITC,2020-07-30,194.65,198.9,194.6,196.75,196.6,196.75,5984,3778301999.9999995,85302400,-1811200,
2020-07-07,ITC,2020-07-30,200.75,201.1,194.6,195.0,195.05,195.0,7487,4696313000.0,87113600,2816000,194.25
2020-07-06,ITC,2020-07-30,200.3,201.8,199.2,200.6,201.15,200.35,9375,6011076000.0,84297600,524800,
2020-07-03,ITC,2020-07-30,207.9,208.5,205.8,207.3,206.65,207.3,9165,6079029000.0,83772800,-2956800,207.55
2020-07-02,ITC,2020-07-30,204.0,207.15,202.65,206.35,207.0,206.35,10042,6584467999.999999,86729600,-476800,205.85
2020-07-01,ITC,2020-07-30,194.55,203.8,194.55,203.1,203.7,203.1,11437,7325142000.0,87206400,-2041600,
2020-06-25,ITC,2020-06-25,192.25,203.8,191.7,202.3,203.2,202.1,13025,6189891000.0,11407200,-10934400,202.1
2020-06-24,ITC,2020-06-25,187.6,195.15,185.8,192.15,192.55,192.15,17152,7930338000.0,22341600,-12067200,191.85
2020-06-23,ITC,2020-06-25,186.0,187.75,184.85,186.1,186.25,186.1,17645,7884150999.999999,34408800,-17884800,
2020-06-22,ITC,2020-06-25,186.15,187.65,183.3,185.35,185.25,185.35,12752,5668406000.0,52293600,-3616800,
