Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,JUBLFOOD,2020-07-30,1696.9,1764.9,1686.9,1759.05,1764.0,1759.05,3036,2640980000.0,2043000,93000,1755.35
2020-07-16,JUBLFOOD,2020-07-30,1722.2,1738.65,1677.4,1697.55,1700.0,1697.55,2432,2074159999.9999998,1950000,-24500,
2020-07-15,JUBLFOOD,2020-07-30,1674.2,1735.0,1674.1,1723.45,1730.0,1723.45,4197,3588310000.0,1974500,-109500,
2020-07-14,JUBLFOOD,2020-07-30,1630.35,1672.3,1625.65,1658.45,1658.9,1658.45,3040,2508258000.0,2084000,-106000,
2020-07-13,JUBLFOOD,2020-07-30,1636.1,1656.05,1602.05,1641.9,1639.0,1641.9,3251,2650193000.0,2190000,-135000,
2020-07-10,JUBLFOOD,2020-07-30,1678.8,1688.35,1620.45,1628.35,1633.0,1628.35,3844,3172747000.0,2325000,-6500,
2020-07-09,JUBLFOOD,2020-07-30,1696.3,1706.45,1666.15,1692.65,1690.7,1692.65,2432,2048853000.0,2331500,-33500,
2020-07-08,JUBLFOOD,2020-07-30,1759.5,1759.5,1672.45,1693.1,1679.95,1693.1,2424,2087852000.0,2365000,52000,
2020-07-07,JUBLFOOD,2020-07-30,1732.3,1812.05,1720.65,1751.25,1750.15,1751.25,4884,4337714000.0,2313000,5500,1745.75
2020-07-06,JUBLFOOD,2020-07-30,1748.45,1752.75,1722.25,1741.0,1739.75,1741.0,1114,967654999.9999999,2307500,-18500,
2020-07-03,JUBLFOOD,2020-07-30,1733.35,1757.4,1730.05,1737.3,1742.45,1737.3,1715,1495286000.0,2326000,24000,1737.05
2020-07-02,JUBLFOOD,2020-07-30,1709.0,1735.95,1700.05,1727.6,1724.05,1727.6,1687,1449932000.0,2302000,21000,1725.65
2020-07-01,JUBLFOOD,2020-07-30,1729.65,1742.8,1692.95,1701.1,1702.3,1701.1,1951,1669355000.0,2281000,21000,
2020-06-25,JUBLFOOD,2020-06-25,1750.55,1806.7,1744.05,1786.85,1790.15,1782.95,2401,2139986000.0,347000,-439500,1782.95
2020-06-24,JUBLFOOD,2020-06-25,1770.0,1820.45,1755.0,1771.0,1782.2,1771.0,4015,3572472000.0,786500,-537500,1767.65
2020-06-23,JUBLFOOD,2020-06-25,1697.05,1768.8,1674.0,1760.5,1762.05,1760.5,5851,5034766000.0,1324000,-775000,
2020-06-22,JUBLFOOD,2020-06-25,1692.55,1715.0,1681.5,1686.4,1689.5,1686.4,2488,2108952000.0,2099000,-350500,
2020-06-19,JUBLFOOD,2020-06-25,1675.85,1716.55,1671.1,1689.85,1687.05,1689.85,3086,2613423000.0,2449500,-105000,
2020-06-18,JUBLFOOD,2020-06-25,1646.9,1678.0,1645.5,1668.4,1664.8,1668.4,2154,1788800999.9999998,2554500,-94500,
2020-06-17,JUBLFOOD,2020-06-25,1685.55,1685.55,1650.5,1662.7,1663.2,1662.7,3270,2721890000.0,2649000,-124500,
2020-06-16,JUBLFOOD,2020-06-25,1724.95,1742.45,1659.05,1690.75,1692.05,1690.75,4030,3396601999.9999995,2773500,-88000,
2020-06-15,JUBLFOOD,2020-06-25,1722.15,1743.2,1685.1,1693.85,1693.0,1693.85,4737,4048206000.0,2861500,-78500,
2020-06-12,JUBLFOOD,2020-06-25,1630.1,1742.0,1630.1,1733.6,1737.8,1733.6,8001,6749973000.0,2940000,95000,
2020-06-11,JUBLFOOD,2020-06-25,1705.1,1716.8,1671.2,1681.85,1686.0,1681.85,3281,2780246000.0,2845000,-70000,
2020-06-10,JUBLFOOD,2020-06-25,1666.95,1717.15,1665.0,1709.45,1717.05,1709.45,3971,3366582000.0,2915000,82000,
2020-06-09,JUBLFOOD,2020-06-25,1683.8,1709.4,1643.2,1664.75,1672.75,1664.75,3841,3219729000.0,2833000,44500,
2020-06-08,JUBLFOOD,2020-06-25,1691.8,1719.0,1669.0,1676.9,1671.8,1676.9,3803,3216753000.0,2788500,-88000,
2020-06-05,JUBLFOOD,2020-06-25,1687.15,1706.1,1629.0,1685.2,1684.05,1685.2,5221,4348644000.0,2876500,-35000,
2020-06-04,JUBLFOOD,2020-06-25,1679.3,1699.4,1653.55,1683.05,1685.95,1683.05,3271,2736155000.0,2911500,-3000,1683.45
2020-06-03,JUBLFOOD,2020-06-25,1707.1,1764.45,1666.3,1680.45,1687.45,1680.45,6295,5396941000.0,2914500,10500,
2020-06-02,JUBLFOOD,2020-06-25,1660.7,1708.45,1645.55,1697.05,1700.15,1697.05,4505,3785204000.0,2904000,3500,1700.65
2020-06-01,JUBLFOOD,2020-06-25,1636.15,1686.95,1635.1,1669.6,1665.35,1669.6,4359,3632198000.0000005,2900500,-11000,1675.95
2020-05-28,JUBLFOOD,2020-05-28,1688.0,1725.55,1683.0,1693.1,1695.95,1689.35,4207,3574174000.0,293500,-761000,1689.4
2020-05-27,JUBLFOOD,2020-05-28,1664.75,1696.7,1637.55,1689.4,1692.2,1689.4,4930,4135560000.0,1054500,-865000,1689.3
2020-05-26,JUBLFOOD,2020-05-28,1605.0,1691.0,1599.3,1674.3,1667.25,1674.3,7012,5780952000.0,1919500,-411500,1704.05
2020-05-22,JUBLFOOD,2020-05-28,1551.15,1628.7,1546.1,1613.4,1615.0,1613.4,6342,5079621000.0,2331000,6500,1620.3
2020-05-21,JUBLFOOD,2020-05-28,1575.0,1608.85,1532.3,1560.85,1558.1,1560.85,10873,8516267999.999999,2324500,-226000,1570.0
2020-05-20,JUBLFOOD,2020-05-28,1474.95,1521.0,1451.0,1510.9,1519.7,1510.9,6204,4622475000.0,2550500,354500,1521.5
2020-05-19,JUBLFOOD,2020-05-28,1523.35,1544.55,1455.55,1477.05,1476.05,1477.05,6961,5210923000.0,2196000,181500,1506.8
2020-05-18,JUBLFOOD,2020-05-28,1640.7,1664.05,1505.0,1516.5,1519.0,1516.5,8231,6453989000.0,2014500,14000,1549.9
2020-05-15,JUBLFOOD,2020-05-28,1660.0,1667.0,1629.45,1652.7,1641.95,1652.7,2551,2101920000.0,2000500,500,1666.3
2020-05-14,JUBLFOOD,2020-05-28,1615.75,1670.0,1615.75,1664.45,1660.0,1664.45,3985,3294197000.0,2000000,-30500,1689.65
2020-05-13,JUBLFOOD,2020-05-28,1645.85,1673.9,1602.4,1662.8,1656.0,1662.8,5213,4276516000.0000005,2030500,32500,1699.05
2020-05-12,JUBLFOOD,2020-05-28,1541.75,1597.65,1521.0,1583.7,1587.0,1583.7,4145,3227364000.0,1998000,24500,1593.4
