Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,LT,2020-08-27,916.7,926.35,916.2,923.15,924.35,923.15,408,206790000.0,937200,42350,925.55
2020-07-16,LT,2020-08-27,907.15,918.0,893.3,915.8,915.0,915.8,689,343479000.0,894850,90750,
2020-07-15,LT,2020-08-27,936.2,936.2,907.3,910.8,910.15,910.8,629,315906000.0,804100,119900,
2020-07-14,LT,2020-08-27,923.3,931.0,902.3,910.5,910.0,910.5,794,398823000.0,684200,180400,
2020-07-13,LT,2020-08-27,935.65,941.0,924.75,927.55,929.95,927.55,278,142423000.0,503800,39050,
2020-07-10,LT,2020-08-27,943.0,949.6,925.1,929.05,929.55,929.05,317,162819000.0,464750,56650,
2020-07-09,LT,2020-08-27,942.8,949.95,936.3,944.45,945.65,944.45,349,181090000.0,408100,45650,
2020-07-08,LT,2020-08-27,940.0,961.0,935.6,938.85,939.0,938.85,456,237508000.0,362450,20900,
2020-07-07,LT,2020-08-27,954.65,956.1,933.8,937.55,936.2,937.55,309,160040000.0,341550,54450,943.6
2020-07-06,LT,2020-08-27,949.95,957.0,943.75,950.05,950.3,950.05,234,122366000.00000001,287100,13200,
2020-07-03,LT,2020-08-27,945.3,951.05,939.0,941.15,939.0,941.15,213,110716000.00000001,273900,11550,944.25
2020-07-02,LT,2020-08-27,927.4,949.0,920.5,939.55,939.85,939.55,549,282639000.0,262350,63800,941.3
2020-07-01,LT,2020-08-27,930.45,930.45,910.85,921.4,921.15,921.4,252,127338000.00000001,198550,37950,
2020-06-30,LT,2020-07-30,946.7,950.1,927.3,939.7,940.7,939.7,6670,3446372000.0,9309850,-28050,
2020-06-29,LT,2020-07-30,946.9,951.0,923.85,935.55,938.0,935.55,9403,4830524000.0,9337900,305800,936.6
2020-06-26,LT,2020-07-30,952.05,969.45,935.55,957.1,956.2,957.1,12237,6408515000.0,9032100,33000,962.2
2020-06-25,LT,2020-07-30,952.75,965.45,937.95,944.6,946.4,944.6,13471,7037985000.000001,8999100,1822700,943.1
2020-06-24,LT,2020-07-30,970.85,987.7,955.2,958.6,965.65,958.6,16230,8646189000.0,7176400,3367650,955.55
2020-06-23,LT,2020-07-30,910.45,971.0,910.45,967.8,970.2,967.8,10836,5632755000.0,3808750,1293600,
2020-06-22,LT,2020-07-30,908.05,917.9,897.35,909.0,910.55,909.0,5835,2916092000.0,2515150,1224300,
2020-06-19,LT,2020-07-30,891.25,917.55,891.25,900.5,899.8,900.5,1973,982845000.0000001,1290850,400950,
2020-06-18,LT,2020-07-30,875.25,902.45,874.0,898.75,898.65,898.75,1562,764494000.0,889900,340450,
2020-06-17,LT,2020-07-30,885.05,899.0,880.0,883.75,885.3,883.75,704,343631000.0,549450,42900,
2020-06-16,LT,2020-07-30,920.05,921.0,887.25,895.05,896.45,895.05,482,238571999.99999997,506550,56100,
2020-06-15,LT,2020-07-30,910.0,910.0,888.8,898.95,903.0,898.95,618,305216000.0,450450,134750,
2020-06-12,LT,2020-07-30,888.35,927.3,888.3,924.05,922.3,924.05,419,208203000.00000003,315700,58850,
2020-06-11,LT,2020-07-30,943.0,948.8,926.0,926.8,926.0,926.8,181,93143000.0,256850,22000,
2020-06-10,LT,2020-07-30,954.1,954.35,936.1,947.05,945.0,947.05,216,112096000.0,234850,28050,
2020-06-09,LT,2020-07-30,966.3,968.4,947.25,949.1,948.0,949.1,170,89758000.0,206800,12100,
2020-06-08,LT,2020-07-30,988.65,989.2,946.9,959.35,956.55,959.35,406,214876000.00000003,194700,4400,
2020-06-05,LT,2020-07-30,936.0,956.0,934.5,953.55,956.0,953.55,204,106402000.0,190300,7700,
2020-06-04,LT,2020-07-30,960.25,964.9,928.0,929.55,929.8,929.55,310,160030000.0,182600,46750,930.7
2020-06-03,LT,2020-07-30,962.1,971.0,956.85,959.95,960.5,959.95,280,148316000.0,135850,34100,
2020-06-02,LT,2020-07-30,914.7,949.1,913.75,944.1,944.0,944.1,213,109382000.0,101750,4400,945.45
2020-06-01,LT,2020-07-30,941.35,972.05,924.1,926.4,930.75,926.4,356,185115000.0,97350,4400,928.15
2020-05-29,LT,2020-06-25,891.0,927.4,886.9,923.95,922.95,923.95,16098,5515086000.0,11601375,-671250,932.25
2020-05-28,LT,2020-06-25,853.55,906.9,853.55,899.2,893.6,899.2,23970,7977853999.999999,12272625,975375,905.5
2020-05-27,LT,2020-06-25,828.9,858.1,825.25,851.75,853.5,851.75,20669,6568589000.0,11297250,5198250,850.85
2020-05-26,LT,2020-06-25,825.45,844.65,822.05,826.75,827.65,826.75,12821,4018318000.0,6099000,3339375,825.55
2020-05-22,LT,2020-06-25,811.75,825.6,808.65,817.15,819.4,817.15,5148,1574968000.0,2759625,1358625,815.7
2020-05-21,LT,2020-06-25,833.05,846.1,818.15,820.45,820.95,820.45,2330,720681000.0,1401000,469500,820.5
2020-05-20,LT,2020-06-25,804.3,841.5,804.25,837.05,839.0,837.05,2356,730960000.0,931500,307500,835.0
2020-05-19,LT,2020-06-25,825.1,836.35,793.5,799.05,800.5,799.05,2008,614478000.0,624000,270000,796.35
2020-05-18,LT,2020-06-25,865.0,865.0,812.15,815.7,817.7,815.7,992,307192000.0,354000,115500,813.35
2020-05-15,LT,2020-06-25,880.0,887.3,855.05,866.05,864.25,866.05,328,106942000.0,238500,19125,864.4
2020-05-14,LT,2020-06-25,858.0,881.8,844.15,876.0,881.8,876.0,339,109574000.0,219375,-2250,871.65
2020-05-13,LT,2020-06-25,848.0,876.75,848.0,866.85,869.3,866.85,379,123191000.00000001,221625,22125,862.9
