Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,M&M,2020-08-27,571.6,592.3,568.0,590.0,589.85,590.0,359,292261000.0,826000,189000,
2020-07-16,M&M,2020-08-27,546.65,574.95,545.95,572.55,570.05,572.55,338,267823000.0,637000,151200,
2020-07-15,M&M,2020-08-27,547.9,558.8,543.85,550.1,552.3,550.1,206,158655000.0,485800,107800,
2020-07-14,M&M,2020-08-27,553.8,553.8,539.35,546.0,544.55,546.0,160,122475000.0,378000,50400,
2020-07-13,M&M,2020-08-27,557.65,558.8,550.45,556.55,554.0,556.55,82,63848000.0,327600,-19600,
2020-07-10,M&M,2020-08-27,556.15,568.65,553.35,554.8,554.65,554.8,99,77452000.0,347200,22400,
2020-07-09,M&M,2020-08-27,553.2,564.45,550.2,561.2,564.45,561.2,137,106707000.0,324800,28000,
2020-07-08,M&M,2020-08-27,564.0,567.0,550.15,551.55,551.85,551.55,168,131599000.0,296800,4200,
2020-07-07,M&M,2020-08-27,561.0,566.25,552.3,560.6,560.05,560.6,204,159696000.0,292600,-21000,560.0
2020-07-06,M&M,2020-08-27,538.05,570.15,535.9,568.85,567.5,568.85,284,221003000.00000003,313600,85400,
2020-07-03,M&M,2020-08-27,530.35,532.0,523.4,531.1,530.0,531.1,186,137390000.0,228200,22400,530.5
2020-07-02,M&M,2020-08-27,509.05,529.5,506.75,528.5,529.5,528.5,235,170713000.0,205800,28000,529.7
2020-07-01,M&M,2020-08-27,519.45,519.45,495.0,499.5,503.15,499.5,151,107584999.99999999,177800,35000,
2020-06-30,M&M,2020-07-30,507.9,511.7,504.35,508.1,508.15,508.1,4831,3436058000.0,18694200,897400,
2020-06-29,M&M,2020-07-30,493.75,508.75,491.55,504.8,504.35,504.8,4137,2899389000.0,17796800,200200,507.45
2020-06-26,M&M,2020-07-30,512.55,512.95,496.4,499.8,499.7,499.8,3554,2510863000.0,17596600,131600,501.4
2020-06-25,M&M,2020-07-30,508.8,515.75,501.15,506.2,505.05,506.2,6337,4507185000.0,17465000,2052400,507.25
2020-06-24,M&M,2020-07-30,517.6,526.25,512.0,513.75,513.75,513.75,7315,5304273000.0,15412600,3567200,515.35
2020-06-23,M&M,2020-07-30,498.85,518.65,496.7,515.2,514.8,515.2,5852,4162418000.0,11845400,3610600,
2020-06-22,M&M,2020-07-30,501.0,502.65,493.35,497.4,497.75,497.4,3609,2509292000.0,8234800,3305400,
2020-06-19,M&M,2020-07-30,503.55,505.3,494.75,499.05,498.8,499.05,3444,2410395000.0,4929400,3400600,
2020-06-18,M&M,2020-07-30,491.55,507.55,491.55,505.25,503.0,505.25,1019,717266000.0,1528800,772800,
2020-06-17,M&M,2020-07-30,499.5,502.0,492.0,496.0,493.0,496.0,621,431731000.00000006,756000,256200,
2020-06-16,M&M,2020-07-30,515.8,517.05,500.2,505.4,504.6,505.4,377,268620000.0,499800,56000,
2020-06-15,M&M,2020-07-30,501.5,518.0,498.55,506.9,509.0,506.9,462,329678000.0,443800,102200,
2020-06-12,M&M,2020-07-30,461.75,510.05,453.75,506.9,508.0,506.9,503,338144000.0,341600,102200,
2020-06-11,M&M,2020-07-30,468.25,473.0,466.9,468.1,467.3,468.1,68,44753000.0,239400,4200,
2020-06-10,M&M,2020-07-30,473.0,477.0,464.6,466.1,469.0,466.1,45,29593000.0,235200,12600,
2020-06-09,M&M,2020-07-30,465.0,475.5,458.8,472.6,470.05,472.6,62,40606000.0,222600,9800,
2020-06-08,M&M,2020-07-30,483.15,487.45,464.7,465.95,467.95,465.95,83,55324000.0,212800,5600,
2020-06-05,M&M,2020-07-30,480.0,481.5,474.0,479.95,479.6,479.95,34,22758000.0,207200,-9800,
2020-06-04,M&M,2020-07-30,479.1,479.1,464.9,474.65,473.9,474.65,98,64935000.0,217000,40600,478.45
2020-06-03,M&M,2020-07-30,465.0,484.0,460.4,479.1,482.55,479.1,118,78361000.0,176400,18200,
2020-06-02,M&M,2020-07-30,462.4,470.1,454.1,457.15,459.0,457.15,120,77217000.0,158200,22400,462.85
2020-06-01,M&M,2020-07-30,438.6,462.25,438.6,455.4,456.75,455.4,140,88657000.0,135800,26600,461.1
2020-05-29,M&M,2020-06-25,430.5,446.0,430.5,434.65,434.65,434.65,7326,3203193000.0,14112000,104000,436.35
2020-05-28,M&M,2020-06-25,427.2,441.25,424.5,438.15,435.15,438.15,8738,3795671000.0,14008000,2064000,440.4
2020-05-27,M&M,2020-06-25,426.65,434.45,414.95,431.75,430.2,431.75,8603,3651333000.0,11944000,3531000,432.5
2020-05-26,M&M,2020-06-25,429.8,435.8,422.8,429.6,427.3,429.6,6333,2723078000.0,8413000,4461000,429.15
2020-05-22,M&M,2020-06-25,402.0,430.35,400.3,427.65,427.3,427.65,3678,1522851000.0,3952000,2411000,426.35
2020-05-21,M&M,2020-06-25,399.95,411.9,399.8,408.75,407.3,408.75,1248,508468999.99999994,1541000,505000,408.3
2020-05-20,M&M,2020-06-25,381.8,413.6,381.8,404.5,406.5,404.5,1302,518282000.0,1036000,602000,405.05
