Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,NESTLEIND,2020-08-27,17600.0,17678.6,17290.0,17337.2,17348.0,17337.2,105,91526000.0,10000,1200,
2020-07-16,NESTLEIND,2020-08-27,16860.0,17700.0,16816.05,17486.05,17500.0,17486.05,99,85829000.0,8800,1250,
2020-07-15,NESTLEIND,2020-08-27,17006.9,17036.25,16840.0,17005.1,17003.15,17005.1,104,88071000.0,7550,2450,
2020-07-14,NESTLEIND,2020-08-27,17125.2,17200.0,16960.05,17018.8,16960.05,17018.8,31,26431000.0,5100,0,
2020-07-13,NESTLEIND,2020-08-27,17016.15,17210.0,17013.45,17040.8,17040.8,17046.5,32,27370000.0,5100,-50,
2020-07-10,NESTLEIND,2020-08-27,16876.0,16955.0,16761.0,16935.8,16917.3,16935.8,29,24444000.0,5150,0,
2020-07-09,NESTLEIND,2020-08-27,16987.65,17001.75,16830.1,16876.0,16887.0,16876.0,47,39658000.0,5150,1100,
2020-07-08,NESTLEIND,2020-08-27,16980.0,17170.0,16874.0,16901.1,16900.0,16901.1,30,25464000.0,4050,350,
2020-07-07,NESTLEIND,2020-08-27,16950.0,16980.0,16820.05,16975.0,16975.0,17012.6,22,18610000.0,3700,0,16912.4
2020-07-06,NESTLEIND,2020-08-27,16733.0,16915.0,16733.0,16907.5,16915.0,16907.5,29,24418000.0,3700,850,
2020-07-03,NESTLEIND,2020-08-27,16915.7,17032.45,16750.0,16777.4,16774.5,16777.4,38,31989000.0,2850,1000,16695.6
2020-07-02,NESTLEIND,2020-08-27,16863.3,16917.6,16863.3,16917.6,16917.6,16899.15,2,1689000.0,1850,100,16789.35
2020-07-01,NESTLEIND,2020-08-27,17000.0,17068.5,16800.0,16863.3,16874.0,16863.3,42,35435000.0,1750,50,
2020-06-30,NESTLEIND,2020-07-30,16819.95,17226.8,16766.3,17110.9,17116.4,17110.9,3742,3187343000.0,535650,500,
2020-06-29,NESTLEIND,2020-07-30,16632.2,16990.0,16482.9,16741.35,16750.0,16741.35,3491,2928583000.0,535150,33300,16724.85
2020-06-26,NESTLEIND,2020-07-30,16780.2,16920.65,16569.1,16631.7,16687.7,16631.7,1810,1513074000.0,501850,-4300,16677.5
2020-06-25,NESTLEIND,2020-07-30,16717.05,16869.05,16600.2,16813.1,16820.6,16813.1,3218,2702110000.0,506150,43750,16787.0
2020-06-24,NESTLEIND,2020-07-30,16732.65,16864.95,16541.15,16734.1,16749.0,16734.1,4861,4071907000.0,462400,121050,16707.95
2020-06-23,NESTLEIND,2020-07-30,16284.0,16760.7,16262.2,16621.4,16650.0,16621.4,4806,3984033999.9999995,341350,137250,
2020-06-22,NESTLEIND,2020-07-30,16227.15,16288.35,16100.8,16193.75,16258.95,16193.75,3184,2573463000.0,204100,121900,
2020-06-19,NESTLEIND,2020-07-30,16286.05,16315.05,16105.0,16144.7,16143.45,16144.7,1493,1205656000.0,82200,52450,
2020-06-18,NESTLEIND,2020-07-30,16250.0,16280.0,16074.65,16232.55,16250.0,16232.55,571,461304000.0,29750,14450,
2020-06-17,NESTLEIND,2020-07-30,16384.3,16413.75,16155.0,16228.5,16219.45,16228.5,210,170512000.0,15300,6700,
2020-06-16,NESTLEIND,2020-07-30,16532.4,16559.85,16300.0,16381.6,16381.6,16381.6,64,52613000.0,8600,900,
2020-06-15,NESTLEIND,2020-07-30,16550.0,16631.3,16370.0,16439.5,16439.35,16439.5,65,53551000.0,7700,850,
2020-06-12,NESTLEIND,2020-07-30,16599.95,16716.0,16441.7,16547.45,16547.75,16547.45,56,46385000.0,6850,250,
2020-06-11,NESTLEIND,2020-07-30,16675.0,16880.55,16650.0,16663.55,16682.5,16663.55,49,41015000.0,6600,-50,
2020-06-10,NESTLEIND,2020-07-30,16627.4,16825.05,16400.0,16530.8,16620.3,16530.8,48,39840000.0,6650,-50,
2020-06-09,NESTLEIND,2020-07-30,16832.7,16945.0,16548.6,16567.3,16548.6,16567.3,95,79664000.0,6700,1500,
2020-06-08,NESTLEIND,2020-07-30,17000.0,17100.0,16802.0,16832.7,16802.0,16832.7,28,23731000.0,5200,750,
2020-06-05,NESTLEIND,2020-07-30,17375.0,17375.0,17000.0,17142.65,17142.65,17142.65,18,15419999.999999998,4450,500,
2020-06-04,NESTLEIND,2020-07-30,17418.75,17418.75,17150.2,17244.75,17249.05,17244.75,43,37075000.0,3950,1500,17196.6
2020-06-03,NESTLEIND,2020-07-30,17200.0,17500.0,17195.2,17454.4,17500.0,17454.4,34,29635000.000000004,2450,800,
2020-06-02,NESTLEIND,2020-07-30,17075.0,17100.0,17000.0,17020.0,17020.0,17020.0,23,19618000.0,1650,300,17014.45
2020-06-01,NESTLEIND,2020-07-30,17500.0,17500.0,17300.0,17300.0,17300.0,17301.95,23,20059000.0,1350,400,17183.45
2020-05-29,NESTLEIND,2020-06-25,16892.65,17372.8,16821.55,17323.25,17372.65,17323.25,2999,2570501000.0,380300,-7600,17540.8
2020-05-28,NESTLEIND,2020-06-25,16654.8,16917.45,16564.7,16884.65,16876.95,16884.65,4457,3728019000.0,387900,66900,16989.15
2020-05-27,NESTLEIND,2020-06-25,16624.65,16771.05,16389.3,16664.8,16611.1,16664.8,4154,3449873000.0000005,321000,111750,16716.5
2020-05-26,NESTLEIND,2020-06-25,16306.75,16648.0,16141.0,16569.65,16599.9,16569.65,4309,3562704000.0,209250,121650,16655.15
2020-05-22,NESTLEIND,2020-06-25,16298.85,16339.25,16123.45,16191.8,16194.0,16191.8,2027,1640711000.0,87600,59250,16215.15
2020-05-21,NESTLEIND,2020-06-25,16350.1,16499.0,16246.05,16268.85,16272.0,16268.85,407,332480000.0,28350,8450,16295.45
2020-05-20,NESTLEIND,2020-06-25,16245.0,16619.95,16245.0,16375.2,16383.95,16375.2,246,201636000.0,19900,3350,16303.4
2020-05-19,NESTLEIND,2020-06-25,16350.0,16410.0,16170.0,16210.65,16234.65,16210.65,184,149690000.0,16550,5300,16150.3
