Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-08-07,RBLBANK,2020-08-27,173.6,194.05,171.8,192.0,191.0,192.0,24732,11971934000.0,25472200,7807800,191.3
2020-08-06,RBLBANK,2020-08-27,175.45,177.4,171.35,174.3,174.15,174.3,7877,3567647000.0,17664400,-36400,174.15
2020-08-05,RBLBANK,2020-08-27,171.55,177.75,171.1,175.4,176.35,175.4,9962,4549592000.0,17700800,1513200,174.95
2020-08-04,RBLBANK,2020-08-27,163.1,170.45,160.2,169.15,170.0,169.15,7551,3255626000.0,16187600,611000,168.8
2020-08-03,RBLBANK,2020-08-27,169.1,169.25,161.0,162.55,162.25,162.55,6521,2782614000.0,15576600,1016600,162.95
2020-07-30,RBLBANK,2020-07-30,177.55,179.2,167.25,169.0,168.5,169.0,4721,2121137000.0,1245400,-4368000,
2020-07-29,RBLBANK,2020-07-30,176.55,189.95,174.45,176.7,176.85,176.7,13687,6435507000.0,5613400,-6923800,176.65
2020-07-28,RBLBANK,2020-07-30,180.0,183.95,172.65,182.3,181.5,182.3,798,376024000.0,12537200,-2056600,
2020-07-27,RBLBANK,2020-07-30,184.5,184.6,177.1,180.0,179.5,180.0,1387,650340000.0,14593800,-3512600,
2020-07-24,RBLBANK,2020-07-30,174.2,187.0,173.65,183.5,182.85,183.5,24089,11482317000.0,18106400,1471600,
2020-07-23,RBLBANK,2020-07-30,173.95,178.75,171.8,177.75,178.1,177.75,5614,2579669000.0,16634800,-1019200,177.15
2020-07-22,RBLBANK,2020-07-30,177.45,180.25,171.55,174.35,174.3,174.35,9977,4546167000.0,17654000,-1120600,
2020-07-21,RBLBANK,2020-07-30,177.65,179.6,174.2,176.95,176.9,176.95,5712,2624353000.0,18774600,-132600,
2020-07-20,RBLBANK,2020-07-30,170.75,177.75,170.75,175.05,175.25,175.05,9791,4452196000.0,18907200,-2607800,
2020-07-17,RBLBANK,2020-07-30,167.7,171.65,165.25,169.75,169.9,169.75,6546,2866166000.0,21515000,663000,
2020-07-16,RBLBANK,2020-07-30,164.65,168.2,159.75,167.05,166.6,167.05,6922,2953668000.0,20852000,-1346800,
2020-07-15,RBLBANK,2020-07-30,167.55,171.35,162.3,163.5,164.2,163.5,8712,3794757000.0,22198800,-236600,
2020-07-14,RBLBANK,2020-07-30,173.85,173.9,161.6,164.5,164.85,164.5,13522,5832642000.0,22435400,1942200,
2020-07-13,RBLBANK,2020-07-30,185.85,185.85,177.55,178.35,178.35,178.35,5808,2721971000.0,20493200,652600,
2020-07-10,RBLBANK,2020-07-30,187.5,188.4,177.75,181.05,181.2,181.05,9568,4523608000.0,19840600,39000,
2020-07-09,RBLBANK,2020-07-30,188.65,192.85,186.45,188.55,188.8,188.55,7089,3484694000.0,19801600,-91000,
2020-07-08,RBLBANK,2020-07-30,188.1,198.1,185.55,187.1,187.0,187.1,17139,8584831000.0,19892600,-392600,
2020-07-07,RBLBANK,2020-07-30,179.65,190.6,176.85,187.4,186.4,187.4,17746,8467364999.999998,20285200,-553800,186.95
