Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,RELIANCE,2020-08-27,1850.0,1930.0,1847.6,1922.8,1928.5,1922.8,3565,3400569999.9999995,3344615,248965,
2020-07-16,RELIANCE,2020-08-27,1855.0,1875.2,1824.4,1850.55,1849.0,1850.55,3035,2837971000.0,3095650,209575,
2020-07-15,RELIANCE,2020-08-27,1945.2,1986.95,1810.0,1852.85,1851.25,1852.85,7941,7731297000.0,2886075,1037270,
2020-07-14,RELIANCE,2020-08-27,1942.45,1951.0,1897.2,1929.25,1925.75,1929.25,3128,3044346000.0,1848805,393395,
2020-07-13,RELIANCE,2020-08-27,1909.0,1953.7,1908.85,1945.9,1947.8,1945.9,2243,2192204000.0,1455410,133825,
2020-07-10,RELIANCE,2020-08-27,1835.85,1894.95,1835.85,1890.8,1892.0,1890.8,1947,1839018999.9999998,1321585,231795,
2020-07-09,RELIANCE,2020-08-27,1811.65,1846.0,1798.65,1838.2,1839.75,1838.2,1534,1415872000.0,1089790,115140,
2020-07-08,RELIANCE,2020-08-27,1832.2,1841.4,1802.15,1809.6,1809.5,1809.6,719,661010000.0,974650,31815,
2020-07-07,RELIANCE,2020-08-27,1865.35,1871.75,1815.55,1833.65,1832.25,1833.65,2069,1918153000.0,942835,276235,1823.45
2020-07-06,RELIANCE,2020-08-27,1805.15,1860.65,1794.0,1855.3,1860.0,1855.3,1953,1810804000.0,666600,141905,
2020-07-03,RELIANCE,2020-08-27,1774.55,1795.4,1771.65,1789.7,1791.6,1789.7,1021,920204000.0000001,524695,104030,1787.9
2020-07-02,RELIANCE,2020-08-27,1745.4,1772.9,1738.7,1764.3,1762.4,1764.3,1131,1005460000.0,420665,67670,1760.35
2020-07-01,RELIANCE,2020-08-27,1714.25,1750.0,1710.0,1739.45,1739.0,1739.45,994,868969000.0,352995,-12625,
2020-06-30,RELIANCE,2020-07-30,1732.0,1736.65,1689.1,1698.25,1702.0,1698.25,35406,30623370000.0,39779860,1935160,
2020-06-29,RELIANCE,2020-07-30,1724.9,1735.9,1710.1,1718.2,1718.8,1718.2,33025,28689090999.999996,37844700,1533180,1723.15
2020-06-26,RELIANCE,2020-07-30,1728.1,1747.7,1712.55,1738.7,1746.85,1738.7,38634,33729067000.0,36311520,1753360,1741.65
2020-06-25,RELIANCE,2020-07-30,1727.35,1750.5,1713.5,1717.7,1717.7,1717.7,42397,36998860000.0,34558160,7072020,1717.9
2020-06-24,RELIANCE,2020-07-30,1731.7,1772.0,1712.0,1729.25,1733.1,1729.25,44014,38648274000.0,27486140,8375425,1727.85
2020-06-23,RELIANCE,2020-07-30,1747.1,1758.95,1718.65,1722.9,1724.9,1722.9,36651,32026518000.0,19110715,10470165,
2020-06-22,RELIANCE,2020-07-30,1779.65,1795.95,1735.55,1747.3,1753.0,1747.3,19124,17043360000.0,8640550,4158170,
2020-06-19,RELIANCE,2020-07-30,1659.75,1781.35,1658.0,1757.25,1762.05,1757.25,16182,14076164000.000002,4482380,2281590,
2020-06-18,RELIANCE,2020-07-30,1604.8,1659.0,1604.75,1651.25,1658.75,1651.25,4427,3658644999.9999995,2200790,667610,
2020-06-17,RELIANCE,2020-07-30,1601.95,1630.0,1595.3,1609.3,1608.0,1609.3,2124,1731463000.0,1533180,74235,
