Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,SBIN,2020-07-30,186.95,190.2,185.0,188.85,190.0,188.85,22144,12429661000.0,97980000,936000,
2020-07-16,SBIN,2020-07-30,184.7,187.5,182.0,186.7,186.5,186.7,20796,11547119000.0,97044000,-2802000,
2020-07-15,SBIN,2020-07-30,187.6,190.25,182.85,183.9,184.55,183.9,28184,15822294000.0,99846000,-6870000,
2020-07-14,SBIN,2020-07-30,192.25,192.35,184.5,186.25,186.6,186.25,26726,15012881000.0,106716000,-6204000,
2020-07-13,SBIN,2020-07-30,198.75,199.9,191.6,193.0,193.2,193.0,27343,15978310999.999998,112920000,-3162000,
2020-07-10,SBIN,2020-07-30,198.45,202.85,195.15,195.95,195.7,195.95,51638,30800044000.0,116082000,-2214000,
2020-07-09,SBIN,2020-07-30,192.8,201.7,192.8,199.9,200.65,199.9,39915,23603488000.0,118296000,1752000,
2020-07-08,SBIN,2020-07-30,189.3,198.35,189.0,192.6,192.6,192.6,62085,36308229000.0,116544000,8724000,
2020-07-07,SBIN,2020-07-30,187.8,189.7,183.85,189.2,188.55,189.2,27345,15339946000.0,107820000,2844000,188.6
2020-07-06,SBIN,2020-07-30,186.6,190.4,186.35,188.75,188.6,188.75,19888,11267066000.0,104976000,3333000,
2020-07-03,SBIN,2020-07-30,187.0,187.4,183.5,184.95,184.75,184.95,15455,8579225000.0,101643000,-1515000,184.7
2020-07-02,SBIN,2020-07-30,185.85,188.5,184.05,186.05,186.4,186.05,19892,11127876000.0,103158000,-1176000,185.45
2020-07-01,SBIN,2020-07-30,178.7,186.0,178.2,185.35,185.0,185.35,25371,13929775000.0,104334000,1077000,
2020-06-25,SBIN,2020-06-25,182.0,186.8,180.3,185.2,186.15,185.25,16867,9323435000.0,3759000,-16026000,185.25
2020-06-24,SBIN,2020-06-25,195.0,195.25,183.7,184.6,184.3,184.6,27897,15912881000.0,19785000,-22842000,184.6
2020-06-23,SBIN,2020-06-25,189.6,193.75,187.95,193.1,193.5,193.1,33189,19055738000.0,42627000,-24297000,
2020-06-22,SBIN,2020-06-25,185.05,192.2,184.55,188.0,188.2,188.0,35340,20029570000.0,66924000,-16644000,
2020-06-19,SBIN,2020-06-25,180.4,185.35,179.55,184.9,184.65,184.9,39792,21874095000.0,83568000,-24336000,
2020-06-18,SBIN,2020-06-25,172.45,180.75,171.3,179.95,180.4,179.95,30152,15978247000.0,107904000,-11910000,
2020-06-17,SBIN,2020-06-25,170.8,176.45,169.15,173.0,172.95,173.0,32113,16699968000.0,119814000,1323000,
2020-06-16,SBIN,2020-06-25,177.4,179.2,168.7,173.0,172.75,173.0,28844,15066093000.0,118491000,-1521000,
2020-06-15,SBIN,2020-06-25,176.95,177.75,171.3,173.7,173.5,173.7,28919,15069132999.999998,120012000,1383000,
2020-06-12,SBIN,2020-06-25,170.45,180.15,170.0,179.05,178.75,179.05,39116,20448878000.0,118629000,4281000,
2020-06-11,SBIN,2020-06-25,188.05,190.6,176.1,176.85,176.8,176.85,44614,24497654000.0,114348000,3012000,
2020-06-10,SBIN,2020-06-25,184.95,189.5,183.55,188.25,189.45,188.25,31466,17588270000.0,111336000,-645000,
2020-06-09,SBIN,2020-06-25,187.25,191.5,183.2,184.0,183.3,184.0,42008,23600383000.0,111981000,-4935000,
2020-06-08,SBIN,2020-06-25,196.4,197.7,186.0,186.8,186.45,186.8,59332,34117639000.0,116916000,-14064000,
2020-06-05,SBIN,2020-06-25,176.9,190.35,175.75,188.4,190.0,188.4,102366,56134829000.0,130980000,12633000,
2020-06-04,SBIN,2020-06-25,174.65,177.6,171.1,173.85,174.3,173.85,37818,19759551000.0,118347000,-1452000,174.05
2020-06-03,SBIN,2020-06-25,172.7,180.65,171.6,174.85,174.6,174.85,47168,24936607000.0,119799000,-738000,
2020-06-02,SBIN,2020-06-25,169.45,171.65,166.7,170.7,170.85,170.7,28285,14364981000.0,120537000,1422000,170.25
2020-06-01,SBIN,2020-06-25,162.25,171.6,162.05,170.2,170.2,170.2,40005,20230665000.0,119115000,-282000,170.05
2020-05-28,SBIN,2020-05-28,159.3,162.25,156.3,157.7,157.3,158.2,17853,8538028999.999999,5472000,-21135000,158.2
