Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,SBIN,2020-08-27,187.55,190.5,185.55,189.2,190.5,189.2,1115,627386000.0,11970000,309000,
2020-07-16,SBIN,2020-08-27,183.65,187.7,182.55,187.1,186.95,187.1,1071,595570000.0,11661000,498000,
2020-07-15,SBIN,2020-08-27,187.95,190.7,183.4,184.4,184.9,184.4,2904,1632724000.0,11163000,5592000,
2020-07-14,SBIN,2020-08-27,191.75,192.05,185.15,186.65,186.9,186.65,1331,750615000.0,5571000,918000,
2020-07-13,SBIN,2020-08-27,197.5,200.55,192.4,193.55,193.8,193.55,960,561753000.0,4653000,141000,
2020-07-10,SBIN,2020-08-27,198.35,203.15,195.75,196.35,196.3,196.35,1538,917882000.0,4512000,603000,
2020-07-09,SBIN,2020-08-27,195.75,202.15,193.6,200.35,201.05,200.35,1155,684869000.0,3909000,147000,
2020-07-08,SBIN,2020-08-27,189.75,198.65,189.75,193.0,193.1,193.0,2093,1226381000.0,3762000,1062000,
2020-07-07,SBIN,2020-08-27,187.95,189.95,184.35,189.5,189.0,189.5,667,375083000.0,2700000,288000,188.6
2020-07-06,SBIN,2020-08-27,187.3,190.75,186.85,189.05,189.05,189.05,520,294924000.0,2412000,-96000,
2020-07-03,SBIN,2020-08-27,187.0,187.2,183.95,185.25,185.1,185.25,447,248552000.0,2508000,87000,184.7
2020-07-02,SBIN,2020-08-27,186.45,188.7,184.4,186.35,186.45,186.35,685,383716000.0,2421000,3000,185.45
2020-07-01,SBIN,2020-08-27,178.45,186.2,178.45,185.65,185.2,185.65,778,427380000.0,2418000,78000,
2020-06-30,SBIN,2020-07-30,181.25,183.0,176.45,177.8,178.25,177.8,18928,10199798000.0,103257000,753000,
2020-06-29,SBIN,2020-07-30,182.85,183.05,177.7,179.15,179.3,179.15,19325,10410435000.0,102504000,-1395000,179.25
2020-06-26,SBIN,2020-07-30,187.5,188.7,183.0,184.25,184.35,184.25,21526,11980131000.0,103899000,447000,184.6
2020-06-25,SBIN,2020-07-30,182.3,186.9,180.5,185.15,185.3,185.15,27131,14993644000.0,103452000,13668000,185.25
2020-06-24,SBIN,2020-07-30,194.9,195.15,184.0,184.85,184.7,184.85,23129,13179560999.999998,89784000,15150000,184.6
2020-06-23,SBIN,2020-07-30,189.65,194.2,188.0,193.45,193.75,193.45,21060,12108137000.0,74634000,26121000,
2020-06-22,SBIN,2020-07-30,185.35,192.3,184.75,188.25,188.4,188.25,12260,6956636000.0,48513000,17130000,
2020-06-19,SBIN,2020-07-30,180.7,185.5,179.75,185.15,184.8,185.15,10096,5570060000.0,31383000,14727000,
2020-06-18,SBIN,2020-07-30,171.8,180.85,171.8,180.2,180.5,180.2,4325,2297668000.0,16656000,3912000,
2020-06-17,SBIN,2020-07-30,171.0,176.55,169.5,173.2,172.95,173.2,3858,2004471000.0,12744000,3903000,
2020-06-16,SBIN,2020-07-30,177.95,179.25,169.15,173.2,172.9,173.2,2743,1433575000.0,8841000,1611000,
2020-06-15,SBIN,2020-07-30,177.3,177.95,171.55,173.8,173.85,173.8,2166,1129978000.0,7230000,993000,
2020-06-12,SBIN,2020-07-30,171.25,180.5,170.0,179.4,178.9,179.4,2248,1175409000.0,6237000,624000,
2020-06-11,SBIN,2020-07-30,188.35,190.95,176.65,177.25,177.35,177.25,1810,997048000.0,5613000,1299000,
2020-06-10,SBIN,2020-07-30,184.6,189.95,184.15,189.05,189.7,189.05,1416,793921000.0,4314000,543000,
2020-06-09,SBIN,2020-07-30,187.95,192.0,183.65,184.4,183.65,184.4,1923,1083534000.0,3771000,243000,
2020-06-08,SBIN,2020-07-30,197.15,197.75,186.7,187.35,186.95,187.35,1683,970550000.0,3528000,360000,
2020-06-05,SBIN,2020-07-30,176.9,190.7,176.35,188.85,190.55,188.85,2734,1497851000.0,3168000,306000,
2020-06-04,SBIN,2020-07-30,175.2,177.95,171.75,174.3,174.75,174.3,1295,678360000.0,2862000,267000,174.05
2020-06-03,SBIN,2020-07-30,173.5,180.95,171.95,175.15,175.05,175.15,1392,736339000.0,2595000,60000,
2020-06-02,SBIN,2020-07-30,170.15,171.8,167.15,171.15,171.3,171.15,741,376608000.0,2535000,-18000,170.25
2020-06-01,SBIN,2020-07-30,162.65,171.95,162.65,170.45,170.3,170.45,1173,592095000.0,2553000,213000,170.05
2020-05-29,SBIN,2020-06-25,156.1,160.5,155.2,159.65,158.95,159.65,27652,13149967000.000002,119397000,5214000,161.3
2020-05-28,SBIN,2020-06-25,159.5,162.15,155.9,157.3,157.05,157.3,33771,16113251000.0,114183000,17025000,158.2
2020-05-27,SBIN,2020-06-25,151.55,161.0,150.75,158.8,159.0,158.8,33978,15848403000.0,97158000,34194000,158.6
2020-05-26,SBIN,2020-06-25,152.25,153.55,150.3,151.6,151.95,151.6,17339,7907141000.0,62964000,26265000,151.4
2020-05-22,SBIN,2020-06-25,152.15,155.95,149.15,150.6,151.2,150.6,12309,5593434000.0,36699000,17211000,150.85
2020-05-21,SBIN,2020-06-25,154.0,156.6,151.75,152.1,152.1,152.1,4684,2170223000.0,19488000,4533000,151.95
2020-05-20,SBIN,2020-06-25,152.8,155.8,151.8,154.0,154.4,154.0,4560,2102290000.0000002,14955000,5400000,153.4
2020-05-19,SBIN,2020-06-25,157.95,158.65,152.5,152.85,153.0,152.85,2768,1290434000.0,9555000,1656000,152.8
2020-05-18,SBIN,2020-06-25,165.9,165.9,154.6,155.5,155.95,155.5,4100,1939897000.0,7899000,2367000,155.3
2020-05-15,SBIN,2020-06-25,168.3,168.95,165.15,166.8,166.6,166.8,742,371033000.0,5532000,540000,166.4
2020-05-14,SBIN,2020-06-25,171.6,172.6,168.0,168.35,168.5,168.35,867,442760000.00000006,4992000,165000,167.95
2020-05-13,SBIN,2020-06-25,180.8,180.8,171.5,175.15,175.5,175.15,2032,1068089000.0,4827000,642000,174.1
2020-05-12,SBIN,2020-06-25,164.55,169.5,161.1,168.05,168.15,168.05,1389,685013000.0,4185000,591000,166.9
2020-05-11,SBIN,2020-06-25,167.55,169.7,165.5,166.05,166.1,166.05,874,439013000.0,3594000,198000,165.45
2020-05-08,SBIN,2020-06-25,174.35,174.5,166.2,166.95,167.0,166.95,778,395794000.0,3396000,426000,166.65
2020-05-07,SBIN,2020-06-25,171.0,173.6,169.95,171.9,172.1,171.9,474,243927000.0,2970000,-66000,170.75
2020-05-06,SBIN,2020-06-25,172.75,173.9,167.35,172.3,173.2,172.3,950,486732000.0,3036000,213000,171.1
2020-05-05,SBIN,2020-06-25,181.35,181.65,169.45,170.75,171.5,170.75,1270,667326000.0,2823000,771000,170.4
2020-05-04,SBIN,2020-06-25,184.85,184.85,178.25,179.6,179.85,179.6,961,520087000.0,2052000,945000,178.85
2020-04-30,SBIN,2020-05-28,193.2,196.6,190.0,190.85,190.25,190.85,30969,18012198000.0,95298000,23403000,
