Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,TATAMOTORS,2020-08-27,104.45,107.5,104.45,107.05,107.05,107.05,331,200004000.0,3796200,324900,
2020-07-16,TATAMOTORS,2020-08-27,104.3,104.3,101.0,103.4,103.2,103.4,376,219657000.00000003,3471300,507300,
2020-07-15,TATAMOTORS,2020-08-27,106.8,107.0,103.1,103.7,104.1,103.7,279,167516000.0,2964000,182400,
2020-07-14,TATAMOTORS,2020-08-27,107.0,108.05,104.6,105.65,105.5,105.65,300,181627000.0,2781600,210900,
2020-07-13,TATAMOTORS,2020-08-27,108.5,112.75,107.6,108.75,109.0,108.75,510,320006000.0,2570700,96900,
2020-07-10,TATAMOTORS,2020-08-27,106.8,109.0,105.9,107.9,107.75,107.9,258,158057000.0,2473800,216600,
2020-07-09,TATAMOTORS,2020-08-27,106.45,109.6,105.15,107.5,108.0,107.5,280,170805000.0,2257200,239400,
2020-07-08,TATAMOTORS,2020-08-27,109.2,111.0,105.0,105.85,106.0,105.85,265,163131000.0,2017800,0,
2020-07-07,TATAMOTORS,2020-08-27,110.2,113.2,108.5,109.6,109.35,109.6,396,249191000.0,2017800,102600,109.05
2020-07-06,TATAMOTORS,2020-08-27,105.2,110.3,105.15,109.65,109.8,109.65,420,257946999.99999997,1915200,119700,
2020-07-03,TATAMOTORS,2020-08-27,103.0,106.7,102.65,104.0,103.75,104.0,356,213094999.99999997,1795500,233700,103.45
2020-07-02,TATAMOTORS,2020-08-27,101.3,103.25,100.55,102.0,102.1,102.0,290,168319000.0,1561800,28500,101.55
2020-07-01,TATAMOTORS,2020-08-27,98.95,101.9,98.7,101.15,100.75,101.15,208,119202000.0,1533300,153900,
2020-06-30,TATAMOTORS,2020-07-30,101.0,102.45,97.1,98.25,98.55,98.25,7082,4001658000.0,78945000,2257200,
2020-06-29,TATAMOTORS,2020-07-30,101.0,101.0,97.7,99.2,99.3,99.2,6284,3552798000.0000005,76687800,-1276800,99.45
2020-06-26,TATAMOTORS,2020-07-30,105.65,105.9,100.3,101.2,101.65,101.2,10533,6179768000.0,77964600,974700,101.4
2020-06-25,TATAMOTORS,2020-07-30,103.9,106.5,100.7,104.2,104.4,104.2,8563,5099987000.0,76989900,9142800,103.8
2020-06-24,TATAMOTORS,2020-07-30,107.25,111.5,104.35,104.9,105.15,104.9,13027,8050087000.0,67847100,13286700,104.8
2020-06-23,TATAMOTORS,2020-07-30,103.2,106.55,101.75,104.85,104.95,104.85,7081,4195483999.9999995,54560400,9627300,
2020-06-22,TATAMOTORS,2020-07-30,102.3,105.0,101.15,102.8,102.85,102.8,3063,1804828000.0,44933100,5375100,
2020-06-19,TATAMOTORS,2020-07-30,96.4,104.35,95.6,102.75,102.3,102.75,4891,2814037000.0,39558000,10470900,
2020-06-18,TATAMOTORS,2020-07-30,94.25,97.4,94.25,96.5,96.4,96.5,4663,2553513000.0,29087100,19596600,
2020-06-17,TATAMOTORS,2020-07-30,92.9,96.6,92.45,95.5,95.1,95.5,1152,622013000.0,9490500,1715700,
2020-06-16,TATAMOTORS,2020-07-30,102.0,103.65,91.0,94.65,94.5,94.65,2695,1479559000.0,7774800,3454200,
2020-06-15,TATAMOTORS,2020-07-30,104.25,104.65,100.05,100.6,100.8,100.6,614,356366000.0,4320600,701100,
2020-06-12,TATAMOTORS,2020-07-30,96.65,106.5,96.65,105.55,105.5,105.55,707,411789999.99999994,3619500,433200,
2020-06-11,TATAMOTORS,2020-07-30,109.25,111.4,105.4,106.4,106.5,106.4,513,318242000.0,3186300,267900,
2020-06-10,TATAMOTORS,2020-07-30,110.5,113.5,108.9,111.9,112.95,111.9,441,279983000.0,2918400,347700,
2020-06-09,TATAMOTORS,2020-07-30,117.6,118.0,110.85,111.95,111.5,111.95,492,318736000.0,2570700,279300,
2020-06-08,TATAMOTORS,2020-07-30,116.3,119.6,113.9,115.85,115.8,115.85,565,373621000.0,2291400,142500,
2020-06-05,TATAMOTORS,2020-07-30,100.75,112.7,100.2,111.5,112.6,111.5,869,532672000.0,2148900,347700,
2020-06-04,TATAMOTORS,2020-07-30,99.1,101.8,97.05,99.05,99.15,99.05,278,157619000.0,1801200,245100,98.5
2020-06-03,TATAMOTORS,2020-07-30,100.6,101.5,98.0,99.05,99.3,99.05,286,163311000.0,1556100,296400,
2020-06-02,TATAMOTORS,2020-07-30,90.4,97.7,90.25,96.85,96.5,96.85,392,210376000.00000003,1259700,51300,96.5
2020-06-01,TATAMOTORS,2020-07-30,87.65,91.55,87.3,90.0,90.0,90.0,289,148116000.0,1208400,79800,89.55
2020-05-29,TATAMOTORS,2020-06-25,85.4,87.4,84.1,86.05,85.5,86.05,13445,4943911000.0,80388500,3014300,87.0
2020-05-28,TATAMOTORS,2020-06-25,85.35,88.2,84.35,87.0,87.1,87.0,22161,8242686000.0,77374200,32611200,87.0
2020-05-27,TATAMOTORS,2020-06-25,84.0,86.15,84.0,84.7,84.95,84.7,9304,3400844000.0,44763000,15664900,84.55
2020-05-26,TATAMOTORS,2020-06-25,84.0,85.9,82.75,83.35,83.3,83.35,7138,2583101000.0,29098100,15707900,83.1
2020-05-22,TATAMOTORS,2020-06-25,83.1,84.0,81.7,82.9,83.25,82.9,2508,888337000.0000001,13390200,5620100,82.8
2020-05-21,TATAMOTORS,2020-06-25,83.15,85.45,83.1,84.15,84.05,84.15,1079,392146000.0,7770100,1616800,84.1
2020-05-20,TATAMOTORS,2020-06-25,81.2,84.7,81.2,83.75,84.0,83.75,705,252429000.0,6153300,894400,83.45
2020-05-19,TATAMOTORS,2020-06-25,82.35,85.9,81.85,82.15,82.6,82.15,1003,361596000.0,5258900,915900,81.8
2020-05-18,TATAMOTORS,2020-06-25,83.6,83.65,79.45,80.75,80.95,80.75,765,266821999.99999997,4343000,881500,80.65
2020-05-15,TATAMOTORS,2020-06-25,84.3,85.75,83.0,84.7,84.5,84.7,300,108493000.0,3461500,215000,84.35
