Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,TVSMOTOR,2020-07-30,390.7,398.4,386.2,388.95,389.15,388.95,2474,1356263000.0,5019000,212800,
2020-07-16,TVSMOTOR,2020-07-30,390.35,391.85,380.95,388.4,387.7,388.4,1875,1019017000.0,4806200,51800,
2020-07-15,TVSMOTOR,2020-07-30,381.8,395.8,381.8,388.15,389.0,388.15,1904,1039270999.9999999,4754400,-156800,
2020-07-14,TVSMOTOR,2020-07-30,388.5,388.5,375.25,380.65,379.7,380.65,1604,853139000.0,4911200,242200,
2020-07-13,TVSMOTOR,2020-07-30,387.0,390.25,383.2,388.8,388.8,388.8,1020,553291000.0,4669000,60200,
2020-07-10,TVSMOTOR,2020-07-30,385.2,396.5,382.3,384.85,385.05,384.85,2909,1581381000.0,4608800,-85400,
2020-07-09,TVSMOTOR,2020-07-30,384.5,390.05,380.4,388.65,387.6,388.65,2124,1145528000.0,4694200,-16800,
2020-07-08,TVSMOTOR,2020-07-30,396.7,396.7,380.95,383.6,383.4,383.6,2707,1462916000.0,4711000,271600,
2020-07-07,TVSMOTOR,2020-07-30,405.05,405.05,393.15,395.0,393.45,395.0,1840,1024324000.0,4439400,56000,400.1
2020-07-06,TVSMOTOR,2020-07-30,395.2,405.0,393.5,403.4,403.4,403.4,2640,1478921000.0,4383400,253400,
2020-07-03,TVSMOTOR,2020-07-30,384.5,396.6,382.5,392.8,394.05,392.8,2995,1640884999.9999998,4130000,-26600,395.5
2020-07-02,TVSMOTOR,2020-07-30,382.0,385.5,377.0,383.35,384.1,383.35,2101,1124094000.0,4156600,-15400,385.5
2020-07-01,TVSMOTOR,2020-07-30,376.2,382.3,372.8,378.7,381.0,378.7,1517,802845000.0,4172000,149800,
2020-06-25,TVSMOTOR,2020-06-25,377.2,393.7,376.25,384.55,381.1,383.3,1862,966325000.0,232200,-924750,383.3
2020-06-24,TVSMOTOR,2020-06-25,384.0,391.45,378.15,380.4,382.95,380.4,2570,1334236000.0,1156950,-1102950,380.6
2020-06-23,TVSMOTOR,2020-06-25,384.1,385.35,377.4,381.2,382.85,381.2,2886,1485526000.0,2259900,-1304100,
2020-06-22,TVSMOTOR,2020-06-25,366.95,385.0,366.0,382.0,383.0,382.0,3232,1655158000.0000002,3564000,-484650,
2020-06-19,TVSMOTOR,2020-06-25,359.85,371.05,359.85,367.5,366.6,367.5,2968,1468046000.0,4048650,-25650,
2020-06-18,TVSMOTOR,2020-06-25,357.15,362.2,354.65,360.75,360.2,360.75,2361,1142497000.0,4074300,66150,
2020-06-17,TVSMOTOR,2020-06-25,348.4,358.2,347.0,355.65,354.95,355.65,2553,1218468000.0,4008150,-10800,
2020-06-16,TVSMOTOR,2020-06-25,342.8,357.9,342.8,350.55,348.2,350.55,3499,1664037000.0,4018950,85050,
2020-06-15,TVSMOTOR,2020-06-25,342.6,348.95,335.65,342.0,340.25,342.0,2086,960520000.0000001,3933900,-102600,
2020-06-12,TVSMOTOR,2020-06-25,318.0,347.6,312.3,344.8,343.1,344.8,4195,1883623000.0,4036500,-202500,
2020-06-11,TVSMOTOR,2020-06-25,344.75,348.1,329.0,330.8,330.2,330.8,3445,1560573000.0,4239000,140400,
2020-06-10,TVSMOTOR,2020-06-25,351.15,361.0,340.75,343.55,344.0,343.55,2832,1333334000.0,4098600,-78300,
