Date,Symbol,Expiry,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Open Interest,Change in OI,Underlying
2020-07-17,UBL,2020-08-27,984.2,998.45,979.05,987.45,989.75,987.45,27,18672000.0,53900,3500,
2020-07-16,UBL,2020-08-27,993.5,993.5,974.3,981.6,982.9,981.6,24,16458000.000000002,50400,7000,
2020-07-15,UBL,2020-08-27,1006.5,1016.5,999.0,1001.75,1005.75,1001.75,15,10565000.0,43400,2800,
2020-07-14,UBL,2020-08-27,1015.0,1019.5,1005.8,1009.9,1009.9,1009.9,22,15625000.0,40600,2100,
2020-07-13,UBL,2020-08-27,1048.85,1048.9,1009.25,1013.6,1013.35,1013.6,26,18539000.0,38500,10500,
2020-07-10,UBL,2020-08-27,1051.45,1051.45,1030.0,1034.4,1032.15,1034.4,27,19639000.0,28000,7700,
2020-07-09,UBL,2020-08-27,1054.4,1058.0,1046.95,1058.0,1058.0,1076.25,8,5895000.0,20300,2800,
2020-07-08,UBL,2020-08-27,1053.0,1066.0,1048.0,1063.35,1063.35,1068.75,9,6656999.999999999,17500,700,
2020-07-07,UBL,2020-08-27,1055.45,1055.45,1041.5,1043.15,1043.3,1043.15,5,3665000.0,16800,1400,1049.8
2020-07-06,UBL,2020-08-27,1040.75,1060.75,1028.95,1059.8,1059.8,1066.8,13,9537000.0,15400,4200,
2020-07-03,UBL,2020-08-27,1047.75,1047.75,1030.0,1035.1,1035.1,1035.1,4,2904000.0,11200,0,1037.25
2020-07-02,UBL,2020-08-27,1026.65,1049.1,1026.65,1039.6,1041.9,1039.6,10,7265000.000000001,11200,-700,1055.7
2020-07-01,UBL,2020-08-27,1027.05,1036.65,1014.45,1015.95,1015.95,1030.45,8,5751000.0,11900,1400,
2020-06-30,UBL,2020-07-30,1003.75,1042.5,1002.05,1030.25,1031.3,1030.25,2371,1705663000.0,881300,-61600,
2020-06-29,UBL,2020-07-30,1019.0,1038.3,980.0,988.1,996.0,988.1,1860,1297870000.0,942900,89600,1005.8
2020-06-26,UBL,2020-07-30,1054.8,1060.0,1008.0,1010.75,1011.25,1010.75,1268,910453000.0000001,853300,133000,1017.95
2020-06-25,UBL,2020-07-30,1019.8,1059.0,1019.8,1045.9,1048.3,1045.9,1710,1247677000.0,720300,111300,1049.1
2020-06-24,UBL,2020-07-30,1041.2,1082.1,1037.45,1052.4,1048.0,1052.4,1867,1389370000.0,609000,246400,1050.8
2020-06-23,UBL,2020-07-30,1034.85,1051.6,1025.0,1035.65,1035.05,1035.65,764,555919000.0,362600,171500,
2020-06-22,UBL,2020-07-30,1025.0,1044.4,1015.0,1032.55,1033.85,1032.55,471,340360000.0,191100,75600,
2020-06-19,UBL,2020-07-30,1018.0,1051.2,1017.4,1022.9,1025.0,1022.9,211,151951000.0,115500,56000,
2020-06-18,UBL,2020-07-30,1009.0,1020.0,1002.6,1012.55,1010.5,1012.55,75,53103000.0,59500,13300,
2020-06-17,UBL,2020-07-30,994.35,1009.8,994.35,1000.45,998.5,1000.45,26,18244000.0,46200,3500,
2020-06-16,UBL,2020-07-30,1016.5,1016.5,984.0,999.55,999.1,999.55,24,16856000.0,42700,2800,
2020-06-15,UBL,2020-07-30,1020.5,1020.5,996.0,998.8,996.0,998.8,31,21780000.0,39900,9100,
2020-06-12,UBL,2020-07-30,981.95,1020.0,981.95,1016.25,1016.25,1019.3,24,16827000.0,30800,8400,
2020-06-11,UBL,2020-07-30,1018.0,1021.0,1008.0,1009.5,1009.5,1004.8,6,4262000.0,22400,0,
2020-06-10,UBL,2020-07-30,1002.35,1014.7,1000.1,1014.7,1014.7,1014.7,11,7752000.0,22400,4200,
2020-06-09,UBL,2020-07-30,1020.0,1030.35,1005.0,1007.3,1005.0,1007.3,16,11412000.0,18200,1400,
