symbol,entry_date,exit_date,expiry_date_curr,expiry_date_near,closing_price_curr,closing_price_near,difference,mean,std,upper_range,lower_range,signal,entry,exit,target,stoploss,pnl,returns
TCS,2018-05-14,2018-05-17,2018-05-31,2018-06-28,3450.0,3436.05,-13.95,6.1,7.42,24.65,-12.45,Buy Spread,-13.95,-18.34999999999991,-2.8200000000000003,-17.66,-4.39999999999991,-0.3154
TCS,2020-02-17,2020-02-24,2020-02-27,2020-03-26,2208.8,2201.05,-7.75,6.93,5.2,19.93,-6.07,Buy Spread,-7.75,-15.150000000000091,0.05000000000000071,-10.35,-7.400000000000091,-0.9548
TCS,2020-02-25,2020-02-27,2020-02-27,2020-03-26,2157.75,2147.35,-10.4,6.76,5.45,20.38,-6.86,Buy Spread,-10.4,-10.649999999999636,-2.225,-13.125,-0.24999999999963585,-0.024
TCS,2020-05-27,2020-05-28,2020-05-28,2020-06-25,2003.2,1992.05,-11.15,6.54,5.49,20.26,-7.19,Buy Spread,-11.15,-16.59999999999991,-2.9150000000000014,-13.895,-5.449999999999909,-0.4888
INFY,2018-05-14,2018-05-31,2018-05-31,2018-06-28,1190.65,1163.4,-27.25,0.14,9.68,24.34,-24.06,Buy Spread,-27.25,-23.550000000000182,-12.73,-32.09,3.699999999999818,0.1358
HDFCBANK,2018-05-14,2018-05-21,2018-05-31,2018-06-28,2024.55,2017.8,-6.75,1.94,2.95,9.32,-5.44,Buy Spread,-6.75,-2.0,-2.3249999999999997,-8.225,4.75,0.7037
HDFCBANK,2019-03-27,2019-03-28,2019-03-28,2019-04-25,2300.6,2316.6,16.0,4.33,4.22,14.88,-6.22,Sell Spread,16.0,12.299999999999727,9.67,18.11,3.700000000000273,0.2313
HDFCBANK,2020-03-24,2020-03-25,2020-03-26,2020-04-30,768.2,759.65,-8.55,5.49,4.24,16.09,-5.11,Buy Spread,-8.55,-11.950000000000045,-2.1900000000000004,-10.670000000000002,-3.4000000000000448,-0.3977
LUPIN,2018-05-15,2018-05-16,2018-05-31,2018-06-28,753.35,755.0,1.65,4.33,0.83,6.4,2.26,Buy Spread,1.65,4.649999999999977,2.895,1.235,2.9999999999999774,1.8182
LUPIN,2018-06-01,2018-06-04,2018-06-28,2018-07-26,765.8,766.85,1.05,4.19,0.9,6.44,1.94,Buy Spread,1.05,0.3000000000000682,2.4000000000000004,0.6000000000000001,-0.7499999999999318,-0.7143
LUPIN,2018-06-05,2018-06-11,2018-06-28,2018-07-26,761.3,762.25,0.95,4.12,1.01,6.64,1.6,Buy Spread,0.95,-0.25,2.465,0.445,-1.2,-1.2632
LUPIN,2018-06-12,2018-06-14,2018-06-28,2018-07-26,855.5,855.1,-0.4,3.95,1.27,7.12,0.78,Buy Spread,-0.4,1.8999999999999773,1.505,-1.035,2.299999999999977,5.75
LUPIN,2018-07-18,2018-07-26,2018-07-26,2018-08-30,811.15,810.25,-0.9,3.42,1.68,7.62,-0.78,Buy Spread,-0.9,1.7999999999999545,1.62,-1.74,2.6999999999999544,3.0
LUPIN,2019-07-12,2019-07-22,2019-07-25,2019-08-29,763.55,763.0,-0.55,3.66,1.64,7.76,-0.44,Buy Spread,-0.55,-1.5,1.91,-1.37,-0.95,-1.7273
LUPIN,2019-07-23,2019-07-24,2019-07-25,2019-08-29,756.65,754.4,-2.25,3.56,1.76,7.96,-0.84,Buy Spread,-2.25,-3.199999999999932,0.3900000000000001,-3.13,-0.9499999999999318,-0.4222
LUPIN,2020-02-26,2020-02-27,2020-02-27,2020-03-26,668.9,666.75,-2.15,3.31,1.75,7.68,-1.06,Buy Spread,-2.15,1.6999999999999318,0.4750000000000001,-3.025,3.8499999999999317,1.7907
LUPIN,2020-03-18,2020-03-19,2020-03-26,2020-04-30,614.55,612.05,-2.5,3.29,1.75,7.66,-1.08,Buy Spread,-2.5,0.39999999999997726,0.125,-3.375,2.8999999999999773,1.16
LUPIN,2020-06-01,2020-06-04,2020-06-25,2020-07-30,850.1,848.45,-1.65,3.25,1.75,7.62,-1.12,Buy Spread,-1.65,-3.6000000000000227,0.975,-2.525,-1.9500000000000228,-1.1818
LUPIN,2020-06-05,2020-06-08,2020-06-25,2020-07-30,905.0,901.05,-3.95,3.21,1.81,7.74,-1.32,Buy Spread,-3.95,3.449999999999932,-1.2350000000000003,-4.855,7.399999999999932,1.8734
LUPIN,2020-06-09,2020-06-10,2020-06-25,2020-07-30,920.3,918.9,-1.4,3.2,1.82,7.75,-1.35,Buy Spread,-1.4,-3.9500000000000455,1.33,-2.31,-2.5500000000000456,-1.8214
LUPIN,2020-06-12,2020-06-25,2020-06-25,2020-07-30,914.2,910.95,-3.25,3.17,1.87,7.85,-1.51,Buy Spread,-3.25,-2.1000000000000227,-0.44499999999999984,-4.1850000000000005,1.1499999999999773,0.3538
LUPIN,2020-07-01,2020-07-02,2020-07-30,2020-08-27,899.95,896.45,-3.5,3.05,2.04,8.15,-2.05,Buy Spread,-3.5,0.5499999999999545,-0.44,-4.52,4.0499999999999545,1.1571
HINDUNILVR,2018-05-15,2018-05-31,2018-05-31,2018-06-28,1522.55,1517.2,-5.35,4.38,3.36,12.78,-4.02,Buy Spread,-5.35,-3.6499999999998636,-0.3099999999999996,-7.0299999999999985,1.700000000000136,0.3178
HINDUNILVR,2019-05-10,2019-05-30,2019-05-30,2019-06-27,1696.7,1693.0,-3.7,6.23,3.86,15.88,-3.42,Buy Spread,-3.7,-4.449999999999818,2.09,-5.63,-0.7499999999998179,-0.2027
HINDUNILVR,2020-03-25,2020-03-26,2020-03-26,2020-04-30,2095.4,2113.45,18.05,6.46,3.94,16.31,-3.39,Sell Spread,18.05,10.25,12.14,20.02,7.800000000000001,0.4321
HINDUNILVR,2020-05-04,2020-05-08,2020-05-28,2020-06-25,2085.4,2080.95,-4.45,6.52,3.95,16.4,-3.36,Buy Spread,-4.45,-6.5,1.4750000000000003,-6.425000000000002,-2.05,-0.4607
HINDUNILVR,2020-05-11,2020-05-27,2020-05-28,2020-06-25,2028.55,2024.65,-3.9,6.42,4.07,16.6,-3.76,Buy Spread,-3.9,-6.850000000000136,2.2050000000000005,-5.9350000000000005,-2.9500000000001365,-0.7564
FEDERALBNK,2018-05-21,2018-05-22,2018-05-31,2018-06-28,81.2,81.4,0.2,0.52,0.13,0.84,0.2,Buy Spread,0.2,0.3999999999999915,0.395,0.135,0.19999999999999146,1.0
FEDERALBNK,2018-06-01,2018-06-04,2018-06-28,2018-07-26,83.35,83.25,-0.1,0.5,0.14,0.85,0.15,Buy Spread,-0.1,-0.25,0.11,-0.17,-0.15,-1.5
FEDERALBNK,2018-06-05,2018-06-22,2018-06-28,2018-07-26,82.55,82.3,-0.25,0.49,0.17,0.92,0.06,Buy Spread,-0.25,0.04999999999999716,0.0050000000000000044,-0.335,0.29999999999999716,1.2
FEDERALBNK,2018-07-06,2018-07-26,2018-07-26,2018-08-30,81.9,81.4,-0.5,0.39,0.29,1.12,-0.34,Buy Spread,-0.5,-0.29999999999999716,-0.06500000000000006,-0.645,0.20000000000000284,0.4
FEDERALBNK,2019-06-11,2019-06-19,2019-06-27,2019-07-25,107.5,107.1,-0.4,0.39,0.28,1.09,-0.31,Buy Spread,-0.4,-0.5999999999999943,0.020000000000000014,-0.54,-0.1999999999999943,-0.5
FEDERALBNK,2019-06-20,2019-06-27,2019-06-27,2019-07-25,104.45,103.9,-0.55,0.37,0.3,1.12,-0.38,Buy Spread,-0.55,-0.75,-0.10000000000000007,-0.7000000000000001,-0.19999999999999996,-0.3636
RELIANCE,2018-05-29,2018-05-31,2018-05-31,2018-06-28,917.1,917.15,0.05,3.53,1.28,6.73,0.33,Buy Spread,0.05,0.900000000000091,1.97,-0.59,0.8500000000000909,17.0
RELIANCE,2019-03-27,2019-03-28,2019-03-28,2019-04-25,1351.55,1360.95,9.4,4.91,1.6,8.91,0.91,Sell Spread,9.4,11.699999999999818,7.0,10.2,-2.2999999999998177,-0.2447
RELIANCE,2019-04-11,2019-04-12,2019-04-25,2019-05-30,1356.2,1365.85,9.65,5.04,1.73,9.36,0.71,Sell Spread,9.65,5.849999999999909,7.0550000000000015,10.515,3.8000000000000913,0.3938
RELIANCE,2019-04-15,2019-04-23,2019-04-25,2019-05-30,1346.05,1355.55,9.5,5.05,1.74,9.4,0.7,Sell Spread,9.5,10.75,6.8900000000000015,10.37,-1.25,-0.1316
