Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,SIEMENS,EQ,1370.0,1371.0,1385.0,1346.05,1357.05,1362.25,1363.89,199724,27240137145000.0,11186,56213,0.2815
2015-10-14,SIEMENS,EQ,1362.25,1365.0,1375.0,1362.0,1369.5,1369.7,1368.37,117808,16120496894999.998,5929,27274,0.23149999999999998
2015-10-15,SIEMENS,EQ,1369.7,1380.0,1384.95,1371.2,1377.5,1374.55,1377.09,165060,22730186410000.0,7265,48506,0.2939
2015-10-16,SIEMENS,EQ,1374.55,1380.1,1389.95,1368.0,1381.9,1381.75,1380.0,285870,39450090815000.0,14307,101081,0.3536
2015-10-19,SIEMENS,EQ,1381.75,1380.0,1388.0,1361.0,1367.55,1369.95,1373.61,188511,25894145485000.0,11084,80473,0.4269
2015-10-20,SIEMENS,EQ,1369.95,1368.0,1382.0,1350.0,1365.0,1356.65,1364.61,207584,28327096075000.0,11099,99077,0.4773
2015-10-21,SIEMENS,EQ,1356.65,1358.0,1369.5,1321.0,1346.5,1349.45,1346.11,201539,27129356925000.0,11986,76214,0.37820000000000004
2015-10-23,SIEMENS,EQ,1349.45,1363.0,1375.0,1352.5,1371.0,1371.05,1367.89,218556,29896110220000.0,12262,81941,0.3749
2015-10-26,SIEMENS,EQ,1371.05,1371.2,1390.0,1358.0,1383.8,1386.6,1378.65,199337,27481636989999.996,12694,88086,0.44189999999999996
2015-10-27,SIEMENS,EQ,1386.6,1380.0,1396.4,1370.0,1388.0,1385.45,1383.24,192217,26588273130000.0,14736,67069,0.3489
2015-10-28,SIEMENS,EQ,1385.45,1379.0,1387.95,1350.5,1357.4,1358.5,1364.6,231306,31563918745000.0,22816,109428,0.4731
2015-10-29,SIEMENS,EQ,1358.5,1356.0,1370.0,1341.25,1363.85,1357.2,1353.02,223665,30262298255000.0,16145,96268,0.4304
2015-10-30,SIEMENS,EQ,1357.2,1361.0,1362.6,1317.55,1329.95,1327.25,1338.01,150973,20200267410000.0,10546,62393,0.4133
2015-11-02,SIEMENS,EQ,1327.25,1327.25,1334.65,1290.4,1310.35,1314.65,1303.21,164818,21479321710000.0,8180,39869,0.24190000000000003
2015-11-03,SIEMENS,EQ,1314.65,1314.15,1344.0,1314.0,1337.2,1338.0,1334.6,148309,19793279090000.0,8298,48145,0.3246
2015-11-04,SIEMENS,EQ,1338.0,1343.1,1359.6,1298.0,1302.9,1302.9,1325.08,262909,34837497750000.0,13741,77859,0.2961
2015-11-05,SIEMENS,EQ,1302.9,1307.0,1309.9,1267.6,1270.0,1273.05,1288.71,231306,29808616964999.996,9646,68855,0.2977
2015-11-06,SIEMENS,EQ,1273.05,1271.0,1284.5,1245.5,1259.0,1258.3,1257.28,149741,18826605665000.0,7306,31768,0.2122
2015-11-09,SIEMENS,EQ,1258.3,1230.0,1279.95,1215.4,1258.5,1262.85,1258.96,181225,22815426420000.0,9139,48012,0.26489999999999997
2015-11-10,SIEMENS,EQ,1262.85,1260.0,1260.0,1226.0,1231.1,1231.55,1241.44,137605,17082884405000.002,6065,43035,0.3127
2015-11-11,SIEMENS,EQ,1231.55,1242.0,1250.0,1237.0,1242.0,1243.0,1243.98,22342,2779300835000.0,1179,9087,0.4067
2015-11-13,SIEMENS,EQ,1243.0,1238.5,1259.95,1225.9,1241.9,1249.35,1240.95,142091,17632791715000.0,8276,51236,0.36060000000000003
2015-11-16,SIEMENS,EQ,1249.35,1242.1,1259.1,1224.0,1237.0,1236.7,1240.25,236141,29287367280000.0,10899,98744,0.4182
2015-11-17,SIEMENS,EQ,1236.7,1243.2,1255.0,1204.0,1220.9,1219.95,1223.46,222045,27166262520000.0,10913,64272,0.2895
2015-11-18,SIEMENS,EQ,1219.95,1219.9,1231.8,1210.0,1217.0,1217.25,1221.5,130302,15916373985000.0,5731,18940,0.1454
2015-11-19,SIEMENS,EQ,1217.25,1224.0,1237.7,1220.0,1234.55,1230.25,1227.83,170936,20988090800000.0,12064,58647,0.3431
2015-11-20,SIEMENS,EQ,1230.25,1235.0,1259.05,1231.05,1245.3,1240.05,1247.81,193895,24194341315000.0,8812,37948,0.1957
2015-11-23,SIEMENS,EQ,1240.05,1245.3,1250.0,1230.5,1240.3,1239.15,1239.44,103390,12814582695000.0,4487,16358,0.1582
2015-11-24,SIEMENS,EQ,1239.15,1232.1,1247.2,1205.85,1208.55,1211.55,1223.23,246198,30115700375000.0,11830,89566,0.3638
2015-11-26,SIEMENS,EQ,1211.55,1208.1,1222.0,1202.0,1218.0,1218.35,1216.43,384031,46714708035000.0,12684,148097,0.38560000000000005
2015-11-27,SIEMENS,EQ,1218.35,1219.7,1237.0,1210.0,1226.0,1229.35,1225.78,241442,29595593560000.004,10927,46808,0.19390000000000002
2015-11-30,SIEMENS,EQ,1229.35,1225.0,1256.45,1213.35,1244.0,1237.95,1237.44,579392,71696190930000.0,29365,220432,0.3805
2015-12-01,SIEMENS,EQ,1237.95,1246.1,1250.05,1223.0,1224.15,1227.15,1235.23,172194,21269912665000.0,12819,56635,0.3289
2015-12-02,SIEMENS,EQ,1227.15,1230.1,1232.4,1208.1,1212.7,1212.15,1218.18,145890,17772020010000.0,7774,35587,0.2439
2015-12-03,SIEMENS,EQ,1212.15,1200.0,1213.55,1185.1,1193.95,1190.75,1197.47,284722,34094686885000.004,13916,58055,0.2039
2015-12-04,SIEMENS,EQ,1190.75,1180.0,1189.8,1160.0,1163.0,1163.1,1173.46,300400,35250639465000.0,13620,145432,0.4841
2015-12-07,SIEMENS,EQ,1163.1,1165.1,1189.15,1152.3,1179.3,1176.95,1172.84,343943,40339122520000.0,13403,71649,0.20829999999999999
2015-12-08,SIEMENS,EQ,1176.95,1180.0,1187.95,1163.25,1169.0,1169.5,1173.9,235908,27693231335000.004,8520,93182,0.395
2015-12-09,SIEMENS,EQ,1169.5,1163.1,1171.9,1143.5,1152.0,1148.75,1151.16,230026,26479696210000.0,9447,87174,0.379
2015-12-10,SIEMENS,EQ,1148.75,1146.1,1155.5,1121.1,1148.9,1146.3,1136.93,202584,23032383315000.0,11849,46251,0.22829999999999998
2015-12-11,SIEMENS,EQ,1146.3,1158.4,1162.0,1138.5,1146.7,1145.5,1148.7,352457,40486764015000.0,10649,144875,0.41100000000000003
2015-12-14,SIEMENS,EQ,1145.5,1141.0,1163.8,1131.1,1155.0,1155.05,1143.17,342132,39111545800000.0,9014,131993,0.3858
2015-12-15,SIEMENS,EQ,1155.05,1160.0,1173.8,1146.0,1160.0,1161.75,1157.68,255026,29523778095000.0,10738,69248,0.2715
2015-12-16,SIEMENS,EQ,1161.75,1173.0,1182.6,1163.0,1176.65,1177.45,1177.17,284014,33433145810000.004,9049,119262,0.41990000000000005
2015-12-17,SIEMENS,EQ,1177.45,1178.75,1191.5,1174.35,1180.0,1179.5,1180.97,248081,29297688439999.996,10160,119829,0.483
