Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-10-13,SRTRANSFIN,EQ,977.45,973.2,1013.0,965.7,1012.0,1007.45,995.52,489220,48703008985000.0,17346,280666,0.5737
2015-10-14,SRTRANSFIN,EQ,1007.45,1013.1,1018.9,971.0,989.9,990.35,994.12,400709,39835345825000.0,38161,210522,0.5254
2015-10-15,SRTRANSFIN,EQ,990.35,1002.0,1005.0,986.0,998.8,998.15,998.04,294024,29344637350000.0,28959,164203,0.5585
2015-10-16,SRTRANSFIN,EQ,998.15,1006.0,1008.7,933.3,960.0,957.5,957.16,902238,86358960650000.0,43515,535121,0.5931000000000001
2015-10-19,SRTRANSFIN,EQ,957.5,964.5,975.1,946.35,970.5,967.5,958.76,380870,36516478740000.0,24819,151032,0.3965
2015-10-20,SRTRANSFIN,EQ,967.5,973.9,977.9,962.0,971.8,973.3,969.99,301311,29226982080000.0,23224,172079,0.5711
2015-10-21,SRTRANSFIN,EQ,973.3,970.0,970.0,908.0,934.0,933.3,929.49,1444604,134274080430000.0,53181,514214,0.35600000000000004
2015-10-23,SRTRANSFIN,EQ,933.3,970.0,970.0,938.0,944.0,947.25,950.71,818468,77812300045000.0,41176,340800,0.4164
2015-10-26,SRTRANSFIN,EQ,947.25,948.6,956.4,932.4,940.0,945.15,943.78,494693,46688019015000.0,28185,265201,0.5361
2015-10-27,SRTRANSFIN,EQ,945.15,942.95,954.0,928.3,941.2,944.65,940.11,414150,38934564665000.0,37021,220463,0.5323
2015-10-28,SRTRANSFIN,EQ,944.65,942.3,950.5,925.0,934.8,933.0,935.73,624867,58470384985000.0,33760,286611,0.4587
2015-10-29,SRTRANSFIN,EQ,933.0,934.4,945.0,902.0,945.0,941.5,928.37,1281138,118936577105000.0,51963,544171,0.42479999999999996
2015-10-30,SRTRANSFIN,EQ,941.5,932.0,954.0,930.55,946.85,943.35,946.31,474535,44905678580000.0,22288,204656,0.4313
2015-11-02,SRTRANSFIN,EQ,943.35,949.5,965.0,931.45,938.0,940.1,949.55,512194,48635132765000.0,20361,241248,0.47100000000000003
2015-11-03,SRTRANSFIN,EQ,940.1,944.85,956.9,935.15,952.0,952.0,946.56,283650,26849099525000.0,15283,95050,0.3351
