Date,Residuals
2018-10-05,-861.9713552712674
2018-10-08,-902.8346618472533
2018-10-09,-841.3141071235377
2018-10-10,-833.1912848521729
2018-10-11,-818.2908229258119
2018-10-12,-790.8769517731625
2018-10-15,-704.3830615265697
2018-10-16,-737.0085106216429
2018-10-17,-712.3773623743723
2018-10-19,-712.5656817816462
2018-10-22,-762.6504925966447
2018-10-23,-773.4250948267227
2018-10-24,-805.25962335339
2018-10-25,-825.6939722420279
2018-10-26,-809.6535649251337
2018-10-29,-773.4180776421736
2018-10-30,-707.6545657655824
2018-10-31,-795.9376736095955
2018-11-01,-878.5184625808074
2018-11-02,-897.5701655517937
2018-11-05,-896.0258903665663
2018-11-06,-877.7587159222476
2018-11-07,-890.0242643833076
2018-11-09,-979.4939116758806
2018-11-12,-930.4531450829281
2018-11-13,-871.1738794446733
2018-11-14,-874.5125068028542
2018-11-15,-857.6355343748237
2018-11-16,-845.9336517658085
2018-11-19,-814.0281065890649
2018-11-20,-873.3431931237633
2018-11-21,-757.6167596098212
2018-11-22,-726.6587929099746
2018-11-26,-788.0954606714131
2018-11-27,-742.5414388276263
2018-11-28,-763.4049507042168
2018-11-29,-684.1261469923224
2018-11-30,-649.3322824083057
2018-12-03,-693.507166926715
2018-12-04,-689.7229206883794
2018-12-05,-675.0454606714129
2018-12-06,-629.3407459380851
2018-12-07,-576.2599569668728
2018-12-10,-547.1192160364963
2018-12-11,-523.5827022505109
2018-12-12,-662.8155021436169
2018-12-13,-670.6618652384641
2018-12-14,-633.5806143408913
2018-12-17,-645.7944598309641
2018-12-18,-602.4231095674049
2018-12-19,-625.6365444562689
2018-12-20,-595.792140958164
2018-12-21,-607.6247355506639
2018-12-24,-606.7880934518012
2018-12-26,-589.6535392625583
2018-12-27,-612.9937926039988
2018-12-28,-599.4863391556637
2018-12-31,-620.4634398965723
2019-01-01,-630.2595976908142
2019-01-02,-621.0286547441488
2019-01-03,-630.1034879374074
2019-01-04,-624.6748382009669
2019-01-07,-664.1209703326335
2019-01-08,-690.0021699050553
2019-01-09,-675.9216118970239
2019-01-10,-712.7181546299003
2019-01-11,-712.6795529342949
2019-01-14,-722.635329074219
2019-01-15,-734.933728753535
2019-01-16,-715.8126094531567
2019-01-17,-690.5931161360368
2019-01-18,-704.3757107285369
2019-01-21,-712.0200629014912
2019-01-22,-693.587622284444
2019-01-23,-677.0125068028542
2019-01-24,-665.1780039387627
2019-01-25,-656.6414131650504
2019-01-28,-651.4158100945237
2019-01-29,-622.3505695843714
2019-01-30,-650.054719741036
2019-01-31,-611.0972149675504
2019-02-01,-557.9551046796705
2019-02-04,-555.4178980041443
2019-02-05,-433.7732635428588
2019-02-06,-493.8216632221752
2019-02-07,-493.9143380867181
2019-02-08,-516.0716888847505
2019-02-11,-673.8832668271748
2019-02-12,-644.9545144404315
2019-02-13,-617.2541551643735
2019-02-14,-597.0599056417218
2019-02-15,-655.6997740445277
2019-02-18,-643.3746585629374
2019-02-19,-656.9667945133929
2019-02-20,-694.24593183877
2019-02-21,-647.4614802998294
2019-02-22,-594.4345591969509
2019-02-25,-528.3514256903627
2019-02-26,-565.4516309909673
2019-02-27,-566.6977887852099
2019-02-28,-569.1399503982407
2019-03-01,-577.1171281268762
2019-03-05,-588.3154251558899
2019-03-06,-544.0057554850569
2019-03-07,-542.7998253696792
2019-03-08,-626.9327279130866
2019-03-11,-641.6214835841456
2019-03-12,-639.864235436416
2019-03-13,-638.7487126379319
2019-03-14,-668.1604958809603
2019-03-15,-644.9584336339158
2019-03-18,-644.3604702183852
2019-03-19,-605.1104702183852
2019-03-20,-560.862378489976
2019-03-22,-546.846830028916
2019-03-25,-530.2642867615673
2019-03-26,-539.3355600373998
2019-03-27,-544.7796555845971
2019-03-28,-582.5910795515679
2019-03-29,-545.5029141197479
2019-04-01,-544.972304786565
2019-04-02,-530.4644920621718
2019-04-03,-540.4757620536889
2019-04-04,-554.5759930168692
2019-04-05,-575.4702682020961
2019-04-08,-558.3317178316424
2019-04-09,-575.3952553708082
2019-04-10,-570.7914901527774
2019-04-11,-511.5798095600512
2019-04-12,-506.06815462990016
2019-04-15,-521.4431674611878
2019-04-16,-497.45095452300575
2019-04-18,-535.8260956671716
2019-04-22,-522.956679337779
2019-04-23,-493.8239564323999
2019-04-24,-468.17024253952013
2019-04-25,-420.41082949444353
2019-04-26,-514.676916869591
2019-04-30,-452.23437031792537
2019-05-02,-431.90128813648835
2019-05-03,-409.3028114694457
2019-05-06,-395.89319312376347
2019-05-07,-359.8507235598254
2019-05-08,-392.281384218159
2019-05-09,-377.38313851429666
2019-05-10,-387.04451115611573
2019-05-13,-406.9535135999831
2019-05-14,-398.12269896619546
2019-05-15,-382.9129779702107
2019-05-16,-424.45369323801197
2019-05-17,-383.7891291958217
2019-05-20,-528.6582375743069
2019-05-21,-454.86597331097346
2019-05-22,-460.82747426567084
2019-05-23,-494.43147044688203
2019-05-24,-482.54317670218416
2019-05-27,-490.2605051219566
2019-05-28,-484.1949823234727
2019-05-29,-546.2509894265772
2019-05-30,-500.44709589566855
2019-05-31,-453.8141676896853
2019-06-03,-381.1503991873383
2019-06-04,-434.53495337658114
2019-06-06,-392.0459154171904
2019-06-07,-459.7323522154488
2019-06-10,-424.5959667423417
2019-06-11,-491.3522304712028
2019-06-12,-489.0693279277948
2019-06-13,-482.81731700590126
2019-06-14,-470.9553797874187
2019-06-17,-493.0324292031755
2019-06-18,-454.1151007834028
2019-06-19,-477.46682941696463
2019-06-20,-489.04596674234153
2019-06-21,-459.54547915340527
2019-06-24,-469.7432372683311
2019-06-25,-470.28580948257195
2019-06-26,-464.5977723636306
2019-06-27,-462.4572110712829
2019-06-28,-470.33789739219264
2019-07-01,-378.57265688204006
2019-07-02,-398.0706459601465
2019-07-03,-403.5780480833305
2019-07-04,-413.28206992711694
2019-07-05,-401.05883705454244
2019-07-08,-388.30863175393733
2019-07-09,-414.5820442645413
2019-07-10,-417.1857581574209
2019-07-11,-362.9782277213594
2019-07-12,-370.89919304628484
2019-07-15,-337.0237952763632
2019-07-16,-297.64313461802885
2019-07-17,-294.0833622968935
2019-07-18,-299.2082981404542
2019-07-19,-311.31949114424424
2019-07-22,-322.69099538325736
2019-07-23,-341.3023680250767
2019-07-24,-318.4097958108355
2019-07-25,-272.96567460106235
2019-07-26,-238.6447092761373
2019-07-29,-268.3560049302296
2019-07-30,-363.6906361071992
2019-07-31,-382.4948632515907
2019-08-01,-387.604070996063
2019-08-02,-388.7790325021997
2019-08-05,-402.41363801659327
2019-08-06,-384.8850652678798
2019-08-07,-371.6503057780319
2019-08-08,-431.4434682315118
2019-08-09,-431.41463885704206
2019-08-13,-455.35125529332936
2019-08-14,-504.4243855156019
2019-08-16,-518.2858608077231
2019-08-19,-504.3320442645413
2019-08-20,-452.68774341673907
2019-08-21,-485.6817619762096
2019-08-22,-445.5317876387853
2019-08-23,-462.5761654743146
2019-08-26,-422.34715646181576
2019-08-27,-445.99135465931613
2019-08-28,-479.3510243301489
2019-08-29,-463.65102433014863
2019-08-30,-450.56659845378454
2019-09-03,-482.795530478556
2019-09-04,-402.6838755484059
2019-09-05,-346.9918422482524
2019-09-06,-300.5688916640097
2019-09-09,-302.22286218264526
2019-09-11,-295.00945295635665
2019-09-12,-288.69983461067477
2019-09-13,-325.9306235818867
2019-09-16,-344.9019225202951
2019-09-17,-297.709221993176
2019-09-18,-295.6573393841609
2019-09-19,-285.0359377954501
2019-09-20,-202.19965497264548
2019-09-23,-268.9419192359792
2019-09-24,-254.57657607552437
2019-09-25,-237.31278191060255
2019-09-26,-250.611027614465
2019-09-27,-271.2088370545421
2019-09-30,-285.5663674906036
2019-10-01,-276.3122686590905
2019-10-03,-294.48349060977125
2019-10-04,-332.90440460954596
2019-10-07,-147.83497185857368
2019-10-09,-126.06795138970801
2019-10-10,-139.95815340599665
2019-10-11,-76.71148236024237
2019-10-14,-111.34649847584615
2019-10-15,-71.84642148811918
2019-10-16,-69.49850939773978
2019-10-17,-48.30817906857237
2019-10-18,-68.16606878069251
2019-10-22,16.349300042337745
2019-10-23,34.376246807792086
2019-10-24,44.65907236347357
2019-10-25,11.799428355215696
2019-10-27,2.2763494580945007
2019-10-29,17.44556048688264
2019-10-30,-9.836957117890961
2019-10-31,1.6071384293063602
2019-11-01,-43.425764114101185
2019-11-04,2.706984453853238
2019-11-05,27.097443095898143
2019-11-06,113.90558943377391
2019-11-07,120.35172156544104
2019-11-08,92.2577286685455
2019-11-11,89.80200385377248
2019-11-13,43.86554139293912
2019-11-14,80.62206174755602
2019-11-15,52.36216111354224
2019-11-18,32.77340544248318
2019-11-19,28.30213216665061
2019-11-20,100.41340215816763
2019-11-21,167.14831562346853
2019-11-22,160.61948624899878
2019-11-25,189.682715837258
2019-11-26,226.48838932687977
2019-11-27,218.87861700574422
2019-11-28,230.11907564778903
2019-11-29,166.78637840498595
2019-12-02,124.20368116218287
2019-12-03,118.81531042975848
2019-12-04,125.68055093991052
2019-12-05,125.83447013339492
2019-12-06,151.0056920840766
2019-12-09,164.45564075892526
2019-12-10,180.46556705551438
2019-12-11,141.86139123627436
2019-12-12,160.57678572188024
2019-12-13,75.38831233915289
2019-12-16,60.459354651804915
2019-12-17,81.82678572188024
2019-12-18,119.29014362301677
2019-12-19,97.73609611665461
2019-12-20,80.80520449514006
2019-12-23,129.74947968036713
2019-12-24,122.664925491124
2019-12-26,101.40156758998728
2019-12-27,127.68996398498757
2019-12-30,115.21876769688197
2019-12-31,115.45739505506299
2020-01-01,118.14390884104796
2020-01-02,97.58614744180568
2020-01-03,118.83617310438149
2020-01-06,142.8634278207428
2020-01-07,132.809405976956
2020-01-08,147.67673439672853
2020-01-09,161.1477767093811
2020-01-10,172.00352718672957
2020-01-13,189.11693641301736
2020-01-14,148.1203936801412
2020-01-15,109.5375937870358
2020-01-16,145.4724046020342
2020-01-17,224.8914359927935
2020-01-20,255.33380290642936
2020-01-21,238.44321595150632
2020-01-22,231.82196833824946
2020-01-23,221.59520121082414
2020-01-24,195.71998307893136
