Date,Residuals
2018-08-31,-308.3998910014128
2018-09-03,-295.7400719082965
2018-09-04,-284.0478082331234
2018-09-05,-258.6635293255413
2018-09-06,-238.18573158971844
2018-09-07,-219.16290174900746
2018-09-10,-164.11376271975735
2018-09-11,-180.51791804819572
2018-09-12,-186.01527115599674
2018-09-14,-180.37363074427492
2018-09-17,-203.90773918294008
2018-09-18,-215.75703363255934
2018-09-19,-210.16600090841575
2018-09-21,-183.86803958571136
2018-09-24,-245.95235721655456
2018-09-25,-234.66156325435975
2018-09-26,-212.5076025968765
2018-09-27,-209.45014322993416
2018-09-28,-247.76372830957882
2018-10-01,-259.3423531332983
2018-10-03,-291.4964353282975
2018-10-04,-253.8814488287062
2018-10-05,-244.23565740162837
2018-10-08,-256.8273370639363
2018-10-09,-284.0050181026513
2018-10-10,-272.41231720881706
2018-10-11,-253.02861694636726
2018-10-12,-264.50910082497546
2018-10-15,-251.62100215905605
2018-10-16,-247.3041619723091
2018-10-17,-221.58423662005134
2018-10-19,-208.91242369778456
2018-10-22,-201.79288284702943
2018-10-23,-210.4911748994274
2018-10-24,-222.71121210838544
2018-10-25,-215.71638919567545
2018-10-26,-216.16425318290237
2018-10-29,-217.05552898207713
2018-10-30,-215.64173955066224
2018-10-31,-211.61800464820772
2018-11-01,-165.13991490595208
2018-11-02,-185.3992182792349
2018-11-05,-181.72466596969912
2018-11-06,-180.01370842062317
2018-11-07,-181.32830557830425
2018-11-09,-188.27960966277328
2018-11-12,-199.394041191945
2018-11-13,-216.6609738737618
2018-11-14,-200.14717960193923
2018-11-15,-200.4096504276623
2018-11-16,-213.35638563974442
2018-11-19,-202.22311396979103
2018-11-20,-206.99553510696137
2018-11-21,-229.1515882135493
2018-11-22,-230.7848792451332
2018-11-26,-230.84877085243318
2018-11-27,-252.6949903446823
2018-11-28,-248.87715260112168
2018-11-29,-254.95906210171438
2018-11-30,-221.54456227951118
2018-12-03,-197.36585948194443
2018-12-04,-173.667873957202
2018-12-05,-158.83271418991444
2018-12-06,-131.97921064004788
2018-12-07,-164.91852573577398
2018-12-10,-177.44604114597962
2018-12-11,-149.09185677509538
2018-12-12,-135.24730166678
2018-12-13,-178.1577144535769
2018-12-14,-159.74229504840696
2018-12-17,-164.2102640102985
2018-12-18,-152.1695819048041
2018-12-19,-212.02845721291578
2018-12-20,-216.2460029500437
2018-12-21,-216.8848555704203
2018-12-24,-234.77544034043717
2018-12-26,-255.95938367791814
2018-12-27,-206.65249380261832
2018-12-28,-237.7037930466796
2018-12-31,-222.21941680361988
2019-01-01,-216.340300462105
2019-01-02,-205.18616933570456
2019-01-03,-212.39073336768365
2019-01-04,-215.45299984163637
2019-01-07,-216.6888017066808
2019-01-08,-220.2690177808945
2019-01-09,-217.41628807444067
2019-01-10,-189.4540216004881
2019-01-11,-194.83454904276482
2019-01-14,-217.29955974439406
2019-01-15,-217.14517102173966
2019-01-16,-225.58402364211634
2019-01-17,-203.1134561921018
2019-01-18,-210.53193603341913
2019-01-21,-229.72186902486396
2019-01-22,-236.3322038378136
2019-01-23,-255.4709349206746
2019-01-24,-233.7485379855426
2019-01-25,-221.1326319029847
2019-01-28,-241.16513941034066
2019-01-29,-239.1382273746308
2019-01-30,-215.95668301391015
2019-01-31,-181.42638896584936
2019-02-01,-181.904177020857
2019-02-04,-172.70845388681107
2019-02-05,-172.2212312401897
2019-02-06,-170.20445934647455
2019-02-07,-183.18964331580014
2019-02-08,-185.62008310341457
2019-02-11,-204.15874105283615
2019-02-12,-178.56847733169786
2019-02-13,-160.2468687612013
2019-02-14,-147.77203896645574
2019-02-15,-146.2132174301529
2019-02-18,-146.55655126825377
2019-02-19,-137.19781254620602
2019-02-20,-149.61068723506196
2019-02-21,-140.93732715329475
2019-02-22,-137.31064851180088
2019-02-25,-162.01153421191418
2019-02-26,-183.54213962803806
2019-02-27,-172.86313998363119
2019-02-28,-154.57824318033033
2019-03-01,-134.05999189282147
2019-03-05,-120.40530632332673
2019-03-06,-126.1503239069915
2019-03-07,-142.90904810781683
2019-03-08,-117.80661040779569
2019-03-11,-126.92361622305214
2019-03-12,-128.59104526307215
2019-03-13,-144.11213327332746
2019-03-14,-169.06253229605284
2019-03-15,-147.99316191421485
2019-03-18,-140.211199169138
2019-03-19,-144.23929859220902
2019-03-20,-137.75157474697687
2019-03-22,-118.07672559060074
2019-03-25,-122.4486406887529
2019-03-26,-106.58118260628726
2019-03-27,-129.19436866320632
2019-03-28,-112.2399116475201
2019-03-29,-89.72468207289762
2019-04-01,-115.62729508224334
2019-04-02,-138.4682449921322
2019-04-03,-137.23383970662667
2019-04-04,-131.64643206986545
2019-04-05,-110.44043273508623
2019-04-08,-94.0593067587215
2019-04-09,-74.9831341562458
2019-04-10,-58.745600141561226
2019-04-11,-73.04709405657786
2019-04-12,-59.16596323980525
2019-04-15,-78.01799707669306
2019-04-16,-75.04861217363214
2019-04-18,-62.2423256728282
2019-04-22,-84.90532673960752
2019-04-23,-83.7527868637012
2019-04-24,-91.5782151925348
2019-04-25,-88.1760791797617
2019-04-26,-78.28509538701951
2019-04-30,-61.05146341760178
2019-05-02,-53.992121321057766
2019-05-03,-72.88572296355346
2019-05-06,-105.12547096485832
2019-05-07,-100.24516723598254
2019-05-08,-83.71194397010527
2019-05-09,-60.10157527430215
2019-05-10,-60.325222522094236
2019-05-13,-65.91579761129583
2019-05-14,-79.0068690587002
2019-05-15,-60.783727849926436
2019-05-16,-69.34759041478083
2019-05-17,-65.07074183169493
2019-05-20,-56.73185048805749
2019-05-21,-50.31238761114946
2019-05-22,-64.35883081679913
2019-05-23,-53.191630330587714
2019-05-24,-64.87497029357291
2019-05-27,-81.9571083479741
2019-05-28,-38.97233792259658
2019-05-29,-57.48004520497807
2019-05-30,-53.506091429530215
2019-05-31,-21.22790435179695
2019-06-03,12.376995250283244
2019-06-04,38.01502078276326
2019-06-06,-20.8548943613539
2019-06-07,-6.962587122512332
2019-06-10,-15.689747600986266
2019-06-11,-53.89583943083517
2019-06-12,-73.41988086094511
2019-06-13,-51.204354439482586
2019-06-14,-36.49158676691923
2019-06-17,-42.801751110951955
2019-06-18,-68.46207140267893
2019-06-19,-50.45983805442802
2019-06-20,-49.65037442036851
2019-06-21,-55.451697866468294
2019-06-24,-32.89815559334056
2019-06-25,-105.99643312451576
2019-06-26,-94.67329675614928
2019-06-27,-93.64124151600254
2019-06-28,-107.0326049698399
2019-07-01,-115.79893427716092
2019-07-02,-105.05016038778308
2019-07-03,-94.6682218447445
2019-07-04,-96.61992495193886
2019-07-05,-108.18627362089069
2019-07-08,-90.16382238662436
2019-07-09,-100.69257411559215
2019-07-10,-104.5426128388533
2019-07-11,-105.53125626705173
2019-07-12,-103.82393832658067
2019-07-15,-90.64371741195964
2019-07-16,-112.19966834266233
2019-07-17,-124.23740186870987
2019-07-18,-85.43953304107526
2019-07-19,-69.33076474925656
2019-07-22,-76.31421120120945
2019-07-23,-56.226988554587706
2019-07-24,-48.058347925168846
2019-07-25,-8.339235139584616
2019-07-26,5.056492307543522
2019-07-29,45.535983469745815
2019-07-30,31.56406837159375
2019-07-31,80.37887956186023
2019-08-01,25.50767969490471
2019-08-02,43.645505716021944
2019-08-05,31.877235066882577
2019-08-06,38.27624235047665
2019-08-07,37.93487405623182
2019-08-08,60.72749750354433
2019-08-09,0.566281830889011
2019-08-13,26.69358373583418
2019-08-14,-3.8698410830338617
2019-08-16,18.209372593958506
2019-08-19,16.532382584401603
2019-08-20,1.402030451449491
2019-08-21,4.2632703261429015
2019-08-22,33.93114732028971
2019-08-23,66.77062267679253
2019-08-26,73.19563209394505
2019-08-27,85.8692502992917
2019-08-28,126.8967173054209
2019-08-29,117.78808559966569
2019-08-30,129.42036455321318
2019-09-03,67.6230845788516
2019-09-04,23.33079186123291
2019-09-05,52.51202485389058
2019-09-06,64.1127691275326
2019-09-09,36.75306189111666
2019-09-11,-14.410421012642928
2019-09-12,-0.5698652850719554
2019-09-13,-10.503010577102032
2019-09-16,-9.660435533865666
2019-09-17,2.8614456814327696
2019-09-18,17.675259314885807
2019-09-19,40.185185424295014
2019-09-20,70.25637992351812
2019-09-23,20.04513952149955
2019-09-24,21.24817091520117
2019-09-25,-29.818966118386243
2019-09-26,-23.334847998905843
2019-09-27,-17.500754081463583
2019-09-30,-8.976420644921063
2019-10-01,-12.079169713005058
2019-10-03,-20.806758256650255
2019-10-04,-25.449586055733107
2019-10-07,-40.65822260189566
2019-10-09,-40.28548525625479
2019-10-10,-5.280132859640389
2019-10-11,10.322903374468979
2019-10-14,50.382926819355816
2019-10-15,78.04468241388258
2019-10-16,13.004438054374532
2019-10-17,38.86836838493582
2019-10-18,41.25923064016206
2019-10-22,108.69721260897359
2019-10-23,121.66639316026408
2019-10-24,151.86497721909473
2019-10-25,145.52935550378265
2019-10-27,176.22429027319276
2019-10-29,156.02695652702232
2019-10-30,176.12319054049408
2019-10-31,148.5511926280874
2019-11-01,132.84809778176145
2019-11-04,91.35728877101883
2019-11-05,64.92526741372535
2019-11-06,54.657098940471315
2019-11-07,80.00934196953722
2019-11-08,81.77130675624221
2019-11-11,94.63978175715192
2019-11-13,116.46839690005618
2019-11-14,119.09853500042277
2019-11-15,125.45816910339931
2019-11-18,96.04641350887232
2019-11-19,79.89510458399582
2019-11-20,101.41912665247514
2019-11-21,120.08666754919545
2019-11-22,104.46222225595261
2019-11-25,99.00413531247636
2019-11-26,89.78972314493512
2019-11-27,72.23477461145353
2019-11-28,73.07859028653456
2019-11-29,105.30696235440769
2019-12-02,123.41889809866689
2019-12-03,131.13758713216203
2019-12-04,111.39964441393658
2019-12-05,118.00247145586809
2019-12-06,120.14818974950617
2019-12-09,125.32163264552833
2019-12-10,103.78846799186749
2019-12-11,83.87886293133693
2019-12-12,75.77735933550503
2019-12-13,85.8128643537093
2019-12-16,79.1129810508171
2019-12-17,73.83246812976336
2019-12-18,67.97729588288075
2019-12-19,95.98914397247768
2019-12-20,141.28549468305755
2019-12-23,139.32769006519857
2019-12-24,162.32484850204446
2019-12-26,151.03865245468228
2019-12-27,131.9489141341926
2019-12-30,107.80530281088181
2019-12-31,110.83135871624927
2020-01-01,110.44849574983664
2020-01-02,77.4453767014727
2020-01-03,115.11451368909479
2020-01-06,132.39153326842234
2020-01-07,133.1546268302718
2020-01-08,131.66893682192767
2020-01-09,104.4580325173356
2020-01-10,100.2009286094501
2020-01-13,73.76352097268887
2020-01-14,82.99863180857506
2020-01-15,70.82226937555197
2020-01-16,123.78028802599624
2020-01-17,115.65353141065543
2020-01-20,67.13676919775548
2020-01-21,44.832502012616715
2020-01-22,27.62570947279437
2020-01-23,47.68899286519104
2020-01-24,58.77734912736446
2020-01-27,52.17013336277864
2020-01-28,45.93637501543776
2020-01-29,15.36867817102302
2020-01-30,35.994388825474516
2020-01-31,39.312504054244755
2020-02-01,50.4773157718364
2020-02-03,44.621257824840995
