Date,Residuals
2018-10-05,-29.972603432049596
2018-10-08,-33.4394518790441
2018-10-09,-35.74511848189161
2018-10-10,-35.36045080248766
2018-10-11,-37.13529999020318
2018-10-12,-45.24611775058651
2018-10-15,-40.18878475831957
2018-10-16,-29.639663502732844
2018-10-17,-21.553633726329736
2018-10-19,-24.11311850072343
2018-10-22,-31.0991794282578
2018-10-23,-21.40060382751932
2018-10-24,-28.72266400805529
2018-10-25,-33.24472465938851
2018-10-26,-26.3434215690707
2018-10-29,-18.946785185175827
2018-10-30,-26.714118554080528
2018-10-31,-19.248663982946084
2018-11-01,-5.0316640174712575
2018-11-02,-3.0353607231413093
2018-11-05,2.1527605732479174
2018-11-06,1.5931848563794233
2018-11-07,1.4835485635053942
2018-11-09,-2.001542206343686
2018-11-12,-6.063300071808044
2018-11-13,-2.1070576045756866
2018-11-14,-20.326542441742333
2018-11-15,-31.53057270777464
2018-11-16,-31.787754338493528
2018-11-19,-37.90084518994746
2018-11-20,-39.08551192775684
2018-11-21,-43.18993585935971
2018-11-22,-41.018239134857765
2018-11-26,-36.39123910660993
2018-11-27,-38.448905502306616
2018-11-28,-42.235693498841385
2018-11-29,-49.66332949668248
2018-11-30,-43.546178012727296
2018-12-03,-47.28717800331134
2018-12-04,-51.35675362602029
2018-12-05,-47.97984485411206
2018-12-06,-51.28590590719233
2018-12-07,-50.0815419238653
2018-12-10,-53.03933009930307
2018-12-11,-57.43351166411031
2018-12-12,-55.04378408351016
2018-12-13,-58.64760194119151
2018-12-14,-63.11745039132467
2018-12-17,-50.00808692587475
2018-12-18,-58.35532922675873
2018-12-19,-65.00629844284941
2018-12-20,-57.242056019558106
2018-12-21,-52.36451065032685
2018-12-24,-52.37478354052399
2018-12-26,-60.013389288026076
2018-12-27,-57.644904504216356
2018-12-28,-55.38214674232745
2018-12-31,-58.04296497350799
2019-01-01,-57.924783069726686
2019-01-02,-60.095298483651845
2019-01-03,-63.625359091044004
2019-01-04,-55.94872267576261
2019-01-07,-60.60472268203995
2019-01-08,-57.12732867435659
2019-01-09,-43.57541966704969
2019-01-10,-31.05205608233109
2019-01-11,-22.993510628356262
2019-01-14,-28.96232881559581
2019-01-15,-30.62584369908933
2019-01-16,-34.94829832985812
2019-01-17,-29.433177319085928
2019-01-18,-24.925480556920206
2019-01-21,-28.26096514927235
2019-01-22,-36.3636923249868
2019-01-23,-77.60441948814673
2019-01-24,-76.7589954090273
2019-01-25,-78.71641981456622
2019-01-28,-79.0569960869754
2019-01-29,-81.1955108920028
2019-01-30,-83.84857147114712
2019-01-31,-85.7248747968635
2019-02-01,-85.91872327210581
2019-02-04,-84.46917798447942
2019-02-05,-83.14420827248227
2019-02-06,-86.5504806353864
2019-02-07,-64.26663206598471
2019-02-08,-60.56129886656697
2019-02-11,-73.49878387949803
2019-02-12,-73.05305660648543
2019-02-13,-70.04320806219278
2019-02-14,-65.27117793426106
2019-02-15,-66.6820567414473
2019-02-18,-62.18563276590328
2019-02-19,-68.14545078679441
2019-02-20,-66.0129658837161
2019-02-21,-58.42390495304312
2019-02-22,-59.63017762981218
2019-02-25,-61.30823797355782
2019-02-26,-69.8007832015499
2019-02-27,-59.366480233639436
2019-02-28,-62.52993469805972
2019-03-01,-56.40754080022913
2019-03-05,-57.095752725228124
2019-03-06,-44.908661691732675
2019-03-07,-55.80529807562755
2019-03-08,-44.28084349507719
2019-03-11,-46.927843178073715
2019-03-12,-51.079721818911594
2019-03-13,-60.74220659644391
2019-03-14,-59.25784289559533
2019-03-15,-54.83963078227737
2019-03-18,-54.03566093531833
2019-03-19,-52.09835796426921
2019-03-20,-53.16741861246379
2019-03-22,-67.00399435758004
2019-03-25,-73.08484292384315
2019-03-26,-76.84587309257739
2019-03-27,-47.682236743207625
2019-03-28,-43.690358008210296
2019-03-29,-48.247327544443124
2019-04-01,-39.4153576158792
2019-04-02,-36.25632708306182
2019-04-03,-43.380054123814375
2019-04-04,-45.7658118574555
2019-04-05,-44.37323594912954
2019-04-08,-42.78332695437717
2019-04-09,-45.69341780269241
2019-04-10,-45.64959953698673
2019-04-11,-47.17181139293547
2019-04-12,-47.78405386644522
2019-04-15,-45.89502361610613
2019-04-16,-49.23326590757421
2019-04-18,-47.711084104229656
2019-04-22,-41.80817520049811
2019-04-23,-42.04338727929098
2019-04-24,-52.41387185594982
2019-04-25,-48.81256876563202
2019-04-26,-48.93665957628349
2019-04-30,-42.966902382489934
2019-05-02,-38.98041742291599
2019-05-03,-43.17220521543857
2019-05-06,-47.718417253428925
2019-05-07,-48.44902351566941
2019-05-08,-50.39059968450323
2019-05-09,-51.25293278662281
2019-05-10,-56.271599612314276
2019-05-13,-70.13617543903547
2019-05-14,-73.70887237382686
2019-05-15,-71.34402371968156
2019-05-16,-80.17993250100574
2019-05-17,-86.47599239278605
2019-05-20,-75.32074950811335
2019-05-21,-84.40790111761453
2019-05-22,-85.23762832157689
2019-05-23,-69.90565902074275
2019-05-24,-60.44796178777966
2019-05-27,-45.74550712562444
2019-05-28,-43.58853758939165
2019-05-29,-47.179689098456095
2019-05-30,-45.59002225079399
2019-05-31,-43.5305374764003
2019-06-03,-37.64238565660969
2019-06-04,-40.03829481457166
2019-06-06,-50.49311335333982
2019-06-07,-46.14071926719026
2019-06-10,-55.59902210327755
2019-06-11,-62.5862342887844
2019-06-12,-62.1226888818893
2019-06-13,-73.10435545962764
2019-06-14,-73.47502223510077
2019-06-17,-76.68202245166754
2019-06-18,-73.24120403216807
2019-06-19,-67.84741613293141
2019-06-20,-63.42920370574865
2019-06-21,-53.355688602549606
2019-06-24,-60.47896140172588
2019-06-25,-63.68684020577348
2019-06-26,-63.519840083366205
2019-06-27,-65.12123395922629
2019-06-28,-52.22138532077429
2019-07-01,-50.01883987307673
2019-07-02,-48.15283996095894
2019-07-03,-49.63811277268985
2019-07-04,-47.33883984169029
2019-07-05,-39.87768852094479
2019-07-08,-32.88490224438942
2019-07-09,-40.45790174534426
2019-07-10,-43.29068999924823
2019-07-11,-34.53462941696523
2019-07-12,-32.913417143576225
2019-07-15,-33.19296261952155
2019-07-16,-41.657053210467666
2019-07-17,-32.23368962574904
2019-07-18,-37.88714418432886
2019-07-19,-33.97435684063299
2019-07-22,-26.21932730590578
2019-07-23,-19.19435759390865
2019-07-24,-16.102024460402617
2019-07-25,4.859187122483718
2019-07-26,-1.5289332323108624
2019-07-29,-1.5843576880681098
2019-07-30,-1.665206254331224
2019-07-31,1.5207937833325218
2019-08-01,-9.47772139833262
2019-08-02,-0.3564487058704344
2019-08-05,-5.020236730652982
2019-08-06,-5.236478946793511
2019-08-07,-4.434478840079407
2019-08-08,-13.265387668483413
2019-08-09,-16.298326656205575
2019-08-13,-24.88138805139846
2019-08-14,-24.01887227966739
2019-08-16,-20.758205566967206
2019-08-19,-19.22078144390673
2019-08-20,-17.168660499046155
2019-08-21,-15.896478852634061
2019-08-22,-8.214964421105833
2019-08-23,-7.554812682920044
2019-08-26,-3.576872706523602
2019-08-27,-2.0952970712600063
2019-08-28,18.48400578679781
2019-08-29,25.682005680083762
2019-08-30,23.752672612489334
2019-09-03,25.35888455632022
2019-09-04,29.30003606538463
2019-09-05,29.278126932531848
2019-09-06,38.497551507557716
2019-09-09,35.6803699709983
2019-09-11,14.468703361873509
2019-09-12,13.991885061642677
2019-09-13,8.884551912443328
2019-09-16,9.075157766659515
2019-09-17,14.72106661075668
