Date,Residuals
2018-08-31,-83.05654786082891
2018-09-03,-44.84061061262605
2018-09-04,-34.484091246673415
2018-09-05,-40.5880565991215
2018-09-06,-41.72808438384686
2018-09-07,-97.28024356253195
2018-09-10,-108.79265212300356
2018-09-11,-129.75302767522544
2018-09-12,-122.21720057956281
2018-09-14,-93.21879267203167
2018-09-17,-135.3341543318909
2018-09-18,-142.77853805281984
2018-09-19,-168.35393501317094
2018-09-21,-173.63953952541124
2018-09-24,-287.2466805606696
2018-09-25,-231.97746271454162
2018-09-26,-243.52548003831703
2018-09-27,-280.1365906770877
2018-09-28,-255.61232788916868
2018-10-01,-155.18187323383495
2018-10-03,-179.57490444997325
2018-10-04,-170.30346859100655
2018-10-05,-154.9141043054849
2018-10-08,-127.18721591671624
2018-10-09,-79.13494757185208
2018-10-10,-93.49533162620173
2018-10-11,-140.3598993653584
2018-10-12,-107.85740843707163
2018-10-15,-96.3819526425666
2018-10-16,-78.28592224607905
2018-10-17,-78.42208534240763
2018-10-19,-165.72945746321625
2018-10-22,-177.24918781247084
2018-10-23,-147.99232819478857
2018-10-24,-96.7824651456931
2018-10-25,-149.73070930395534
2018-10-26,-138.7782141246048
2018-10-29,-163.4190358300325
2018-10-30,-203.42924338192142
2018-10-31,-134.26303746933422
2018-11-01,-142.86405822452298
2018-11-02,-81.19586113358355
2018-11-05,-119.60107832677113
2018-11-06,-93.69132444385536
2018-11-07,-91.7348639120562
2018-11-09,-85.78055405681425
2018-11-12,-103.72885279816592
2018-11-13,-95.56944766910738
2018-11-14,-107.80210758408793
2018-11-15,-104.32915121999781
2018-11-16,-135.39186670442905
2018-11-19,-105.7710567658321
2018-11-20,-107.83057531213376
2018-11-21,-109.46277305601348
2018-11-22,-111.0994529065324
2018-11-26,-91.44287470642621
2018-11-27,-71.55948395596056
2018-11-28,-43.308009531798916
2018-11-29,-26.998318734100394
2018-11-30,13.69522073410053
2018-12-03,8.447489078964736
2018-12-04,-28.274051695117123
2018-12-05,9.760359810537238
2018-12-06,-17.964810315327668
2018-12-07,-18.02529928479271
2018-12-10,-45.9124831363099
2018-12-11,-43.634817831094324
2018-12-12,-25.96662499121885
2018-12-13,-32.50421217968346
2018-12-14,-55.292757038119134
2018-12-17,0.45061017868488307
2018-12-18,7.055659371539832
2018-12-19,32.21472849993279
2018-12-20,11.254180696314279
2018-12-21,-4.000124907863892
2018-12-24,-49.53068022724915
2018-12-26,11.09154955242002
2018-12-27,-7.4091394531671995
2018-12-28,29.35764204776433
2018-12-31,12.10962472398819
2019-01-01,52.7783889011439
2019-01-02,24.372096369677593
2019-01-03,-29.616851825705453
2019-01-04,15.740406877859868
2019-01-07,15.23354726017783
2019-01-08,0.6643294140496891
2019-01-09,38.27804864941413
2019-01-10,16.372718038983294
2019-01-11,13.637113526743178
2019-01-14,-9.050755079297232
2019-01-15,17.76466541471541
2019-01-16,15.588478784725567
2019-01-17,48.290860546832846
2019-01-18,46.706675875664814
2019-01-21,43.931392332556925
2019-01-22,20.55140409938781
2019-01-23,-4.238846268760426
2019-01-24,18.687516863690007
2019-01-25,54.65963322611606
2019-01-28,26.87448663391274
2019-01-29,5.501925104641714
2019-01-30,-33.90652235444554
2019-01-31,4.745065486959447
2019-02-01,36.57097069937322
2019-02-04,5.934790598789277
2019-02-05,33.19069254650026
2019-02-06,15.103327941458247
2019-02-07,-49.20643444358552
2019-02-08,-79.70433835011818
2019-02-11,-70.80654786082891
2019-02-12,-107.61425598230335
2019-02-13,-94.17332936176012
2019-02-14,-130.5783197204612
2019-02-15,-160.03733426576446
2019-02-18,-102.72524470170288
2019-02-19,-161.31584382370806
2019-02-20,-164.24969249421042
2019-02-21,-140.93540617262988
2019-02-22,-144.23483908641379
2019-02-25,-131.52435011694888
2019-02-26,-170.29152645269937
2019-02-27,-193.393173128258
2019-02-28,-195.7451012213926
2019-03-01,-179.46533982270967
2019-03-05,-175.57531628904826
2019-03-06,-172.40446026948916
2019-03-07,-197.7635924830995
2019-03-08,-194.8705655180254
2019-03-11,-188.8011796715639
2019-03-12,-173.85815695755355
2019-03-13,-143.6008982539879
2019-03-14,-144.0935303842432
2019-03-15,-126.90016316743868
2019-03-18,-133.25821154064306
2019-03-19,-141.29965491537632
2019-03-20,-124.05776212273418
2019-03-22,-131.16484857490263
2019-03-25,-127.11591541105327
2019-03-26,-122.6192590941962
2019-03-27,-157.83842235723478
2019-03-28,-253.34162779749227
2019-03-29,-163.07891231306075
2019-04-01,-147.5106521369039
2019-04-02,-138.00589711481712
2019-04-03,-114.32596346473747
2019-04-04,-55.35328001609537
2019-04-05,-47.69795365672826
2019-04-08,-39.21954901390018
2019-04-09,-12.603956268490492
2019-04-10,-60.12221219358344
2019-04-11,-67.09760915393485
2019-04-12,-62.714672072442
2019-04-15,-77.50526269231932
2019-04-16,-62.42827789056332
2019-04-18,-79.86160980687555
2019-04-22,-128.56699500039576
2019-04-23,-149.79352613317928
2019-04-24,-107.3584929582189
2019-04-25,-121.96920451110645
2019-04-26,-98.40571211022825
2019-04-30,-12.228937138703031
2019-05-02,-34.36880117415967
2019-05-03,-40.43382258228894
2019-05-06,-77.48087373396538
2019-05-07,-75.52378728179701
2019-05-08,-82.62729471420857
2019-05-09,-87.83777943260952
2019-05-10,-66.17808438384691
2019-05-13,-62.034721418106756
2019-05-14,-58.985460755719714
2019-05-15,-92.12645046148032
2019-05-16,-95.74578172485167
2019-05-17,-87.07192652494359
2019-05-20,25.246833401147796
2019-05-21,25.277901223659683
2019-05-22,55.07580513019229
2019-05-23,17.42829605847919
2019-05-24,-1.5303279030690646
2019-05-27,12.467340666849395
2019-05-28,-19.956472703161126
2019-05-29,-17.86083714149254
2019-05-30,17.94454805202804
2019-05-31,21.35469676976345
2019-06-03,65.8146732361015
2019-06-04,60.046476145162615
2019-06-06,8.850895166583541
2019-06-07,7.166420575711982
2019-06-10,-27.909887973648893
2019-06-11,-71.04555557110643
2019-06-12,-71.81516825205426
2019-06-13,-27.424627964202045
2019-06-14,-19.785053848449934
2019-06-17,-3.250352423091499
2019-06-18,-34.07728264175785
