Date,Residuals
2018-10-05,-357.30682357158844
2018-10-08,-360.2734351264993
2018-10-09,-384.9091339922878
2018-10-10,-343.43812668481746
2018-10-11,-347.36644646861487
2018-10-12,-346.0739252233233
2018-10-15,-343.7469599953105
2018-10-16,-338.5844869801807
2018-10-17,-328.6122500614903
2018-10-19,-314.5962287476776
2018-10-22,-319.6074386129769
2018-10-23,-333.5595326831576
2018-10-24,-331.68303275167864
2018-10-25,-326.95480437383526
2018-10-26,-324.9540731262025
2018-10-29,-327.6950735373281
2018-10-30,-329.13442864128
2018-10-31,-327.654305538691
2018-11-01,-282.5182410490861
2018-11-02,-293.85703945055025
2018-11-05,-288.1449320592369
2018-11-06,-283.4784371821271
2018-11-07,-283.3483889519655
2018-11-09,-284.8562167969635
2018-11-12,-305.5829909463048
2018-11-13,-323.88756124400925
2018-11-14,-310.2252875743144
2018-11-15,-310.55726359627545
2018-11-16,-325.17197995488357
2018-11-19,-309.73362204966315
2018-11-20,-314.4472668086694
2018-11-21,-325.1457129074497
2018-11-22,-336.01775874746863
2018-11-26,-334.06128545825516
2018-11-27,-346.317476262843
2018-11-28,-346.2806805256057
2018-11-29,-341.3356081803629
2018-11-30,-308.0156564105248
2018-12-03,-283.1513552763131
2018-12-04,-254.29579604664048
2018-12-05,-249.83805134083332
2018-12-06,-238.2653739258991
2018-12-07,-260.04616167045697
2018-12-10,-280.63786026216155
2018-12-11,-243.20980642946313
2018-12-12,-220.95681483326825
2018-12-13,-253.8245811269718
2018-12-14,-232.3848603992035
2018-12-17,-242.74633621560156
2018-12-18,-224.68166119081025
2018-12-19,-268.6826666563054
2018-12-20,-274.6266669303891
2018-12-21,-276.86062908304984
2018-12-24,-300.1990618606976
2018-12-26,-307.12891074542426
2018-12-27,-264.15462109037014
2018-12-28,-288.16700269954583
2018-12-31,-275.0523442082813
2019-01-01,-266.2500673261925
2019-01-02,-264.05689797245896
2019-01-03,-272.54324494668936
2019-01-04,-272.6774813172125
2019-01-07,-274.2253872470317
2019-01-08,-275.5505243559628
2019-01-09,-275.3547124963243
2019-01-10,-250.01082016172143
2019-01-11,-257.11392796416044
2019-01-14,-279.8231268984697
2019-01-15,-270.0540891881725
2019-01-16,-279.58713728129237
2019-01-17,-263.6046210903702
2019-01-18,-278.5759356827565
2019-01-21,-289.0714733245327
2019-01-22,-292.1688308186277
2019-01-23,-308.01054594385914
2019-01-24,-290.63786026216155
2019-01-25,-280.03592420359905
2019-01-28,-317.2579617768546
2019-01-29,-303.01633805757706
2019-01-30,-279.26925478134467
2019-01-31,-254.56424398739637
2019-02-01,-255.57262853488248
2019-02-04,-257.88323162555673
2019-02-05,-253.92783867426544
2019-02-06,-242.4673848568891
2019-02-07,-258.15029973868104
2019-02-08,-265.8174261907059
2019-02-11,-289.3185147953916
2019-02-12,-262.9489286493696
2019-02-13,-244.0561331862159
2019-02-14,-238.35759568148137
2019-02-15,-237.90158768880167
2019-02-18,-240.39115914327203
2019-02-19,-230.05393944331786
2019-02-20,-243.0288188679133
2019-02-21,-222.99193172472178
2019-02-22,-217.55085644116878
2019-02-25,-232.62006869661093
2019-02-26,-246.1673347847518
2019-02-27,-238.88555810822584
2019-02-28,-218.14521407230552
2019-03-01,-199.2842866916319
2019-03-05,-178.5290016798216
2019-03-06,-182.70206125209882
2019-03-07,-202.62247831847083
2019-03-08,-176.4385993050007
2019-03-11,-175.64024461217434
2019-03-12,-174.4145756010455
2019-03-13,-186.34881197156858
2019-03-14,-209.92304328772218
2019-03-15,-189.18451910412023
2019-03-18,-175.5695781282301
2019-03-19,-183.2566563500934
2019-03-20,-178.50492790372903
2019-03-22,-158.5392639469694
2019-03-25,-160.84178197986716
2019-03-26,-139.92502115165848
2019-03-27,-164.09515573340502
2019-03-28,-163.5126473376895
2019-03-29,-127.44793097908132
2019-04-01,-142.51530684867816
2019-04-02,-160.7666944715163
2019-04-03,-150.8243395046061
2019-04-04,-146.98132816249074
2019-04-05,-121.78343049943464
2019-04-08,-107.1328737969468
2019-04-09,-84.48240850041293
2019-04-10,-66.30682262847495
2019-04-11,-71.6205753269619
2019-04-12,-59.14962635839197
2019-04-15,-80.29598665375511
2019-04-16,-72.4772231613199
2019-04-18,-59.507819827206276
2019-04-22,-88.41893001978815
2019-04-23,-86.06483328538093
2019-04-24,-85.01101076883606
2019-04-25,-78.27001862447378
2019-04-26,-64.86063687825617
2019-04-30,-52.34546348987783
2019-05-02,-46.89395092247514
2019-05-03,-62.24513093311498
2019-05-06,-91.17153945863993
