Date,Residuals
2018-10-05,-268.812612426515
2018-10-08,-173.75034320588725
2018-10-09,-167.72221121810026
2018-10-10,-162.54446893623958
2018-10-11,-181.2816630837574
2018-10-12,-137.9689204798674
2018-10-15,-129.11669279097214
2018-10-16,-127.10342376959943
2018-10-17,-115.39681864409863
2018-10-19,-98.55074760440652
2018-10-22,-139.48729331547747
2018-10-23,-128.5325453437597
2018-10-24,-128.06587377956225
2018-10-25,-123.08692278036528
2018-10-26,-148.2209775937995
2018-10-29,-181.82094820861403
2018-10-30,-204.57254215365538
2018-10-31,-226.85350618900588
2018-11-01,-237.29866558351
2018-11-02,-214.1064602555332
2018-11-05,-222.17616382744313
2018-11-06,-218.25019627995925
2018-11-07,-214.25072269744192
2018-11-09,-209.43227192064683
2018-11-12,-189.8736729298064
2018-11-13,-190.58583034584194
2018-11-14,-243.27772838729902
2018-11-15,-217.7946484676454
2018-11-16,-253.0217953472802
2018-11-19,-234.31653565067245
2018-11-20,-226.79828483402594
2018-11-21,-215.65815131257386
2018-11-22,-226.25392975833915
2018-11-26,-220.8573469937569
2018-11-27,-216.08485993028285
2018-11-28,-228.16407413822117
2018-11-29,-182.96486376444545
2018-11-30,-156.96433734696257
2018-12-03,-162.9362053591758
2018-12-04,-160.87205407780039
2018-12-05,-172.0544076198223
2018-12-06,-203.44526751890635
2018-12-07,-107.55502667108317
2018-12-10,-178.24358094008676
2018-12-11,-155.68677585443697
2018-12-12,-148.04777310913573
2018-12-13,-126.04480435001574
2018-12-14,-125.01023781169147
2018-12-17,-158.8271725846305
2018-12-18,-134.82172762046662
2018-12-19,-149.11240225199435
2018-12-20,-147.19571599520395
2018-12-21,-149.51096418932343
2018-12-24,-137.6357862680636
2018-12-26,-109.5800927877508
2018-12-27,-138.74993754943898
2018-12-28,-134.10496342249098
2018-12-31,-122.48819922451526
2019-01-01,-128.52646089959148
2019-01-02,-138.41167587436257
2019-01-03,-150.13558630791454
2019-01-04,-131.42556394699614
2019-01-07,-133.28031191871423
2019-01-08,-151.36767664119498
2019-01-09,-141.0081806977596
2019-01-10,-164.12179086905894
2019-01-11,-169.25205791196322
2019-01-14,-181.00725435997856
2019-01-15,-176.93915942570266
2019-01-16,-178.22197613661524
2019-01-17,-159.04993754943894
2019-01-18,-141.22977080863825
2019-01-21,-114.06453730711178
2019-01-22,-88.86982638890504
2019-01-23,-106.39706142409682
2019-01-24,-108.84358094008667
2019-01-25,-92.13179405916344
2019-01-28,-95.88323212183445
2019-01-29,-102.91424023496324
2019-01-30,-133.933680598132
2019-01-31,-99.06898820668107
2019-02-01,-103.54433670290427
2019-02-04,-117.00054190810692
2019-02-05,-94.81419615718482
2019-02-06,-109.87661678196196
2019-02-07,-133.60898949479792
2019-02-08,-122.1983186974328
2019-02-11,-116.70289609418728
2019-02-12,-115.63534226998718
2019-02-13,-123.49787022113514
2019-02-14,-139.1297605942666
2019-02-15,-144.56873395438197
2019-02-18,-115.2846746627265
2019-02-19,-135.15003466143799
2019-02-20,-138.35135070514525
2019-02-21,-137.47232176476314
2019-02-22,-188.25278876781636
2019-02-25,-181.69302961563926
2019-02-26,-185.19007554911218
2019-02-27,-211.7283225315955
2019-02-28,-216.37473472121474
2019-03-01,-204.75725883819973
2019-03-05,-188.16783700178667
2019-03-06,-201.09863046217401
2019-03-07,-217.93471300435453
2019-03-08,-216.83336757546158
2019-03-11,-210.83174424523463
2019-03-12,-207.98360139901752
2019-03-13,-204.07357903809907
2019-03-14,-200.62285266046706
2019-03-15,-144.73978743340604
2019-03-18,-122.55395340737414
2019-03-19,-126.89380902749213
2019-03-20,-124.58152959249287
2019-03-22,-140.62409076298923
2019-03-25,-143.2331970004982
2019-03-26,-106.52684039114615
2019-03-27,-122.14385310527064
2019-03-28,-189.34565596690345
2019-03-29,-154.01850908726874
2019-04-01,-133.99954658558318
2019-04-02,-150.7118745765822
2019-04-03,-151.87693750314543
2019-04-04,-144.39561762527546
2019-04-05,-137.28521003665173
2019-04-08,-121.99141076363344
2019-04-09,-116.05585463893567
2019-04-10,-112.37161455794512
2019-04-11,-119.40028765580792
2019-04-12,-117.7534269898913
2019-04-15,-89.91238182325128
2019-04-16,-75.71901633393736
2019-04-18,-89.01794880637885
2019-04-22,-101.251910986035
2019-04-23,-103.86965007779145
2019-04-24,-94.51211861450975
2019-04-25,-94.2064883827893
2019-04-26,-74.53480563813264
2019-04-30,-24.36644301689421
2019-05-02,-32.398011410913114
2019-05-03,-17.860831955988033
2019-05-06,-22.819260371864857
2019-05-07,-24.37669920136841
2019-05-08,-12.531398617086552
2019-05-09,-22.38795518658776
2019-05-10,-6.885542230136025
2019-05-13,-26.355679585751204
2019-05-14,-38.54267377311976
2019-05-15,-33.75690299568032
2019-05-16,-16.888174317550693
2019-05-17,3.1397532318660524
2019-05-20,35.34828897411376
2019-05-21,25.722292041444234
2019-05-22,36.51162124407915
2019-05-23,32.724363847969016
2019-05-24,27.184259711702452
2019-05-27,27.429370550207068
2019-05-28,-0.337812738880757
2019-05-29,4.123384475967214
2019-05-30,24.85734665562336
2019-05-31,14.885386009632384
2019-06-03,21.895964173219227
2019-06-04,22.45375884524219
2019-06-06,-1.3370863612487938
2019-06-07,-21.981489992935394
2019-06-10,-42.614618468589015
2019-06-11,-61.87164268520155
2019-06-12,-81.6110792142074
2019-06-13,-43.06927380652837
2019-06-14,-61.15227578499707
2019-06-17,-56.270058954531805
2019-06-18,-61.54307243548874
2019-06-19,-28.903280063963166
2019-06-20,-14.844573746752076
2019-06-21,-49.62762428122028
2019-06-24,-61.913750901179355
2019-06-25,-56.361045350800396
2019-06-26,-48.498951183357576
2019-06-27,-53.8365938071729
2019-06-28,-54.07558185988114
2019-07-01,-60.37573774225143
2019-07-02,-90.4182548349695
2019-07-03,-85.65051574321342
2019-07-04,-59.98636446183809
2019-07-05,-14.809002929461485
2019-07-08,-34.11272745139922
2019-07-09,-73.16177172843254
2019-07-10,-51.25238311136809
2019-07-11,-34.18206048819661
2019-07-12,-25.66882085200973
2019-07-15,-5.374187874988593
2019-07-16,-20.053202122777975
2019-07-17,13.143751176916794
2019-07-18,24.64669055085119
2019-07-19,-9.22151170979555
2019-07-22,-37.61088499020889
2019-07-23,17.032002637621417
2019-07-24,37.346480376330646
2019-07-25,6.849478520636239
2019-07-26,30.79706556418455
2019-07-29,14.5331921841439
2019-07-30,-24.176586138847142
