Date,Residuals
2018-10-05,-176.572259741474
2018-10-08,-179.84490974222126
2018-10-09,-219.09366309486802
2018-10-10,-207.75369890174125
2018-10-11,-194.3190849199318
2018-10-12,-212.1709030294552
2018-10-15,-214.0440309445412
2018-10-16,-208.68309136761695
2018-10-17,-174.6971600491098
2018-10-19,-157.8403282639182
2018-10-22,-157.5233963241617
2018-10-23,-166.27153461154887
2018-10-24,-201.82185674424852
2018-10-25,-200.2157064858926
2018-10-26,-199.26187088211748
2018-10-29,-206.34600694958795
2018-10-30,-202.1530423472766
2018-10-31,-201.59394162447825
2018-11-01,-162.18397862083395
2018-11-02,-167.66820400836764
2018-11-05,-157.15837604176
2018-11-06,-150.80270158385872
2018-11-07,-151.1358610780493
2018-11-09,-157.80102273914042
2018-11-12,-162.60549203889354
2018-11-13,-179.63154755993526
2018-11-14,-164.21441200768163
2018-11-15,-171.05951051056343
2018-11-16,-187.6830477645275
2018-11-19,-167.7651849684645
2018-11-20,-178.1380178371063
2018-11-21,-198.04673419339736
2018-11-22,-199.91997428703303
2018-11-26,-201.19042392563392
2018-11-27,-220.55858176814115
2018-11-28,-216.9644369800527
2018-11-29,-226.13037160192675
2018-11-30,-198.94968677172415
2018-12-03,-169.63659043574285
2018-12-04,-147.11893336606124
2018-12-05,-134.97590018828942
2018-12-06,-113.15324807365778
2018-12-07,-143.19185555476588
2018-12-10,-150.79782294522715
2018-12-11,-118.96713811502457
2018-12-12,-105.75104771151132
2018-12-13,-136.7974842956936
2018-12-14,-116.74185555476583
2018-12-17,-125.06194157146206
2018-12-18,-118.38842928986878
2018-12-19,-172.5581309400577
2018-12-20,-175.89687345820244
2018-12-21,-179.42202098142457
2018-12-24,-198.50626922744505
2018-12-26,-209.42047717374294
2018-12-27,-165.59271994949597
2018-12-28,-198.18752340593358
2018-12-31,-186.10234430360674
2019-01-01,-179.24083749228066
2019-01-02,-169.94959745166125
2019-01-03,-172.58532092990276
2019-01-04,-172.20363666793367
2019-01-07,-169.93404931017858
2019-01-08,-168.44199270568674
2019-01-09,-166.33781633849344
2019-01-10,-138.5306895068578
2019-01-11,-143.8561320765241
2019-01-14,-171.57603733921007
2019-01-15,-172.11761814324757
2019-01-16,-177.77640096111486
2019-01-17,-156.55145705038979
2019-01-18,-172.21123930002375
2019-01-21,-191.16078635805593
2019-01-22,-199.05021040303643
2019-01-23,-216.51296597559985
2019-01-24,-200.57835410767473
2019-01-25,-187.5471913631336
2019-01-28,-201.77757903300756
2019-01-29,-197.3798043675249
2019-01-30,-186.5261744901311
2019-01-31,-158.6548168537106
2019-02-01,-167.67715106341086
2019-02-04,-158.5522071526858
2019-02-05,-159.068208236136
2019-02-06,-162.4540024037226
2019-02-07,-170.12674383841681
2019-02-08,-178.8747013717939
2019-02-11,-194.74882660476237
2019-02-12,-163.28364208518462
2019-02-13,-137.75604275646128
2019-02-14,-134.34603403584333
2019-02-15,-125.47667314907233
2019-02-18,-132.99646411932417
2019-02-19,-119.8612850169975
2019-02-20,-138.09070034135993
2019-02-21,-126.38461865846443
2019-02-22,-118.66534920564084
2019-02-25,-137.28995235294803
2019-02-26,-151.0899523529481
2019-02-27,-139.93044229127133
2019-02-28,-120.04022454090534
2019-03-01,-102.88700188850544
2019-03-05,-88.23650322956416
2019-03-06,-101.59113465260918
2019-03-07,-113.75584125784837
2019-03-08,-93.00622773823989
2019-03-11,-95.07552004955062
2019-03-12,-85.42955926582295
2019-03-13,-110.97236597261087
2019-03-14,-130.40041824330194
2019-03-15,-118.32363759233522
2019-03-18,-116.82264027445274
2019-03-19,-121.4394807802621
2019-03-20,-107.72425054371058
2019-03-22,-82.33067299002369
2019-03-25,-91.65940678755055
2019-03-26,-85.21791953134448
2019-03-27,-110.12386617720324
2019-03-28,-103.35743501027218
2019-03-29,-80.18709966410552
2019-04-01,-94.28526080997949
2019-04-02,-118.19073165538362
2019-04-03,-107.51644641300754
2019-04-04,-106.23122159370712
2019-04-05,-92.26603918801334
2019-04-08,-64.23798480343817
2019-04-09,-40.536463854243266
2019-04-10,-19.721642956570122
2019-04-11,-33.172960293268034
2019-04-12,-14.503032172095345
2019-04-15,-37.38147092317763
2019-04-16,-31.57972350299883
2019-04-18,-16.28914213072835
2019-04-22,-41.49529238908394
2019-04-23,-46.15221560822283
2019-04-24,-54.31183996233335
2019-04-25,-46.86535766117754
2019-04-26,-36.24143604070605
2019-04-30,-31.892321180039062
2019-05-02,-26.973778971024558
2019-05-03,-39.626683718493496
2019-05-06,-56.17795322433358
2019-05-07,-55.31991839487819
2019-05-08,-36.95575405166983
2019-05-09,-13.748197136553017
2019-05-10,-11.362562978374172
2019-05-13,-20.803711585046585
2019-05-14,-24.419552659089277
2019-05-15,-20.450648942054386
2019-05-16,-36.22845399715902
2019-05-17,-39.232225253242405
2019-05-20,-32.819199606605935
2019-05-21,-33.885541453473934
2019-05-22,-48.17019903837263
2019-05-23,-38.73184088673497
2019-05-24,-56.36817943023652
2019-05-27,-66.3367673562243
2019-05-28,-22.341986758273833
2019-05-29,-40.55086101008851
2019-05-30,-42.39632313487482
2019-05-31,-10.235632887421161
2019-06-03,26.482591416662217
2019-06-04,46.502359528427405
2019-06-06,-11.59121591137523
