Date,Residuals
2018-10-05,-17.730779926925152
2018-10-08,-19.11728243252901
2018-10-09,-41.515183041776936
2018-10-10,-53.13011232088104
2018-10-11,-56.56227532882724
2018-10-12,-64.20645615799333
2018-10-15,-80.91021111711325
2018-10-16,-73.41843131030532
2018-10-17,-35.675349200138044
2018-10-19,-29.934895640923173
2018-10-22,-32.36065493949775
2018-10-23,-5.831203550010173
2018-10-24,-56.72286511027369
2018-10-25,-60.64671736765217
2018-10-26,-54.247494255746005
2018-10-29,-52.14807879428372
2018-10-30,-68.43558571657593
2018-10-31,-70.9715740417189
2018-11-01,-73.04788644472762
2018-11-02,-68.18710805865999
2018-11-05,-49.90542405213648
2018-11-06,-45.128432808279285
2018-11-07,-48.360925137000095
2018-11-09,-55.41244747908411
2018-11-12,-40.15451393775891
2018-11-13,-44.194449571577934
2018-11-14,-34.72315550707515
2018-11-15,-45.96720310995761
2018-11-16,-57.083160749983904
2018-11-19,-59.294194353814646
2018-11-20,-65.44416291971118
2018-11-21,-78.5657511259501
2018-11-22,-58.50982641800124
2018-11-26,-65.02782058057267
2018-11-27,-69.0205733699654
2018-11-28,-67.0429347193633
2018-11-29,-78.81549590818702
2018-11-30,-83.87171101293734
2018-12-03,-81.44669342341808
2018-12-04,-86.32287634507804
2018-12-05,-75.75533349476052
2018-12-06,-71.2507350344049
2018-12-07,-84.81148198636902
2018-12-10,-70.92416366869804
2018-12-11,-75.53037877344855
2018-12-12,-78.28222669137233
2018-12-13,-76.78510671515312
2018-12-14,-80.36148198636897
2018-12-17,-55.720639983107276
2018-12-18,-66.82446155536911
2018-12-19,-81.34119608348931
2018-12-20,-71.09394662592103
2018-12-21,-66.02083982253282
2018-12-24,-80.01174469400166
2018-12-26,-84.99685808380548
2018-12-27,-72.28925386325477
2018-12-28,-71.42951507291366
2018-12-31,-73.97388450670098
2019-01-01,-74.77621517098225
2019-01-02,-65.33307393754274
2019-01-03,-62.69291077512935
2019-01-04,-58.32935041252631
2019-01-07,-55.271032172088894
