Date,Residuals
2018-08-31,-2132.220934997843
2018-09-03,-2046.6499571485674
2018-09-04,-1947.8454568903971
2018-09-05,-1931.2338836778026
2018-09-06,-1945.1398120907697
2018-09-07,-2008.6516689167074
2018-09-10,-2168.6273829941065
2018-09-11,-1958.4484236189037
2018-09-12,-1851.743692434823
2018-09-14,-1648.843576971869
2018-09-17,-1802.5403843614995
2018-09-18,-1786.6200314703838
2018-09-19,-1873.8517894237048
2018-09-21,-1680.8212914747946
2018-09-24,-1708.9090933040388
2018-09-25,-1735.7361150292372
2018-09-26,-1600.4034485044122
2018-09-27,-1966.3492845470173
2018-09-28,-1901.6789316559025
2018-10-01,-1177.7027759028615
2018-10-03,-1263.5296294776726
2018-10-04,-1473.9775186332363
2018-10-05,-1733.4291149384226
2018-10-08,-1806.5786003991707
2018-10-09,-1890.4660558395526
2018-10-10,-1547.917022142533
2018-10-11,-1602.6246096362074
2018-10-12,-1363.0650318050948
2018-10-15,-1564.5018045558381
2018-10-16,-1490.6246673676842
2018-10-17,-1696.18675511953
2018-10-19,-1370.959507512467
2018-10-22,-1484.8051754046846
2018-10-23,-1498.5936599235674
2018-10-24,-1222.3657245828217
2018-10-25,-1150.4898423550358
2018-10-26,-1121.9414386602202
2018-10-29,-1248.2392700843066
2018-10-30,-1161.1330003265202
2018-10-31,-1190.0305481372643
2018-11-01,-1366.1395536976488
2018-11-02,-1344.0266100617337
2018-11-05,-1368.0129260047024
2018-11-06,-1358.619311225445
2018-11-07,-1334.9264945987798
2018-11-09,-1202.8201671095148
2018-11-12,-1313.0978188369172
2018-11-13,-1339.273758796182
2018-11-14,-1342.3285477117388
2018-11-15,-1519.1079061632372
2018-11-16,-1543.9985542139902
2018-11-19,-1528.706535739917
2018-11-20,-1445.6674839943498
2018-11-21,-1317.5362405802798
2018-11-22,-1350.3851588143443
2018-11-26,-1331.7831634328631
2018-11-27,-1274.8786581306485
2018-11-28,-1348.7850433513904
2018-11-29,-1309.9416544539972
2018-11-30,-1301.2032853980681
2018-12-03,-1354.7844133491853
2018-12-04,-1251.6172530684416
2018-12-05,-1350.6557375873244
2018-12-06,-1526.7494100980593
2018-12-07,-1358.2317930095423
2018-12-10,-1514.1817930095422
2018-12-11,-1342.33624058028
2018-12-12,-1218.756593471394
2018-12-13,-1290.73549511512
2018-12-14,-1494.228422160696
2018-12-17,-1814.075739045532
2018-12-18,-1802.1288739244255
2018-12-19,-1436.018613403674
2018-12-20,-1295.4435870599582
2018-12-21,-1259.2504868199494
2018-12-24,-1325.7653103743933
2018-12-26,-1319.4995154729259
2018-12-27,-1317.8555593488481
2018-12-28,-1184.361603224772
2018-12-31,-1317.618671135151
2019-01-01,-1321.7698106325633
2019-01-02,-1425.5766526610787
2019-01-03,-1288.5784221606955
2019-01-04,-1224.658867422174
2019-01-07,-996.4607523847462
2019-01-08,-802.9769463625089
2019-01-09,-684.4655463443451
2019-01-10,-832.8049971662085
2019-01-11,-704.4115555813823
2019-01-14,-623.2168590361889
2019-01-15,-552.4791726698995
2019-01-16,-568.0636086943405
2019-01-17,-682.1679985336013
2019-01-18,-719.2296872091501
2019-01-21,-482.90061237099235
2019-01-22,-299.45517540468427
2019-01-23,-281.25112691024333
2019-01-24,-364.8499296813543
2019-01-25,-529.7670322306203
2019-01-28,-749.7650945806163
2019-01-29,-506.83276940061023
2019-01-30,-465.2932031157934
2019-01-31,-605.5852215898667
2019-02-01,-607.2888132765338
2019-02-04,-687.1596229754214
2019-02-05,-775.685904279504
2019-02-06,-762.3556848998915
2019-02-07,-868.3606996973122
2019-02-08,-971.0278599780559
2019-02-11,-1053.3506650584259
2019-02-12,-1110.23099485695
2019-02-13,-1119.1273454388056
2019-02-14,-1227.686125117325
2019-02-15,-1190.1857837725065
2019-02-18,-1295.5922267247252
2019-02-19,-1267.2721574469524
2019-02-20,-1249.0777445151016
2019-02-21,-1164.3484387510343
2019-02-22,-1098.4024872454766
2019-02-25,-935.3641181895482
2019-02-26,-808.0097283502882
2019-02-27,-850.5649163421404
2019-02-28,-806.0889186513996
2019-03-01,-827.938918651399
