Date,Residuals
2018-09-21,-1122.3223490019886
2018-09-24,-1187.4755114203158
2018-09-25,-1196.2848462178576
2018-09-26,-1144.5889971077809
2018-09-27,-1299.3569086443804
2018-09-28,-1323.0819030761177
2018-10-01,-1006.0526129796376
2018-10-03,-968.1653517451432
2018-10-04,-1050.5683060234073
2018-10-05,-1207.3967378326831
2018-10-08,-1286.1781239202228
2018-10-09,-1238.4592684581257
2018-10-10,-1090.245080394799
2018-10-11,-1096.4820443970339
2018-10-12,-965.3614535413813
2018-10-15,-953.7273881347878
2018-10-16,-934.4440473771047
2018-10-17,-1069.556291906812
2018-10-19,-986.2383580971641
2018-10-22,-993.4096736017273
2018-10-23,-1003.028045964551
2018-10-24,-757.45548930223
2018-10-25,-703.0679753815743
2018-10-26,-700.1464071908499
2018-10-29,-703.2373584890433
2018-10-30,-692.8476372120831
2018-10-31,-680.4679865180988
2018-11-01,-696.4079604812209
2018-11-02,-769.2444970668043
2018-11-05,-815.4038207278213
2018-11-06,-838.9675479649236
2018-11-07,-834.7204911066628
2018-11-09,-788.5687668496321
2018-11-12,-872.6207215197755
2018-11-13,-881.1202384205017
2018-11-14,-875.1055338483284
2018-11-15,-891.720513379712
2018-11-16,-871.1585215361661
2018-11-19,-917.2006805825436
2018-11-20,-858.7911042353649
2018-11-21,-819.8376779943515
2018-11-22,-837.5778600975368
2018-11-26,-823.2548203359424
2018-11-27,-810.2901269002932
2018-11-28,-837.103854137395
2018-11-29,-793.1761803866038
2018-11-30,-753.7818139839219
2018-12-03,-801.9112342647932
2018-12-04,-756.4930923150819
2018-12-05,-783.5614646779059
2018-12-06,-826.0597404208743
2018-12-07,-776.6349875387737
2018-12-10,-867.4349875387734
2018-12-11,-823.6376779943516
2018-12-12,-768.9126835626143
2018-12-13,-852.7710521616086
2018-12-14,-927.8027020718337
2018-12-17,-1014.7250394575672
2018-12-18,-974.1699000960475
2018-12-19,-872.5340992958977
2018-12-20,-832.0478042599507
2018-12-21,-805.7801454095129
2018-12-24,-825.892642625382
2018-12-26,-875.0049205646633
2018-12-27,-843.636042829517
2018-12-28,-784.3671650943706
2018-12-31,-808.9961022759685
2019-01-01,-813.3179231528547
2019-01-02,-844.9882613223458
2019-01-03,-827.9527020718338
2019-01-04,-826.1169124082089
2019-01-07,-773.1053591178388
2019-01-08,-738.2876891308761
2019-01-09,-698.0300674538416
2019-01-10,-747.2342517533384
2019-01-11,-705.7339879306528
2019-01-14,-647.7378972709394
2019-01-15,-611.2087408127541
2019-01-16,-636.019030672318
2019-01-17,-672.6597181478251
2019-01-18,-642.1773547252137
2019-01-21,-557.7329771860077
2019-01-22,-486.8596736017271
2019-01-23,-487.251591098468
2019-01-24,-485.21776724151096
2019-01-25,-547.1239062111517
2019-01-28,-671.6628694296282
2019-01-29,-594.7996252917997
2019-01-30,-505.9214350321613
2019-01-31,-521.679275985784
2019-02-01,-470.3307475566535
2019-02-04,-501.7123640573059
2019-02-05,-523.99448593028
2019-02-06,-474.43887460601127
2019-02-07,-538.1327690459443
2019-02-08,-538.1009109956553
2019-02-11,-586.7055672579017
2019-02-12,-640.6957716341358
2019-02-13,-685.0322970831949
2019-02-14,-671.7636720342107
2019-02-15,-704.3310670619621
2019-02-18,-704.6067972791352
2019-02-19,-712.60239370305
2019-02-20,-669.6769050355138
2019-02-21,-649.1345155760246
2019-02-22,-650.5925980792836
2019-02-25,-625.048231676602
2019-02-26,-622.3575442010942
2019-02-27,-641.2874475812396
2019-02-28,-633.6759277004426
2019-03-01,-621.9259277004426
2019-03-05,-603.3031406250093
2019-03-06,-567.3435976874048
2019-03-07,-588.4808477853744
2019-03-08,-568.4342851629121
2019-03-11,-568.0659128000884
2019-03-12,-632.6058756266857
2019-03-13,-544.9085660822639
2019-03-14,-556.6418957034225
2019-03-15,-499.2220406332044
2019-03-18,-383.33500981182215
2019-03-19,-412.0428619019699
2019-03-20,-457.24923128472255
2019-03-22,-499.3504613059554
2019-03-25,-451.95534798131393
2019-03-26,-367.2830440051548
2019-03-27,-368.3688336687792
2019-03-28,-390.2950915313236
2019-03-29,-370.6848016717595
2019-04-01,-403.6522078360358
2019-04-02,-352.95980724002175
2019-04-03,-408.26840625212844
2019-04-04,-404.05565635009816
2019-04-05,-335.05394322959137
2019-04-08,-422.3409517779246
2019-04-09,-450.7051732508244
2019-04-10,-454.57306251437467
2019-04-11,-380.61226728248766
2019-04-12,-405.84191797647145
2019-04-15,-394.2264776188631
2019-04-16,-440.236306652203
2019-04-18,-483.2363177887278
2019-04-22,-493.2274883635082
2019-04-23,-481.71573806959896
2019-04-24,-496.48660388446206
2019-04-25,-471.72310706047256
2019-04-26,-478.9885585546058
2019-04-30,-478.7878227691708
2019-05-02,-504.7513307296849
2019-05-03,-519.26995577867
2019-05-06,-551.0782686950411
2019-05-07,-536.651538869748
2019-05-08,-584.4583802152497
2019-05-09,-535.9983319053226
2019-05-10,-591.3473545702509
2019-05-13,-529.8789487978538
2019-05-14,-554.3174177805322
2019-05-15,-460.2019885594482
2019-05-16,-362.6863066522028
2019-05-17,-179.58606510256595
2019-05-20,-181.00817207518685
2019-05-21,-112.4517804193847
2019-05-22,-126.08243072148935
2019-05-23,-237.34813490178385
2019-05-24,-99.13267227112601
2019-05-27,-126.5939506022869
2019-05-28,-154.05276889098104
2019-05-29,-139.92629175184902
2019-05-30,-83.7927205810538
2019-05-31,-88.68070646445858
2019-06-03,-64.42164662612731
