Date,Residuals
2019-08-30,-181.9389610646498
2019-09-03,-191.66385702754712
2019-09-04,-210.68709625086638
2019-09-05,-210.77544691432024
2019-09-06,-215.76033547418547
2019-09-09,-194.16033547418544
2019-09-11,-197.19579609716766
2019-09-12,-194.87665049032728
2019-09-13,-199.10804722171724
2019-09-16,-201.221383022728
2019-09-17,-209.93763858909688
2019-09-18,-213.18471882373876
2019-09-19,-219.9998302638735
2019-09-20,-143.46996408224152
2019-09-23,-110.00156888783681
2019-09-24,-77.61421372618463
2019-09-25,-108.2286342036565
2019-09-26,-87.95780213235128
2019-09-27,-84.04323303044714
2019-09-30,-100.1146966146423
2019-10-01,-115.99419880736252
2019-10-03,-118.2111156115077
2019-10-04,-114.59197000466725
2019-10-07,-113.08844845130557
2019-10-09,-96.64543210825593
2019-10-10,-99.9677055546598
2019-10-11,-58.44439959129329
2019-10-14,-71.52104146842828
2019-10-15,-45.0051426006969
2019-10-16,-78.03509795698835
2019-10-17,-76.48964473703825
2019-10-18,-62.973270271123624
2019-10-22,-49.11574427594269
2019-10-23,-54.23025392807381
2019-10-24,-59.72396123378644
2019-10-25,-52.713664097679725
2019-10-27,-51.41480822391384
2019-10-29,9.671016387980444
2019-10-30,2.590852957483662
2019-10-31,3.0344710885368613
2019-11-01,-3.352646274023641
2019-11-04,-11.439793361470606
2019-11-05,-15.118842390619534
2019-11-06,-32.13741593434304
2019-11-07,-45.480343102733286
2019-11-08,-66.18603400901725
2019-11-11,-72.34939953491448
2019-11-13,-83.18786909791413
2019-11-14,-25.58317369343206
2019-11-15,-34.00993447011285
2019-11-18,-23.98085571607737
2019-11-19,-41.514421800389755
2019-11-20,-59.57074421956372
2019-11-21,-63.97835938940398
2019-11-22,-70.14807705936153
2019-11-25,-62.88711868547841
2019-11-26,-63.33889432460251
2019-11-27,-47.62035050576549
2019-11-28,-32.68160612851318
2019-11-29,-45.008337180307535
2019-12-02,-53.54894637134316
2019-12-03,-56.668782940846654
2019-12-04,-58.56872349107368
2019-12-05,-30.11179928389629
2019-12-06,-39.668091978183725
2019-12-09,-59.69295821619471
2019-12-10,-67.47827021474473
2019-12-11,-64.51601909019519
2019-12-12,-49.07125683290792
2019-12-13,-45.31601909019514
2019-12-16,-57.61758665511388
2019-12-17,-65.87159109693323
2019-12-18,-56.06126423594003
2019-12-19,-31.22941434097868
2019-12-20,-29.248589672705748
2019-12-23,-25.087452949503813
2019-12-24,-28.010090384819478
2019-12-26,-19.97929544143301
2019-12-27,-8.47119738313495
2019-12-30,-2.8037382407591167
2019-12-31,-4.8688794057802625
2020-01-01,-8.832215206791034
2020-01-02,-3.2542805789897784
2020-01-03,3.235786273815279
2020-01-06,-16.237995287734293
2020-01-07,-25.154822917220258
2020-01-08,-33.83616019883743
2020-01-09,-36.86117506128062
2020-01-10,-28.016442528879907
2020-01-13,-12.759035433244776
2020-01-14,4.139188927631153
2020-01-15,-15.627490077422408
2020-01-16,3.517391079410686
2020-01-17,-2.678574753883595
2020-01-20,-6.677430627649414
2020-01-21,-15.998894211844686
2020-01-22,-27.740164640656758
2020-01-23,-25.67737117787658
2020-01-24,-30.024510862291322
2020-01-27,-35.12387934940136
2020-01-28,-36.117980368912185
2020-01-29,-38.88011259391601
2020-01-30,-34.85618240793394
2020-01-31,-38.004525668355654
2020-02-01,-60.947482561632455
2020-02-03,-59.628277505019014
2020-02-04,-37.637579139323975
2020-02-05,-53.54682132385608
2020-02-06,-51.92063261029227
2020-02-07,-44.24110069268556
2020-02-10,-36.144109632703135
2020-02-11,-47.88772776375629
2020-02-12,-47.47035779603982
2020-02-13,-59.24639788517129
2020-02-14,-52.449889713646485
2020-02-17,63.52000630562986
2020-02-18,52.041016726253815
2020-02-19,53.42304497053385
2020-02-20,91.645712130736
2020-02-24,107.82948628925362
2020-02-25,116.1998651969875
2020-02-26,105.93830503510094
2020-02-27,99.52548184743432
2020-02-28,39.95233179877448
2020-03-02,26.0586542179484
2020-03-03,35.96151453353366
2020-03-04,43.02430799631372
2020-03-05,61.19508061784609
2020-03-06,41.4202143798351
2020-03-09,-15.453418557282475
2020-03-11,-10.935989139793037
2020-03-12,-112.48861165628648
2020-03-13,-69.42693259485407
2020-03-16,-190.17714795933352
2020-03-17,-274.71947333972037
2020-03-18,-333.6465683804265
2020-03-19,-364.82140489355106
2020-03-20,-306.3268507104691
2020-03-23,-456.4421477901969
2020-03-24,-457.5141537126225
2020-03-25,-375.15015667383545
2020-03-26,-333.46511219926356
2020-03-27,-301.0322073527275
2020-03-30,-327.52965157628125
2020-03-31,-333.74235586440204
2020-04-01,-347.64055050039156
2020-04-03,-354.0573186801046
2020-04-07,-292.68745238571466
2020-04-08,-265.67251929489873
2020-04-09,-218.76204380947308
2020-04-13,-207.26728155218586
2020-04-15,-265.64398287909387
2020-04-16,-256.5835965683276
2020-04-17,-232.65000075912883
2020-04-20,-204.62790566204376
2020-04-21,-230.8236931460193
2020-04-22,-189.89813594534542
2020-04-23,-131.19349999063616
2020-04-24,-136.08534248256524
2020-04-27,-124.11448068637367
2020-04-28,-110.00352231249042
2020-04-29,-104.48675413277738
2020-04-30,-49.4415981616919
2020-05-04,-141.03214790295476
2020-05-05,-145.61932471528803
2020-05-06,-106.43046143848994
