Date,Residuals
2018-08-31,-75.39243192296942
2018-09-03,-80.89047378821817
2018-09-04,-83.05529534860591
2018-09-05,-78.51108833859439
2018-09-06,-68.84560707224603
2018-09-07,-71.76464453954918
2018-09-10,-71.88931468656892
2018-09-11,-71.34135171732692
2018-09-12,-74.65623370884907
2018-09-14,-77.8812639244162
2018-09-17,-105.28286199061984
2018-09-18,-124.94304966266839
2018-09-19,-135.52720832777254
2018-09-21,-134.6925292838489
2018-09-24,-161.18617646703763
2018-09-25,-181.9976231198733
2018-09-26,-170.82648819067765
2018-09-27,-196.241031096783
2018-09-28,-236.4512187688316
2018-10-01,-226.92704549924235
2018-10-03,-206.2386314792193
2018-10-04,-182.86466048616376
2018-10-05,-189.9638614530619
2018-10-08,-198.7890914269044
2018-10-09,-207.90782925679457
2018-10-10,-187.10729041310242
2018-10-11,-207.39108900965903
2018-10-12,-195.74588320827013
2018-10-15,-209.53999033914397
2018-10-16,-201.65357390187546
2018-10-17,-188.3225509380444
2018-10-19,-184.19875872013358
2018-10-22,-190.51344095338004
2018-10-23,-168.9317188355849
2018-10-24,-184.64570191486735
2018-10-25,-185.02117109498886
2018-10-26,-178.02037206188697
2018-10-29,-169.48391617661503
2018-10-30,-189.51208209345532
2018-10-31,-188.0007957508917
2018-11-01,-184.5587466339067
2018-11-02,-185.02768422207225
2018-11-05,-170.40950621900515
2018-11-06,-168.65631008659773
2018-11-07,-170.55271443763934
2018-11-09,-173.46839546226317
2018-11-12,-173.27958192568917
2018-11-13,-176.1665976377841
2018-11-14,-165.31420053847853
2018-11-15,-169.21196374944498
2018-11-16,-170.92910351313128
2018-11-19,-179.47510834762204
2018-11-20,-182.7071695508339
2018-11-21,-188.047780911887
2018-11-22,-175.57334997114629
2018-11-26,-180.07434876252353
2018-11-27,-177.7515763191209
2018-11-28,-179.29838018671342
2018-11-29,-176.55752961938128
2018-11-30,-176.81422152160928
2018-12-03,-178.84864037612317
2018-12-04,-178.3572299819681
2018-12-05,-175.42550786417303
2018-12-06,-180.4411888887969
2018-12-07,-185.68749336070073
2018-12-10,-185.78749336070064
2018-12-11,-185.59778091188707
2018-12-12,-177.98759323983847
2018-12-13,-177.1730713168639
2018-12-14,-181.11404274646463
2018-12-17,-158.25281683503533
2018-12-18,-160.43873387661517
2018-12-19,-165.01889737621013
2018-12-20,-155.65645193199703
2018-12-21,-150.62802582574705
2018-12-24,-168.68311966177134
2018-12-26,-173.24097066564866
2018-12-27,-157.50045918373314
2018-12-28,-149.3099477018177
2018-12-31,-150.2313822684265
2019-01-01,-149.21829810138365
2019-01-02,-146.37738710291717
2019-01-03,-148.06404274646468
2019-01-04,-145.27383090196236
2019-01-07,-145.73545632994262
2019-01-08,-135.7274055677899
2019-01-09,-105.32065323442748
2019-01-10,-113.48839227294036
2019-01-11,-109.77265081718224
