Date,Residuals
2018-08-31,-280.11006725466655
2018-09-03,-266.7146060011644
2018-09-04,-234.35093663393332
2018-09-05,-248.1145676311312
2018-09-06,-235.00093958547404
2018-09-07,-278.2418591409378
2018-09-10,-309.4191240868752
2018-09-11,-302.737273169784
2018-09-12,-267.7145086003113
2018-09-14,-223.1554222526927
2018-09-17,-272.8463359050743
2018-09-18,-215.4507624930136
2018-09-19,-252.31896175211978
2018-09-21,-225.75075363839096
2018-09-24,-332.8143698778838
2018-09-25,-284.5280156327872
2018-09-26,-289.33710493194644
2018-09-27,-310.33253371849787
2018-09-28,-267.19614405490915
2018-10-01,-233.16435216863806
2018-10-03,-237.96434626555606
2018-10-04,-257.24616471569607
2018-10-05,-311.59159645378827
2018-10-08,-346.72340604930537
2018-10-09,-286.21883778739766
2018-10-10,-270.5643049439818
2018-10-11,-316.9642960893591
2018-10-12,-280.4870370465037
2018-10-15,-280.977950698885
2018-10-16,-268.1734208070104
2018-10-17,-284.25978095518917
2018-10-19,-371.99161416303446
2018-10-22,-374.66888796359467
2018-10-23,-342.94615586107307
2018-10-24,-291.7007064137349
2018-10-25,-323.427956601967
2018-10-26,-317.23250420308796
2018-10-29,-350.932548476203
2018-10-30,-387.9780185843283
2018-10-31,-292.99165843614946
2018-11-01,-289.51436987788384
2018-11-02,-235.1143816840481
2018-11-05,-271.34166138769024
2018-11-06,-255.61438463558898
2018-11-07,-247.48256913699015
2018-11-09,-249.23257208853101
2018-11-12,-261.7961971826471
2018-11-13,-230.45073888068578
2018-11-14,-230.7280333420331
2018-11-15,-216.4598517921736
2018-11-16,-189.7871373988978
2018-11-19,-179.98259274931797
2018-11-20,-183.80529238488884
2018-11-21,-199.72803039049222
2018-11-22,-185.81438168404816
2018-11-26,-171.22801268124613
2018-11-27,-154.3598311313865
2018-11-28,-112.78708131961866
2018-11-29,-85.3961735703192
2018-11-30,-52.87799202045926
2018-12-03,-68.03709312578258
2018-12-04,-112.60982522830432
2018-12-05,-77.30527762718361
2018-12-06,-96.8052658210197
2018-12-07,-95.4370901742418
2018-12-10,-138.65072412298082
2018-12-11,-151.1734680316663
2018-12-12,-132.0416731938542
2018-12-13,-124.55530123951144
2018-12-14,-160.86893518825082
2018-12-17,-106.07348278937161
2018-12-18,-116.78712264119258
2018-12-19,-98.54168500001856
2018-12-20,-102.99622669805717
2018-12-21,-129.8235004986177
2018-12-24,-177.36441119945812
2018-12-26,-154.5280599059024
2018-12-27,-134.30078020225983
2018-12-28,-110.29169975772334
2018-12-31,-123.52806580898414
2019-01-01,-99.24172632159252
2019-01-02,-113.22806876052528
2019-01-03,-156.84625031038513
2019-01-04,-129.82353591710944
2019-01-07,-133.15990491991124
2019-01-08,-151.29172927313334
2019-01-09,-112.01899717061201
2019-01-10,-128.68718167201268
2019-01-11,-109.02353296556839
2019-01-14,-130.49625916500804
2019-01-15,-108.09171451542852
2019-01-16,-124.87807761514841
2019-01-17,-88.78261341010489
2019-01-18,-82.118970606743
2019-01-21,-78.88259865240002
2019-01-22,-94.29622079497494
2019-01-23,-106.35529828797053
2019-01-24,-99.68712559273399
2019-01-25,-82.80529238488884
2019-01-28,-109.8871049319464
2019-01-29,-151.2144023448352
2019-01-30,-187.53258389469488
2019-01-31,-146.43712264119267
2019-02-01,-102.62802448741013
2019-02-04,-82.46892928516854
2019-02-05,-71.02346212858447
2019-02-06,-69.01892338208677
2019-02-07,-86.22801268124613
2019-02-08,-96.68253667003887
2019-02-11,-89.49616766723716
2019-02-12,-128.100706413735
2019-02-13,-101.74161416303446
2019-02-14,-136.08707541653666
2019-02-15,-151.70524220869152
2019-02-18,-145.57341490392855
2019-02-19,-178.9734326131745
2019-02-20,-163.74161711457532
2019-02-21,-142.97343556471537
2019-02-22,-146.29616176415493
2019-02-25,-139.55979866443522
2019-02-26,-175.31888206051258
2019-02-27,-186.1506975591119
2019-02-28,-185.95069755911186
2019-03-01,-193.51891747900459
2019-03-05,-209.15075954147278
2019-03-06,-182.31439349021207
2019-03-07,-198.58713739889777
2019-03-08,-188.91894699441468
2019-03-11,-184.32805105127932
2019-03-12,-149.33259274931788
2019-03-13,-129.4098665498782
2019-03-14,-126.74623555268022
2019-03-15,-114.8644259571629
2019-03-18,-135.8417115638872
2019-03-19,-144.3917322246748
2019-03-20,-127.60082742691588
2019-03-22,-115.05534551262667
2019-03-25,-144.04624440730322
2019-03-26,-152.85080381458806
2019-03-27,-181.9780805666892
2019-03-28,-188.5190355406446
2019-03-29,-159.44630048658246
2019-04-01,-182.77359494792927
2019-04-02,-148.2917794493303
2019-04-03,-126.95995509610839
2019-04-04,-94.91904144372688
2019-04-05,-75.58722004204583
2019-04-08,-77.70539864036482
2019-04-09,-70.9099550961082
2019-04-10,-102.26448793952432
2019-04-11,-105.07811893672238
2019-04-12,-111.83722299358692
2019-04-15,-121.08267539246617
2019-04-16,-109.1781307428862
2019-04-18,-116.30992558069829
2019-04-22,-156.15991082299342
2019-04-23,-172.81445252103208
2019-04-24,-134.38719052663555
2019-04-25,-148.36444661794985
2019-04-26,-130.6599078714521
2019-04-30,-89.00987245296051
2019-05-02,-63.93259570085911
2019-05-03,-86.38715805968468
2019-05-06,-116.2462326011389
2019-05-07,-102.85075954147283
2019-05-08,-132.58256913699006
2019-05-09,-150.18711673811094
2019-05-10,-141.45076544455492
2019-05-13,-91.70526877256043
2019-05-14,-93.95074478376796
2019-05-15,-106.92800677816399
2019-05-16,-117.0507447837681
2019-05-17,-74.4098488406321
2019-05-20,15.71282127952827
2019-05-21,-2.83264882859703
2019-05-22,20.194622020422685
2019-05-23,-9.296294583500185
2019-05-24,-35.932710810957815
2019-05-27,-7.123639221044414
2019-05-28,-20.39181486782263
2019-05-29,-8.246341808156558
2019-05-30,33.24911944534597
2019-05-31,38.22640210052941
2019-06-03,92.20822940529206
2019-06-04,81.8900419523502
2019-06-06,71.39008622546544
2019-06-07,109.8810116840109
2019-06-10,105.2628478433976
2019-06-11,88.8810116840109
2019-06-12,80.98101168401081
2019-06-13,97.44010393471171
2019-06-14,92.88102349017527
2019-06-17,89.12194599717986
2019-06-18,69.48558289746006
2019-06-19,94.43104119942109
2019-06-20,108.4628448918561
2019-06-21,51.649210943117396
2019-06-24,59.02193714255691
2019-06-25,76.55829138765375
2019-06-26,66.58555633359083
2019-06-27,94.11737478373061
2019-06-28,90.04010098317076
2019-07-01,145.1128301341514
2019-07-02,183.19010688625258
2019-07-03,160.95826187224338
2019-07-04,149.82642276131628
2019-07-05,144.65823530837451
2019-07-08,146.79917552462484
2019-07-09,115.10371427112295
2019-07-10,116.05372312574582
2019-07-11,143.84007737084266
2019-07-12,139.92189582098308
2019-07-15,161.83555338204997
2019-07-16,166.03554157588587
2019-07-17,163.91279766720027
2019-07-18,243.9991932338712
2019-07-19,214.58102939325727
2019-07-22,96.65830024227671
2019-07-23,69.53105890866709
2019-07-24,123.6447076151112
2019-07-25,137.10834746693263
2019-07-26,96.59924045852722
2019-07-29,92.75835041847358
2019-07-30,94.09929358626505
2019-07-31,73.92199912491787
2019-08-01,43.10382347814016
2019-08-02,83.46746332996122
2019-08-05,117.38110908486419
2019-08-06,151.11292163192252
2019-08-07,160.4129570504142
2019-08-08,158.60385299355016
2019-08-09,188.68112679411047
2019-08-13,83.4947725490133
2019-08-14,90.18566554060794
2019-08-16,67.57656738682545
2019-08-19,81.08111203640556
2019-08-20,71.31295114733234
2019-08-21,62.11297180811948
2019-08-22,24.585721619886954
2019-08-23,43.87206996190184
2019-08-26,142.8356980075589
2019-08-27,160.60386775125517
2019-08-28,183.63570095910018
2019-08-29,134.7538972666648
2019-08-30,169.84480206442345
2019-09-03,97.47662641764578
2019-09-04,100.94934376246215
2019-09-05,43.36297771120144
2019-09-06,38.29933785938033
2019-09-09,56.91751350615823
2019-09-11,51.79022199635165
2019-09-12,55.235665540608125
2019-09-13,60.51748989383009
2019-09-16,27.417495796912135
2019-09-17,-9.627938892721204
2019-09-18,-20.48703409496261
2019-09-19,-29.277935941180203
2019-09-20,24.694760742849667
2019-09-23,135.9402131417287
2019-09-24,109.39476664593144
2019-09-25,70.07206996190166
2019-09-26,55.14023970559765
2019-09-27,30.203879557418986
2019-09-30,-21.19156398683731
2019-10-01,3.772081768066073
2019-10-03,-15.873370630813497
2019-10-04,-3.7597219243691598
2019-10-07,-7.850623770586708
2019-10-09,11.03117401876625
2019-10-10,8.799373277872292
2019-10-11,19.90844781932674
2019-10-14,33.781188776471254
2019-10-15,33.422099477311804
2019-10-16,71.36755777927306
2019-10-17,106.23573047451009
2019-10-18,108.02663527226855
2019-10-22,127.20390612128813
2019-10-23,146.89025741484352
2019-10-24,158.16299837198812
2019-10-25,108.76298951736567
2019-10-27,112.3811710672253
2019-10-29,114.80843601316292
2019-10-30,100.11751350615805
2019-10-31,118.56750465153527
2019-11-01,105.08567144368999
2019-11-04,150.69475188822662
2019-11-05,150.87657033836672
2019-11-06,199.08567439523085
2019-11-07,241.30387365433694
