Date,Residuals
2018-10-05,-573.7467883294412
2018-10-08,-784.1100193118182
2018-10-09,-611.652963995939
2018-10-10,-654.6100193118182
2018-10-11,-766.5904973535071
2018-10-12,-663.8065007142923
2018-10-15,-661.5247608532518
2018-10-16,-801.8371121862474
2018-10-17,-840.570362606346
2018-10-19,-739.5811852594561
2018-10-22,-630.193020992212
2018-10-23,-603.211396440609
2018-10-24,-675.7359656763329
2018-10-25,-987.217590227936
2018-10-26,-760.6884893150382
2018-10-29,-714.0245121135467
2018-10-30,-669.4781641413392
2018-10-31,-122.18722749568406
2018-11-01,-580.2392536549814
2018-11-02,-606.7260407934336
2018-11-05,-426.2878765261921
2018-11-06,-520.0939187624208
2018-11-07,-495.7735171547283
2018-11-09,-722.488009956458
2018-11-12,-623.9857350574584
2018-11-13,-800.9206294668802
2018-11-14,-808.4125791921815
2018-11-15,-701.9771873033496
2018-11-16,-451.94393688325
2018-11-19,-750.3121970222091
2018-11-20,-778.2109352028565
2018-11-21,-890.4917954145167
2018-11-22,-751.5710116368518
2018-11-26,-726.3967092616604
2018-11-27,-602.3012409388339
2018-11-28,-344.56307667159126
2018-11-29,-587.0662312199729
2018-11-30,-427.51043772344747
2018-12-03,-517.2138410115349
2018-12-04,-537.4802084214643
2018-12-05,-604.512197022208
2018-12-06,-602.1526180676246
2018-12-07,-582.0291953418146
2018-12-10,-461.74770422048095
2018-12-11,-370.57189128623213
2018-12-12,-327.9619482825037
2018-12-13,-125.30703443536004
2018-12-14,-283.8986019906897
2018-12-17,-96.88701499763738
2018-12-18,-299.4685061189739
2018-12-19,-502.33791276784905
2018-12-20,-414.0372818581727
2018-12-21,-432.76762646959287
2018-12-24,-354.5391564663714
2018-12-26,-618.7953321328714
2018-12-27,-447.1511256293961
2018-12-28,-173.0096915043323
2018-12-31,-350.2270719939097
2019-01-01,-470.8819858410552
2019-01-02,-330.32946220234953
2019-01-03,-107.72454835520512
2019-01-04,-417.44280849416464
2019-01-07,-366.9634588415629
2019-01-08,-280.5797109420546
2019-01-09,-70.71510283088719
2019-01-10,129.46449556142034
2019-01-11,-44.18613534825636
2019-01-14,-67.73185241078863
2019-01-15,-48.40565730656999
2019-01-16,-208.1196345080607
