Date,Residuals
2018-10-05,-751.2238936642079
2018-10-08,-1032.6110384836447
2018-10-09,-1087.396148044516
2018-10-10,-1196.661038483644
2018-10-11,-1117.0020066861052
2018-10-12,-1167.3904942483623
2018-10-15,-1043.0603882565665
2018-10-16,-1012.6548970171825
2018-10-17,-1015.0472079624651
2018-10-19,-1011.5057098010293
2018-10-22,-988.9302822647733
2018-10-23,-968.6998088707714
2018-10-24,-961.3153918256448
2018-10-25,-998.4458652196445
2018-10-26,-943.0936674043114
2018-10-29,-965.0373210924135
2018-10-30,-650.8312998940546
2018-10-31,-760.3045296149776
2018-11-01,-721.0366708653364
2018-11-02,-496.5733280144668
2018-11-05,-483.8479004782075
2018-11-06,-694.7967202921573
2018-11-07,-397.49505243579915
2018-11-09,-441.6213350445687
2018-11-12,-554.6661266300562
2018-11-13,-643.1440770951849
2018-11-14,-732.8369179994406
2018-11-15,-722.1628332060045
2018-11-16,-709.3705222607241
2018-11-19,-694.9904162689272
2018-11-20,-728.2012784795952
2018-11-21,-844.8887484125698
2018-11-22,-877.5905788256969
2018-11-26,-812.8718650035426
2018-11-27,-913.2584798640055
2018-11-28,-923.5830523277491
2018-11-29,-957.8308968010824
2018-11-30,-659.1051441512864
2018-12-03,-636.5760557887752
2018-12-04,-489.38724311297847
2018-12-05,-611.8904162689269
2018-12-06,-603.0472502511311
2018-12-07,-643.8711724877976
2018-12-10,-702.914133660157
2018-12-11,-601.3332148845166
2018-12-12,-553.2673491047753
2018-12-13,-486.08423251379827
2018-12-14,-504.83057168754385
2018-12-17,-338.5290663879532
2018-12-18,-353.6861052155946
2018-12-19,-339.145504415339
2018-12-20,-316.22593552067156
2018-12-21,-454.3434691567745
2018-12-24,-523.3608402361078
2018-12-26,-527.1330946164144
2018-12-27,-457.80884726621116
2018-12-28,-371.3859426588242
2018-12-31,-371.76320060820944
2019-01-01,-357.6463171991836
2019-01-02,-353.31804162051776
2019-01-03,-392.78492502954396
2019-01-04,-452.80481903774853
2019-01-07,-420.97955405825996
2019-01-08,-261.1911087846711
2019-01-09,-261.21519357810575
2019-01-10,-244.11686143446605
2019-01-11,-244.5364303291335
2019-01-14,-241.47288263282644
2019-01-15,-304.7954621266708
2019-01-16,-340.40180843856797
2019-01-17,-244.95465648097888
2019-01-18,-283.4257306752352
2019-01-21,-232.08976604185045
2019-01-22,-248.42153989000326
2019-01-23,-315.73691799944027
2019-01-24,-315.57455048918564
2019-01-25,-285.8920841252857
2019-01-28,-301.2892360828773
2019-01-29,-318.62100993103013
2019-01-30,-302.8129957627734
2019-01-31,-318.0643385055937
2019-02-01,-344.93944092831225
2019-02-04,-325.8213350445676
2019-02-05,-260.7745082005167
2019-02-06,-228.5424092388257
2019-02-07,-211.96633147549255
2019-02-08,-199.72886154251682
2019-02-11,-60.731342182722074
2019-02-12,-16.59139160954328
2019-02-13,-57.10074852061916
2019-02-14,-119.55725738928595
2019-02-15,-129.32446591184998
2019-02-18,-329.8885012784649
2019-02-19,-238.36258607190211
2019-02-20,-177.85306660405513
2019-02-21,-54.15156130446667
2019-02-22,10.283223142869247
2019-02-25,-81.61510900077337
2019-02-26,-123.14537754933554
2019-02-27,192.80043166543328
2019-02-28,570.4933928377905
2019-03-01,765.6597885765095
2019-03-05,821.0433928377897
2019-03-06,477.3994140361501
2019-03-07,265.7141419185082
2019-03-08,134.7325306271232
2019-03-11,-11.54875555072249
2019-03-12,301.51812785830407
2019-03-13,196.12549179948292
2019-03-14,100.27833984189238
2019-03-15,65.62715965584175
2019-03-18,164.16796530153442
2019-03-19,192.37130101425282
2019-03-20,85.33651656691836
2019-03-22,249.30189467635319
2019-03-25,185.38968972286784
2019-03-26,163.8162551565074
2019-03-27,461.3588912153282
2019-03-28,603.0513647173811
2019-03-29,594.160396514917
2019-04-01,536.0913152905596
2019-04-02,494.46271459835407
2019-04-03,580.1095414424053
2019-04-04,416.2899725477382
2019-04-05,399.85384535758385
2019-04-08,467.25937888563567
2019-04-09,532.5272799239447
2019-04-10,524.5222763548663
2019-04-11,456.02528695404726
2019-04-12,448.2562057296873
2019-04-15,426.22927289384097
2019-04-16,431.97207150942995
2019-04-18,442.4260997378915
2019-04-22,336.10421275979024
2019-04-23,275.74619859153245
2019-04-24,319.5496968610205
2019-04-25,357.74518096225074
2019-04-26,-1.5824021006719704
2019-04-30,-23.667349104774985
2019-05-02,42.1368416804562
2019-05-03,139.31377451630215
2019-05-06,145.09705366404705
2019-05-07,155.32215608676415
2019-05-08,235.3372090826615
2019-05-09,206.00828327692034
2019-05-10,205.31882037404648
2019-05-13,457.0004316654322
2019-05-14,389.59860125230443
2019-05-15,441.45327970784274
2019-05-16,351.8258592016882
2019-05-17,320.7626366189179
2019-05-20,702.2427003220473
2019-05-21,637.8395271660975
2019-05-22,553.7348487105592
2019-05-23,515.455760348048
2019-05-24,721.7848487105603
2019-05-27,792.1983964068677
2019-05-28,708.9689829308154
2019-05-29,717.4733362728166
2019-05-30,804.5096260197388
2019-05-31,727.1367993917902
2019-06-03,720.6531951305078
2019-06-04,630.8164177132785
2019-06-06,481.2458311893297
2019-06-07,627.3727640251745
2019-06-10,694.5729265819427
2019-06-11,710.565400083995
2019-06-12,842.5580361428147
2019-06-13,787.4958311893297
2019-06-14,796.0001845313291
2019-06-17,579.314912413689
2019-06-18,291.2963611483028
2019-06-19,463.39453073517507
2019-06-20,559.9053929458423
2019-06-21,541.0764671400975
2019-06-24,503.33366852450854
2019-06-25,529.9492091907141
2019-06-26,598.7035625327135
2019-06-27,645.7475413343545
2019-06-28,491.179477739277
2019-07-01,542.8993717474823
2019-07-02,824.2339936380467
2019-07-03,703.0871667939955
2019-07-04,755.7100714013795
2019-07-05,674.0896897228686
2019-07-08,705.8555977912783
2019-07-09,766.1662974451738
2019-07-10,725.1405447953803
2019-07-11,710.2494140361505
2019-07-12,657.8741490566608
2019-07-15,762.6402196818417
2019-07-16,788.3925377652777
2019-07-17,682.7490466339441
2019-07-18,554.8427003220477
2019-07-19,303.4801702550212
2019-07-22,306.7967285505092
2019-07-23,286.94888407717553
2019-07-24,318.7042127597906
2019-07-25,444.3607216284563
2019-07-26,497.37292658194383
2019-07-29,440.9809407501998
2019-07-30,443.2051881004063
2019-07-31,645.229272893841
2019-08-01,490.5429831469173
2019-08-02,449.1750821086116
2019-08-05,210.00234005799393
2019-08-06,201.33842495948193
2019-08-07,134.7038030689182
2019-08-08,-23.86828875462197
2019-08-09,-6.425490139032263
2019-08-13,-46.28871272180004
2019-08-14,-46.22650776831324
2019-08-16,-37.17333461236558
2019-08-19,-47.982691523442554
2019-08-20,-92.61112965887878
2019-08-21,-58.474839911956224
2019-08-22,-55.663122628775454
2019-08-23,-40.76446537159609
2019-08-26,-398.7097869160589
2019-08-27,-245.75645120334048
2019-08-28,-291.75661376010976
2019-08-29,-247.93806249472436
2019-08-30,-144.173009498827
2019-09-03,-180.42667032508325
2019-09-04,-228.33301663697966
2019-09-05,-236.26161732918445
2019-09-06,-189.5765077683136
2019-09-09,-200.65494590375056
2019-09-11,-183.55929924574957
2019-09-12,-223.43688230867338
2019-09-13,-24.810967102108407
2019-09-16,36.42064418927657
2019-09-17,2.838707784352664
2019-09-18,115.34204349707034
2019-09-19,120.34489153948016
2019-09-20,862.8936267760946
2019-09-23,1131.622955674813
2019-09-24,1291.5811746885047
2019-09-25,1087.803591625583
2019-09-26,991.4242984176326
2019-09-27,1584.0886588977864
2019-09-30,1607.3637613205028
2019-10-01,1474.1090828649649
2019-10-03,1227.4403690428117
2019-10-04,1076.2900439292753
2019-10-07,829.7804821727605
2019-10-09,806.3364610824519
2019-10-10,654.8686803122473
2019-10-11,872.3134718977326
2019-10-14,1143.5270195940411
2019-10-15,701.4347086487596
2019-10-16,973.9991114175809
2019-10-17,1045.0855214326039
2019-10-18,1144.0716063340915
2019-10-22,1337.2969136022457
2019-10-23,1251.7826733901948
2019-10-24,1331.944878343682
2019-10-25,1463.4512246555787
2019-10-27,1542.8115991959385
2019-10-29,1560.6958536842976
2019-10-30,1677.6124119797842
2019-10-31,1491.8516277485523
2019-11-01,1411.7543555228604
2019-11-04,1447.7568784517334
2019-11-05,1203.0078960810151
2019-11-06,1083.6727865201428
2019-11-07,940.1814509154774
2019-11-08,733.9520797280929
2019-11-11,566.3534224709128
2019-11-13,348.6091185557343
2019-11-14,351.0032599141432
2019-11-15,509.77347903588634
2019-11-18,447.77229884983535
2019-11-19,394.2323482766551
2019-11-20,371.20509032727205
2019-11-21,288.8850337622971
2019-11-22,176.83003019322132
2019-11-25,378.2585885967583
2019-11-26,634.1268147486044
2019-11-27,735.6452034572212
2019-11-28,905.2485391699392
2019-11-29,726.0592388238347
2019-12-02,664.9605815666546
2019-12-03,616.4505321398356
2019-12-04,780.2244543765028
2019-12-05,683.9301504613231
2019-12-06,802.0732741904503
2019-12-09,794.7956911275269
2019-12-10,556.9167653217846
2019-12-11,551.5170904353217
2019-12-12,598.4063907814252
2019-12-13,725.0475215406568
2019-12-16,693.6876769592709
2019-12-17,655.7906875584522
2019-12-18,666.905048038605
2019-12-19,684.8222565611686
2019-12-20,649.0799456158875
2019-12-23,798.0297407704493
2019-12-24,709.0282354708597
2019-12-26,757.8943060960391
2019-12-27,762.6640375474744
2019-12-30,775.4535004503487
2019-12-31,725.223231901784
2020-01-01,682.0446312095792
2020-01-02,605.0819385857831
2020-01-03,615.4847866281925
2020-01-06,558.9798253477838
2020-01-07,430.7166027650146
2020-01-08,308.1060656678874
2020-01-09,405.9543555228611
2020-01-10,415.17140148865474
2020-01-13,417.1483343245018
2020-01-14,449.385232009834
2020-01-15,404.89723211788623
2020-01-16,392.8930413326543
2020-01-17,395.4552039974751
2020-01-20,456.94649731347454
2020-01-21,443.06293534086035
2020-01-22,463.35744410147527
2020-01-23,442.5662710535762
2020-01-24,504.6578894831164
2020-01-27,326.69434178680785
2020-01-28,277.09283648721794
2020-01-29,293.9091899372688
2020-01-30,68.30434892496123
2020-01-31,157.80186828475598
2020-02-01,1180.0022356869613
2020-02-03,792.0240803763973
2020-02-04,696.1501158510637
2020-02-05,622.1728579016781
2020-02-06,655.1593524940381
2020-02-07,662.7908012286534
2020-02-10,821.3449497252168
2020-02-11,553.6859179276798
2020-02-12,478.16919707542365
2020-02-13,742.002476223166
2020-02-14,615.6840875145499
2020-02-17,527.7008083668079
2020-02-18,374.18559281413945
2020-02-19,294.0158613627045
2020-02-20,285.58945848583244
2020-02-24,329.7041863681916
2020-02-25,320.842143971473
2020-02-26,392.87375526285723
2020-02-27,367.36870940511653
2020-02-28,287.05552911101404
2020-03-02,141.45003787162932
2020-03-03,64.58034870885967
2020-03-04,-362.1318562446286
2020-03-05,-484.51680324872905
2020-03-06,-282.8233121173962
2020-03-09,-279.35138285062567
2020-03-11,-631.153821202166
2020-03-12,-1053.7279839750354
2020-03-13,-460.48847878349625
2020-03-16,-415.0776945522648
2020-03-17,-548.6894541241109
2020-03-18,-482.5043022745722
2020-03-19,-934.348359055648
2020-03-20,-731.7498286644714
2020-03-23,-1547.3398572170845
2020-03-24,-1458.4372140201103
2020-03-25,-1428.3620336179592
2020-03-26,-1198.641044001035
2020-03-27,-773.0009308710869
2020-03-30,-546.9667966508314
2020-03-31,-408.1618353704198
2020-04-01,-230.39356692990805
2020-04-03,-190.46972267267665
2020-04-07,-129.70459169734386
2020-04-08,389.4817403382476
2020-04-09,283.86916798255334
2020-04-13,479.6891822588623
2020-04-15,417.8168855898857
2020-04-16,314.6004898511692
2020-04-17,311.72022130260484
2020-04-20,127.19129549686113
2020-04-21,22.578723141168666
2020-04-22,-25.054068336266937
2020-04-23,103.35882913296336
2020-04-24,-259.1642380311914
2020-04-27,-266.7373474840115
2020-04-28,-221.69353123914152
2020-04-29,-200.10235819124136
2020-04-30,-147.59413917754864
2020-05-04,-314.08319238954937
2020-05-05,-532.3935246412402
2020-05-06,-450.03331265764973
2020-05-07,-399.2998286644706
2020-05-08,-542.5463303949819
2020-05-11,-514.5784293566758
2020-05-12,-385.9249310871892
2020-05-13,-454.6903091966251
2020-05-14,-445.76455654683014
2020-05-15,-483.30283926364973
2020-05-18,-455.54628810631584
2020-05-19,-473.15397716103325
2020-05-20,-521.4262315413434
2020-05-21,-619.2226130037543
2020-05-22,-633.5749310871888
2020-05-26,-554.8264363867784
2020-05-27,-659.4918144962139
2020-05-28,-793.4715953744708
2020-05-29,-768.6185067958577
2020-06-01,-637.9429167028302
2020-06-02,-658.5340897507303
2020-06-03,-651.2797786973952
2020-06-04,-545.3233900968316
2020-06-05,-642.0060190174972
2020-06-08,-602.8601675140635
2020-06-09,-724.8489379011899
2020-06-10,-716.0121604839587
2020-06-11,-686.7551216563188
2020-06-12,-726.4175314552413
2020-06-15,-681.1586622144714
2020-06-16,-786.4247328396505
2020-06-17,-696.9024784593439
2020-06-18,-674.3829095646779
2020-06-19,-844.9252205099601
2020-06-22,-819.148980189857
2020-06-23,-801.9010154484222
2020-06-24,-831.731856244629
2020-06-25,-804.2717645291395
2020-06-26,-541.8302663677041
2020-06-29,-513.100810602984
2020-06-30,-515.6758707370373
2020-07-01,-434.93189193539547
2020-07-02,-428.0683442390873
2020-07-03,-343.521884797241
2020-07-06,-378.98828053595935
2020-07-07,-351.24564447713965
2020-07-08,291.22762753245115
2020-07-09,-70.9596798437542
2020-07-10,-296.92086716795893
2020-07-13,-342.338930763035
2020-07-14,-532.9994678601652
2020-07-15,-459.2742451693448
