Date,Residuals
2018-10-05,-14.641160726097723
2018-10-08,0.7156949453368497
2018-10-09,21.58943752175753
2018-10-10,3.617764185073497
2018-10-11,-16.056567403793792
2018-10-12,-5.780381682726784
2018-10-15,29.890428594195782
2018-10-16,38.9029465198239
2018-10-17,37.227278108691166
2018-10-19,14.82023548480197
2018-10-22,13.869602924925402
2018-10-23,-5.7624601578721695
2018-10-24,-0.5322793623565758
2018-10-25,-3.648088100044447
2018-10-26,3.695804038340043
2018-10-29,32.42117024707568
2018-10-30,16.454944057048237
2018-10-31,20.52286558190292
2018-11-01,-9.395501550373638
2018-11-02,-8.161942847938121
2018-11-05,-4.006423998769037
2018-11-06,-6.707386916125074
2018-11-07,-6.428758050412057
2018-11-09,-5.540241356171805
2018-11-12,3.027206406178834
2018-11-13,-1.0396804988074564
2018-11-14,-16.23049693266921
2018-11-15,-3.122793593821143
2018-11-16,8.121428902042794
2018-11-19,-2.3290167053791038
2018-11-20,-4.926012703368656
2018-11-21,-7.972534938854096
2018-11-22,-5.400459542178282
2018-11-26,-9.17767988311357
2018-11-27,-1.594308133132813
2018-11-28,16.70273141228688
2018-11-29,17.200359970153045
2018-11-30,30.31854014997475
2018-12-03,46.86680126771739
2018-12-04,31.402429209889647
2018-12-05,2.64883619543275
2018-12-06,-4.7238999162018445
2018-12-07,-11.944049478165766
2018-12-10,-40.31016041825069
2018-12-11,-22.730942540091064
2018-12-12,-38.31212980039277
2018-12-13,-13.299611874764764
2018-12-14,-18.3678356020165
2018-12-17,-11.298462004953876
2018-12-18,-14.98664834171484
2018-12-19,-16.920091794207906
2018-12-20,-4.630166575189833
2018-12-21,2.86442982558367
2018-12-24,-14.846938230233718
2018-12-26,-20.865420612452567
2018-12-27,-14.568568019487657
2018-12-28,-15.26105163309444
2018-12-31,-13.283831292159107
2019-01-01,-15.336978699194106
2019-01-02,-23.251422459534297
2019-01-03,-32.3534199967587
2019-01-04,-26.109384453349435
2019-01-07,-35.07427382111132
2019-01-08,-15.908349833480997
2019-01-09,-20.12035044917502
2019-01-10,-19.92709087066703
2019-01-11,-21.531575099967654
2019-01-14,-26.867131339627576
2019-01-15,-12.456539248711465
2019-01-16,0.3079045116286352
2019-01-17,4.153865889749795
2019-01-18,-0.9230957962183766
2019-01-21,0.7421239290229096
2019-01-22,-1.8309143850087821
2019-01-23,-3.18354448210971
2019-01-24,0.7513074951611998
2019-01-25,-1.274691273451026
2019-01-28,2.7624604434415687
2019-01-29,-1.6291319553215544
2019-01-30,5.135757412440398
2019-01-31,13.396349503356532
2019-02-01,16.39527133605816
2019-02-04,-7.4211699615063935
2019-02-05,-24.848835909863396
2019-02-06,-16.83235106486893
2019-02-07,-41.293504013149345
2019-02-08,-33.02476297596331
2019-02-11,-40.79839030244159
2019-02-12,-50.18901978384861
2019-02-13,-68.78279667229083
2019-02-14,-50.522204581374694
2019-02-15,-79.45027258972357
2019-02-18,-80.99552970545585
2019-02-19,-91.32093946162149
2019-02-20,-92.56779205458645
2019-02-21,-85.96945923433134
2019-02-22,-77.95912579838227
2019-02-25,-77.38775466409538
2019-02-26,-79.16682913723037
