Date,Residuals
2018-08-31,104.07372831171779
2018-09-03,10.762269246692313
2018-09-04,-53.11597312090635
2018-09-05,-104.07377045438966
2018-09-06,-106.49300223809678
2018-09-07,-73.84685211168858
2018-09-10,-112.02931624091593
2018-09-11,-142.76971485449485
2018-09-12,-101.13437496885331
2018-09-14,-91.71100318714184
2018-09-17,-122.08413143955863
2018-09-18,-59.36759166627985
2018-09-19,-84.8897414054561
2018-09-21,-122.87513228227886
2018-09-24,-167.32248686696903
2018-09-25,-114.54259078549103
2018-09-26,-141.26657358846978
2018-09-27,-130.6270761205708
2018-09-28,-133.4158561887764
2018-10-01,-98.07147494679998
2018-10-03,-129.02433311896152
2018-10-04,-182.1403770415252
2018-10-05,-210.33809911818867
2018-10-08,-202.63676630116447
2018-10-09,-251.8600229123233
2018-10-10,-222.45033712779286
2018-10-11,-233.96332594401906
2018-10-12,-176.97042785812505
2018-10-15,-226.45857492474693
2018-10-16,-204.47664884528967
2018-10-17,-200.1632617646478
2018-10-19,-182.14598700742226
2018-10-22,-174.44653824538204
2018-10-23,-214.18346326946903
2018-10-24,-189.24511047654414
2018-10-25,-207.30829183088326
2018-10-26,-219.80145542638775
2018-10-29,-219.5504259219656
2018-10-30,-175.82369132525127
2018-10-31,-133.03964645364204
2018-11-01,-151.48762524778954
2018-11-02,-119.39452583165621
2018-11-05,-109.61810333967037
2018-11-06,-117.23184032803238
2018-11-07,-98.90596467794308
2018-11-09,-74.76645841791765
2018-11-12,-92.26682590989071
2018-11-13,-71.50468285210013
2018-11-14,-30.115911576020835
2018-11-15,-36.151264649852465
2018-11-16,-43.77221872287305
2018-11-19,-28.453786102483264
2018-11-20,-43.11891569117756
2018-11-21,-38.81599773570815
2018-11-22,-53.3742399287255
2018-11-26,15.4789347442279
2018-11-27,6.723986790779691
2018-11-28,0.34353067921529146
2018-11-29,-174.387412475176
2018-11-30,-178.98925872716836
2018-12-03,-112.81019081987279
2018-12-04,-130.86104537043457
2018-12-05,-90.41824926690333
2018-12-06,-144.70120485078246
2018-12-07,-120.53246452172766
2018-12-10,-150.81182694949894
2018-12-11,-150.5195820839274
2018-12-12,-102.04767147798248
2018-12-13,-79.35189323961094
2018-12-14,-74.88858352652983
2018-12-17,-82.76111394586883
2018-12-18,-92.31489964008983
2018-12-19,-83.9317559141607
2018-12-20,-98.6600158660126
2018-12-21,-133.08760501328902
2018-12-24,-153.32435508351546
2018-12-26,-147.21000707388612
2018-12-27,-124.88613504539603
2018-12-28,-116.07203496112425
2018-12-31,-117.25457645791221
2019-01-01,-136.6942576717979
2019-01-02,-152.20011995911614
2019-01-03,-147.0277776818266
2019-01-04,-154.67869201569647
2019-01-07,-149.90866986079845
2019-01-08,-167.91678369507395
2019-01-09,-153.54346290454373
2019-01-10,-152.61000707388598
2019-01-11,-168.84089925285775
2019-01-14,-173.13064464611466
2019-01-15,-142.11990737684596
2019-01-16,-160.00702493904578
2019-01-17,-178.79860339610514
2019-01-18,-188.7739963836691
2019-01-21,-187.62729062323774
2019-01-22,-183.94908605863066
2019-01-23,-163.3327300313381
2019-01-24,-170.09622349040592
2019-01-25,-173.53102093021448
2019-01-28,-187.56154561721314
2019-01-29,-175.54725739089122
2019-01-30,-196.82613715613707
2019-01-31,-167.72576966416386
2019-02-01,-127.83609284634144
2019-02-04,-123.45550837603514
2019-02-05,-111.73376393182343
2019-02-06,-102.20000478856355
2019-02-07,-90.7443306432956
2019-02-08,-119.99358686722258
2019-02-11,-132.670082330706
2019-02-12,-150.09833788649462
2019-02-13,-151.7860576778353
2019-02-14,-165.59961092021103
2019-02-15,-182.62219233073142
2019-02-18,-199.67891356467453
2019-02-19,-216.37720006748737
2019-02-20,-217.31530053899132
2019-02-21,-190.40261063930416
2019-02-22,-175.74577423480878
2019-02-25,-171.59559488488526
2019-02-26,-167.67300907830167
2019-02-27,-204.49638965213944
2019-02-28,-208.4688558921075
2019-03-01,-205.002862960725
2019-03-05,-215.65799026409672
2019-03-06,-243.4836267809551
2019-03-07,-236.65896438127425
2019-03-08,-238.4886986970821
2019-03-11,-220.65427314531007
2019-03-12,-200.681806905342
2019-03-13,-188.47252641577643
2019-03-14,-197.15525165855092
2019-03-15,-242.02367988287688
2019-03-18,-238.78186668864987
2019-03-19,-236.53418681104108
2019-03-20,-251.32124019387015
2019-03-22,-260.06483106465566
2019-03-25,-264.8303369374494
2019-03-26,-254.27520963407756
2019-03-27,-257.4372973046236
2019-03-28,-254.36251094226395
2019-03-29,-232.25854150205646
2019-04-01,-251.6267305931517
2019-04-02,-258.4856989779887
2019-04-03,-275.1310587332059
2019-04-04,-275.6566442588828
2019-04-05,-286.546504822692
2019-04-08,-282.37098347638585
2019-04-09,-267.3905185726951
2019-04-10,-254.0358783279121
2019-04-11,-238.70437512767262
2019-04-12,-224.69888472839102
2019-04-15,-223.27953337806866
2019-04-16,-205.19107420671799
2019-04-18,-205.4799606533495
2019-04-22,-205.35706713810055
2019-04-23,-201.66622366498746
2019-04-24,-194.18832241298242
2019-04-25,-213.23307114693193
2019-04-26,-200.19473154219713
2019-04-30,-195.00632336202762
2019-05-02,-237.29672637167005
2019-05-03,-273.5569124029789
2019-05-06,-300.37888718829504
2019-05-07,-272.8918891927108
2019-05-08,-281.7675301056322
2019-05-09,-265.0678378142975
2019-05-10,-280.2044085346008
2019-05-13,-266.5188761108461
2019-05-14,-268.5024559041826
2019-05-15,-296.6620397063507
2019-05-16,-277.4625311610025
2019-05-17,-224.32047443748093
2019-05-20,-187.039219162599
2019-05-21,-170.86736833996179
2019-05-22,-187.53281442944785
2019-05-23,-202.987757986833
2019-05-24,-206.34807677294725
2019-05-27,-180.72030387968402
2019-05-28,-176.4582759924458
2019-05-29,-170.34710705183306
2019-05-30,-169.0974701477428
2019-05-31,-162.3405141766318
2019-06-03,-107.66463413047904
2019-06-04,-132.27611077975757
2019-06-06,-114.57451684918601
2019-06-07,-121.72219672679466
2019-06-10,-93.12849508151999
2019-06-11,-106.83704058713943
2019-06-12,-98.34119377333377
2019-06-13,-100.8308749872192
2019-06-14,-124.85407181507048
2019-06-17,-134.4294006232633
2019-06-18,-145.1810455450161
2019-06-19,-142.47231629341013
2019-06-20,-152.12273917262792
2019-06-21,-191.05222556307785
2019-06-24,-196.58042573162197
2019-06-25,-202.62096589213297
2019-06-26,-203.45948045072805
2019-06-27,-190.56375320353754
2019-06-28,-176.08145963210745
2019-07-01,-183.92449926493305
2019-07-02,-172.64086408435196
2019-07-03,-175.3074724330652
2019-07-04,-163.04685473041218
2019-07-05,-166.43549764774912
2019-07-08,-207.43360040457537
2019-07-09,-222.0663212512868
2019-07-10,-243.2192523949459
2019-07-11,-231.236223839569
2019-07-12,-247.8232218351534
2019-07-15,-244.57749458796297
2019-07-16,-222.1329252039368
2019-07-17,-199.08415164253506
2019-07-18,-218.97365350649739
2019-07-19,-242.88884727456252
2019-07-22,-283.64421810722865
2019-07-23,-271.30398565538326
2019-07-24,-242.3974437713632
2019-07-25,-232.22907093428148
2019-07-26,-238.4523917248116
2019-07-29,-255.52504171076635
2019-07-30,-252.90519450972852
2019-07-31,-247.02326403420807
2019-08-01,-242.66862378942528
2019-08-02,-236.9868770598914
2019-08-05,-234.39310244311923
2019-08-06,-233.49578566142077
2019-08-07,-201.0661753082918
2019-08-08,-172.54713166663487
2019-08-09,-133.53712058918586
2019-08-13,-155.63009164657706
2019-08-14,-143.70737748125157
2019-08-16,-152.62697675693153
2019-08-19,-161.89339696359502
2019-08-20,-145.50950506552977
2019-08-21,-139.5578557477138
2019-08-22,-113.4056639840644
2019-08-23,-123.63985479866847
2019-08-26,-102.24883637169546
2019-08-27,-106.4453117910216
2019-08-28,-138.50624159840368
2019-08-29,-135.54726442143988
2019-08-30,-84.81069809719975
2019-09-03,-124.41405651613991
2019-09-04,-124.87967755948603
2019-09-05,-138.61759428500318
2019-09-06,-149.98480925892068
2019-09-09,-134.02583647802044
2019-09-11,-144.95007160242017
2019-09-12,-163.08645857673673
2019-09-13,-163.109352091986
2019-09-16,-149.4453759703929
2019-09-17,-136.17345657232113
2019-09-18,-143.83571919672727
2019-09-19,-159.71300942746484
2019-09-20,14.950944713812078
2019-09-23,98.3970174726594
2019-09-24,111.00965198510175
2019-09-25,108.875529745932
2019-09-26,95.86734294015946
2019-09-27,66.76991538397169
2019-09-30,32.70875083942201
2019-10-01,39.286592308119225
2019-10-03,9.840745494313296
2019-10-04,-12.173106664600937
2019-10-07,-8.528490685456745
2019-10-09,6.996406451391749
2019-10-10,26.251597934134452
2019-10-11,65.33572017330425
2019-10-14,76.93119949513698
2019-10-15,132.2283835220303
2019-10-16,138.51501402564145
2019-10-17,176.4869844148941
2019-10-18,179.81115975598595
2019-10-22,200.0013922078315
2019-10-23,209.26200991048472
2019-10-24,208.57678519539536
2019-10-25,219.12373448512085
2019-10-27,213.19742276762395
2019-10-29,240.3758620693991
2019-10-30,245.08063067292414
2019-10-31,249.33771500277726
2019-11-01,253.4781909839171
2019-11-04,230.2106726973975
2019-11-05,243.62715708343194
2019-11-06,250.64620512115198
2019-11-07,209.15444731416937
2019-11-08,152.56428343775838
2019-11-11,144.7443852455392
2019-11-13,165.21463774154176
2019-11-14,140.45872006697937
2019-11-15,126.56934656175872
2019-11-18,121.13241714160858
2019-11-19,101.20201641728886
2019-11-20,89.66025861030607
2019-11-21,108.66575780171434
2019-11-22,84.7638095673592
2019-11-25,120.10690898349276
2019-11-26,117.11227981615866
2019-11-27,154.5948767001912
2019-11-28,149.00995529770398
2019-11-29,94.23877527964214
2019-12-02,103.00324285588727
2019-12-03,86.7116090115835
2019-12-04,106.33004602803612
2019-12-05,98.2041571897571
2019-12-06,85.84603895941859
2019-12-09,67.13920255492326
2019-12-10,84.40763957137574
2019-12-11,68.1857245693675
2019-12-12,67.43059286993252
2019-12-13,64.90104669617472
2019-12-16,33.198910319769766
2019-12-17,21.315330526433172
2019-12-18,-9.521607685843264
2019-12-19,14.004520285666786
2019-12-20,6.688890450194322
2019-12-23,11.79530397547228
2019-12-24,7.7412747519570075
2019-12-26,4.2201545172029
2019-12-27,7.714967430523302
2019-12-30,-4.5568280048694305
2019-12-31,-20.215189764502156
2020-01-01,-5.811528032960041
2020-01-02,-3.320992268512555
2020-01-03,-14.972761152944031
2020-01-06,-28.17941381145306
2020-01-07,-21.881246875255783
2020-01-08,-14.167753416188134
2020-01-09,-10.088630121647839
2020-01-10,8.043727629153636
2020-01-13,52.881084324584435
2020-01-14,71.15702415404485
2020-01-15,84.65897678446322
2020-01-16,114.8559814614332
2020-01-17,124.04737617250612
2020-01-20,125.58883066688645
2020-01-21,118.19646183863642
2020-01-22,114.14347091166928
2020-01-23,119.81892807860436
2020-01-24,142.34962771946311
2020-01-27,128.68131466568911
2020-01-28,128.43918936673322
2020-01-29,144.41287325317307
2020-01-30,128.06073687676826
2020-01-31,103.49034722989745
2020-02-01,136.71312997065752
2020-02-03,250.30469084346373
2020-02-04,227.13118630694703
2020-02-05,233.52050002885994
2020-02-06,229.35035391128304
2020-02-07,232.8427227395332
2020-02-10,225.29138992250932
2020-02-11,217.13577556054884
2020-02-12,324.9870573863916
2020-02-13,347.9217950428924
2020-02-14,316.7946929542047
2020-02-17,313.44060394738153
2020-02-18,293.9691162206543
2020-02-19,352.85733186271045
2020-02-20,307.3112415196101
2020-02-24,272.5399375388695
2020-02-25,290.7990342824485
2020-02-26,293.96093820700776
2020-02-27,311.6087420472952
2020-02-28,227.3853658695209
2020-03-02,210.56534371462294
2020-03-03,223.34115958140455
2020-03-04,235.17418374071804
2020-03-05,281.9418813771613
2020-03-06,249.54609874272637
2020-03-09,176.02999064079154
2020-03-11,213.26160901158346
2020-03-12,97.09154905369383
2020-03-13,70.9521157651659
2020-03-16,-24.281211706749673
2020-03-17,36.21189210544685
2020-03-18,-57.29687934521394
2020-03-19,-156.03764105470282
2020-03-20,68.14299001072163
2020-03-23,-137.62626638778693
2020-03-24,36.8657727514817
2020-03-25,103.41155098985337
2020-03-26,220.03449110022052
2020-03-27,161.41978439074433
2020-03-30,201.22162185060984
2020-03-31,330.8744070512739
2020-04-01,203.08437153360478
2020-04-03,177.41910919010525
2020-04-07,487.7596783614815
2020-04-08,499.46298139317673
2020-04-09,412.74680031974435
2020-04-13,380.06347724389184
2020-04-15,530.6149894108398
2020-04-16,479.1253679802617
2020-04-17,427.6903867944666
2020-04-20,379.30161991445084
2020-04-21,362.3307985962356
2020-04-22,437.5210820392624
2020-04-23,368.49287747465496
2020-04-24,342.35934867249966
2020-04-27,392.66915841970876
2020-04-28,358.70408421825937
2020-04-29,297.8278366801337
2020-04-30,261.72258541408337
2020-05-04,144.12814878486256
2020-05-05,94.75129901759556
2020-05-06,64.09604775154503
2020-05-07,40.73402865643334
2020-05-08,143.84671855612032
2020-05-11,106.66862916206537
2020-05-12,74.06190792812231
2020-05-13,56.262826658055246
2020-05-14,69.38315212555517
2020-05-15,95.93382293013042
2020-05-18,67.92399559866817
2020-05-19,37.824179344654794
2020-05-20,54.84230865244217
2020-05-21,33.674850149230224
2020-05-22,54.719838016410904
2020-05-26,44.38571138117777
2020-05-27,68.7523109377646
2020-05-28,88.01872235230167
2020-05-29,139.4240887889041
2020-06-01,194.65827081138218
2020-06-02,194.67170009107872
2020-06-03,212.04361069702372
2020-06-04,207.82487476403185
2020-06-05,176.00271183666587
2020-06-08,197.22835714565053
2020-06-09,191.22872463762383
2020-06-10,201.54081670423307
2020-06-11,188.36175758906393
2020-06-12,188.40199004090937
2020-06-15,164.8144452034287
2020-06-16,156.01078347188627
2020-06-17,161.95216939083275
2020-06-18,149.25387849195658
2020-06-19,179.1248149807243
2020-06-22,185.92493894340305
2020-06-23,244.37792547430627
2020-06-24,217.24032085351814
2020-06-25,260.3784767122663
2020-06-26,241.86071050038868
2020-06-29,275.13835943097297
2020-06-30,278.2792538952674
2020-07-01,264.5117997881189
2020-07-02,245.08017702126358
2020-07-03,267.2643036564966
2020-07-06,261.366858516056
2020-07-07,257.80696260915965
2020-07-08,290.17881782786026
2020-07-09,279.1575736304269
2020-07-10,330.92924070707795
2020-07-13,377.43277407987784
2020-07-14,342.4987758033867
2020-07-15,382.03430822714176
2020-07-16,404.2074320834952
2020-07-17,445.88271429657016
2020-07-20,456.5212156669752
2020-07-21,436.20523152771943
2020-07-22,361.2770955385463
2020-07-23,325.75157419224047
2020-07-24,323.0424176653537
2020-07-27,332.2816162167137
2020-07-28,353.14431490852735
2020-07-29,343.3314922540351
2020-07-30,308.4419306067646
2020-07-31,324.01341833349215
2020-08-03,315.1987714073234
2020-08-04,311.4811845453696
2020-08-05,310.5616450529974
2020-08-06,337.0163450810876
2020-08-07,332.67415120669784
2020-08-10,329.4504629241944
2020-08-11,328.79399840773544
2020-08-12,308.2156786725757
2020-08-13,311.6576202255451
2020-08-14,286.4105513692041
2020-08-17,313.40877369264604
2020-08-18,334.99735243061195
2020-08-19,311.4450367042839
2020-08-20,303.0191522620678
2020-08-21,320.42452309473424
2020-08-24,314.6187205907238
2020-08-25,298.4902724968222
2020-08-26,297.3204384839744
2020-08-27,284.8591455806825
2020-08-28,263.92025913405064
