Date,Residuals
2019-08-30,-4218.008268710717
2019-09-03,-3879.2417744220966
2019-09-04,-3843.4945380200097
2019-09-05,-3961.886075958064
2019-09-06,-3675.3903069890366
2019-09-09,-3458.6701861024376
2019-09-11,-3556.764054473613
2019-09-12,-3538.5688899375837
2019-09-13,-3484.027439298392
2019-09-16,-3510.075625999403
2019-09-17,-3451.882533329426
2019-09-18,-3233.1349510614127
2019-09-19,-3237.6129295769624
2019-09-20,-3016.624329834549
2019-09-23,-2313.571737504837
2019-09-24,-2241.7251055357465
2019-09-25,-2195.6990242885277
2019-09-26,-1957.7493701544554
2019-09-27,-2205.2332217317653
2019-09-30,-2098.730024969058
2019-10-01,-1650.5405588970589
2019-10-03,-1591.6189705774013
2019-10-04,-1766.3436683609034
2019-10-07,-1786.625877907425
2019-10-09,-1665.9376240309412
2019-10-10,-1648.029074670132
2019-10-11,-1932.665864443079
2019-10-14,-1915.881408432775
2019-10-15,-2078.36957833992
2019-10-16,-2050.4942761234215
2019-10-17,-2008.6448805564178
2019-10-18,-2257.4524796183014
2019-10-22,-2401.515693174875
2019-10-23,-2192.1202700717786
2019-10-24,-1888.509215680122
2019-10-25,-1779.1935004222214
2019-10-27,-1306.25204978303
2019-10-29,-1498.5875433911224
2019-10-30,-1337.5822747623606
2019-10-31,-1512.1350383602748
2019-11-01,-1699.9871975251936
2019-11-04,-1320.018285504586
2019-11-05,-1514.283829494283
2019-11-06,-2006.2681142363817
2019-11-07,-1662.7789940303137
2019-11-08,-1721.3852969273412
2019-11-11,-1416.0995447521836
2019-11-13,-1220.9729463708281
2019-11-14,-1022.3687153398569
2019-11-15,-870.0593902778473
2019-11-18,-381.7675937727272
2019-11-19,-576.4536918138165
2019-11-20,-932.790998720895
2019-11-21,-1160.9074930095194
2019-11-22,-884.7205319683671
2019-11-25,-827.7599107415026
2019-11-26,-860.9308946281653
2019-11-27,-745.8286481643845
2019-11-28,-564.8832250612868
2019-11-29,-705.990219690173
2019-12-02,-624.5334836283528
2019-12-03,-468.5081814118548
2019-12-04,-532.8762304323991
2019-12-05,-439.01638490673395
2019-12-06,-322.22881943258835
2019-12-09,-252.52294637082923
2019-12-10,-581.1617207109703
2019-12-11,-490.48546819554576
2019-12-12,-398.7520497830301
2019-12-13,-224.31180800983202
2019-12-16,137.3345653921915
2019-12-17,136.7314559283459
2019-12-18,-109.2188899375833
2019-12-19,-57.109131710782094
2019-12-20,-286.1563681128664
2019-12-23,-112.08382949428233
2019-12-24,-439.9257132982657
2019-12-26,-310.8662136385319
2019-12-27,-296.0428120198849
2019-12-30,-277.0992022157752
2019-12-31,-373.32631773126195
2020-01-01,-275.93909812304446
2020-01-02,-241.72199940142673
2020-01-03,-82.61129087569861
2020-01-06,-504.8051592468746
2020-01-07,-568.6579228447881
2020-01-08,-529.2575769788582
2020-01-09,-620.9561095458012
2020-01-10,-846.9219994014256
2020-01-13,-854.3119826075581
2020-01-14,-899.734004092008
2020-01-15,-759.7093063085067
2020-01-16,-864.0388395559767
2020-01-17,-917.4037791126775
2020-01-20,-833.3089604425768
2020-01-21,-667.0421202880243
2020-01-22,-652.2542962468106
2020-01-23,-554.3270934324628
2020-01-24,-574.8947092882136
2020-01-27,-585.9179396386571
2020-01-28,-602.2426374221595
2020-01-29,-555.3514453500356
2020-01-30,-543.3491988862534
2020-01-31,-502.4741552368232
2020-02-01,-643.3674191750015
2020-02-03,-221.42199607190378
2020-02-04,110.91271850546582
2020-02-05,66.23163052607197
2020-02-06,205.79208048473447
2020-02-07,1154.7813719590067
2020-02-10,1803.6182457012947
2020-02-11,1406.6703175673501
2020-02-12,1743.4057238765781
2020-02-13,1842.8716137322062
2020-02-14,1780.9160865363756
2020-02-17,1864.157711773294
2020-02-18,2607.1826681238617
2020-02-19,2712.5465700827735
2020-02-20,2685.8073659073634
2020-02-24,3182.1305962578062
2020-02-25,3503.080337690739
2020-02-26,3589.0059857731685
2020-02-27,3551.3047769071763
2020-02-28,3358.2616875667227
2020-03-02,3035.0565062368223
2020-03-03,2735.2297332577436
2020-03-04,1980.3017514126714
2020-03-05,1942.3582289074257
