Date,Residuals
2018-08-31,-322.18580216124474
2018-09-03,-455.2498737170672
2018-09-04,-431.97840685939354
2018-09-05,-460.9978603830059
2018-09-06,-493.550838986052
2018-09-07,-433.66447911314754
2018-09-10,-562.4815292720159
2018-09-11,-577.381529272016
2018-09-12,-583.8644791131474
2018-09-14,-506.80611854231165
2018-09-17,-575.9950669875816
2018-09-18,-611.1364187975942
2018-09-19,-680.2505927649463
2018-09-21,-801.9561599403578
2018-09-24,-918.9605352411163
2018-09-25,-878.8847954942144
2018-09-26,-862.4146229227226
2018-09-27,-974.0316730815921
2018-09-28,-1009.9980041925814
2018-10-01,-968.0692858426332
2018-10-03,-945.764622922723
2018-10-04,-998.4140476844195
2018-10-05,-1153.3627533982374
2018-10-08,-1201.9262497157565
2018-10-09,-1115.7459908585201
2018-10-10,-905.7194296522089
2018-10-11,-1014.1955594297924
2018-10-12,-887.7972437466565
2018-10-15,-870.3225520648311
2018-10-16,-867.599113271142
2018-10-17,-1025.1212577786487
2018-10-19,-1035.7688544139055
2018-10-22,-1060.8387393662451
2018-10-23,-1092.6651567629801
2018-10-24,-864.2285092709235
2018-10-25,-841.3756744774532
2018-10-26,-837.6025233029159
2018-10-29,-796.466451049163
2018-10-30,-821.0604938430702
2018-10-31,-794.1194296522085
2018-11-01,-758.716307239587
2018-11-02,-794.5043928274013
2018-11-05,-818.5178891449209
2018-11-06,-837.6738463510137
2018-11-07,-829.1173139066177
2018-11-09,-802.5545366369774
2018-11-12,-899.837198858957
2018-11-13,-891.9832135888796
2018-11-14,-881.5978189849598
2018-11-15,-834.5215453977999
2018-11-16,-773.3743801912706
2018-11-19,-814.2373012704866
2018-11-20,-795.0472437466565
2018-11-21,-744.2233735242394
2018-11-22,-793.2533447623246
2018-11-26,-779.9864384130315
2018-11-27,-739.0629996193429
2018-11-28,-760.2872598724402
2018-11-29,-666.5842812693941
2018-11-30,-634.543073268957
2018-12-03,-662.4914913636226
2018-12-04,-627.8118077446893
2018-12-05,-676.9079662841887
2018-12-06,-738.9017214589439
2018-12-07,-684.5845274904996
2018-12-10,-775.104124823687
2018-12-11,-744.2846713000754
2018-12-12,-677.2181963795101
2018-12-13,-681.4139234902809
2018-12-14,-684.2240097760264
2018-12-17,-696.7548438715662
2018-12-18,-639.7626706021447
2018-12-19,-574.0211749825557
2018-12-20,-579.6146425381598
2018-12-21,-578.9167582837513
2018-12-24,-604.478960315088
2018-12-26,-601.164457330538
2018-12-27,-581.7682987910393
2018-12-28,-533.524112187556
2018-12-31,-523.6214212036612
2019-01-01,-511.97483123543543
2019-01-02,-554.5077810765661
2019-01-03,-582.8585001244455
2019-01-04,-593.2555215213988
2019-01-07,-615.78563656906
2019-01-08,-632.4291041246638
2019-01-09,-644.9421690134559
2019-01-10,-654.6087877435971
2019-01-11,-654.9920252038801
2019-01-14,-623.857924886142
2019-01-15,-564.3911623464251
2019-01-16,-598.8212773940859
2019-01-17,-632.7378961242271
2019-01-18,-625.3106158700366
2019-01-21,-573.7101844413096
2019-01-22,-545.9701269174789
2019-01-23,-532.9125878060522
2019-01-24,-531.9196954887511
2019-01-25,-567.3921276154092
2019-01-28,-708.2952500280317
2019-01-29,-651.185163742286
2019-01-30,-571.1283436787385
2019-01-31,-591.838429964484
2019-02-01,-539.0962566950625
2019-02-04,-573.4935657111682
2019-02-05,-563.6225302822218
2019-02-06,-455.1780560595871
2019-02-07,-469.1671069163863
2019-02-08,-457.96951028112926
2019-02-11,-505.8164902800372
2019-02-12,-540.3218722478259
2019-02-13,-572.8804180262832
2019-02-14,-554.8846909155127
2019-02-15,-602.3637992961421
2019-02-18,-613.5197565022349
2019-02-19,-603.2164902800369
2019-02-20,-557.3204755501138
2019-02-21,-509.4113959313995
2019-02-22,-523.718072185371
2019-02-25,-505.9474681851525
2019-02-26,-505.2998715498952
2019-02-27,-521.423741772312
2019-02-28,-514.2234541531602
2019-03-01,-503.5216260267207
2019-03-05,-471.87891891704203
2019-03-06,-400.9297817744973
2019-03-07,-432.5226740917974
2019-03-08,-398.34837244065375
2019-03-11,-376.6398680602424
2019-03-12,-415.89500380692607
2019-03-13,-340.4211335845098
2019-03-14,-360.27084596535815
2019-03-15,-307.3471195525176
2019-03-18,-237.59909148853285
2019-03-19,-246.9233931396766
2019-03-20,-299.5438533303195
2019-03-22,-330.5591777742784
2019-03-25,-316.67478983738874
2019-03-26,-231.9979410119263
2019-03-27,-221.01782596426574
2019-03-28,-170.2108620911422
2019-03-29,-141.45476107547393
2019-04-01,-165.6189764408723
2019-04-02,-112.87709079060232
2019-04-03,-123.34557904522944
2019-04-04,-129.82881650551235
2019-04-05,-54.37780983848188
2019-04-08,-144.0037958064895
2019-04-09,-159.15009815556414
2019-04-10,-169.07281790137358
2019-04-11,-118.81840120256902
2019-04-12,-158.46926406002376
2019-04-15,-145.31969548875122
2019-04-16,-135.16983929832713
2019-04-18,-154.4616225370678
2019-04-22,-177.02737840975396
2019-04-23,-132.4662854569774
2019-04-24,-74.47296171094922
2019-04-25,-86.04894767895712
2019-04-26,-69.99866005980539
2019-04-30,-70.3111497102941
2019-05-02,-34.624646027813014
2019-05-03,-54.5780560595872
2019-05-06,-132.08799853575647
2019-05-07,-148.97748082128328
2019-05-08,-244.447078154471
2019-05-09,-194.22349555120672
2019-05-10,-242.6433805035458
2019-05-13,-233.05587015403444
2019-05-14,-282.9557263444585
2019-05-15,-162.07575510637344
2019-05-16,-54.341798598211426
2019-05-17,136.22083486185238
2019-05-20,242.5172810205031
2019-05-21,268.7012375286654
2019-05-22,284.448115116043
2019-05-23,213.31146762398612
2019-05-24,303.0141586078812
2019-05-27,284.1208348618525
2019-05-28,244.90080609993765
2019-05-29,244.3841873697961
2019-05-30,317.29825892561894
2019-05-31,302.81502146533603
2019-06-03,346.1641586078813
2019-06-04,367.0786615924312
2019-06-06,289.8400421643587
2019-06-07,346.04628698960323
2019-06-10,356.17625822768787
2019-06-11,388.5130495293206
2019-06-12,342.4462869896033
2019-06-13,381.4968622279066
2019-06-14,355.5170347993976
2019-06-17,304.0977250853616
2019-06-18,347.0913364505418
2019-06-19,363.69858794281663
2019-06-20,420.70853041898636
2019-06-21,404.16876051430745
2019-06-24,383.6821130222511
2019-06-25,418.0352354348729
2019-06-26,465.94162406969326
2019-06-27,480.37188292692963
2019-06-28,517.7563732753488
2019-07-01,534.3678562588066
2019-07-02,547.242301719526
2019-07-03,551.0682876875339
2019-07-04,567.6408636237679
2019-07-05,554.0638709887294
2019-07-08,249.00166895739267
2019-07-09,438.95522279874194
2019-07-10,264.0039285125599
2019-07-11,285.85705092518174
2019-07-12,212.9212662905802
2019-07-15,247.7816401954774
2019-07-16,284.4216977193073
2019-07-17,298.9215539097322
2019-07-18,303.3516689573926
2019-07-19,158.85507898916603
2019-07-22,82.86247429101695
2019-07-23,113.26261810059304
2019-07-24,10.446718418330875
2019-07-25,-116.1025625337902
2019-07-26,102.45142273628699
2019-07-29,91.22245816523309
2019-07-30,89.18340730843329
2019-07-31,92.3783129597964
2019-08-01,63.00914705533569
2019-08-02,77.83441397546449
2019-08-05,-0.1691398658849721
2019-08-06,112.42475911844622
2019-08-07,105.3405149911332
2019-08-08,174.04690362595284
2019-08-09,259.7145290231251
2019-08-13,62.15160794390886
2019-08-14,129.94450026120967
2019-08-16,178.52975105555424
2019-08-19,169.72691626208416
2019-08-20,135.96385137329207
2019-08-21,104.23517442138973
2019-08-22,-41.485819609510145
2019-08-23,17.702656008986196
2019-08-26,167.2221095325981
