Date,Residuals
2018-10-05,-253.41815220207832
2018-10-08,-279.4245703322981
2018-10-09,-262.76111022832674
2018-10-10,-275.88645532803685
2018-10-11,-232.13235384687118
2018-10-12,-228.05348509623195
2018-10-15,-234.033882941809
2018-10-16,-240.4332794408715
2018-10-17,-249.05095872329844
2018-10-19,-236.63624560415747
2018-10-22,-213.48022125099578
2018-10-23,-201.38511028627795
2018-10-24,-219.876375507004
2018-10-25,-210.94732270318605
2018-10-26,-220.43907372755962
2018-10-29,-226.1792496437008
2018-10-30,-226.68907372755962
2018-10-31,-213.17248374971746
2018-11-01,-215.20265152882098
2018-11-02,-219.1845324560411
2018-11-05,-215.9299451712277
2018-11-06,-222.75033487976702
2018-11-07,-220.88636330144755
2018-11-09,-216.4995473256506
2018-11-12,-228.2143064580864
2018-11-13,-209.87181389289117
2018-11-14,-214.98073272534384
2018-11-15,-204.08117251569684
2018-11-16,-182.60012515588778
2018-11-19,-181.16265966585865
2018-11-20,-167.29850403436035
2018-11-21,-165.361386308095
2018-11-22,-179.8129614163272
2018-11-26,-138.3404391119127
2018-11-27,-99.66166238786286
2018-11-28,-109.48209810969706
2018-11-29,-106.90292760858915
2018-11-30,-119.32947971017416
2018-12-03,-72.68682343439446
2018-12-04,-109.38411300828238
2018-12-05,-114.81585589561837
2018-12-06,-143.37869215605792
2018-12-07,-104.6495676682448
2018-12-10,-131.94113463943972
2018-12-11,-93.02716306112006
2018-12-12,-74.33647567063099
2018-12-13,-54.4878410549843
2018-12-14,-52.36448518315865
2018-12-17,-68.14527680579386
2018-12-18,-56.9607774790511
2018-12-19,-37.10584243047401
2018-12-20,-35.4235677261961
2018-12-21,-28.918100860677214
2018-12-24,-40.684389088050466
2018-12-26,-52.77565430877644
2018-12-27,-59.804175295652385
2018-12-28,-38.538234832042235
2018-12-31,-15.073081922548681
2019-01-01,-33.648058915901174
2019-01-02,-55.52002373267305
2019-01-03,-45.757581249291434
2019-01-04,-46.16128895339921
2019-01-07,-52.332859993112606
2019-01-08,-37.709228041519054
2019-01-09,-43.101234803066745
2019-01-10,-22.575516268892443
2019-01-11,-28.84634576778467
2019-01-14,-41.97625780971407
2019-01-15,-24.86075713645687
2019-01-16,-16.243287577909086
2019-01-17,-26.371067023963406
2019-01-18,-40.98202642570186
2019-01-21,-36.80547432411663
2019-01-22,-46.27447297760227
2019-01-23,-44.580891107822026
2019-01-24,-30.191502745797152
2019-01-25,-60.43612790686757
2019-01-28,-77.77878418264754
2019-01-29,-75.50637957552294
2019-01-30,-47.559765186567574
2019-01-31,-45.50684503657635
2019-02-01,-32.59662717565925
2019-02-04,-33.04579360824823
2019-02-05,-26.42788425934782
2019-02-06,-29.38749861932706
2019-02-07,-25.106405246223403
2019-02-08,-26.202119711878822
2019-02-11,-36.125705650177906
2019-02-12,-45.726053413941145
2019-02-13,-67.51801416219405
2019-02-14,-68.32142011583323
2019-02-15,-76.91826989936817
2019-02-18,-77.65687070727677
2019-02-19,-63.35656895680813
2019-02-20,-69.72290319747617
2019-02-21,-71.82888153734325
2019-02-22,-56.68648099873758
2019-02-25,-45.51294107373337
2019-02-26,-62.622371380534105
2019-02-27,-45.799665022940644
2019-02-28,-57.282727281335156
2019-03-01,-69.83504393038902
2019-03-05,-82.94387073625239
2019-03-06,-48.68409266568824
2019-03-07,-56.78108048910735
2019-03-08,-73.48335112486666
2019-03-11,-57.638378200033
2019-03-12,-46.153924886584946
2019-03-13,-53.9989898380079
2019-03-14,-45.079991184522214
2019-03-15,-50.24845802106597
2019-03-18,-42.03606155097873
2019-03-19,-36.215186038792126
2019-03-20,-33.93369888863003
2019-03-22,-58.74579360824828
2019-03-25,-86.47299522406547
2019-03-26,-64.4362712748582
2019-03-27,-54.55216572517361
2019-03-28,-68.55976518656757
2019-03-29,-59.866531080550885
2019-04-01,-56.884650153330995
2019-04-02,-62.80420629445939
2019-04-03,-61.40124013117338
2019-04-04,-64.06342687738083
2019-04-05,-85.78346882215669
2019-04-08,-90.607658261393
2019-04-09,-80.32661090158399
2019-04-10,-97.20538762563365
2019-04-11,-80.26372862784956
2019-04-12,-101.24975704952999
2019-04-15,-98.1815919634555
2019-04-16,-90.3179221356047
2019-04-18,-95.0887516344967
2019-04-22,-105.32700467864197
2019-04-23,-103.35696273386634
2019-04-24,-99.37137410253854
2019-04-25,-105.803024963285
2019-04-26,-103.23145392357151
2019-04-30,-98.72538355711481
2019-05-02,-115.23979492578701
2019-05-03,-132.62114403606506
2019-05-06,-137.3783037071064
2019-05-07,-143.07830370710622
2019-05-08,-159.36088016185317
2019-05-09,-154.9897028991977
2019-05-10,-173.16359058796547
2019-05-13,-177.11053239808984
2019-05-14,-179.6461210294176
2019-05-15,-182.89083821707732
2019-05-16,-181.82869748416465
2019-05-17,-170.3391454115549
2019-05-20,-147.14412647342647
2019-05-21,-150.97883552404846
2019-05-22,-157.7231589346502
2019-05-23,-155.187918067086
2019-05-24,-147.8489234821193
2019-05-27,-131.77473404288253
2019-05-28,-137.31377464114416
2019-05-29,-150.76639304066703
