Date,Residuals
2018-10-05,-3261.2762510192024
2018-10-08,-2987.959722075895
2018-10-09,-3293.180869180118
2018-10-10,-3474.572410338429
2018-10-11,-4281.415142146969
2018-10-12,-3709.4912361471906
2018-10-15,-3832.230224994988
2018-10-16,-3496.4717661532995
2018-10-17,-3968.9295563798514
2018-10-19,-4579.450727914082
2018-10-22,-4736.372725788478
2018-10-23,-5445.2497794238825
2018-10-24,-5613.192329077387
2018-10-25,-5841.28253300542
2018-10-26,-5875.511081596125
2018-10-29,-5866.779774109869
2018-10-30,-5800.22600671912
2018-10-31,-5315.191320582193
2018-11-01,-5214.6070231853355
2018-11-02,-4428.294103907752
2018-11-05,-4177.995598863054
2018-11-06,-3819.927161794363
2018-11-07,-3790.913829346702
2018-11-09,-3745.2424512274283
2018-11-12,-3758.7136227616593
2018-11-13,-3929.635900511119
2018-11-14,-3817.3515786842545
2018-11-15,-3444.79529455798
2018-11-16,-3301.3326307254556
2018-11-19,-3295.6763110241955
2018-11-20,-3314.93116020016
2018-11-21,-3181.8761288691603
2018-11-22,-3466.627781549487
2018-11-26,-3203.1413450122
2018-11-27,-3133.3822664153886
2018-11-28,-3212.9779881345275
2018-11-29,-2775.668265352586
2018-11-30,-2652.218083197553
2018-12-03,-2351.101554254248
2018-12-04,-2518.046218618172
2018-12-05,-2837.6076185104466
2018-12-06,-3271.147384838394
2018-12-07,-2983.491891477299
2018-12-10,-3333.526188874155
2018-12-11,-3332.6096843608557
2018-12-12,-2676.0921224923477
2018-12-13,-2550.6406763970626
2018-12-14,-2306.0313912152087
2018-12-17,-2267.590287656989
2018-12-18,-2143.4945415078437
2018-12-19,-1675.9886105466576
2018-12-20,-1749.0995728388407
2018-12-21,-2135.402513889425
2018-12-24,-2550.159064605734
2018-12-26,-2198.74934182379
2018-12-27,-2341.437042301328
2018-12-28,-2030.9381240865514
2018-12-31,-2019.0449058179074
2019-01-01,-2259.4334814956237
2019-01-02,-2343.911410331206
2019-01-03,-2380.3842589757696
2019-01-04,-2573.3455011430233
2019-01-07,-2347.518836247691
2019-01-08,-2470.01950486283
2019-01-09,-2882.1656886120672
2019-01-10,-2774.3482844685786
2019-01-11,-3374.21543316701
2019-01-14,-3792.429203214764
2019-01-15,-3665.161410331206
2019-01-16,-3430.2046530298576
2019-01-17,-3333.336860146297
2019-01-18,-3666.742997692523
2019-01-21,-3604.7349275909073
2019-01-22,-3398.0132940265794
2019-01-23,-3275.3327395904616
2019-01-24,-3197.754992909915
2019-01-25,-3719.5973115483685
2019-01-28,-4466.595561148015
2019-01-29,-4060.655308359963
2019-01-30,-4090.822663643432
2019-01-31,-3837.845536718003
2019-02-01,-3776.3741341687237
2019-02-04,-3686.161397046175
2019-02-05,-3925.3724081983764
2019-02-06,-3485.8553083599636
2019-02-07,-3216.5733566885756
2019-02-08,-3368.417352437369
2019-02-11,-3601.5635361866025
2019-02-12,-3737.308455995588
2019-02-13,-3958.141927052284
2019-02-14,-3950.866295082158
2019-02-15,-3978.411397046175
2019-02-18,-4340.579603099812
2019-02-19,-4241.030065129911
2019-02-20,-3818.766319512164
2019-02-21,-3371.6972871183625
2019-02-22,-3299.3562079901494
2019-02-25,-2872.7840035307163
2019-02-26,-2787.8024405994
2019-02-27,-2658.321935023301
2019-02-28,-2800.3831527605435
2019-03-01,-2664.037844211485
2019-03-05,-2052.7726280684474
2019-03-06,-1796.5826062954438
2019-03-07,-1830.4304671550162
