Date,Residuals
2018-08-31,-73.60483507867502
2018-09-03,-172.9714810563746
2018-09-04,-274.03757644059806
2018-09-05,-323.98764251181456
2018-09-06,-334.9043465520999
2018-09-07,-210.65427247224943
2018-09-10,-308.70414833844825
2018-09-11,-335.5873201643608
2018-09-12,-372.920862389522
2018-09-14,-353.67145102400264
2018-09-17,-441.7714710455839
2018-09-18,-488.07149306932297
2018-09-19,-499.57151108874586
2018-09-21,-452.50461684344236
2018-09-24,-494.12086038736425
2018-09-25,-473.07112267007506
2018-09-26,-443.88786675352185
2018-09-27,-358.7042744744085
2018-09-28,-412.487554416859
2018-10-01,-494.23725008882775
2018-10-03,-525.4701936687179
2018-10-04,-425.12005752196774
2018-10-05,-514.0529029961117
2018-10-08,-546.1195469716527
2018-10-09,-491.35262669829444
2018-10-10,-508.0193948076376
2018-10-11,-545.1023103573152
2018-10-12,-466.61920059830254
2018-10-15,-558.035904638587
2018-10-16,-526.4026727479304
2018-10-17,-516.852358409109
2018-10-19,-618.2522623055206
2018-10-22,-735.6020300551818
2018-10-23,-802.8682776034198
2018-10-24,-734.7180513595549
2018-10-25,-730.2677270099434
2018-10-26,-648.3173846409086
2018-10-29,-632.3176969775718
2018-10-30,-647.534661298409
2018-10-31,-659.7850457127629
2018-11-01,-577.3685378839723
2018-11-02,-451.80189991490533
2018-11-05,-417.63530999763225
2018-11-06,-443.8686119638219
2018-11-07,-417.75204206812987
2018-11-09,-398.75217220840614
2018-11-12,-477.75207610481766
2018-11-13,-400.45228232710133
2018-11-14,-313.4689503285399
2018-11-15,-204.8180473552393
2018-11-16,-194.035023689024
2018-11-19,-153.6519239408026
2018-11-20,-190.0684377760681
2018-11-21,-165.71878214725984
2018-11-22,-225.1185098537594
2018-11-26,-219.0018698825338
2018-11-27,-199.26874010194024
2018-11-28,-167.3684758170716
2018-11-29,-159.36862397677078
2018-11-30,-214.0354821832284
2018-12-03,-163.85212615877026
2018-12-04,-148.78520788756896
2018-12-05,-177.551611604139
2018-12-06,-230.43453115813236
2018-12-07,-174.60129526315995
2018-12-10,-310.7178030919508
2018-12-11,-230.00127123726315
2018-12-12,-190.1180853962428
2018-12-13,-203.16832365305572
2018-12-14,-176.88522790914976
2018-12-17,-171.13521589620177
2018-12-18,-185.61865601129966
2018-12-19,-110.21866401993248
2018-12-20,-110.41831164010773
2018-12-21,-146.30148346602073
2018-12-24,-199.70137334732544
2018-12-26,-139.2515215070248
2018-12-27,-143.68478142789445
2018-12-28,-139.31825958399713
2018-12-31,-154.9849395983847
2019-01-01,-149.90171171204383
2019-01-02,-123.0014714530721
2019-01-03,-202.71792722575265
2019-01-04,-198.96801331855113
2019-01-07,-210.93487352716693
2019-01-08,-247.96841975664483
2019-01-09,-344.85173573794145
2019-01-10,-318.7348675206931
2019-01-11,-356.81812143508887
2019-01-14,-349.5014474271752
2019-01-15,-301.4514714530719
2019-01-16,-260.1016156084552
2019-01-17,-303.65163963435316
2019-01-18,-324.90159758903246
2019-01-21,-279.80147345523073
2019-01-22,-250.0179892926535
2019-01-23,-222.86769297325554
2019-01-24,-288.9010750257694
2019-01-25,-525.1340586488213
2019-01-28,-616.817034263242
2019-01-29,-582.7837102733129
2019-01-30,-536.0669301510211
2019-01-31,-452.25021009347165
2019-02-01,-484.53351606397746
2019-02-04,-500.35001988845215
2019-02-05,-481.4333158481677
2019-02-06,-482.08371027331305
2019-02-07,-453.96730055026865
2019-02-08,-408.71683604959026
2019-02-11,-514.9501520308868
2019-02-12,-515.666848062539
2019-02-13,-492.9334920380802
2019-02-14,-473.2001820632581
2019-02-15,-508.40001988845233
2019-02-18,-507.0999277891797
2019-02-19,-499.5835080553452
2019-02-20,-414.4170062330286
2019-02-21,-385.01723447905124
2019-02-22,-408.73404663587326
2019-02-25,-351.08431292290015
2019-02-26,-283.0510109567099
2019-02-27,-184.8343629768524
2019-02-28,-238.51762489988005
2019-03-01,-211.167821111374
2019-03-05,-157.98473337610085
2019-03-06,-158.11819951925418
2019-03-07,-207.46806737681982
2019-03-08,-143.0180253314993
2019-03-11,-99.95163162571998
2019-03-12,-58.85167567319786
2019-03-13,-116.2015735631353
2019-03-14,-193.95170370341157
2019-03-15,-236.91832965953063
2019-03-18,-163.98484549695422
2019-03-19,-162.43489555090582
2019-03-20,-210.38483348400496
2019-03-22,-207.01819951925427
2019-03-25,-257.88480345163316
2019-03-26,-238.83508775808377
2019-03-27,-248.9849796415465
2019-03-28,-244.56833366384672
2019-03-29,-201.50203806381387
2019-04-01,-145.35203005518179
2019-04-02,-153.35187388684972
2019-04-03,-154.50168768614685
2019-04-04,-81.48506373218606
2019-04-05,5.548082065671224
2019-04-08,-3.8351378120351
2019-04-09,-16.73521189188523
2019-04-10,-51.05189591058843
2019-04-11,-44.368581931450535
2019-04-12,-25.851977999071096
2019-04-15,12.031187820368359
2019-04-16,12.53095356787162
2019-04-18,44.597837802383765
2019-04-22,-4.918784149417661
2019-04-23,-20.768858229267607
2019-04-24,157.13099361103286
2019-04-25,307.73040297439456
2019-04-26,317.5972211376902
2019-04-30,344.8640513139353
2019-05-02,347.53074334127086
2019-05-03,298.3140853506229
2019-05-06,254.364113380836
2019-05-07,307.39776972900927
2019-05-08,286.13112174915113
2019-05-09,260.131147777206
2019-05-10,234.98129994122155
2019-05-13,171.9315622239319
2019-05-14,245.11479411458913
2019-05-15,214.41520455699902
2019-05-16,376.0318004807459
2019-05-17,341.28168235341855
2019-05-20,520.4308634707568
2019-05-21,427.14785982612284
2019-05-22,448.4979699448186
2019-05-23,436.43091352470947
2019-05-24,513.4139331866081
2019-05-27,512.2802628233276
2019-05-28,484.7639211736587
2019-05-29,432.4139271801332
2019-05-30,469.88058116646425
2019-05-31,513.330919531184
2019-06-03,500.6141334024169
2019-06-04,444.5642475254281
2019-06-06,352.01447376929355
2019-06-07,350.4977817419576
2019-06-10,359.664321605278
2019-06-11,331.3141994736343
2019-06-12,318.66422349953154
2019-06-13,292.5973392650176
2019-06-14,233.48074734558668
2019-06-17,219.7810096282983
2019-06-18,275.43100562398104
2019-06-19,244.98097358945233
2019-06-20,304.78072331968997
2019-06-21,328.96409736357054
2019-06-24,327.11424552327026
2019-06-25,322.5307053002671
2019-06-26,295.54714505568245
2019-06-27,292.880443017556
2019-06-28,262.41387912833943
2019-07-01,223.38046704345288
2019-07-02,241.16380304633185
2019-07-03,244.71369492979375
2019-07-04,306.0801787326882
2019-07-05,207.03037294202295
2019-07-08,141.49755349593488
2019-07-09,210.51392117365867
2019-07-10,188.3472211376902
2019-07-11,237.0804770542445
2019-07-12,269.16385310028363
2019-07-15,289.897103010363
2019-07-16,280.1303268923866
2019-07-17,294.5137109470579
2019-07-18,318.9806312204173
2019-07-19,286.43100161966504
2019-07-22,327.2475054441402
2019-07-23,297.0142875685906
2019-07-24,208.83102164124648
2019-07-25,242.41448578224208
2019-07-26,272.3644016916023
2019-07-29,272.9321268325157
2019-07-30,276.6992353087362
2019-07-31,263.04889093754264
2019-08-01,170.84907513608778
2019-08-02,232.4490290864519
2019-08-05,227.18274349720923
2019-08-06,317.89924932384247
2019-08-07,341.79956366266333
2019-08-08,234.13290366985666
2019-08-09,267.24944953965223
2019-08-13,228.46660806982436
2019-08-14,231.79960971229957
2019-08-16,184.31603945692495
2019-08-19,167.63297174323225
2019-08-20,47.69967978783325
2019-08-21,-13.199913774073138
2019-08-22,-79.36644362660309
2019-08-23,-107.21685607117115
2019-08-26,39.63290567201557
2019-08-27,159.1830838640858
2019-08-28,160.69989001443355
2019-08-29,122.5499520813346
2019-08-30,97.3999240511207
2019-09-03,-44.799879737385254
2019-09-04,-50.18318370573343
2019-09-05,-42.96655774961482
2019-09-06,-35.21664584457085
2019-09-09,-40.58333987406513
2019-09-11,-52.366749956791864
2019-09-12,36.19983595616486
2019-09-13,65.29983595616477
2019-09-16,28.4165139683937
2019-09-17,-37.783275805005815
2019-09-18,-38.9666378359384
2019-09-19,-70.13326178989882
2019-09-20,248.13272347562815
2019-09-23,355.66594535549484
2019-09-24,298.56607349361275
2019-09-25,300.999747861209
2019-09-26,385.9994855784985
2019-09-27,413.5497098202045
2019-09-30,354.48300177560395
2019-10-01,287.4168283072154
2019-10-03,244.11700850144416
2019-10-04,118.95067886472361
2019-10-07,18.800750942415107
2019-10-09,156.28379863452665
2019-10-10,45.36678225757896
2019-10-11,154.93351833239285
2019-10-14,235.95008822808495
2019-10-15,263.73335415542897
2019-10-16,297.2829917648137
2019-10-17,282.93307585545335
2019-10-18,281.19944953965205
2019-10-22,219.28265540225357
2019-10-23,242.78282758784962
2019-10-24,365.61666212809314
2019-10-25,243.41660406550864
2019-10-27,248.30003016549972
2019-10-29,156.51653999644896
2019-10-30,127.8496037058253
2019-10-31,92.01581921953402
2019-11-01,99.9823931195424
2019-11-04,162.4322850030053
2019-11-05,96.4658212216923
2019-11-06,76.96575915479116
2019-11-07,121.04903108860935
2019-11-08,87.31574914400107
2019-11-11,88.61584124327374
2019-11-13,113.0828756396445
2019-11-14,10.216283720212687
2019-11-15,48.88266741520192
2019-11-18,73.91580920874412
2019-11-19,19.965586969194646
2019-11-20,28.03220691883962
2019-11-21,9.06568307278394
2019-11-22,-10.784507132235376
2019-11-25,-27.984903559538907
2019-11-26,24.498854898697573
2019-11-27,151.2155609411393
2019-11-28,191.182066767773
2019-11-29,177.41557495624693
2019-12-02,160.89863866562337
2019-12-03,137.93230502458619
2019-12-04,118.21559697998555
2019-12-05,108.84914521162136
2019-12-06,107.91582923032547
2019-12-09,104.34918525478315
2019-12-10,-14.950866801327265
2019-12-11,-47.78416276104281
2019-12-12,-68.1675868588768
2019-12-13,8.832305024586276
2019-12-16,19.482561300822454
2019-12-17,68.28248521881551
2019-12-18,38.4660134288697
