Date,Residuals
2018-10-05,-473.79109447142423
2018-10-08,-511.40143407949654
2018-10-09,-567.7287182429379
2018-10-10,-478.7465851621173
2018-10-11,-528.9912347666718
2018-10-12,-460.87121992660923
2018-10-15,-497.9383047772262
2018-10-16,-465.26082872099096
2018-10-17,-482.26154469461903
2018-10-19,-449.889699624325
2018-10-22,-455.5438841656219
2018-10-23,-473.5907106858374
2018-10-24,-435.87305015684046
2018-10-25,-453.3895077315319
2018-10-26,-461.1577955364544
2018-10-29,-440.5632862271477
2018-10-30,-377.0398544169618
2018-10-31,-330.781869119955
2018-11-01,-346.0784521498315
2018-11-02,-313.4864890443839
2018-11-05,-310.71781745387466
2018-11-06,-317.96079162083447
2018-11-07,-304.81420859095806
2018-11-09,-278.7131975294458
2018-11-12,-289.9232565470227
2018-11-13,-249.67191329746925
2018-11-14,-195.22133761908913
2018-11-15,-183.71316042928902
2018-11-16,-219.12817155933612
2018-11-19,-190.77841504967478
2018-11-20,-208.77437080362574
2018-11-21,-225.13437822365722
2018-11-22,-253.15141147672875
2018-11-26,-185.57590594597264
2018-11-27,-198.22369193015493
2018-11-28,-184.75425276847204
2018-11-29,-115.80935967357891
2018-11-30,-137.86676929220562
2018-12-03,-54.73587626584731
2018-12-04,-61.46662899695798
2018-12-05,-28.49612717621767
2018-12-06,-106.6502601199686
2018-12-07,-80.03259959097159
2018-12-10,-125.12773617620383
2018-12-11,-86.52663641698928
2018-12-12,-21.446370666556504
2018-12-13,-4.450990590985384
2018-12-14,10.36585076929282
2018-12-17,-7.431116046170473
2018-12-18,-24.237322710491753
2018-12-19,-15.35681346972001
2018-12-20,-26.45219354529081
2018-12-21,-77.77081353825474
2018-12-24,-133.39501291961415
2018-12-26,-111.95348519729873
2018-12-27,-76.7330349741037
2018-12-28,-61.40233384053886
2018-12-31,-61.62081353825465
2019-01-01,-75.02865854001402
2019-01-02,-96.20334490205119
2019-01-03,-108.60892429044657
2019-01-04,-119.74987633438218
2019-01-07,-93.1264445241959
2019-01-08,-144.39020110239176
2019-01-09,-111.46354421487558
2019-01-10,-100.44670285459756
2019-01-11,-117.24670285459752
2019-01-14,-121.96758846092462
2019-01-15,-107.6263929266504
2019-01-16,-121.26455527638791
2019-01-17,-153.68962542401187
2019-01-18,-158.98601656109508
2019-01-21,-155.87437080362565
2019-01-22,-99.36085771576882
2019-01-23,-106.74713823772959
2019-01-24,-104.47447399871703
2019-01-25,-98.52630422894822
2019-01-28,-127.05156626936537
2019-01-29,-109.84555149783728
2019-01-30,-129.45580240820777
2019-01-31,-83.81769165601577
2019-02-01,-10.837669395921921
2019-02-04,-10.03083545567506
2019-02-05,1.4175778044327672
2019-02-06,20.357710679649244
2019-02-07,46.052847264881166
2019-02-08,16.74543764625446
2019-02-11,-26.84122666129292
2019-02-12,-60.2809241533771
2019-02-13,-63.69997952947301
2019-02-14,-92.0915072517887
2019-02-15,-112.91176558219013
2019-02-18,-137.00613459624878
2019-02-19,-165.99304239413505
2019-02-20,-142.08327846444286
2019-02-21,-115.27365482999812
2019-02-22,-105.5529611164643
2019-02-25,-93.51282824124792
2019-02-26,-104.65777293368683
2019-02-27,-142.1218245997668
2019-02-28,-111.45705696005871
2019-03-01,-121.61124150135561
2019-03-05,-110.93679862965746
2019-03-06,-146.87813445917936
2019-03-07,-133.87654771928692
2019-03-08,-123.02919711823711
2019-03-11,-86.69532250488737
2019-03-12,-31.239794714037316
2019-03-13,-16.64783160858974
2019-03-14,-57.17747008309698
2019-03-15,-99.34975053652306
2019-03-18,-95.21341841701701
2019-03-19,-66.93517478960825
2019-03-20,-91.18935933090529
2019-03-22,-99.52068774039594
2019-03-25,-133.4828575786994
2019-03-26,-94.16024493723239
2019-03-27,-110.40518962967121
2019-03-28,-89.77511577203154
2019-03-29,-48.25428176324999
2019-04-01,-60.14586108311096
2019-04-02,-80.44802350138298
2019-04-03,-87.29282789857416
2019-04-04,-97.15245153301885
2019-04-05,-115.74378736254107
2019-04-08,-103.24340357695405
2019-04-09,-93.25302721139883
2019-04-10,-84.2777135734359
2019-04-11,-75.35138887396101
2019-04-12,-79.99532250488733
2019-04-15,-65.18170622193952
2019-04-16,-38.86486486166132
2019-04-18,-38.21606781596665
2019-04-22,-32.42270986342032
2019-04-23,-27.994798424052988
2019-04-24,-0.03902714286414266
2019-04-25,-20.230990248311628
2019-04-26,-16.586185851120717
2019-04-30,5.9959101295435175
2019-05-02,-33.84162494426869
2019-05-03,-64.93238509541061
2019-05-06,-119.65620069118313
2019-05-07,-109.59912326059748
2019-05-08,-126.112355757959
2019-05-09,-99.29772841349859
2019-05-10,-119.80494613933206
2019-05-13,-115.77299045391578
2019-05-14,-132.90749234319105
2019-05-15,-164.01932999345377
2019-05-16,-140.5585034047033
2019-05-17,-77.38906424302081
2019-05-20,-8.966259708760163
2019-05-21,7.445577941502279
2019-05-22,-13.166259708760208
2019-05-23,-33.927086297510414
2019-05-24,-50.56500515690914
2019-05-27,-43.25191295479544
2019-05-28,-54.11793514635451
2019-05-29,-38.94868787746532
2019-05-30,-51.98800158396284
2019-05-31,-4.808798492587812
2019-06-03,80.67223482901863
