Date,Residuals
2018-08-31,-361.2483350554212
2018-09-03,-523.8882626400355
2018-09-04,-395.92165846237185
2018-09-05,-412.90108125454935
2018-09-06,-490.1002165004411
2018-09-07,-402.16633009774887
2018-09-10,-476.5124508010922
2018-09-11,-424.9222662096108
2018-09-12,-306.57644937988516
2018-09-14,-428.1419786633269
2018-09-17,-611.1937898082215
2018-09-18,-623.116505467935
2018-09-19,-662.7369541723237
2018-09-21,-782.6095178952255
2018-09-24,-689.6798380961809
2018-09-25,-745.6273141339916
2018-09-26,-935.0866737320794
2018-09-27,-981.8947014290807
2018-09-28,-625.9950053026987
2018-10-01,-734.5242761580666
2018-10-03,-926.404364900789
2018-10-04,-1005.5724415797977
2018-10-05,-997.9049492146496
2018-10-08,-1206.3526006226475
2018-10-09,-1254.4993872765353
2018-10-10,-1461.216271894442
2018-10-11,-1314.3513269248633
2018-10-12,-1376.3436031014826
2018-10-15,-1265.8391160575884
2018-10-16,-1229.3199176176058
2018-10-17,-1182.533530686098
2018-10-19,-1225.1720326361192
2018-10-22,-1193.870782371714
2018-10-23,-1228.8601256424645
2018-10-24,-1199.1973773280788
2018-10-25,-1197.5996208500255
2018-10-26,-1171.305638598571
2018-10-29,-1222.566961278364
2018-10-30,-942.3501348637601
2018-10-31,-1089.4974589647627
2018-11-01,-1018.0383563735395
2018-11-02,-764.9170663484201
2018-11-05,-762.2662250276899
2018-11-06,-982.9756080591542
2018-11-07,-683.5347106503759
2018-11-09,-698.6466176440317
2018-11-12,-843.4515136316022
2018-11-13,-943.644631128951
2018-11-14,-1019.477395770673
2018-11-15,-1042.4023080855804
2018-11-16,-1006.4456009531168
2018-11-19,-1019.744046815089
2018-11-20,-1044.5416747897088
2018-11-21,-1133.4205367013983
2018-11-22,-1155.5900155816253
2018-11-26,-1075.42096907845
2018-11-27,-1179.4723712796695
2018-11-28,-1218.7818828145664
2018-11-29,-1282.7483819221725
2018-11-30,-973.4838224628929
2018-12-03,-959.5555214316919
2018-12-04,-843.037444752681
2018-12-05,-958.6328292053549
2018-12-06,-925.0055448650655
2018-12-07,-963.0427965506806
2018-12-10,-1012.3747433050485
2018-12-11,-950.816306664372
2018-12-12,-913.9812750673282
2018-12-13,-853.1008824509863
2018-12-14,-869.6038153568552
2018-12-17,-692.3395363378186
2018-12-18,-684.114472086103
2018-12-19,-645.5809946270838
2018-12-20,-625.1613872434245
2018-12-21,-756.3861944882756
2018-12-24,-791.492668047249
2018-12-26,-803.6422356701951
2018-12-27,-751.0136541987486
2018-12-28,-671.6077649536364
2018-12-31,-674.6861944882749
2019-01-01,-662.2924926770629
2019-01-02,-664.4458579599832
2019-01-03,-686.5775242741056
2019-01-04,-745.36072129288
2019-01-07,-759.0938948782787
2019-01-08,-532.4006488774958
2019-01-09,-554.8971316577645
2019-01-10,-555.550064563633
2019-01-11,-552.7000645636326
2019-01-14,-552.999503683146
2019-01-15,-596.1678608023976
2019-01-16,-644.2352246641112
2019-01-17,-528.0834135192163
2019-01-18,-566.001899141902
2019-01-21,-525.2916747897088
2019-01-22,-615.583366652465
2019-01-23,-654.2709222116991
2019-01-24,-661.8937429414691
2019-01-25,-666.5475171680664
2019-01-28,-665.8181178092673
2019-01-29,-686.9655938470751
2019-01-30,-665.2429016207388
2019-01-31,-698.301571834907
2019-02-01,-760.5649860998365
2019-02-04,-778.5467809173933
2019-02-05,-706.7021092820178
2019-02-06,-682.0345934834968
2019-02-07,-680.7026467291289
2019-02-08,-668.2380872698486
2019-02-11,-510.0204664012708
2019-02-12,-419.01712455172674
2019-02-13,-455.2127894446421
2019-02-14,-508.6632218216946
2019-02-15,-520.1693915070482
2019-02-18,-726.411691117044
2019-02-19,-609.642516110438
2019-02-20,-578.2121000607203
2019-02-21,-462.6780617212171
2019-02-22,-394.0510343877959
2019-02-25,-496.78351858927454
2019-02-26,-518.7430535575477
2019-02-27,-191.32428749461906
2019-02-28,151.37055951094226
2019-03-01,356.77180977534954
2019-03-05,389.8267291962966
2019-03-06,60.89870860533665
2019-03-07,-172.04596303003927
2019-03-08,-318.4154184768904
2019-03-11,-483.5488725025316
2019-03-12,-215.19324026428694
2019-03-13,-328.5219502391683
2019-03-14,-386.36371240205335
2019-03-15,-407.8460681000979
2019-03-18,-318.9824784649809
2019-03-19,-319.92363288062734
2019-03-20,-408.1723826162215
2019-03-22,-240.07154129549235
2019-03-25,-264.12296693008466
2019-03-26,-306.521821735736
2019-03-27,15.118643295991205
2019-03-28,133.33126310694388
2019-03-29,96.65466815057334
2019-04-01,47.378201697642
2019-04-02,35.155637974739875
2019-04-03,103.74248071667716
2019-04-04,-48.89155762282826
2019-04-05,-43.56957821378819
2019-04-08,0.9252453583976603
2019-04-09,66.94120701889369
2019-04-10,53.83784173597269
2019-04-11,-4.827430540601199
2019-04-12,25.55112749746877
2019-04-15,-8.138496213527105
2019-04-16,-6.691429119395252
2019-04-18,-8.451933911832384
2019-04-22,-140.24772730818222
2019-04-23,-211.90767122013312
