Date,Residuals
2018-10-05,-574.158858394992
2018-10-08,-617.4673015034396
2018-10-09,-589.3526997808558
2018-10-10,-619.0993515119678
2018-10-11,-651.269634288569
2018-10-12,-647.3491610227265
2018-10-15,-583.2491368773178
2018-10-16,-551.1853722219564
2018-10-17,-580.9642765235417
2018-10-19,-647.636556723578
2018-10-22,-678.8384937834899
2018-10-23,-680.3435886230495
2018-10-24,-575.3241670590792
2018-10-25,-499.1687972213472
2018-10-26,-557.5387929270717
2018-10-29,-541.2227558501027
2018-10-30,-525.6187972213472
2018-10-31,-464.1386722000266
2018-11-01,-610.344915323094
2018-11-02,-636.4319998076592
2018-11-05,-676.9991127319086
2018-11-06,-700.5887084181397
2018-11-07,-678.4687610032338
2018-11-09,-670.4915187633876
2018-11-12,-697.3915066906834
2018-11-13,-686.9516239335746
2018-11-14,-738.7780773970167
2018-11-15,-746.6890437798347
2018-11-16,-714.3325377312995
2018-11-19,-677.4572325513661
2018-11-20,-701.2322748058316
2018-11-21,-729.5991610227265
2018-11-22,-745.6413041287378
2018-11-26,-657.2185222231747
2018-11-27,-604.1923679033146
2018-11-28,-569.3988015156228
2018-11-29,-547.2446282522169
2018-11-30,-548.3527722170829
2018-12-03,-478.74377911229044
2018-12-04,-438.1805523805692
2018-12-05,-469.4389592709035
2018-12-06,-545.1847980802022
2018-12-07,-645.4643610324731
2018-12-10,-755.807927420165
2018-12-11,-617.6536937932365
2018-12-12,-581.8132248216696
2018-12-13,-584.3441144739854
2018-12-14,-596.9039687914089
2018-12-17,-555.2621006835707
2018-12-18,-561.386520505464
2018-12-19,-570.027850689662
2018-12-20,-599.6837463783302
2018-12-21,-593.660438621831
2018-12-24,-633.1070903529426
2018-12-26,-667.6056791439667
2018-12-27,-691.2388170724803
2018-12-28,-710.6744782753649
2018-12-31,-716.7576162038786
2019-01-01,-724.0452627574932
2019-01-02,-749.5082024183373
2019-01-03,-687.1025817278419
2019-01-04,-640.447547251805
2019-01-07,-563.9716920755263
2019-01-08,-562.0615748326345
2019-01-09,-561.2180446630566
2019-01-10,-607.1127110434381
2019-01-11,-592.300907593398
2019-01-14,-551.1214170773535
2019-01-15,-498.7169084522527
2019-01-16,-512.7559662148437
2019-01-17,-546.6472360355192
2019-01-18,-575.5646360306459
2019-01-21,-610.9536817205319
2019-01-22,-554.8239403517241
2019-01-23,-453.288542074308
2019-01-24,-464.2329213838125
2019-01-25,-460.0309239603778
2019-01-28,-466.95731706029756
2019-01-29,-437.9148868834093
2019-01-30,-384.443217043241
2019-01-31,-358.88031360051036
2019-02-01,-327.459193756687
2019-02-04,-328.8690239287016
