Date,Residuals
2018-10-05,-0.3986801027454021
2018-10-08,-24.45995748676387
2018-10-09,-9.886993312046798
2018-10-10,-56.638018906560774
2018-10-11,-116.55210899361896
2018-10-12,-176.12029938091678
2018-10-15,-146.47401892414928
2018-10-16,-133.71329835080428
2018-10-17,-168.43324511914125
2018-10-19,-178.8940844468068
2018-10-22,-190.9751325454963
2018-10-23,-247.83743552402802
2018-10-24,-245.53186949510837
2018-10-25,-243.13986539224743
2018-10-26,-293.701114126593
2018-10-29,-223.46394318831108
2018-10-30,-201.33986539224748
2018-10-31,-162.419711842756
2018-11-01,-160.74338023214023
2018-11-02,-182.66804348854998
2018-11-05,-206.67773846738237
2018-11-06,-165.5391325279072
2018-11-07,-156.32044470709616
2018-11-09,-188.95184491311898
2018-11-12,-184.07870468473538
2018-11-13,-163.66446927149696
2018-11-14,-214.81338637763747
2018-11-15,-221.88453479415466
2018-11-16,-211.0543055088251
2018-11-19,-196.76675381353675
2018-11-20,-218.24774461287961
2018-11-21,-282.42029938091673
2018-11-22,-281.33784493070766
2018-11-26,-249.66016426791793
2018-11-27,-207.48722874287432
2018-11-28,-115.57861665790188
2018-11-29,-136.34053887942696
2018-11-30,-128.7758346823489
2018-12-03,-114.90515504967152
2018-12-04,-88.03069649660165
2018-12-05,-93.42255319546939
2018-12-06,-104.10761564537802
2018-12-07,-97.19522671782693
2018-12-10,-114.85383880279937
2018-12-11,-91.9500598824061
2018-12-12,-76.4070015353584
2018-12-13,-111.20055731591947
2018-12-14,-102.57976100673568
2018-12-17,-98.94191658127397
2018-12-18,-106.57466376165621
2018-12-19,-123.52624616684284
2018-12-20,-138.13137206159558
2018-12-21,-195.9405696069141
2018-12-24,-171.79159520142775
2018-12-26,-201.52366889462996
2018-12-27,-182.29739458335985
2018-12-28,-196.03099130458872
2018-12-31,-199.55471699331906
2019-01-01,-189.4119227267713
2019-01-02,-167.7335399271285
2019-01-03,-191.25811515670534
2019-01-04,-212.96151332009185
2019-01-07,-192.71455937614428
2019-01-08,-197.3787947893827
2019-01-09,-203.389603389561
2019-01-10,-201.56701997185087
2019-01-11,-247.93362795396183
2019-01-14,-276.98485825181524
2019-01-15,-223.35137820709292
2019-01-16,-220.17651024734278
2019-01-17,-197.4623915106115
2019-01-18,-192.124927842156
2019-01-21,-184.02691965402278
2019-01-22,-188.6447292843136
2019-01-23,-215.26769345903085
2019-01-24,-189.49226868860728
2019-01-25,-172.2455194480001
2019-01-28,-138.77873541222243
2019-01-29,-111.95834850971823
2019-01-30,-115.92261257262953
2019-01-31,-82.07041605742324
2019-02-01,-69.59408236899321
2019-02-04,-49.37700560304211
2019-02-05,-55.33450406666748
2019-02-06,-25.734796796840783
2019-02-07,-18.306911430711352
2019-02-08,-40.29135769278628
2019-02-11,-36.74279269397948
2019-02-12,-49.249032210078894
2019-02-13,-36.43974663792687
2019-02-14,-56.46725124704972
2019-02-15,-71.01373640715678
2019-02-18,-129.45793702522474
2019-02-19,-194.32510181800922
2019-02-20,-186.02483773750873
2019-02-21,-186.177679090222
2019-02-22,-175.84059617877347
2019-02-25,-117.74592677686587
2019-02-26,-62.15339659081815
2019-02-27,-42.88432801300087
2019-02-28,-116.97132289761589
2019-03-01,-104.90784899839127
2019-03-05,-112.20348461765207
2019-03-06,-99.89170980012022
2019-03-07,-85.43230755146146
2019-03-08,-73.80647337435835
2019-03-11,-81.30058596559252
2019-03-12,-84.43181011794809
2019-03-13,-97.69112433977352
2019-03-14,-108.90571186034504
2019-03-15,-58.32404757382233
2019-03-18,-73.96397183798422
2019-03-19,-76.07633211586221
2019-03-20,-83.97908544174174
2019-03-22,-92.23561768801437
2019-03-25,-113.00714686153833
2019-03-26,-116.08667193220072
2019-03-27,-131.58298103864126
2019-03-28,-102.65266372647852
2019-03-29,-101.69982237376507
2019-04-01,-73.73362379833407
2019-04-02,-25.37222973780854
2019-04-03,-26.943406803999096
2019-04-04,-89.77507109052203
2019-04-05,-55.516811112882806
2019-04-08,-33.37668214538144
2019-04-09,-14.529552147767845
2019-04-10,-64.08180804013409
2019-04-11,-83.97202503446897
2019-04-12,-88.50067191461176
2019-04-15,8.571033312578948
2019-04-16,26.739340376383097
2019-04-18,45.37340588145207
2019-04-22,56.90870168437368
2019-04-23,50.43014283106413
2019-04-24,75.60486546463426
2019-04-25,87.61312544227349
2019-04-26,130.63503537280394
2019-04-30,148.6292953680313
2019-05-02,105.71309679260048
2019-05-03,23.796986244002255
2019-05-06,50.25799954752074
2019-05-07,44.73333629111039
2019-05-08,45.55914181854041
2019-05-09,64.90999135938728
2019-05-10,32.5200077180657
2019-05-13,25.73187056243023
2019-05-14,-9.28898512391379
2019-05-15,-6.20407007799804
2019-05-16,6.726949371017781
2019-05-17,-5.739453907753614
2019-05-20,41.81347547179257
2019-05-21,9.136644349849576
2019-05-22,-19.29106496261329
2019-05-23,-47.46241808247032
2019-05-24,-53.473138655815546
2019-05-27,-46.170385329935925
2019-05-28,-28.19012739493337
2019-05-29,4.414032282466451
