Date,Residuals
2018-08-31,-245.63172963900536
2018-09-03,-236.19072145803182
2018-09-04,-238.8277929531681
2018-09-05,-215.04125856160067
2018-09-06,-190.34285408873575
2018-09-07,-166.88420507360024
2018-09-10,-131.5892902186821
2018-09-11,-155.6924370327381
2018-09-12,-155.46106203835916
2018-09-14,-126.79189992916906
2018-09-17,-168.63368375360346
2018-09-18,-182.57072523684678
2018-09-19,-196.88459367295627
2018-09-21,-172.09470393933407
2018-09-24,-256.1047699654986
2018-09-25,-231.4851007646322
2018-09-26,-204.2300156195504
2018-09-27,-214.59185568895555
2018-09-28,-244.84267557262967
2018-10-01,-258.2496690368446
2018-10-03,-299.7127618294934
2018-10-04,-285.49904345284835
2018-10-05,-290.8958223866857
2018-10-08,-306.5064697566328
2018-10-09,-332.44079726538973
2018-10-10,-280.65298013868573
2018-10-11,-291.53845610668714
2018-10-12,-279.231476870793
2018-10-15,-272.4179812504675
2018-10-16,-269.8668928150088
2018-10-17,-265.9709937886313
2018-10-19,-252.22557184203708
2018-10-22,-249.4609577743597
2018-10-23,-266.49443538754963
2018-10-24,-262.62306639554936
2018-10-25,-262.15260732290176
2018-10-26,-262.16644574711836
2018-10-29,-269.7773616688497
2018-10-30,-272.45466570149915
2018-10-31,-267.76701286258026
2018-11-01,-222.3714566400938
2018-11-02,-225.7115248898217
2018-11-05,-217.7706509847403
2018-11-06,-216.67733165695688
2018-11-07,-213.15657402063198
2018-11-09,-218.0215308922002
2018-11-12,-244.19218426452585
2018-11-13,-258.5694582852823
2018-11-14,-235.29904345284842
2018-11-15,-230.6042028500366
2018-11-16,-230.96428310452177
2018-11-19,-215.82575035814284
2018-11-20,-223.33365374171058
2018-11-21,-233.5458666268994
2018-11-22,-246.35946651122435
2018-11-26,-236.05248727533024
2018-11-27,-245.6371575879782
2018-11-28,-240.47539177067983
2018-11-29,-225.19928043748837
2018-11-30,-193.40138305629944
2018-12-03,-172.11844254667858
2018-12-04,-149.71107626667992
2018-12-05,-142.86253751792265
2018-12-06,-131.71908391424688
2018-12-07,-150.57882136484113
2018-12-10,-177.2315653512204
2018-12-11,-146.4321024547893
2018-12-12,-116.61416305695025
2018-12-13,-145.06660847965202
2018-12-14,-126.65575258170657
2018-12-17,-129.62977552440748
2018-12-18,-112.26495292873165
2018-12-19,-158.26311886170515
2018-12-20,-159.5402586065693
2018-12-21,-168.67498894300297
2018-12-24,-198.6015773559775
2018-12-26,-200.24670073889433
2018-12-27,-156.82030662559794
2018-12-28,-177.72990980029965
2018-12-31,-164.18472639359697
2019-01-01,-149.77876134105531
2019-01-02,-151.74076569824547
2019-01-03,-162.53696328830029
2019-01-04,-162.6372018281919
2019-01-07,-163.40769091273228
2019-01-08,-168.4056183058142
2019-01-09,-165.47522748289452
2019-01-10,-141.03770891986812
2019-01-11,-145.71572857219212
2019-01-14,-170.5422869732737
2019-01-15,-156.94225696138085
2019-01-16,-168.65324713521886
2019-01-17,-150.48384648613717
2019-01-18,-165.41915816635344
2019-01-21,-172.06814398300116
2019-01-22,-177.9800140642991
2019-01-23,-199.84598511921945
2019-01-24,-184.36487867662515
2019-01-25,-178.64204843338212
2019-01-28,-218.7583622921935
2019-01-29,-210.5461794188975
2019-01-30,-191.30892940765534
2019-01-31,-157.2502203687343
2019-02-01,-155.17057517738237
2019-02-04,-148.60215869976003
2019-02-05,-145.6591821758676
2019-02-06,-129.38299659056997
2019-02-07,-140.62967126040803
2019-02-08,-146.48299659056988
2019-02-11,-167.02309485219075
2019-02-12,-143.53594910494814
2019-02-13,-120.26617564008257
2019-02-14,-120.82671874603011
2019-02-15,-121.95463413435493
2019-02-18,-133.68736611597706
2019-02-19,-120.07959700830156
2019-02-20,-125.46956099403019
2019-02-21,-104.11633992786756
2019-02-22,-103.95822801630118
2019-02-25,-112.49904189759684
2019-02-26,-129.43116252354366
2019-02-27,-124.7883502874364
2019-02-28,-106.85985355532887
2019-03-01,-86.52824002105854
2019-03-05,-61.13499494538166
2019-03-06,-63.24018435446271
2019-03-07,-75.9654600204077
2019-03-08,-49.304469846569646
2019-03-11,-47.551383056299414
2019-03-12,-35.166011352297346
2019-03-13,-36.470126554240665
2019-03-14,-59.60235144418675
2019-03-15,-32.80354414364467
2019-03-18,-18.10921063250919
2019-03-19,-22.821423517698122
2019-03-20,-11.13557473391279
2019-03-22,4.112292635383483
2019-03-25,-1.944119485048759
2019-03-26,24.88691270543916
2019-03-27,-0.7400185114263422
2019-03-28,15.12134447819551
2019-03-29,46.54013377160163
2019-04-01,27.032468927925606
2019-04-02,8.43318454760049
2019-04-03,17.137255509330203
2019-04-04,15.468600491816119
2019-04-05,46.41591652922261
2019-04-08,56.075892519708304
2019-04-09,76.76934612338391
2019-04-10,85.27322278543545
2019-04-11,84.30201808122024
2019-04-12,98.147708579599
2019-04-15,82.49848422305979
2019-04-16,93.44912559062811
2019-04-18,103.32836795430319
2019-04-22,68.980306285329
2019-04-23,66.61138271603056
2019-04-24,75.37674241527554
2019-04-25,77.36548368965305
2019-04-26,94.33155900857287
2019-04-30,106.2822303880339
2019-05-02,125.27574401549543
2019-05-03,111.90576202263105
2019-05-06,74.11804915992639
2019-05-07,70.82273147733144
2019-05-08,70.11628934500641
2019-05-09,98.14441326132999
2019-05-10,93.68355736338447
2019-05-13,83.7587287653298
2019-05-14,72.00737177808662
2019-05-15,95.75255518478923
2019-05-16,102.83826969268227
2019-05-17,142.4135311303064
2019-05-20,181.38091919625583
2019-05-21,178.49717303128148
2019-05-22,167.2324847114977
2019-05-23,149.24311629787258
2019-05-24,155.3024366924692
2019-05-27,149.63458733030882
2019-05-28,188.80151254479563
2019-05-29,170.65015555755235
2019-05-30,185.60981875604
2019-05-31,212.34448906868795
2019-06-03,263.0865114330138
2019-06-04,285.4172450598244
2019-06-06,208.21979474652562
2019-06-07,232.27983076079715
2019-06-10,228.5978444107426
2019-06-11,189.93909113160805
2019-06-12,164.2554792425259
2019-06-13,193.2534066356077
2019-06-14,202.2148738892289
2019-06-17,185.7331260790661
2019-06-18,167.17447706393068
2019-06-19,188.23153055193131
2019-06-20,199.05683622976903
2019-06-21,189.0268182226332
2019-06-24,209.9231200766876
2019-06-25,138.5558520583097
2019-06-26,162.37986077269
2019-06-27,164.3907166706358
2019-06-28,152.3016768325807
2019-07-01,152.17778816577197
2019-07-02,161.93446883798856
2019-07-03,168.29841152620452
2019-07-04,172.05618063388
2019-07-05,151.43542299755507
2019-07-08,101.45002128166016
2019-07-09,101.48405022673978
2019-07-10,86.8725829731186
2019-07-11,88.97977073701134
2019-07-12,93.06617085268647
2019-07-15,105.69666593960528
2019-07-16,94.2428335177674
2019-07-17,81.77000327452424
2019-07-18,123.18841975214684
2019-07-19,113.34083516295573
2019-07-22,63.492817734195114
2019-07-23,76.9261010477071
2019-07-24,81.97094165051874
2019-07-25,104.41452953008672
2019-07-26,145.20649187062668
2019-07-29,171.39903555494948
2019-07-30,156.33719548554438
2019-07-31,206.3097871888956
2019-08-01,144.07122443062406
2019-08-02,159.43923808056968
2019-08-05,135.23585272662206
2019-08-06,150.82747226327115
2019-08-07,153.04450174175736
2019-08-08,195.23136470889483
2019-08-09,159.30452352770806
2019-08-13,145.41332104705623
2019-08-14,137.94568021289467
2019-08-16,161.22407268100255
2019-08-19,151.04663437246097
2019-08-20,129.71640783732653
2019-08-21,127.83123043300247
2019-08-22,121.94226484705416
2019-08-23,159.97150721072933
2019-08-26,206.1153494137609
2019-08-27,215.42226862586904
2019-08-28,247.92854647040895
2019-08-29,230.81481231019166
2019-08-30,251.7271594712729
2019-09-03,180.26725773289377
2019-09-04,143.58163326067938
2019-09-05,168.6560590310571
2019-09-06,193.88879101267935
2019-09-09,176.9244755086795
2019-09-11,128.08546568251745
2019-09-12,142.0368526816534
2019-09-13,135.54140072316613
2019-09-16,126.51718348078737
2019-09-17,123.65219659732611
2019-09-18,140.24080359581149
2019-09-19,-72.31685635105214
2019-09-20,11.459956373493242
2019-09-23,12.701770209820552
2019-09-24,9.469172504090466
2019-09-25,-43.62492246715351
2019-09-26,-22.980350416126385
2019-09-27,-11.219360242288303
2019-09-30,-8.676175190397316
2019-10-01,-10.792563301315113
2019-10-03,-25.65432911861376
2019-10-04,-46.94228052121002
2019-10-07,-67.98685257223701
2019-10-09,-52.47753217764034
2019-10-10,-30.888313823479848
2019-10-11,-17.759921355371716
2019-10-14,17.829222746682717
2019-10-15,46.439497300845915
2019-10-16,-12.624579663262466
2019-10-17,24.8418384595484
2019-10-18,25.852962909278403
2019-10-22,78.7901386684141
2019-10-23,96.27853713890067
2019-10-24,126.61062775295431
2019-10-25,111.05296290927845
2019-10-27,145.50038321068428
2019-10-29,136.01964958387362
2019-10-30,152.91188047619835
2019-10-31,124.88963157673788
2019-11-01,127.49939903922473
2019-11-04,106.21988812376526
2019-11-05,89.38260810063025
2019-11-06,78.02436191317156
2019-11-07,108.7714093987936
2019-11-08,107.90139739403662
2019-11-11,128.19437391792871
2019-11-13,153.36547435814464
2019-11-14,164.88735044182113
