Date,Residuals
2018-08-31,-20.08245813236192
2018-09-03,-23.537265270165676
2018-09-04,-28.986596248220508
2018-09-05,-25.293736864109974
2018-09-06,-14.728973349673538
2018-09-07,-16.994701429425618
2018-09-10,-19.370805922039267
2018-09-11,-24.64113871153313
2018-09-12,-26.291683240620273
2018-09-14,-26.984667117589083
2018-09-17,-59.77240813175035
2018-09-18,-79.8545798708542
2018-09-19,-94.41657418220154
2018-09-21,-92.23446468952682
2018-09-24,-125.10221501521903
2018-09-25,-142.1058865371948
2018-09-26,-128.62978204458113
2018-09-27,-152.934526935956
2018-09-28,-188.82721526955424
2018-10-01,-174.84193222633655
2018-10-03,-154.76137838571879
2018-10-04,-141.9851802691262
2018-10-05,-147.9975480590482
2018-10-08,-159.77191016031747
2018-10-09,-169.55576204433657
2018-10-10,-144.98104215326748
2018-10-11,-169.4451366457588
2018-10-12,-151.41340063165865
2018-10-15,-161.43910077681835
2018-10-16,-155.743176646248
2018-10-17,-145.0078156678262
2018-10-19,-141.79460780544673
2018-10-22,-143.60722458108512
2018-10-23,-124.03122889255474
2018-10-24,-138.6652052694319
2018-10-25,-142.39334769676043
2018-10-26,-136.48818276915677
2018-10-29,-133.0157806673982
2018-10-30,-154.96775635568395
2018-10-31,-153.61181360205183
2018-11-01,-150.14698784118627
2018-11-02,-145.28085541398025
2018-11-05,-129.7372804502702
2018-11-06,-129.34862142844725
2018-11-07,-129.6063688198526
2018-11-09,-134.31428726177035
2018-11-12,-137.62208121082995
2018-11-13,-139.55689766016474
2018-11-14,-124.38518026912618
2018-11-15,-125.82858418232388
2018-11-16,-123.37931545069819
2018-11-19,-130.54636588556582
2018-11-20,-133.95524889279943
2018-11-21,-138.3976882406813
2018-11-22,-127.80644675505664
2018-11-26,-125.92471074095647
2018-11-27,-121.57909784253161
2018-11-28,-119.49165237174088
2018-11-29,-110.77005947356065
2018-11-30,-111.39460831411736
2018-12-03,-115.62707559659168
2018-12-04,-119.12466418330223
2018-12-05,-114.20828277037992
2018-12-06,-119.51800585007095
2018-12-07,-123.24820190088917
2018-12-10,-126.06368099492488
2018-12-11,-130.07015258886895
2018-12-12,-118.76067849489425
2018-12-13,-115.70576255300716
2018-12-14,-120.51248313266763
2018-12-17,-92.74250813297351
2018-12-18,-94.18620758954171
2018-12-19,-100.46489454595712
2018-12-20,-89.04809309680581
2018-12-21,-87.78679867628284
2018-12-24,-110.23054469050521
