Date,Residuals
2018-10-05,-168.73553970545436
2018-10-08,-178.70330459433364
2018-10-09,-184.53387022397362
2018-10-10,-156.2881103721612
2018-10-11,-152.3941002980274
2018-10-12,-164.5660651869955
2018-10-15,-165.97150000177646
2018-10-16,-151.9454721499161
2018-10-17,-160.25510281656102
2018-10-19,-166.4194844461548
2018-10-22,-132.60119629783935
2018-10-23,-138.29289318675944
2018-10-24,-149.94204044608193
2018-10-25,-144.8338619275238
2018-10-26,-155.96682103857518
2018-10-29,-118.06698992742076
2018-10-30,-108.98693511254214
2018-10-31,-105.68419970521472
2018-11-01,-96.41172814971026
2018-11-02,-108.90723881647932
2018-11-05,-80.22979481640652
2018-11-06,-94.21318444602161
2018-11-07,-97.09208059418097
2018-11-09,-93.70869096456579
2018-11-12,-99.84627644604484
2018-11-13,-86.08707214973867
2018-11-14,-99.23844400162727
2018-11-15,-85.46087540903284
2018-11-16,-88.78078044605536
2018-11-19,-102.21892518684467
2018-11-20,-111.23579303872259
2018-11-21,-94.02872889055982
2018-11-22,-101.51472933498076
2018-11-26,-94.15728311280316
2018-11-27,-106.91533289061476
2018-11-28,-110.90369081657332
2018-11-29,-120.18314622404284
2018-11-30,-118.07950548326426
2018-12-03,-125.6369558536669
2018-12-04,-121.64478829808434
2018-12-05,-121.27419526100493
2018-12-06,-126.96421852021945
2018-12-07,-122.34953511280844
2018-12-10,-132.66884074242193
2018-12-11,-118.27384918686414
2018-12-12,-110.50278963134713
2018-12-13,-118.87719229805055
2018-12-14,-116.04161822396827
2018-12-17,-127.09752785363673
2018-12-18,-126.51961733512633
2018-12-19,-97.01490652027621
2018-12-20,-105.76884489064673
2018-12-21,-107.83630800170897
2018-12-24,-110.09940637206182
2018-12-26,-104.00822444612822
2018-12-27,-107.99439792761962
2018-12-28,-105.68596607579309
2018-12-31,-115.16452029803634
2019-01-01,-106.76666044617969
2019-01-02,-108.8925152609695
2019-01-03,-116.54259970539215
2019-01-04,-101.68326666833957
2019-01-07,-86.78639244613169
2019-01-08,-78.35266089060065
2019-01-09,-65.62526533507662
2019-01-10,-62.80681244614061
2019-01-11,-45.86995096459236
2019-01-14,-44.78253437195883
2019-01-15,-46.389598520121694
2019-01-16,-51.48489185349649
2019-01-17,-37.83703200163973
2019-01-18,-48.24191170533538
2019-01-21,-50.03377748310095
2019-01-22,-47.115626371981875
2019-01-23,-45.33566014975111
2019-01-24,-42.0181084460412
2019-01-25,-34.46177244603416
2019-01-28,-36.80046814968364
2019-01-29,-37.245375260818605
2019-01-30,-10.888484149726196
2019-01-31,12.919090813198068
2019-02-01,4.880049035407637
2019-02-04,10.961813479865896
2019-02-05,9.956245776113406
2019-02-06,10.44040785020809
2019-02-07,17.833987405778203
2019-02-08,11.372087850243588
2019-02-11,-0.4007297794016722
2019-02-12,-1.9289822238280294
2019-02-13,-10.366097038644511
2019-02-14,-18.003726816447283
2019-02-15,-24.24619200162192
2019-02-18,-19.568880890520745
2019-02-19,-9.975128297880246
2019-02-20,-2.7560358534360603
2019-02-21,-3.4113862237942385
2019-02-22,3.798417479920886
2019-02-25,-2.210831112709002
2019-02-26,7.772132146567401
2019-02-27,16.199700739161926
2019-02-28,8.31832251694334
2019-03-01,-9.686774520146514
2019-03-05,12.546699553891358
2019-03-06,2.9171195539003065
2019-03-07,17.038010220571664
2019-03-08,20.26142725762611
2019-03-11,22.278379553926925
2019-03-12,15.643658220521843
2019-03-13,-7.056603409196214
2019-03-14,-16.95682074259048
2019-03-15,-27.998988298173003
2019-03-18,-15.773604150045685
2019-03-19,-8.118724446350143
2019-03-20,-10.086360594482699
2019-03-22,-4.79492118705582
2019-03-25,-12.086058816665627
2019-03-26,-9.073475409299135
2019-03-27,-31.037865335342985
2019-03-28,-14.18217303906863
2019-03-29,-6.547837927903629
2019-04-01,-8.232724001929
2019-04-02,-14.92801733530382
2019-04-03,-20.571810076043334
2019-04-04,-9.821850224142281
2019-04-05,-18.34805111307287
2019-04-08,-21.37677422416175
2019-04-09,-16.91881303899777
2019-04-10,-14.16936815008296
2019-04-11,-20.885463557481557
2019-04-12,-7.797149927846704
2019-04-15,-12.56042133527012
2019-04-16,-22.17750652054235
2019-04-18,-8.363675853808786
2019-04-22,-4.295263112971725
2019-04-23,4.148018813006274
2019-04-24,-9.170220890760334
2019-04-25,-16.8590896314804
2019-04-26,-2.0123441500190893
2019-04-30,29.843698368620835
2019-05-02,27.53377007238396
2019-05-03,33.751321776093846
2019-05-06,31.547085776131212
2019-05-07,29.30474933170308
