Date,Residuals
2018-08-31,-145.92122898554362
2018-09-03,-163.51354315474077
2018-09-04,-172.6085230094027
2018-09-05,-192.0149538038711
2018-09-06,-170.725974496027
2018-09-07,-186.43489155875272
2018-09-10,-205.32198236099248
2018-09-11,-222.11803783478103
2018-09-12,-198.2255085417587
2018-09-14,-191.65771012292475
2018-09-17,-201.05460228760307
2018-09-18,-215.28902740437775
2018-09-19,-200.34872164696367
2018-09-21,-244.59722768239203
2018-09-24,-270.97058449818724
2018-09-25,-237.6305652778342
2018-09-26,-251.87393126174584
2018-09-27,-277.6737042357147
2018-09-28,-278.99134704175276
2018-10-01,-295.83777325216283
2018-10-03,-319.35830876969703
2018-10-04,-340.2501688868315
2018-10-05,-363.5871159784808
2018-10-08,-311.06013776427244
2018-10-09,-307.36906672920395
2018-10-10,-279.8147395641656
2018-10-11,-299.3773503226596
2018-10-12,-251.27160060628466
2018-10-15,-246.47572454970373
2018-10-16,-240.803933995835
2018-10-17,-239.586697633036
2018-10-19,-215.05658777909412
2018-10-22,-242.61434590725207
2018-10-23,-233.54113280204706
2018-10-24,-233.69118041087063
2018-10-25,-223.23388912110067
2018-10-26,-247.80230910699902
2018-10-29,-266.3852640636137
2018-10-30,-277.86778877257757
2018-10-31,-286.0497990343299
2018-11-01,-297.906683880861
2018-11-02,-278.77916741502895
2018-11-05,-279.3137600468053
2018-11-06,-282.8247450323438
2018-11-07,-274.3156247479985
2018-11-09,-273.70463976246015
2018-11-12,-255.44426444178043
2018-11-13,-242.81147700016754
2018-11-14,-280.438060673343
2018-11-15,-248.0067314896844
2018-11-16,-241.01481186152046
2018-11-19,-236.50551215996757
2018-11-20,-242.96154841340285
2018-11-21,-235.56381955783468
2018-11-22,-240.62687246618543
2018-11-26,-242.64620055620867
2018-11-27,-241.14498122649184
2018-11-28,-255.88566962273285
2018-11-29,-205.92762495751435
2018-11-30,-183.25747207880727
2018-12-03,-192.53073279283603
2018-12-04,-192.13693656127316
2018-12-05,-204.06926995082358
2018-12-06,-233.33541879228983
