Date,Residuals
2018-10-05,-625.7557344394436
2018-10-08,-667.8500149239253
2018-10-09,-806.0146340052406
2018-10-10,-515.9833139412522
2018-10-11,-450.2142908378346
2018-10-12,-237.45875434346272
2018-10-15,-241.50055256093947
2018-10-16,-421.48467518444795
2018-10-17,-591.8515935116184
2018-10-19,-626.5872718479313
2018-10-22,-532.1896511669156
2018-10-23,-553.3767708195528
2018-10-24,-589.058651395444
2018-10-25,-621.1896511669156
2018-10-26,-598.2984706595826
2018-10-29,-627.394352606646
2018-10-30,-712.4940323141291
2018-10-31,-895.0303741103644
2018-11-01,-748.3231332053901
2018-11-02,-467.28213571920423
2018-11-05,-383.46257497877195
2018-11-06,-501.0159952484355
2018-11-07,-523.3361965739014
2018-11-09,-379.9270567887179
2018-11-12,-501.1849954769641
2018-11-13,-486.0015363133789
2018-11-14,-161.3151144440153
2018-11-15,-35.98355416063987
2018-11-16,-178.78991426119228
2018-11-19,-179.66941551810032
2018-11-20,-263.8539156323641
2018-11-21,-103.27131439830919
2018-11-22,2.643487704153813
2018-11-26,136.9058075396124
2018-11-27,209.83354718767896
2018-11-28,153.812007493907
2018-11-29,-2.290474773096321
2018-11-30,20.73900360892185
2018-12-03,293.9388663375521
2018-12-04,343.2815682343389
2018-12-05,291.10567026824356
2018-12-06,-16.412369082735495
2018-12-07,35.183489989438385
2018-12-10,126.46267095382973
2018-12-11,20.098989875174993
2018-12-12,39.011767274520025
2018-12-13,194.08592650666378
2018-12-14,195.85174668491527
2018-12-17,272.42058676718625
2018-12-18,234.98162543257968
2018-12-19,337.9367043630655
2018-12-20,142.58542319299977
2018-12-21,-53.981895499817256
2018-12-24,-100.03889618540325
2018-12-26,-55.16067609856145
2018-12-27,-165.55209682528312
2018-12-28,-200.93413754743233
2018-12-31,-242.5404175748563
2019-01-01,-73.01861478680803
2019-01-02,-117.78107189363618
2019-01-03,-60.29122975460905
2019-01-04,-67.6107104219127
2019-01-07,39.44826921701224
2019-01-08,148.8020097791923
2019-01-09,187.15796951409902
2019-01-10,50.06352888336096
2019-01-11,6.457809367841037
2019-01-14,112.03626967406944
2019-01-15,46.29540945925237
2019-01-16,4.7673495186700166
2019-01-17,-12.808491249185863
2019-01-18,7.335228723390173
2019-01-21,-118.09243085154685
2019-01-22,-144.5527488587768
2019-01-23,-102.37960770242353
2019-01-24,-114.70162783496926
2019-01-25,-570.3127465734924
2019-01-28,-518.452325618242
2019-01-29,-484.914485307444
2019-01-30,-510.30288613014636
2019-01-31,-424.66552625812255
2019-02-01,-146.83198702140726
2019-02-04,-48.56496574621906
2019-02-05,2.624613298532495
2019-02-06,39.51109236613502
2019-02-07,128.57301183594973
2019-02-08,57.79989355448379
2019-02-11,280.6814767127489
2019-02-12,259.3157366076257
2019-02-13,162.41645726578827
2019-02-14,188.49841791480867
2019-02-15,136.58347854097792
2019-02-18,64.01813880149894
2019-02-19,-15.113901920650278
2019-02-20,25.30787799250811
2019-02-21,-26.414062066908627
2019-02-22,20.109696799589074
2019-02-25,11.34053642480194
2019-02-26,-12.372023630043259
2019-02-27,26.66811592661088
2019-02-28,-58.95898313642283
2019-03-01,26.778136516213635
2019-03-05,172.80555587176332
2019-03-06,100.80221567522858
2019-03-07,6.03217449602198
2019-03-08,-46.758285353149404
2019-03-11,10.89687365046575
2019-03-12,50.66181302429777
2019-03-13,3.705933362520227
2019-03-14,-9.862986792878473
2019-03-15,-57.29510758815832
2019-03-18,-184.4691867471729
2019-03-19,-289.1195871128193
2019-03-20,-384.74350612557555
2019-03-22,-506.63102614385843
2019-03-25,-463.06710484581527
2019-03-26,-425.9051053028734
2019-03-27,-444.06352442989373
2019-03-28,-344.5443640551075
2019-03-29,-361.36178569594176
2019-04-01,-125.77298450759372
2019-04-02,-116.71750521146168
2019-04-03,119.13663571636334
2019-04-04,185.7933961825629
2019-04-05,155.23353573921668
2019-04-08,131.33265493479666
2019-04-09,214.02319485709722
2019-04-10,171.37295463770988
2019-04-11,159.9039544091811
2019-04-12,286.63153391098876
2019-04-15,270.34353345393174
2019-04-16,350.9742930060156
2019-04-18,357.7715133213851
2019-04-22,289.93201434976345
2019-04-23,57.26715504906042
2019-04-24,12.616914829673078
2019-04-25,-83.27028489609256
2019-04-26,-116.10096437504671
2019-04-30,-219.14642308157545
2019-05-02,-205.40898313642265
2019-05-03,-178.1402231272814
2019-05-06,-140.62074245997792
2019-05-07,-135.30174223144968
2019-05-08,-112.70968091969553
2019-05-09,-157.6225612670596
2019-05-10,-168.0916415687161
2019-05-13,-198.09990054947957
2019-05-14,-148.27144024325116
2019-05-15,-206.85847982275845
2019-05-16,-198.1330394205488
2019-05-17,-45.63448073687232
2019-05-20,157.81215619170416
2019-05-21,21.707317480605525
2019-05-22,38.894677352629515
2019-05-23,73.79165744861075
2019-05-24,103.07343507648329
2019-05-27,6.265793805865542
2019-05-28,38.11667461028628
2019-05-29,-133.3834855359719
2019-05-30,-102.9230645807229
2019-05-31,-24.77472324154496
2019-06-03,95.33401617799154
2019-06-04,137.98115642023276
2019-06-06,161.25469794223227
2019-06-07,69.18807703268885
2019-06-10,75.84403676759484
2019-06-11,136.5887976908507
2019-06-12,34.41113811591367
2019-06-13,-78.79912269307715
2019-06-14,-96.38624234571398
2019-06-17,-198.84752123049475
2019-06-18,-345.9069813081942
2019-06-19,-304.4902803255218
2019-06-20,-174.64148142245813
2019-06-21,-375.6977614498819
2019-06-24,-371.43600212632646
2019-06-25,-344.1116827479236
2019-06-26,-395.90874291703494
2019-06-27,-464.21018423335954
2019-06-28,-403.0318040002612
2019-07-01,-453.95414442532274
2019-07-02,-434.2266449966446
2019-07-03,-475.9894452708786
2019-07-04,-480.3834855359719
2019-07-05,-508.68672278448776
2019-07-08,-797.823602217738
2019-07-09,-874.7326619297919
2019-07-10,-834.9596809196955
2019-07-11,-796.5046820623384
2019-07-12,-844.5825818566627
2019-07-15,-736.0732018520921
2019-07-16,-611.2941810339598
2019-07-17,-667.9655605814733
