Date,Residuals
2018-10-05,-1761.7967697317226
2018-10-08,-1743.0346121962475
2018-10-09,-1711.7128870226097
2018-10-10,-1169.261945252636
2018-10-11,-1541.1640571221897
2018-10-12,-1317.8598833227124
2018-10-15,-1497.7288045549758
2018-10-16,-1473.6777486201981
2018-10-17,-1751.2230967929645
2018-10-19,-1719.6058593421276
2018-10-22,-1882.2845123169864
2018-10-23,-1965.6985177383203
2018-10-24,-1742.0617312085724
2018-10-25,-1768.1374161376234
2018-10-26,-1733.4899560953036
2018-10-29,-1721.4018496470835
2018-10-30,-1742.503961516638
2018-10-31,-1724.6896421719794
2018-11-01,-1737.1662332169153
2018-11-02,-1595.490020320476
2018-11-05,-1549.5938801966277
2018-11-06,-1527.198268040168
2018-11-07,-1489.1132794566493
2018-11-09,-1411.6779769498044
2018-11-12,-1566.7593696408658
2018-11-13,-1544.5860605650632
2018-11-14,-1535.68083083081
2018-11-15,-1513.844522328819
2018-11-16,-1417.3963702146793
2018-11-19,-1387.0331567444273
2018-11-20,-1426.977498922046
2018-11-21,-1263.6565157598607
2018-11-22,-1392.2246450410403
2018-11-26,-1375.731094814504
2018-11-27,-1232.3012860256067
2018-11-28,-1297.298746067927
2018-11-29,-1107.1322006889113
2018-11-30,-1121.319729230112
2018-12-03,-1117.7288188405173
2018-12-04,-1047.7770208942884
2018-12-05,-1214.8290828242116
2018-12-06,-1458.2680811027749
2018-12-07,-1259.859269761606
2018-12-10,-1418.0691513230931
2018-12-11,-1283.1623876263056
2018-12-12,-1118.6416185081835
2018-12-13,-947.1985962490353
2018-12-14,-932.0302529237915
2018-12-17,-1019.8574218757458
2018-12-18,-953.1584278708924
2018-12-19,-694.1793111538173
2018-12-20,-695.896170456157
2018-12-21,-744.8234392873719
2018-12-24,-828.0239173151303
2018-12-26,-661.8119738237192
2018-12-27,-697.8190015042019
2018-12-28,-596.3658336998724
2018-12-31,-618.6810591604162
2019-01-01,-574.7872948898157
2019-01-02,-715.9769852401996
2019-01-03,-718.7314230233706
2019-01-04,-689.6218054455776
2019-01-07,-689.3028342736843
2019-01-08,-652.2649918091583
2019-01-09,-696.2940086469725
2019-01-10,-720.9786833071685
2019-01-11,-717.0433808003236
2019-01-14,-721.8846051132432
2019-01-15,-577.823931600673
2019-01-16,-624.0962346813285
2019-01-17,-731.1314872485427
2019-01-18,-842.0646778858345
2019-01-21,-701.930909341524
2019-01-22,-651.7368810872294
2019-01-23,-594.3581282331097
2019-01-24,-680.3977686438639
2019-01-25,-768.23381316216
2019-01-28,-1046.9277272516529
2019-01-29,-869.0762432287474
2019-01-30,-853.3301031048995
2019-01-31,-1008.9619738237197
2019-02-01,-1006.0928385473935
2019-02-04,-1090.8401987104517
2019-02-05,-1083.9674176020362
2019-02-06,-896.7949504169474
2019-02-07,-842.4520423226013
2019-02-08,-912.2199076200877
2019-02-11,-1002.8261932891173
2019-02-12,-1000.2266713168756
2019-02-13,-969.5297891815753
2019-02-14,-1056.506908193899
2019-02-15,-1069.4699076200877
2019-02-18,-1209.0903628148853
2019-02-19,-1124.9486604742078
2019-02-20,-1096.1696436363936
2019-02-21,-920.7312232648483
2019-02-22,-893.8967626487183
2019-02-25,-755.5542683569574
2019-02-26,-639.8361890154083
2019-02-27,-675.5124019118466
2019-02-28,-629.3882509453315
2019-03-01,-650.3848690969371
