Date,Residuals
2018-08-31,68.93078814090791
2018-09-03,5.4508083536222784
2018-09-04,9.565825990206577
2018-09-05,-109.29932045289138
2018-09-06,-129.83437613693832
2018-09-07,-170.87444034203122
2018-09-10,-188.53438604513167
2018-09-11,-177.80432104738293
2018-09-12,-185.3593771277574
2018-09-14,-187.95439436801394
2018-09-17,-213.58937078651365
2018-09-18,-267.82434918665217
2018-09-19,-422.28941240092604
2018-09-21,-443.33440189824114
2018-09-24,-447.8242996456854
2018-09-25,-378.94428418890357
2018-09-26,-345.6793042034544
2018-09-27,-385.23923801672277
2018-09-28,-407.469188079428
2018-10-01,-471.8542774513321
2018-10-03,-451.10920274355453
2018-10-04,-430.6391607328144
2018-10-05,-403.9791100028642
2018-10-08,-422.4090957350659
2018-10-09,-414.4240677939606
2018-10-10,-413.4841938261802
2018-10-11,-376.6641637052726
2018-10-12,-364.49918570146156
2018-10-15,-345.8391785675624
2018-10-16,-348.1991936280165
2018-10-17,-381.3091849088062
2018-10-19,-362.2190929607716
2018-10-22,-379.16917222631855
2018-10-23,-355.5341601383227
2018-10-24,-350.5941593456673
2018-10-25,-356.80413081007055
2018-10-26,-375.7141696501885
2018-10-29,-359.89918768310054
2018-10-30,-351.42915756219236
2018-10-31,-344.53421166092835
2018-11-01,-352.0992828017568
2018-11-02,-354.3193188675805
2018-11-05,-374.0543388821311
2018-11-06,-402.1093513664548
2018-11-07,-389.46936246363134
2018-11-09,-427.6994155715479
2018-11-12,-416.0893806947072
2018-11-13,-421.79437534428257
2018-11-14,-430.13941240092595
2018-11-15,-443.42444232367006
2018-11-16,-432.31941596787556
2018-11-19,-429.50941676053094
2018-11-20,-414.12438485614825
2018-11-21,-405.0993838653292
2018-11-22,-398.23438802677015
2018-11-26,-356.57440863581246
2018-11-27,-359.8444209219722
2018-11-28,-355.5843820818543
2018-11-29,-323.70935532973203
2018-11-30,-298.15938307267356
2018-12-03,-251.64936603058118
2018-12-04,-227.64935414074898
2018-12-05,-244.73436226546733
2018-12-06,-214.4442564459623
2018-12-07,-301.1994571859598
2018-12-10,-327.19442884852697
2018-12-11,-324.0244502502246
2018-12-12,-295.93948373991816
2018-12-13,-316.3494968187333
2018-12-14,-287.67445817677935
2018-12-17,-290.10448354175423
2018-12-18,-278.2995067269269
2018-12-19,-331.98458420899897
2018-12-20,-349.4895689503812
2018-12-21,-351.3095178241035
2018-12-24,-395.9345485395029
2018-12-26,-433.5045687522172
2018-12-27,-401.659543585406
2018-12-28,-387.9395887667679
2018-12-31,-421.38963434445736
2019-01-01,-406.0396204729866
2019-01-02,-396.91457984939393
2019-01-03,-373.014554088091
2019-01-04,-379.10457866041065
2019-01-07,-414.56962403993634
2019-01-08,-437.18963830773487
2019-01-09,-427.2146373169153
2019-01-10,-433.3746682304786
2019-01-11,-467.2047213383951
2019-01-14,-471.5446963697477
2019-01-15,-490.9947360025212
2019-01-16,-487.74471816777327
2019-01-17,-480.76970330548306
2019-01-18,-460.90968031847456
2019-01-21,-494.1547490813366
2019-01-22,-483.56973897497915
2019-01-23,-511.22973620068524
2019-01-24,-513.0097338227188
2019-01-25,-533.2897076650881
2019-01-28,-531.1746067996799
2019-01-29,-503.3045528991079
2019-01-30,-526.8395729136585
2019-01-31,-535.6045687522173
2019-02-01,-524.9245414056036
2019-02-04,-550.2745790567385
2019-02-05,-534.499566176087
2019-02-06,-524.7545112846958
2019-02-07,-575.9646353352766
2019-02-08,-584.4146432618313
2019-02-11,-583.0095911447343
2019-02-12,-597.4346218601338
2019-02-13,-578.7596149243984
2019-02-14,-626.9946785349998
2019-02-15,-611.0146432618312
2019-02-18,-608.3696517828776
2019-02-19,-619.9546460361255
2019-02-20,-601.5796470269449
2019-02-21,-608.8847070705965
2019-02-22,-612.0147106375464
2019-02-25,-622.0947161861345
2019-02-26,-595.3546737790668
2019-02-27,-576.3846377132429
2019-02-28,-576.3396819037853
2019-03-01,-540.6296926046343
2019-03-05,-544.0748465779593
2019-03-06,-510.49483904773206
2019-03-07,-526.9498594586105
2019-03-08,-531.2698519283836
2019-03-11,-561.6899434800903
2019-03-12,-548.4149385259934
2019-03-13,-555.054935355372
2019-03-14,-553.6899494250063
2019-03-15,-548.6699549735947
2019-03-18,-560.779950217662
2019-03-19,-572.8449579460528
2019-03-20,-576.9799403094685
2019-03-22,-572.2849448672373
2019-03-25,-584.4149325810777
2019-03-26,-592.9699510103171
2019-03-27,-561.7049432819263
2019-03-28,-563.4050066943641
2019-03-29,-561.7600290868809
2019-04-01,-537.110023141965
2019-04-02,-529.2100350317969
2019-04-03,-523.6900049108895
2019-04-04,-521.7499922284019
2019-04-05,-545.875034833633
2019-04-08,-567.0450213584902
2019-04-09,-543.5250209621622
2019-04-10,-546.5100072888556
2019-04-11,-528.6150098649857
2019-04-12,-517.5150296813727
2019-04-15,-504.8450094686582
2019-04-16,-512.3850221511459
2019-04-18,-511.0150316630111
2019-04-22,-475.2999248526867
2019-04-23,-466.4349151426575
2019-04-24,-454.27991454816583
2019-04-25,-424.0948885886992
2019-04-26,-442.5749357516995
2019-04-30,-368.98995536992265
2019-05-02,-363.004947245204
2019-05-03,-406.2449658726075
2019-05-06,-419.1499407057963
2019-05-07,-372.4198340936357
2019-05-08,-369.9548144754126
2019-05-09,-379.35483429179953
2019-05-10,-379.8598606475939
2019-05-13,-396.16475819687435
2019-05-14,-433.86484935225326
2019-05-15,-424.48485569349714
2019-05-16,-442.7598765007033
2019-05-17,-433.86988561624116
2019-05-20,-456.1750387969105
2019-05-21,-445.67504474182647
2019-05-22,-397.3300413730408
2019-05-23,-360.2500477142844
2019-05-24,-382.5651327265839
2019-05-27,-404.1651545246093
2019-05-28,-363.2801028038398
2019-05-29,-354.94508278928924
2019-05-30,-380.5901297541254
2019-05-31,-383.03016819791605
2019-06-03,-356.97013530271397
2019-06-04,-336.4301483815293
2019-06-06,-317.4300968589239
2019-06-07,-276.44002869055316
2019-06-10,-309.93013252842
2019-06-11,-298.7601440219239
2019-06-12,-272.48011865694934
2019-06-13,-244.5651327265839
2019-06-14,-190.7451026056758
2019-06-17,-173.02005009225104
2019-06-18,-297.61005484818406
2019-06-19,-282.1850043163977
2019-06-20,-287.12505861329714
2019-06-21,-236.84006039677206
2019-06-24,-160.1950253217674
2019-06-25,-183.65512361104606
2019-06-26,-157.92512598901226
2019-06-27,-100.57512598901212
2019-06-28,-83.70014481457974
2019-07-01,-41.23009091400809
2019-07-02,-132.94511845878537
2019-07-03,-109.03511330652464
2019-07-04,-99.09506495454093
2019-07-05,-138.6800691159824
2019-07-08,-168.18497459181754
2019-07-09,-147.60502452911214
2019-07-10,-134.17499123758216
2019-07-11,-178.92003622078005
2019-07-12,-152.97503681527178
2019-07-15,-157.0350201695071
2019-07-16,-132.81509309381022
2019-07-17,-50.69010002954565
2019-07-18,56.74492989319833
2019-07-19,238.890008564254
2019-07-22,106.65996536453031
2019-07-23,58.874994890947164
2019-07-24,11.325070193216561
2019-07-25,30.17005176397697
2019-07-26,141.34006801341366
2019-07-29,122.88507336383827
2019-07-30,62.91502540818237
2019-07-31,66.54500123219032
2019-08-01,49.749991918489286
2019-08-02,47.69994832243856
2019-08-05,-34.845017395212835
2019-08-06,-33.835065747196495
2019-08-07,7.6499265244128765
2019-08-08,34.064892638391484
2019-08-09,77.38484151211378
2019-08-13,149.19503293840944
2019-08-14,107.4749770561989
2019-08-16,133.07489382737504
2019-08-19,175.83991542723606
2019-08-20,167.80995149306
2019-08-21,112.569988351539
2019-08-22,72.545040864964
2019-08-23,86.24498537908084
2019-08-26,132.4799360362781
2019-08-27,282.05989204390016
2019-08-28,291.9949417830303
2019-08-29,336.4149699222994
2019-08-30,470.6500038083209
2019-09-03,572.1100069789431
2019-09-04,523.680076732624
2019-09-05,551.3550697968885
2019-09-06,567.1850911985864
2019-09-09,565.9150055917953
2019-09-11,581.4700160944808
2019-09-12,590.0250206522496
2019-09-13,598.270037892506
2019-09-16,588.1700339292288
2019-09-17,516.310060483187
2019-09-18,588.5150690042333
2019-09-19,564.8950943692082
2019-09-20,674.4249156254004
2019-09-23,811.0248541946012
2019-09-24,707.894676243448
2019-09-25,679.304758679617
2019-09-26,641.5597117147804
