Date,Residuals
2018-08-31,-159.73683116941515
2018-09-03,-142.4784692648011
2018-09-04,-127.8415305377423
2018-09-05,-141.4318717335018
2018-09-06,-127.04420914164166
2018-09-07,-164.86962478365285
2018-09-10,-199.82148341081734
2018-09-11,-208.34869548991787
2018-09-12,-198.89067663914807
2018-09-14,-159.73246172925633
2018-09-17,-200.20780952754922
2018-09-18,-220.87596975909332
2018-09-19,-243.36070680514285
2018-09-21,-224.6555400028219
2018-09-24,-329.61636567289474
2018-09-25,-274.99417340139325
2018-09-26,-282.01343447344175
2018-09-27,-308.72857304724175
2018-09-28,-278.59163432018295
2018-10-01,-224.82637701987596
2018-10-03,-236.1047408222696
2018-10-04,-254.52692744012802
2018-10-05,-318.6506748604527
2018-10-08,-352.1238718605248
2018-10-09,-310.94957401994816
2018-10-10,-303.1839415623276
2018-10-11,-343.8838397967504
2018-10-12,-299.0827785317483
2018-10-15,-296.5766296154293
2018-10-16,-279.00368521091036
2018-10-17,-281.3460584783836
2018-10-19,-344.65850148735444
2018-10-22,-345.8472649197188
2018-10-23,-319.2534307969672
2018-10-24,-266.30531769234767
2018-10-25,-308.4667729336777
2018-10-26,-304.92188885321025
2018-10-29,-315.93184548214936
2018-10-30,-341.34386810466094
2018-10-31,-255.0439642165952
2018-11-01,-260.1701489525524
2018-11-02,-198.4931498935032
2018-11-05,-233.59772670006987
2018-11-06,-219.65226393113426
2018-11-07,-210.435692770272
2018-11-09,-216.39724412353598
2018-11-12,-235.35632423930792
2018-11-13,-207.6860132095435
2018-11-14,-193.21863337923196
2018-11-15,-178.82772480229073
2018-11-16,-147.29299906352708
2018-11-19,-138.04488030526454
2018-11-20,-155.40178700824367
2018-11-21,-162.00791896363285
2018-11-22,-155.35951368795781
2018-11-26,-140.06455611012893
2018-11-27,-113.94228468762253
2018-11-28,-91.26076535843845
2018-11-29,-66.96507826216543
2018-11-30,-37.18488975446621
2018-12-03,-45.407082025968066
2018-12-04,-86.49852406223226
2018-12-05,-50.47604527331805
2018-12-06,-73.63108769548921
2018-12-07,-66.88187940400849
2018-12-10,-108.74254859046232
2018-12-11,-113.1209180464989
2018-12-12,-82.29341379634297
2018-12-13,-82.70626770287618
2018-12-14,-117.7399321766377
2018-12-17,-62.52924602925418
2018-12-18,-72.73541190650258
2018-12-19,-49.90392084553423
2018-12-20,-57.74858059866415
2018-12-21,-84.2135570352018
2018-12-24,-131.08067296267336
2018-12-26,-100.69057305518072
2018-12-27,-83.65419605566058
2018-12-28,-57.229370409404055
2018-12-31,-70.47002639079233
2019-01-01,-30.762013193665553
2019-01-02,-55.52829218347233
2019-01-03,-95.35526297430579
2019-01-04,-64.61413007002693
2019-01-07,-58.81515175952654
2019-01-08,-74.78121207563913
2019-01-09,-41.09968143916876
2019-01-10,-53.387894451281
2019-01-11,-41.51783601706961
2019-01-14,-62.250978338794766
2019-01-15,-44.167330825962836
2019-01-16,-63.15264090683786
2019-01-17,-34.697570216450686
2019-01-18,-26.02264845826039
2019-01-21,-27.414618300203983
2019-01-22,-56.458503305744216
2019-01-23,-78.90851461303055
2019-01-24,-62.5755966186432
2019-01-25,-55.2812064219961
2019-01-28,-77.23406977773107
2019-01-29,-98.62922906832455
2019-01-30,-131.71930636124466
2019-01-31,-92.186927479823
2019-02-01,-61.827376094803185
2019-02-04,-41.282160267777726
2019-02-05,-42.77578137047817
2019-02-06,-36.239685234727176
2019-02-07,-59.13143640297653
2019-02-08,-82.05280869774333
2019-02-11,-72.37120456391153
2019-02-12,-119.66108014406677
2019-02-13,-95.03836006688539
2019-02-14,-126.16270313660743
2019-02-15,-148.62577571683505
2019-02-18,-149.71856553551402
2019-02-19,-171.31669560106297
2019-02-20,-155.5076154852909
2019-02-21,-137.53304243458797
2019-02-22,-146.29645241501657
2019-02-25,-140.24967013188234
2019-02-26,-180.7034100007843
2019-02-27,-193.41945335596733
2019-02-28,-193.7825598580539
2019-03-01,-178.69221300865092
2019-03-05,-184.30857680310555
2019-03-06,-167.19714982999153
2019-03-07,-172.0720150517502
2019-03-08,-168.6947464362181
2019-03-11,-160.28703671743347
2019-03-12,-126.24852022697905
2019-03-13,-103.42951740412673
2019-03-14,-100.62633926276362
2019-03-15,-82.39451645523741
2019-03-18,-94.33167950963343
2019-03-19,-89.60815641664658
2019-03-20,-66.94315736553631
2019-03-22,-72.49128177744228
2019-03-25,-106.50035623957092
2019-03-26,-109.64263521350017
2019-03-27,-136.26857300754682
2019-03-28,-116.05310268718881
2019-03-29,-97.09164744585905
2019-04-01,-100.84615075506417
2019-04-02,-60.76082371326015
2019-04-03,-41.21935906242334
2019-04-04,-12.992360003373733
2019-04-05,4.241063182120342
2019-04-08,-2.054141337618148
2019-04-09,12.637306352289215
2019-04-10,-30.57528930504759
2019-04-11,-35.86084067418983
2019-04-12,-34.02715358585533
2019-04-15,-45.92288591127408
2019-04-16,-32.36405273741207
2019-04-18,-53.70815641664649
2019-04-22,-96.63055605455611
2019-04-23,-115.05889158873401
2019-04-24,-72.59849195876313
2019-04-25,-95.721200728658
2019-04-26,-62.95292742425022
2019-04-30,-42.39701979619849
2019-05-02,-20.36680867392647
2019-05-03,-27.922126306223845
2019-05-06,-65.34749671908912
2019-05-07,-64.6087276330818
2019-05-08,-94.95520643787404
2019-05-09,-110.30921020961591
2019-05-10,-94.46055799203032
2019-05-13,-67.62601700510209
2019-05-14,-57.08485583260722
2019-05-15,-77.01506695487888
2019-05-16,-73.42062587544342
2019-05-17,-27.863191366784804
2019-05-20,90.20783787413757
2019-05-21,86.34076152216835
2019-05-22,113.6787558605863
2019-05-23,90.55095943937454
2019-05-24,97.26724973646787
2019-05-27,139.89372664348093
2019-05-28,121.7624372952771
2019-05-29,124.25096509301738
2019-05-30,158.33329309165083
2019-05-31,154.86964182295515
2019-06-03,202.64531006051902
2019-06-04,197.12553249007715
2019-06-06,166.6432666815192
2019-06-07,191.16864274802765
2019-06-10,173.04777564436813
2019-06-11,165.7958774417009
2019-06-12,160.5480395472075
2019-06-13,179.85555886051407
2019-06-14,168.51144387399313
2019-06-17,160.56603198784615
2019-06-18,149.67306307097533
2019-06-19,181.06191130798766
2019-06-20,195.28348531551887
2019-06-21,136.1521959673155
2019-06-24,140.57462387344117
2019-06-25,167.39095939968
2019-06-26,164.10915355308293
2019-06-27,187.24975865168244
2019-06-28,183.54521011333168
2019-07-01,236.05215073816998
2019-07-02,272.60135902965067
2019-07-03,262.9898133300296
2019-07-04,271.51445987809416
2019-07-05,267.18555696273484
2019-07-08,253.36608287063473
2019-07-09,221.193311910665
2019-07-10,219.8452157669749
2019-07-11,252.14947778791338
2019-07-12,249.3112534685149
2019-07-15,247.64646743745539
2019-07-16,262.68633171032457
2019-07-17,270.4633251157302
2019-07-18,333.5050762839801
2019-07-19,297.9463053001932
2019-07-22,181.34496882506483
2019-07-23,135.05835619092068
2019-07-24,188.5736643740163
2019-07-25,200.3792854846556
2019-07-26,167.52230528431505
2019-07-29,151.3145559900281
2019-07-30,129.69664270039425
2019-07-31,122.80759275061746
2019-08-01,90.82820725872398
2019-08-02,130.0100357198935
2019-08-05,158.88090282355301
2019-08-06,197.16780762875305
2019-08-07,185.60312901691395
2019-08-08,188.96298953391943
2019-08-09,215.31670678824867
2019-08-13,107.01325909040202
2019-08-14,121.72473129266132
2019-08-16,102.85333072967887
2019-08-19,115.91615636799634
2019-08-20,93.07151357579573
2019-08-21,69.71857106905645
2019-08-22,20.97154749765491
2019-08-23,46.76670113460523
2019-08-26,144.31396599427353
2019-08-27,165.4949405568491
2019-08-28,182.126791632591
2019-08-29,117.44813000549834
2019-08-30,152.0555871287297
2019-09-03,79.80883311381149
2019-09-04,91.37836374234303
2019-09-05,36.154840649356174
2019-09-06,37.3583505372776
2019-09-09,59.473585223011696
2019-09-11,60.747326989692965
2019-09-12,72.9021507381699
2019-09-13,78.27758899475339
2019-09-16,41.400050822738194
2019-09-17,-3.962471337237048
2019-09-18,-11.825572185680585
2019-09-19,-21.28489358971956
2019-09-20,47.55462762930506
2019-09-23,160.44580576272938
2019-09-24,128.22681990080696
2019-09-25,69.88699520344016
2019-09-26,60.68296316348233
2019-09-27,42.625556923039994
2019-09-30,-9.679198981718855
2019-10-01,6.397249657078419
2019-10-03,-8.195741874365467
2019-10-04,-5.982118873885611
2019-10-07,-7.008252727054241
2019-10-09,31.778163847968244
2019-10-10,19.36534386329413
2019-10-11,42.01374348532613
2019-10-14,45.814271291005525
2019-10-15,44.40945884981488
2019-10-16,79.81988674800164
2019-10-17,114.39416197400578
2019-10-18,112.97646170442272
2019-10-22,124.83734956457101
2019-10-23,150.08224495232457
2019-10-24,151.92235051346051
2019-10-25,117.60852580021628
2019-10-27,120.83151543388044
2019-10-29,124.00233165475197
2019-10-30,116.24723269614856
2019-10-31,141.57317614383896
2019-11-01,133.13917426987632
2019-11-04,186.81244476731035
2019-11-05,188.84588491373415
2019-11-06,226.6720753033344
2019-11-07,252.62979067576248
2019-11-08,236.45306682683895
2019-11-11,237.4902298812358
2019-11-13,208.37764553118495
2019-11-14,231.33569830381452
2019-11-15,227.97045231079392
2019-11-18,241.7464014121274
2019-11-19,216.409760509767
2019-11-20,204.35948529964094
2019-11-21,214.44772657996896
2019-11-22,240.6955814353921
2019-11-25,292.9367143396712
2019-11-26,308.94933261158053
2019-11-27,340.4568180030278
2019-11-28,310.9904824767889
2019-11-29,298.1463618366249
2019-12-02,306.82202442054586
2019-12-03,326.46379254972476
2019-12-04,331.5483052684374
2019-12-05,335.67289528006995
2019-12-06,277.1109009257741
2019-12-09,323.60367943716665
2019-12-10,309.8702788662449
2019-12-11,334.7574306133549
2019-12-12,329.9619621907759
2019-12-13,364.63547963012
2019-12-16,386.8175776477724
2019-12-17,441.4694475822232
2019-12-18,457.9967331586852
2019-12-19,425.2159885770907
2019-12-20,417.051012140553
2019-12-23,434.8641073353533
2019-12-24,424.9154438104815
2019-12-26,426.7625069573851
2019-12-27,457.38951732372084
2019-12-30,454.81601684530665
2019-12-31,433.3914551018902
2020-01-01,453.87727602751465
2020-01-02,487.147604018209
2020-01-03,475.267123339454
2020-01-06,409.3976435937111
2020-01-07,438.85297818693834
2020-01-08,430.42223360534376
2020-01-09,481.53667092891556
2020-01-10,483.66449561834315
2020-01-13,489.3979244574807
2020-01-14,518.6126256838922
2020-01-15,508.5481318238883
2020-01-16,501.32513088293763
2020-01-17,467.57187359056957
2020-01-20,470.8360696258744
2020-01-21,480.1946106286805
2020-01-22,431.5740243887899
2020-01-23,437.90632977285054
2020-01-24,461.0349461707972
2020-01-27,404.6076605943356
2020-01-28,441.5999169536917
2020-01-29,412.66487642929974
2020-01-30,432.0491761279611
2020-01-31,433.332885830868
2020-02-01,294.13508185823366
2020-02-03,293.46295743044993
2020-02-04,374.03189240958363
2020-02-05,416.97892728827173
2020-02-06,454.0449027997363
2020-02-07,421.138467366005
2020-02-10,433.37218837619844
2020-02-11,453.3427689624457
2020-02-12,458.10428639385054
2020-02-13,423.9179207016168
2020-02-14,422.09786792104865
2020-02-17,370.5283485998034
2020-02-18,339.7422581176959
2020-02-19,394.6467727341874
2020-02-20,385.01975106056534
2020-02-24,310.0547972386007
2020-02-25,325.5444145695592
2020-02-26,308.8401751631934
2020-02-27,301.9086445267228
2020-02-28,211.67714781211157
2020-03-02,212.08380191953734
2020-03-03,217.56315914321476
2020-03-04,233.78777176942003
2020-03-05,222.51664641656362
2020-03-06,145.66565299527906
2020-03-09,70.3515361109794
2020-03-11,77.7039338511097
2020-03-12,-69.67215477291347
2020-03-13,122.11956247347712
2020-03-16,-92.65200588041148
2020-03-17,-178.42473161123598
2020-03-18,-308.08405866891826
2020-03-19,-309.6727994867101
2020-03-20,-166.89921420364794
2020-03-23,-397.3336816932149
2020-03-24,-411.4772519131268
2020-03-25,-274.59413220597435
2020-03-26,-196.8696156917033
2020-03-27,-178.26776271818198
2020-03-30,-373.91054688321765
2020-03-31,-305.4557853248157
2020-04-01,-354.84722736107983
2020-04-03,-437.1009559226957
2020-04-07,-381.49747995663324
2020-04-08,-379.4464243452744
2020-04-09,-236.7697004963511
2020-04-13,-281.9584469677859
