Date,Residuals
2018-10-05,-97.16743387460895
2018-10-08,-93.30973290972759
2018-10-09,-98.06923387478696
2018-10-10,-85.1455751867158
2018-10-11,-92.81406823748728
2018-10-12,-85.15312094014308
2018-10-15,-91.20698329535077
2018-10-16,-84.14473271591464
2018-10-17,-89.33183812211627
2018-10-19,-88.09590453208654
2018-10-22,-76.41457653984617
2018-10-23,-80.7409653428432
2018-10-24,-81.66306264005391
2018-10-25,-83.51393677156727
2018-10-26,-87.9828790493566
2018-10-29,-54.53371360497982
2018-10-30,-58.18893889460884
2018-10-31,-49.34369545776917
2018-11-01,-50.556291789920465
2018-11-02,-49.83604623003919
2018-11-05,-54.78438928005403
2018-11-06,-51.29547962759108
2018-11-07,-48.52566321828846
2018-11-09,-47.83129391296205
2018-11-12,-52.28022499410446
2018-11-13,-43.77671630678998
2018-11-14,-38.07600105582554
2018-11-15,-34.678432909104515
2018-11-16,-37.28750472358524
2018-11-19,-42.482851634727695
2018-11-20,-46.769134646567466
2018-11-21,-47.83502113315495
2018-11-22,-52.48981727220536
2018-11-26,-48.0110045311074
2018-11-27,-49.33764352769492
2018-11-28,-45.13655877848129
2018-11-29,-42.10135260067716
2018-11-30,-49.271514762695006
2018-12-03,-48.920370361151924
2018-12-04,-46.461787349579254
2018-12-05,-52.92238097903032
2018-12-06,-56.49356823793238
2018-12-07,-51.89421592138933
2018-12-10,-57.6211927555139
2018-12-11,-61.29993792910443
2018-12-12,-54.319595457858156
2018-12-13,-54.812721133421974
2018-12-14,-52.34270202159706
2018-12-17,-45.83547402926769
2018-12-18,-42.111862832264706
2018-12-19,-38.14453001339234
2018-12-20,-42.52929121026182
2018-12-21,-50.494311480514
2018-12-24,-51.96147750365941
2018-12-26,-48.89480819860006
2018-12-27,-49.03158001334788
2018-12-28,-44.12398252276921
2018-12-31,-44.7915022138078
2019-01-01,-41.23026881607785
2019-01-02,-40.23278406722022
2019-01-03,-41.419277696760275
2019-01-04,-39.675413024698
2019-01-07,-36.94910761956447
2019-01-08,-24.582076731433915
2019-01-09,-22.577491210083735
2019-01-10,-25.22206321793243
2019-01-11,-26.148602986300318
2019-01-14,-31.28823580490564
2019-01-15,-32.08850607493537
2019-01-16,-29.614036576775163
2019-01-17,-30.359097387531847
2019-01-18,-32.69674333379294
2019-01-21,-32.955258777858205
2019-01-22,-35.76962344947543
2019-01-23,-37.473124221611954
2019-01-24,-39.92978792834782
2019-01-25,-47.50532634536563
2019-01-28,-60.78711514889676
2019-01-29,-57.35522287106289
2019-01-30,-38.16489063184923
2019-01-31,-39.492153566359605
2019-02-01,-49.64362789026177
2019-02-04,-49.60801630741304
2019-02-05,-51.688831751211296
2019-02-06,-45.03940395198276
2019-02-07,-45.87837325677515
2019-02-08,-49.34282924143383
2019-02-11,-54.14048870119643
2019-02-12,-60.060861480914525
2019-02-13,-64.6449074268196
2019-02-14,-60.49940955030627
2019-02-15,-62.16208136514308
2019-02-18,-65.60499642300653
2019-02-19,-61.1131502840006
2019-02-20,-59.2142192028582
2019-02-21,-53.23667016796202
2019-02-22,-52.6806462295051
2019-02-25,-49.173990437947225
2019-02-26,-56.55768271595912
2019-02-27,-59.210400669623766
2019-02-28,-54.63357480087012
2019-03-01,-50.663607426196506
2019-03-05,-41.917378468362756
2019-03-06,-33.55025626719066
2019-03-07,-34.69510646024702
2019-03-08,-34.91456128647849
2019-03-11,-29.874129819045265
2019-03-12,-17.4587558808999
2019-03-13,-13.669492560543802
2019-03-14,-17.813401054579458
2019-03-15,-10.39151437506905
2019-03-18,-7.62863985770997
2019-03-19,-7.308537348021559
2019-03-20,-12.686515533496333
2019-03-22,-13.767919008422098
2019-03-25,-21.9900997034963
2019-03-26,-11.546167463926565
2019-03-27,-12.455465726463729
2019-03-28,-5.28384931698298
2019-03-29,-5.532975185469695
2019-04-01,-7.58356321659727
2019-04-02,-8.527781556552725
2019-04-03,-13.479363023852386
2019-04-04,-16.859117463971074
2019-04-05,-15.055684259342001
2019-04-08,-18.5877950700542
2019-04-09,-8.519627695558654
2019-04-10,-11.60595452937173
2019-04-11,-15.70803271475745
2019-04-12,-11.171050282309352
2019-04-15,-13.070259548659578
2019-04-16,1.2253734628686175
2019-04-18,-1.3085373480215594
2019-04-22,-10.923438313615009
2019-04-23,-8.891681170796005
2019-04-24,-4.425003950558619
2019-04-25,-10.037457232517113
2019-04-26,2.1954126511328127
2019-04-30,2.6150026123791577
2019-05-02,-9.348158005365633
2019-05-03,-2.956395264223204
2019-05-06,-3.311342368644546
2019-05-07,-18.115919974816677
2019-05-08,-22.20177383607779
2019-05-09,-22.96901534190863
2019-05-10,-19.32051341134479
2019-05-13,-27.888629048688983
2019-05-14,-23.861012446285486
2019-05-15,-27.19785182854065
2019-05-16,-21.48263677094417
2019-05-17,-14.52925530346647
2019-05-20,3.0271460484177624
2019-05-21,-4.352767272249935
2019-05-22,0.9722585963258439
2019-05-23,6.524614966919273
2019-05-24,27.330630990198188
2019-05-27,31.1105284805098
2019-05-28,29.882490642705648
2019-05-29,19.001365352987534
2019-05-30,21.783348943862848
2019-05-31,19.212825198773828
2019-06-03,18.411823847423705
2019-06-04,14.652164001815436
2019-06-06,7.514434657690856
2019-06-07,12.446132148180425
2019-06-10,11.891773074886657
2019-06-11,17.01617500553948
2019-06-12,13.77532230270566
2019-06-13,15.529959561207193
2019-06-14,13.692547978180414
2019-06-17,10.344391800331778
2019-06-18,18.669183305673073
2019-06-19,16.689111104456572
2019-06-20,29.89286207018347
2019-06-21,27.26482423237934
2019-06-24,25.763477128314037
2019-06-25,30.08349624013897
2019-06-26,35.1418607188333
2019-06-27,37.26862693525766
2019-06-28,33.40403581558405
2019-07-01,35.25082114383332
2019-07-02,33.05017346037636
2019-07-03,32.021293151770976
2019-07-04,32.49659720555434
2019-07-05,32.524003190257645
2019-07-08,22.285145274946046
2019-07-09,24.678437746236852
2019-07-10,27.23078620165228
2019-07-11,22.804826549233894
2019-07-12,23.35675376924877
2019-07-15,18.227527707928232
2019-07-16,20.64439971550985
2019-07-17,20.687894889322877
2019-07-18,14.82686419411516
2019-07-19,6.725485429337766
2019-07-22,7.927488132038093
2019-07-23,8.464462649308132
2019-07-24,5.334036780198346
2019-07-25,5.863075969352678
2019-07-26,12.479037938625652
2019-07-29,26.101353768714716
2019-07-30,22.10678967604406
2019-07-31,21.29756689619245
2019-08-01,13.871877513803724
2019-08-02,7.470514579382382
2019-08-05,-0.4251263473238964
2019-08-06,7.2052002935663495
2019-08-07,5.484231567542565
2019-08-08,11.330309560005503
2019-08-09,16.95700029374433
2019-08-13,7.190609173892767
2019-08-14,14.121734463610835
2019-08-16,15.723526548610835
2019-08-19,20.13290029383336
2019-08-20,13.678390255168665
2019-08-21,8.822096046682077
2019-08-22,-3.9611074284217693
2019-08-23,-7.819750092323943
2019-08-26,8.140001066325908
2019-08-27,14.893736201696811
2019-08-28,9.399374811548455
2019-08-29,0.6033284797976535
2019-08-30,5.713711491548395
2019-09-03,-11.609192369668222
2019-09-04,-6.2028305936740935
2019-09-05,-14.672933103362539
2019-09-06,-12.162287736760106
2019-09-09,-8.090468624757193
2019-09-11,-9.200819975795753
2019-09-12,-1.0491788561666908
2019-09-13,9.82677288107368
2019-09-16,8.585928093417863
2019-09-17,-2.7026437215079113
2019-09-18,-3.999067466685915
2019-09-19,-16.574546231374313
2019-09-20,14.084271143432773
2019-09-23,42.892138904041076
2019-09-24,37.48312674188969
2019-09-25,30.85350743678589
