Date,Residuals
2018-08-31,41.672672057388695
2018-09-03,41.584754636092555
2018-09-04,26.913493023852368
2018-09-05,24.022336556824484
2018-09-06,32.46763889817487
2018-09-07,38.14121318385685
2018-09-10,32.281232857863245
2018-09-11,26.813203776788384
2018-09-12,16.900299710392687
2018-09-14,38.44167311271866
2018-09-17,18.117113172113534
2018-09-18,12.52679773647668
2018-09-19,0.6830263198100965
2018-09-21,-15.196054083080412
2018-09-24,-29.58141583737097
2018-09-25,-14.913597177027668
2018-09-26,-19.646396098211085
2018-09-27,-33.31587076307079
2018-09-28,-40.037132375311046
2018-10-01,-44.61439260645375
2018-10-03,-43.07630450335978
2018-10-04,-47.710634349227064
2018-10-05,-56.2978683917969
2018-10-08,-63.98886069159346
2018-10-09,-62.85538490625032
2018-10-10,-36.77455664337799
2018-10-11,-56.57175798280866
2018-10-12,-57.76369619859463
2018-10-15,-57.75355821993605
2018-10-16,-42.85173153362183
2018-10-17,-52.97319053746071
2018-10-19,-63.54634463321469
2018-10-22,-75.83413046011168
2018-10-23,-67.29473488219844
2018-10-24,-67.12215928057248
2018-10-25,-75.42260618030139
2018-10-26,-64.99212644712622
2018-10-29,-52.60804610938925
2018-10-30,-61.605201195319694
2018-10-31,-46.67451104141293
2018-11-01,-34.335411225130144
2018-11-02,-27.922126056205116
2018-11-05,-19.162382209208772
2018-11-06,-19.71821666087999
2018-11-07,-18.298249494326228
2018-11-09,-15.718006240148384
2018-11-12,-24.913163957966788
2018-11-13,-19.589280881521518
2018-11-14,-37.65041754423601
2018-11-15,-48.26255289100658
2018-11-16,-43.23575910329208
2018-11-19,-47.779694687190045
2018-11-20,-53.35732950629563
2018-11-21,-54.11700104152595
2018-11-22,-56.32083812508512
2018-11-26,-54.05500380372092
2018-11-27,-57.86834174071265
2018-11-28,-61.0996885635447
2018-11-29,-60.483801474113875
2018-11-30,-52.962842138070584
2018-12-03,-56.580660798413874
2018-12-04,-58.764300750988355
2018-12-05,-61.556383590306325
2018-12-06,-74.3405492689422
2018-12-07,-68.70897899624566
2018-12-10,-78.02448498314715
2018-12-11,-76.61988569452933
2018-12-12,-66.97826929863959
2018-12-13,-64.27827581320605
2018-12-14,-70.09700781670648
2018-12-17,-58.881035386376766
2018-12-18,-64.19163980846349
2018-12-19,-59.24043070367594
2018-12-20,-50.9491888957491
2018-12-21,-47.11531897874369
2018-12-24,-49.29803907359468
2018-12-26,-51.729070591096956
2018-12-27,-51.31355157506255
2018-12-28,-43.267789304850396
2018-12-31,-45.616488344597485
2019-01-01,-43.612881225469266
2019-01-02,-52.009261077208066
2019-01-03,-58.105102173752755
2019-01-04,-46.445515979421316
2019-01-07,-54.719156062302886
2019-01-08,-48.927303187415816
2019-01-09,-35.141672381295734
2019-01-10,-25.0332164654194
2019-01-11,-17.348499002456435
2019-01-14,-24.338433335563934
2019-01-15,-18.870167775491723
2019-01-16,-23.294136192835936
2019-01-17,-20.0925264418197
2019-01-18,-22.77745432551427
2019-01-21,-22.923380762957834
2019-01-22,-27.01417567115567
2019-01-23,-65.78115330010786
2019-01-24,-69.61294050810233
2019-01-25,-74.3938143729398
2019-01-28,-88.1769683383867
2019-01-29,-87.18056894294853
2019-01-30,-91.61558216754196
2019-01-31,-99.82663348935756
2019-02-01,-94.40407743143095
2019-02-04,-97.5655886821084
2019-02-05,-93.20024034787178
2019-02-06,-91.14133101770017
2019-02-07,-64.64902472851782
2019-02-08,-64.28096958917718
2019-02-11,-83.60998419486816
2019-02-12,-80.5072311362639
2019-02-13,-76.07712599105162
2019-02-14,-73.07851229220341
2019-02-15,-76.91675153339571
2019-02-18,-75.74855177052314
2019-02-19,-79.17159381557735
2019-02-20,-75.42643609775894
2019-02-21,-61.069839441029046
2019-02-22,-58.4995765128449
2019-02-25,-55.57469475234359
2019-02-26,-60.928610662235144
2019-02-27,-51.38629134391988
2019-02-28,-52.97546347196868
2019-03-01,-45.450818190464645
2019-03-05,-39.24953025934468
2019-03-06,-20.016527431996167
2019-03-07,-31.296711403540883
2019-03-08,-18.943794177705286
2019-03-11,-13.580752002344013
2019-03-12,-16.548642974453344
2019-03-13,-26.538498481228316
2019-03-14,-21.847801943062166
2019-03-15,-17.888583822127202
2019-03-18,-15.03904375098898
2019-03-19,-13.523531249521113
2019-03-20,-17.123445908622216
2019-03-22,-31.062999139200315
2019-03-25,-39.57466804254267
2019-03-26,-38.89464823822925
2019-03-27,-9.799871622940202
2019-03-28,-3.822387941933073
2019-03-29,-2.8719410422041847
2019-04-01,6.323157392981102
2019-04-02,10.49759225375351
2019-04-03,5.315187464232338
2019-04-04,1.028472633157378
2019-04-05,4.625016652127556
2019-04-08,6.053505531757139
2019-04-09,3.7706342988077495
2019-04-10,7.193282212199733
2019-04-11,8.897125810325349
2019-04-12,7.749813071729989
2019-04-15,9.616015466490637
2019-04-16,7.5554963853027175
2019-04-18,7.826468750478909
2019-04-22,6.48739499246193
2019-04-23,6.392927167936136
2019-04-24,2.1688010979270302
2019-04-25,5.305673581666952
2019-04-26,-0.08423469317472154
2019-04-30,-1.69628469904643
2019-05-02,4.158629894901139
2019-05-03,-0.94865665512134
2019-05-06,-6.50717185363078
2019-05-07,-10.185897212257657
2019-05-08,-21.620214028991995
2019-05-09,-19.53027318131808
2019-05-10,-26.1284334658709
2019-05-13,-44.63893951792596
2019-05-14,-46.56190925121416
2019-05-15,-41.86682384516172
2019-05-16,-50.19629837971445
2019-05-17,-41.95637707573985
2019-05-20,-16.999418860180015
2019-05-21,-30.14771725369843
2019-05-22,-31.89440589620068
2019-05-23,-23.30960960690527
2019-05-24,-8.446252126214233
2019-05-27,7.538235372317899
