Date,Residuals
2018-08-31,77.31234404372526
2018-09-03,-27.85514145149068
2018-09-04,-90.0028934429854
2018-09-05,-146.97004581785268
2018-09-06,-140.86858869325124
2018-09-07,-133.2740840713077
2018-09-10,-205.4072648167894
2018-09-11,-240.9003123141315
2018-09-12,-234.4889884376696
2018-09-14,-199.42296006705533
2018-09-17,-231.5043505675867
2018-09-18,-362.87362630775283
2018-09-19,-491.14077868261984
2018-09-21,-634.0862826656096
2018-09-24,-749.3884060309081
2018-09-25,-728.4102628999283
2018-09-26,-684.7259581501942
2018-09-27,-836.1368242631006
2018-09-28,-931.1473572556586
2018-10-01,-892.996691014961
2018-10-03,-877.699272143815
2018-10-04,-872.4978150192139
2018-10-05,-885.0237101416885
2018-10-08,-927.916757639031
2018-10-09,-935.5853671384994
2018-10-10,-813.6332437732003
2018-10-11,-826.4193387678849
2018-10-12,-764.4646342737319
2018-10-15,-729.6044344015231
2018-10-16,-681.4811204079019
2018-10-17,-781.614634273732
2018-10-19,-811.1361580224029
2018-10-22,-799.5890722716056
2018-10-23,-798.5649673940807
2018-10-24,-774.7047675218719
2018-10-25,-795.906224646473
2018-10-26,-788.984700897802
2018-10-29,-678.3052252854268
2018-10-30,-652.489196914812
2018-10-31,-602.2118446677357
2018-11-01,-567.3388637944634
2018-11-02,-650.3898631555096
2018-11-05,-636.7767490340977
2018-11-06,-655.8081395346294
2018-11-07,-631.9880729105594
2018-11-09,-634.59793966242
2018-11-12,-659.0424442843635
2018-11-13,-676.2139680330345
2018-11-14,-654.9066824100282
2018-11-15,-648.019463411091
2018-11-16,-610.6162160415399
2018-11-19,-605.6319112918056
2018-11-20,-640.6180062864898
2018-11-21,-606.3377397902109
2018-11-22,-616.0307872875528
2018-11-26,-573.785158661357
2018-11-27,-549.7735016645463
2018-11-28,-614.4511870319718
2018-11-29,-593.1340346571044
2018-11-30,-551.0982727827686
2018-12-03,-483.4665491618887
2018-12-04,-499.41833940683864
2018-12-05,-524.0241679052438
2018-12-06,-591.4018532726693
2018-12-07,-593.8861580224029
2018-12-10,-653.1306626443466
2018-12-11,-570.1599297795797
2018-12-12,-489.18953003516094
2018-12-13,-493.9008539116228
2018-12-14,-457.95489216507804
2018-12-17,-445.8362826656096
2018-12-18,-398.40601616933054
2018-12-19,-369.3297879265067
2018-12-20,-408.9713782992478
2018-12-21,-428.1356164249123
2018-12-24,-453.1655498008424
2018-12-26,-462.80534992863295
2018-12-27,-438.0867404291646
2018-12-28,-395.8152166804937
2018-12-31,-416.1352833045635
2019-01-01,-375.55210255908173
2019-01-02,-419.62104517889907
2019-01-03,-406.77104517889893
2019-01-04,-339.0375313130685
2019-01-07,-368.7948169360752
2019-01-08,-364.2003123141317
2019-01-09,-372.9933598114735
2019-01-10,-355.8046836879355
2019-01-11,-377.86051218634066
2019-01-14,-358.9758743162579
2019-01-15,-371.51455043979604
2019-01-16,-333.7255411959093
2019-01-17,-327.62262694670653
2019-01-18,-348.8058076921882
2019-01-21,-400.24773118527764
2019-01-22,-424.2637595558922
2019-01-23,-468.70534992863304
2019-01-24,-465.0852833045635
2019-01-25,-524.0998545505765
2019-01-28,-574.4213782992479
2019-01-29,-547.6597213024372
2019-01-30,-563.5268736773041
2019-01-31,-569.4911118029686
2019-02-01,-636.5760827934002
2019-02-04,-659.5333684164068
2019-02-05,-644.6976065420713
2019-02-06,-625.4801210468554
2019-02-07,-615.2257496730515
2019-02-08,-701.9023110362241
2019-02-11,-729.2723776602941
2019-02-12,-721.3508539116228
2019-02-13,-740.5026441565728
2019-02-14,-710.0921111640148
2019-02-15,-749.5968156581675
2019-02-18,-762.5570155303769
2019-02-19,-759.1811204079017
2019-02-20,-719.2866157859582
2019-02-21,-663.2333684164066
2019-02-22,-663.9162160415399
2019-02-25,-666.1133017923373
2019-02-26,-687.8293301629517
2019-02-27,-690.7493967870214
2019-02-28,-657.0749587891478
2019-03-01,-536.9827021757092
2019-03-05,-364.3244171916565
2019-03-06,-338.56017906599186
2019-03-07,-290.31388419909854
2019-03-08,-328.12991256971304
2019-03-11,-281.6766652001618
2019-03-12,-278.7810365739656
2019-03-13,-296.8697126975039
2019-03-14,-296.80693169644064
2019-03-15,-260.05805570069333
2019-03-18,-263.202227202288
2019-03-19,-201.33149433752078
2019-03-20,-157.08519947062746
2019-03-22,-187.12129446531162
2019-03-25,-227.45010383698923
2019-03-26,-187.74539934283644
2019-03-27,-143.28665659522835
2019-03-28,-82.01771397541143
2019-03-29,-68.0162568508099
2019-04-01,-9.230161856125733
2019-04-02,18.444276141747878
2019-04-03,-59.57645672301942
2019-04-04,-77.75089472089303
2019-04-05,-93.68957084443127
2019-04-08,-120.63957084443132
2019-04-09,-74.36076147275344
2019-04-10,-101.55380897009582
2019-04-11,-94.47678984336812
2019-04-12,-62.95380897009568
2019-04-15,-49.78228522142467
2019-04-16,-71.14248509363392
2019-04-18,-116.13586571132487
2019-04-22,-188.60222720228785
2019-04-23,-173.81355107874992
2019-04-24,-140.81904645680652
2019-04-25,-151.11792245255378
2019-04-26,-123.68765595627474
2019-04-30,-101.30256032263674
2019-05-02,-76.79090332582632
2019-05-03,-92.78070345361698
2019-05-06,-132.98944620122484
2019-05-07,-174.17845544511192
2019-05-08,-180.12845544511174
2019-05-09,-175.52554119590923
2019-05-10,-128.0394462012248
2019-05-13,-306.6021025590817
2019-05-14,-247.4215029424538
2019-05-15,-247.24448381572643
2019-05-16,-280.44044556227095
2019-05-17,-235.54011244192225
2019-05-20,-89.41904645680643
2019-05-21,-117.64090332582623
2019-05-22,-98.25547457183961
2019-05-23,-74.96421731944724
2019-05-24,21.729496418592362
2019-05-27,28.739696290801476
2019-05-28,-8.506598576091847
2019-05-29,-90.38315993926449
2019-05-30,-101.38607418846709
2019-05-31,-102.01051218634075
2019-06-03,-64.38024569006188
2019-06-04,-31.81017906599186
2019-06-06,-87.18786443341719
2019-06-07,-81.8579310574869
2019-06-10,-104.74256892757012
2019-06-11,-65.71375955589224
2019-06-12,-39.30793105748694
2019-06-13,-60.38707354951339
2019-06-14,-9.39839742597519
2019-06-17,-28.872835423848755
2019-06-18,-160.59435917251994
2019-06-19,-167.76151154738704
2019-06-20,-120.97978792650656
2019-06-21,-70.8469403013737
2019-06-24,-10.164092676241125
2019-06-25,13.121669198094423
2019-06-26,72.8891546933105
2019-06-27,113.7304119457026
2019-06-28,167.11213556658277
2019-07-01,210.3080973131273
2019-07-02,121.23657356445642
2019-07-03,159.4453163120645
2019-07-04,163.31975430993816
2019-07-05,120.9339924356027
2019-07-08,-114.20343504047673
2019-07-09,-43.77171141959661
2019-07-10,-73.97058741534374
2019-07-11,-66.40310192012794
2019-07-12,-24.611511547386954
2019-07-15,-71.58045416720415
2019-07-16,26.108555076682705
2019-07-17,103.87133607774581
2019-07-18,159.03378395846016
2019-07-19,300.09656495952345
2019-07-22,180.89365071032057
2019-07-23,45.23715597121782
2019-07-24,-38.281453528250495
2019-07-25,-50.96900564753605
2019-07-26,88.99993697228092
2019-07-29,92.09589871882554
2019-07-30,8.672584725204615
2019-07-31,64.8615939690917
2019-08-01,20.878413223610096
2019-08-02,40.279870348211716
2019-08-05,-76.23032952399763
2019-08-06,-29.71721540258568
2019-08-07,-56.455100642220714
2019-08-08,32.18682285086925
2019-08-09,95.60251810113505
2019-08-13,63.29086110432445
2019-08-14,49.20947060379285
2019-08-16,157.2842417220154
2019-08-19,176.10980372414178
2019-08-20,121.4266229786599
2019-08-21,21.944899357779377
2019-08-22,-88.29702413531004
2019-08-23,-11.359472016024483
2019-08-26,95.47808010326116
2019-08-27,289.6083465995407
2019-08-28,250.69377535352714
2019-08-29,272.03794685512185
2019-08-30,388.98648973052013
2019-09-03,388.19972849513897
2019-09-04,319.0212522438096
2019-09-05,371.6829092406201
2019-09-06,382.0015187400886
2019-09-09,441.2974804866335
2019-09-11,493.61933735565344
2019-09-12,494.71642310645075
2019-09-13,501.98648973052013
2019-09-16,487.166423106451
2019-09-17,364.478870987165
2019-09-18,443.1175471107031
2019-09-19,390.27449961336106
2019-09-20,645.2609277283946
2019-09-23,829.3054323503375
2019-09-24,789.6652991021979
2019-09-25,673.4376137347731
2019-09-26,646.6660899861022
2019-09-27,603.183242360969
2019-09-30,584.374499613361
2019-10-01,467.70959524699947
2019-10-03,435.57966187106877
2019-10-04,386.30230962399264
2019-10-07,388.21217637585323
2019-10-09,426.82383337266356
2019-10-10,405.33773837797935
2019-10-11,416.0421097517833
2019-10-14,430.5793287507199
2019-10-15,413.3851572491253
2019-10-16,418.79648112558743
2019-10-17,446.72966187106886
2019-10-18,634.1413188678794
2019-10-22,781.2628426165506
2019-10-23,856.8015187400888
2019-10-24,742.9197951192082
2019-10-25,658.2956902416836
2019-10-27,821.031452116019
2019-10-29,794.9744996133613
2019-10-30,800.6248327337098
2019-10-31,839.3408611043246
2019-11-01,848.1583465995404
2019-11-04,844.2685464717492
2019-11-05,842.3350326059194
2019-11-06,758.813508857248
2019-11-07,799.4244996133611
2019-11-08,965.0529758646903
2019-11-11,1124.8887377390256
2019-11-13,1348.3584712427464
2019-11-14,1356.4084712427466
2019-11-15,1280.2573472384938
2019-11-18,1238.1288709871646
2019-11-19,1407.029204107514
2019-11-20,1444.4934422331785
2019-11-21,1576.2704613599058
2019-11-22,1521.6576803588428
2019-11-25,1416.2149659818492
2019-11-26,1384.4533089850388
2019-11-27,1458.77483273371
2019-11-28,1534.9397371000719
2019-11-29,1386.5766229786595
2019-12-02,1254.9280801032614
2019-12-03,1242.9003947358365
2019-12-04,1157.4419851085768
2019-12-05,990.2945662374304
2019-12-06,932.9241664930123
2019-12-09,745.7799949914174
2019-12-10,630.585490369474
2019-12-11,765.5011856197398
2019-12-12,822.7799949914174
2019-12-13,954.5821183567168
2019-12-16,955.5248327337099
2019-12-17,986.4178802310521
2019-12-18,951.2033089850388
2019-12-19,955.2905279839756
2019-12-20,1079.9007278561849
2019-12-23,1040.0076803588427
2019-12-24,1022.3062232342413
2019-12-26,1019.7160899861019
2019-12-27,1078.6908611043245
2019-12-30,1061.0149659818494
2019-12-31,1026.3978136069818
2020-01-01,1010.517880231052
2020-01-02,1041.6039752257366
2020-01-03,1029.837946855122
2020-01-06,836.2358234898229
2020-01-07,875.7901948636268
2020-01-08,863.897147366285
2020-01-09,926.0474804866335
2020-01-10,871.2460233620322
2020-01-13,867.7033089850388
2020-01-14,940.366089986102
2020-01-15,1013.4219184845074
2020-01-16,1053.1547661096401
2020-01-17,1069.7704613599058
2020-01-20,1021.2544329892912
2020-01-21,952.95297586469
2020-01-22,942.998604490886
2020-01-23,1003.2730424887595
2020-01-24,999.511718612298
2020-01-27,951.2186711149561
2020-01-28,949.077080742215
2020-01-29,941.9814521160192
2020-01-30,935.5884046186766
2020-01-31,929.359928367348
2020-02-01,783.4625094962021
2020-02-03,773.4964811255873
2020-02-04,874.1078050020492
2020-02-05,879.8421097517835
2020-02-06,1040.242442872132
2020-02-07,1038.7938999967332
2020-02-10,998.9621763758532
2020-02-11,1015.1092621266507
2020-02-12,1022.2618432555046
2020-02-13,1009.1775385057704
2020-02-14,967.5158815089594
2020-02-17,843.5440246399398
2020-02-18,820.8111770148071
2020-02-19,971.3013102629466
2020-02-20,999.5527673875476
2020-02-24,848.1451486441924
2020-02-25,826.1407772703883
2020-02-26,821.6334916473816
2020-02-27,754.1787871532292
2020-02-28,614.0769969082789
2020-03-02,481.7879876643924
2020-03-03,524.6883207847409
2020-03-04,478.92116840987364
2020-03-05,523.509844533412
2020-03-06,396.55076866545505
2020-03-09,224.20884517236573
2020-03-11,273.5628834258205
2020-03-12,-257.2994398116871
2020-03-13,13.302683553611132
2020-03-16,-179.646192442136
2020-03-17,-264.1677161908069
2020-03-18,-373.87029731966095
2020-03-19,-371.8659259458568
2020-03-20,-232.02433557311633
2020-03-23,-592.6834114410726
2020-03-24,-661.6746686934648
2020-03-25,-685.5607636881489
2020-03-26,-595.969506435757
2020-03-27,-656.65235406089
2020-03-30,-701.0910301844283
2020-03-31,-647.4797063079659
2020-04-01,-609.3814965529164
2020-04-03,-632.6559345507899
2020-04-07,-559.418715551853
2020-04-08,-475.46434417804903
2020-04-09,-330.4556014304412
2020-04-13,-233.07275380530837
2020-04-15,-167.10851567964392
2020-04-16,-183.62566805451115
2020-04-17,-93.4183824315046
2020-04-20,41.741817440704835
2020-04-21,-156.80851567964373
2020-04-22,-156.95851567964382
2020-04-23,-190.1742109299098
2020-04-24,-371.9672584272521
2020-04-27,-236.17858230371394
2020-04-28,-283.80705855504266
2020-04-29,-249.6968586828334
2020-04-30,-230.4468586828334
2020-05-04,-245.83441080211878
2020-05-05,-289.7103059245942
2020-05-06,-223.7588487999924
2020-05-07,-172.5387821759232
2020-05-08,-198.8103059245941
2020-05-11,-282.6475249235309
2020-05-12,-294.3818296732652
2020-05-13,-244.73003942831474
2020-05-14,-314.9760011748599
2020-05-15,-297.5975249235307
2020-05-18,-363.89494379467715
2020-05-19,-375.45222941768316
